date,open,high,low,close,volume
2023-10-05,17.63000,17.88000,17.57000,17.70000,15300
2023-10-06,17.85000,18.03000,17.74000,17.74000,10100
2023-10-09,18.36000,18.36000,17.72000,17.72000,6000
2023-10-10,17.88000,18.24000,17.34000,17.50000,46400
2023-10-11,17.62000,17.69000,17.36000,17.40000,12600
2023-10-12,17.31000,17.50000,17.01000,17.28000,24600
2023-10-13,17.38000,17.38000,17.21000,17.35000,5300
2023-10-16,17.49000,17.65000,17.32000,17.37000,15100
2023-10-17,17.77000,17.83000,17.25000,17.57000,22900
2023-10-18,17.50000,18.27000,17.43000,17.80000,24000
2023-10-19,17.71000,18.87000,17.30000,17.55000,18800
2023-10-20,17.59000,17.79000,17.25000,17.45000,9000
2023-10-23,17.56000,17.60000,17.00000,17.37000,11400
2023-10-24,17.22000,17.57000,17.00000,17.10000,15100
2023-10-25,17.79000,17.79000,17.01000,17.30000,8200
2023-10-26,17.76000,17.76000,17.09000,17.40000,15000
2023-10-27,17.00000,17.57000,17.00000,17.32000,14700
2023-10-30,17.36000,17.52000,17.08000,17.30000,4900
2023-10-31,17.25000,17.70000,17.03000,17.70000,16400
2023-11-01,17.58000,17.71000,17.15000,17.21000,22700
2023-11-02,17.26000,17.51000,17.00000,17.22000,13100
2023-11-03,17.19000,17.65000,17.19000,17.40000,15300
2023-11-06,17.36000,17.36000,17.23000,17.23000,3500
2023-11-07,17.49000,17.49000,17.22000,17.28000,6500
2023-11-08,17.23000,17.48000,17.05000,17.44000,15100
2023-11-09,17.45000,17.48000,17.13000,17.33000,3400
2023-11-10,17.40000,17.49000,17.19000,17.34000,19900
2023-11-13,17.38000,17.47000,17.26000,17.26000,3800
2023-11-14,17.50000,17.85000,17.04000,17.44000,26100
2023-11-15,17.31000,17.49000,17.31000,17.32000,9200
2023-11-16,17.23000,17.44000,17.23000,17.39000,5900
2023-11-17,17.40000,17.68000,17.26000,17.43000,12600
2023-11-20,17.42000,17.65000,17.42000,17.65000,2200
2023-11-21,17.64000,17.64000,17.64000,17.64000,2600
2023-11-22,17.51000,17.69000,17.50000,17.67000,9900
2023-11-24,17.75000,17.75000,17.51000,17.75000,2800
2023-11-27,17.70000,17.75000,17.56000,17.56000,11900
2023-11-28,17.64000,17.64000,17.36000,17.36000,4500
2023-11-29,17.68000,17.80000,17.31000,17.78000,17600
2023-11-30,17.80000,17.80000,17.64000,17.64000,4400
2023-12-01,17.85000,18.06000,17.85000,18.06000,15400
2023-12-04,18.07000,18.50000,18.07000,18.25000,7600
2023-12-05,18.26000,18.38000,18.04000,18.38000,8500
2023-12-06,18.68000,18.74000,18.57000,18.74000,9200
2023-12-07,18.75000,18.80000,18.75000,18.75000,8700
2023-12-08,19.08000,19.38000,19.02000,19.20000,4200
2023-12-11,19.38000,19.59000,19.18000,19.29000,19800
2023-12-12,19.06000,19.39000,19.02000,19.31000,13900
2023-12-13,19.07000,20.00000,19.07000,19.63000,41200
2023-12-14,19.93000,20.76000,19.83000,20.50000,21700
2023-12-15,20.76000,21.45000,20.45000,21.10000,97600
2023-12-18,21.00000,21.30000,20.51000,20.77000,15000
2023-12-19,21.17000,21.25000,20.81000,20.81000,7400
2023-12-20,20.72000,21.36000,20.72000,21.00000,23900
2023-12-21,21.00000,21.27000,20.98000,21.10000,12300
2023-12-22,21.34000,21.71000,21.00000,21.30000,11600
2023-12-26,21.55000,21.55000,21.40000,21.40000,4500
2023-12-27,21.40000,21.55000,21.13000,21.48000,14000
2023-12-28,21.26000,21.77000,21.26000,21.58000,8200
2023-12-29,21.65000,22.00000,21.53000,21.53000,12800
