date,open,high,low,close,volume
2025-07-10,83.99000,83.99000,77.01000,77.58500,109380
2025-07-11,80.40000,85.90000,78.25500,84.50500,1057110
2025-07-14,84.30000,86.63500,79.55000,80.72500,698920
2025-07-15,80.50500,82.79500,77.80000,79.35000,82970
2025-07-16,79.40000,95.22000,79.40000,93.36500,4344420
2025-07-17,93.00000,96.50000,89.41500,95.22000,1192040
2025-07-18,95.70000,96.29000,89.90000,90.97000,856940
2025-07-21,90.30000,96.00000,89.80000,93.39000,871000
2025-07-22,92.70500,94.50000,91.92000,93.54500,281680
2025-07-23,95.30000,97.50000,94.53000,97.28500,1476550
2025-07-24,98.00000,98.00500,95.50500,96.50000,1339510
2025-07-25,97.57000,97.57000,94.02000,94.48500,191740
2025-07-28,95.00000,97.09500,94.48500,95.14500,154260
2025-07-29,96.40000,96.40000,93.31500,93.79500,156360
2025-07-30,93.41500,98.00000,92.19000,96.37000,511420
2025-07-31,95.40000,98.50000,94.49000,96.69500,479270
2025-08-01,96.69500,96.89500,94.49000,95.16500,53480
2025-08-04,95.40000,99.50000,95.00000,97.33500,219090
2025-08-05,98.20500,100.00000,97.10500,99.14500,192050
2025-08-06,100.00000,100.00000,95.50000,96.27000,158410
2025-08-07,96.00000,99.00000,95.69500,97.48000,58260
2025-08-08,97.00500,98.39500,96.00000,96.33000,826670
2025-08-11,97.29500,97.29500,96.00000,96.33000,21780
2025-08-12,96.00000,97.15500,95.62000,96.39000,50360
2025-08-13,97.69000,97.75000,95.40000,95.56500,27680
2025-08-14,96.70500,102.30000,95.52500,99.34000,1526290
2025-08-18,101.33500,102.50000,99.00000,100.36000,134120
2025-08-19,101.12000,105.00000,100.60000,102.43500,380790
2025-08-20,102.40000,105.90000,101.62500,103.62500,124120
2025-08-21,103.88500,107.00000,102.80500,104.33000,425330
2025-08-22,104.85000,107.00000,101.50000,104.08000,788930
2025-08-25,105.12000,108.20000,104.80500,106.91500,271270
2025-08-26,107.00000,108.50000,105.10000,106.15000,244760
2025-08-28,105.60000,107.52500,103.00000,104.71000,422010
2025-08-29,105.00000,107.60000,101.50000,105.67500,385330
2025-09-01,106.73000,106.73000,104.60000,105.41000,328090
2025-09-02,107.20000,109.50000,105.60000,106.33000,336500
2025-09-03,107.21000,110.00000,106.71000,107.53000,815230
2025-09-04,109.68000,110.90000,107.50000,109.03000,978570
2025-09-05,109.03000,112.05000,109.03000,110.34000,563050
2025-09-08,113.00000,115.00000,111.48000,113.37000,1288150
2025-09-09,115.00000,115.80000,112.27000,113.51000,824640
2025-09-10,114.65000,116.80000,113.51000,116.09000,577220
2025-09-11,116.80000,119.44000,110.41000,113.26000,1888070
2025-09-12,113.90000,119.00000,110.70000,113.30000,487674
2025-09-15,112.40000,116.40000,105.20000,111.20000,437327
2025-09-16,110.10000,114.00000,108.70000,113.20000,748005
2025-09-17,115.00000,117.40000,109.30000,113.60000,923606
2025-09-18,115.00000,120.00000,111.00000,113.80000,1364262
