date,open,high,low,close,volume
2023-09-27,5.21000,5.41000,5.02000,5.25000,555000
2023-09-28,5.19000,5.81000,5.16000,5.75000,810500
2023-09-29,5.80000,6.78000,5.66100,6.21000,1672500
2023-10-02,6.26000,7.37000,6.26000,7.00000,2735300
2023-10-03,7.07000,7.07000,4.51000,4.58000,4680300
2023-10-04,4.91000,5.50000,4.60000,5.44000,2584400
2023-10-05,5.35000,6.49000,5.13000,5.75000,2679200
2023-10-06,5.75000,6.65000,5.67000,6.45000,1718700
2023-10-09,6.36000,6.59000,5.80000,6.04000,850400
2023-10-10,6.36000,6.36000,5.62000,5.70000,809200
2023-10-11,5.75000,6.22000,5.56000,6.10000,882900
2023-10-12,6.05000,6.83000,6.02000,6.72000,1428400
2023-10-13,6.68000,7.00000,6.23000,6.63000,889200
2023-10-16,6.98000,7.00000,6.16800,6.74000,993600
2023-10-17,6.41000,6.98000,6.41000,6.54000,935000
2023-10-18,6.89000,6.89000,6.32000,6.35000,1049900
2023-10-19,6.35000,6.73000,6.20000,6.67000,873800
2023-10-20,6.49000,7.25000,6.19000,6.32000,2466700
2023-10-23,6.10000,6.15000,5.50000,5.63000,1705100
2023-10-24,5.58000,5.79000,5.16000,5.21000,959700
2023-10-25,5.25000,5.42000,4.90000,4.98000,1026800
2023-10-26,5.00000,5.55000,4.80000,5.48000,746400
2023-10-27,5.35000,5.74000,5.22000,5.65000,423700
2023-10-30,5.60000,6.15000,5.60000,6.08000,641700
2023-10-31,6.10000,6.14000,5.79000,5.98000,455400
2023-11-01,5.96000,6.10000,5.36000,5.53000,831800
2023-11-02,5.56000,5.78000,5.56000,5.66000,397200
2023-11-03,5.50000,5.77000,5.23400,5.31000,637400
2023-11-06,5.33000,5.35100,4.96000,5.05000,627100
2023-11-07,5.00000,5.25000,4.85000,5.05000,576700
2023-11-08,5.14000,5.14000,4.66000,4.76000,569300
2023-11-09,4.69000,4.83000,4.49000,4.53000,538000
2023-11-10,4.72000,4.73000,4.50000,4.55000,366400
2023-11-13,4.47000,4.82000,4.25000,4.72000,436100
2023-11-14,4.77000,5.12000,4.76000,5.01000,429700
2023-11-15,5.20000,5.26000,4.74000,4.92000,463700
2023-11-16,4.97000,5.11700,4.64000,4.70000,369700
2023-11-17,4.63000,4.70200,4.45000,4.53000,445700
2023-11-20,4.51000,4.55000,4.01000,4.03500,1180900
2023-11-21,4.01000,4.34000,4.00000,4.02000,445100
2023-11-22,4.00000,4.15000,3.90000,4.06000,402700
2023-11-24,3.97000,4.28000,3.95000,4.23000,196700
2023-11-27,4.13000,4.45000,4.13000,4.29000,319100
2023-11-28,4.27000,4.40000,4.10000,4.37000,272400
2023-11-29,4.33000,4.35000,3.88000,4.13000,708400
2023-11-30,4.10000,4.30000,3.98000,4.23000,228200
2023-12-01,4.25000,4.36000,4.13300,4.33000,435400
2023-12-04,4.40000,4.50000,4.19000,4.32000,347200
2023-12-05,4.21000,4.29000,4.04000,4.14000,292500
2023-12-06,4.18000,4.22000,4.06000,4.13000,153200
2023-12-07,4.22000,4.22000,3.93000,4.01000,211900
2023-12-08,3.99000,4.18000,3.99000,4.13000,157700
2023-12-11,4.20000,4.36000,4.05200,4.23000,502800
2023-12-12,4.23000,4.40000,4.12000,4.31000,292600
2023-12-13,4.26000,4.48000,4.22000,4.35000,362900
2023-12-14,4.39000,4.50000,4.08000,4.13000,657700
2023-12-15,4.15000,4.28000,3.95000,3.95000,1061300
2023-12-18,4.01000,4.13000,3.55500,3.75500,811800
2023-12-19,3.66000,4.03000,3.66000,3.99000,383100
2023-12-20,4.00000,4.01000,3.75000,3.77000,462200
2023-12-21,3.81000,3.88200,3.70000,3.82000,362800
2023-12-22,3.86000,4.18000,3.83000,4.03000,384300
2023-12-26,4.01000,4.05400,3.90000,3.98000,450600
2023-12-27,3.82000,4.20000,3.82000,4.19000,361200
2023-12-28,4.19000,4.36300,4.04000,4.07000,470700
2023-12-29,4.05000,4.12000,3.91000,4.02000,357500
2024-01-02,4.01000,4.12000,3.83000,3.99000,340900
2024-01-03,3.95000,3.99000,3.76000,3.79000,343700
2024-01-04,3.90000,3.90400,3.54000,3.66000,485600
2024-01-05,3.57000,3.79000,3.57000,3.72000,234900
2024-01-08,3.75000,3.75000,3.40000,3.42000,476400
2024-01-09,3.37000,3.50000,3.29000,3.35000,323400
2024-01-10,3.39000,3.47900,3.29000,3.30000,220800
2024-01-11,3.36000,3.40000,3.05000,3.16000,329200
2024-01-12,3.31000,3.31000,3.03000,3.08000,232200
