date,open,high,low,close,volume
2023-09-25,63.79000,65.61000,63.16000,63.37000,734100
2023-09-26,63.05000,65.02000,63.00500,64.87000,451300
2023-09-27,65.36000,66.42000,63.67000,64.74000,538000
2023-09-28,64.83000,65.61000,64.57000,65.30000,360500
2023-09-29,65.93000,66.65000,65.23000,65.88000,520400
2023-10-02,65.41000,65.90000,64.14000,64.89000,369300
2023-10-03,64.63000,64.89500,60.33000,61.38000,681800
2023-10-04,61.35000,62.69000,59.61000,61.27000,816200
2023-10-05,61.24000,61.61000,58.99000,59.05000,586200
2023-10-06,58.33000,59.21600,56.20000,58.84000,1023800
2023-10-09,58.05000,59.00000,56.98000,58.60000,383600
2023-10-10,58.41000,60.77000,58.41000,58.99000,504700
2023-10-11,59.02000,59.45500,57.92000,59.37000,359900
2023-10-12,59.31000,60.03000,57.03500,57.31000,700100
2023-10-13,57.34000,57.66000,56.07000,56.96000,509200
2023-10-16,57.05000,58.27000,56.89000,57.45000,430100
2023-10-17,57.14000,58.98000,57.14000,58.21000,656600
2023-10-18,57.45000,58.89000,54.85000,55.40000,754200
2023-10-19,55.40000,57.22000,54.81000,55.67000,516500
2023-10-20,55.50000,56.66000,55.09000,55.28000,585800
2023-10-23,55.01000,57.61000,54.78500,57.28000,719700
2023-10-24,57.07000,59.42000,57.00000,58.13000,426900
2023-10-25,58.04000,59.08000,56.91000,58.96000,441000
2023-10-26,58.90000,59.79000,57.66000,57.71000,521400
2023-10-27,57.78000,58.27000,56.78500,57.87000,405100
2023-10-30,58.67000,58.77000,57.00000,57.82000,394100
2023-10-31,58.00000,58.36000,57.25000,57.40000,612800
2023-11-01,57.33000,57.47000,54.60000,55.87000,819500
2023-11-02,57.11000,58.74000,57.11000,58.06000,659000
2023-11-03,59.28000,59.66500,57.50000,58.25000,753700
2023-11-06,71.07000,73.75000,66.54000,68.10000,3538600
2023-11-07,67.70000,69.15000,67.51000,67.89000,1035100
2023-11-08,67.89000,68.53000,65.80500,66.31000,671100
2023-11-09,66.44000,67.69000,65.85000,66.47000,346100
2023-11-10,66.50000,67.68000,66.18500,67.03000,384500
2023-11-13,66.82000,69.04000,66.36000,67.43000,580400
2023-11-14,68.75000,70.30000,68.73000,69.67000,474800
2023-11-15,70.09000,70.73000,68.98000,69.03000,429300
2023-11-16,68.59000,69.51000,68.14000,68.92000,357900
2023-11-17,69.52000,70.39000,68.52000,69.87000,1043000
2023-11-20,70.24000,70.61000,69.28000,69.62000,344000
2023-11-21,69.64000,69.75000,68.89000,69.06000,318200
2023-11-22,69.34000,70.17000,68.88000,69.85000,351200
2023-11-24,69.73000,70.63500,69.19000,69.30000,135700
2023-11-27,69.11000,69.31000,68.25000,68.70000,358400
2023-11-28,68.71000,70.50000,68.22000,70.35000,688200
2023-11-29,70.53000,71.51000,69.66000,69.98000,733700
2023-11-30,70.10000,71.09000,69.37000,70.95000,372700
2023-12-01,70.70000,72.39000,70.58000,71.72000,987400
2023-12-04,71.84000,73.52000,71.42000,72.19000,869400
2023-12-05,72.05000,73.19000,71.22000,71.60000,534400
2023-12-06,71.67000,73.26000,71.66000,72.44000,504000
2023-12-07,73.09000,75.91000,71.98000,75.51000,658300
2023-12-08,76.45000,77.13000,75.63800,76.25000,800300
2023-12-11,76.21000,78.70000,75.81000,77.26000,581500
2023-12-12,77.90000,79.38000,77.39000,79.35000,633100
2023-12-13,79.50000,84.40000,79.50000,83.85000,830900
2023-12-14,84.59000,86.48000,83.98000,84.27000,898000
2023-12-15,84.28000,84.81000,83.11500,84.45000,720900
