date,open,high,low,close,volume
2016-02-04,32.68000,33.40000,32.49200,33.12000,136050
2016-02-05,33.16000,33.76000,33.04000,33.12000,174875
2016-02-08,32.88000,32.96000,32.00000,32.32000,210850
2016-02-09,31.92000,32.44000,31.52000,31.80000,244450
2016-02-10,31.88000,32.12800,31.60000,31.72000,118050
2016-02-11,31.16000,31.32000,30.60000,31.16000,212775
2016-02-12,31.20000,32.08000,31.20000,31.52000,176200
2016-02-16,31.64000,32.20000,31.32000,32.20000,147175
2016-02-17,32.20000,32.76000,32.08000,32.44000,132300
2016-02-18,32.48000,32.80000,31.88000,32.32000,139925
2016-02-19,32.12000,32.32000,31.32800,31.88000,153275
2016-02-22,32.00000,32.40000,31.36000,31.68000,197575
2016-02-23,31.68000,32.20000,31.24000,31.24000,192300
2016-02-24,31.32000,32.16000,30.64000,32.16000,143675
2016-02-25,32.20000,32.52000,31.88000,32.28000,202675
2016-02-26,32.56000,33.04000,32.28000,33.00000,160175
2016-02-29,32.84000,33.80000,32.76000,33.80000,211150
2016-03-01,33.12000,33.96000,32.16000,33.60000,236050
2016-03-02,33.40000,33.44000,32.20000,33.20000,253975
2016-03-03,33.20000,33.92000,33.00000,33.84000,192975
2016-03-04,33.96000,34.56000,33.68000,34.16000,191325
2016-03-07,34.00000,35.04000,34.00000,34.92000,217950
2016-03-08,34.64000,35.00000,34.46000,34.68000,183475
2016-03-09,34.88000,34.99600,34.44000,34.68000,178775
2016-03-10,35.00000,36.40000,34.96000,36.24000,352950
2016-03-11,36.44000,36.80000,36.28000,36.52000,225625
2016-03-14,36.40000,37.32000,36.40000,37.20000,282050
2016-03-15,36.92000,37.00000,35.68000,36.44000,105575
2016-03-16,36.04000,37.04000,36.04000,36.96000,156700
2016-03-17,36.96000,37.40000,36.60000,37.20000,180225
2016-03-18,37.40000,37.68000,36.64000,37.20000,259475
2016-03-21,36.00000,37.04000,35.36000,36.84000,185550
2016-03-22,36.56000,36.80000,36.20000,36.64000,227975
2016-03-23,36.64000,37.16000,35.64000,36.04000,199125
2016-03-24,35.84000,36.24000,35.44000,35.72000,149150
2016-03-28,35.72000,36.32000,35.72000,36.08000,131975
2016-03-29,36.00000,37.08000,35.92000,37.04000,172825
2016-03-30,37.08000,37.56000,36.60000,36.60000,264050
2016-03-31,36.64000,37.32000,36.16000,36.68000,348375
2016-04-01,36.40000,36.84000,36.08000,36.72000,180825
2016-04-04,37.00000,37.08000,36.12000,36.20000,204375
2016-04-05,36.16000,36.36000,35.80000,35.96000,165025
2016-04-06,35.96000,36.36000,35.84000,36.08000,139200
2016-04-07,35.88000,36.12000,35.60000,35.88000,206400
2016-04-08,35.88000,36.28000,35.68000,36.00000,440325
2016-04-11,36.28000,36.30000,35.72000,35.72000,149275
2016-04-12,35.80000,36.52000,35.80000,36.36000,139850
2016-04-13,36.64000,37.00000,36.40000,36.72000,128950
2016-04-14,36.68000,37.56000,36.61600,37.24000,161500
2016-04-15,37.24000,37.44000,36.80000,37.04000,98250
2016-04-18,37.04000,37.20000,36.72000,36.84000,110400
2016-04-19,37.08000,37.56000,36.88000,37.52000,194725
2016-04-20,37.48000,37.76000,37.12000,37.44000,138050
2016-04-21,37.56000,37.64000,37.24000,37.48000,177425
2016-04-22,37.40000,37.60000,36.68000,37.32000,232875
2016-04-25,37.16000,37.44000,36.76000,37.40000,153050
2016-04-26,37.48000,37.56000,37.20000,37.40000,129400
2016-04-27,37.40000,38.00000,37.12000,37.68000,227525
2016-04-28,37.44000,37.60000,36.56000,36.88000,233725
2016-04-29,36.80000,37.28000,36.64000,37.24000,171500
2016-05-02,37.12000,37.50000,36.92000,36.92000,164800
2016-05-03,36.60000,36.80000,36.40000,36.72000,161725
2016-05-04,36.56000,36.96000,36.40000,36.76000,157400
2016-05-05,36.76000,36.80000,36.24000,36.36000,157500
2016-05-06,36.20000,36.56000,36.04000,36.44000,146925
2016-05-09,36.28000,36.52000,35.60400,36.24000,250400
2016-05-10,36.44000,36.76000,35.72000,36.52000,190475
2016-05-11,36.40000,36.88000,36.08400,36.72000,208275
2016-05-12,36.84000,37.00000,36.05200,36.48000,185175
2016-05-13,36.48000,36.72000,36.00000,36.20000,116350
2016-05-16,36.16000,36.28000,35.96000,36.04000,179050
2016-05-17,36.04000,36.08000,35.60000,35.88000,170350
2016-05-18,35.88000,35.96000,35.52000,35.88000,154700
2016-05-19,35.76000,35.80000,35.20000,35.64000,216725
2016-05-20,35.60000,36.28000,35.40000,35.52000,175250
2016-05-23,35.52000,35.72000,35.00000,35.16000,205825
2016-05-24,35.40000,35.60000,34.86000,35.12000,208725
2016-05-25,35.16000,35.72000,35.16000,35.52000,217375
2016-05-26,35.52000,35.80000,35.32000,35.32000,198525
2016-05-27,35.32000,35.80000,35.32000,35.68000,160425
2016-05-31,35.80000,35.80000,35.40000,35.40000,146950
2016-06-01,35.40000,35.72000,35.12000,35.68000,141125
2016-06-02,35.56000,35.80000,35.48000,35.76000,103775
2016-06-03,35.76000,36.12000,35.40000,36.00000,142700
2016-06-06,35.96000,36.12000,35.76000,35.84000,142075
2016-06-07,36.00000,36.16000,35.84000,36.16000,132450
2016-06-08,36.28000,36.40000,35.92000,36.00000,99400
2016-06-09,36.00000,36.12000,35.72000,35.92000,111875
2016-06-10,35.88000,36.12000,35.72000,36.08000,183225
2016-06-13,35.88000,36.20000,35.72000,36.08000,126425
2016-06-14,36.00000,36.12000,35.68000,35.76000,243250
2016-06-15,35.72000,36.04000,35.52000,35.56000,181900
2016-06-16,35.64000,35.64000,35.12000,35.52000,136325
2016-06-17,35.40000,35.88000,35.32000,35.88000,154225
2016-06-20,35.12000,35.72000,35.04000,35.40000,168225
2016-06-21,35.32000,35.76000,35.28000,35.60000,153300
2016-06-22,35.72000,35.92000,35.56000,35.60000,168450
2016-06-23,35.84000,35.96000,35.60000,35.72000,186150
2016-06-24,34.96000,35.68000,32.12000,35.48000,464975
2016-06-27,35.28000,35.28000,34.06000,34.44000,162850
2016-06-28,34.88000,35.64000,34.68000,35.48000,342200
2016-06-29,35.80000,36.50000,35.60000,36.28000,263175
2016-06-30,36.32000,36.56000,35.92000,36.20000,273325
2016-07-01,36.24000,36.48000,36.00000,36.36000,132200
2016-07-05,36.36000,36.40000,35.80000,36.00000,251525
2016-07-06,36.04000,36.80000,35.92000,36.72000,416650
2016-07-07,36.72000,36.72000,36.38000,36.64000,192150
2016-07-08,36.72000,36.72000,36.36000,36.56000,234600
2016-07-11,36.56000,37.08000,36.40000,37.04000,216600
2016-07-12,37.00000,37.28000,36.60000,37.08000,207125
2016-07-13,36.96000,37.08000,36.64000,36.72000,126525
2016-07-14,36.20000,36.66000,36.00000,36.44000,159500
2016-07-15,36.60000,36.88000,36.44000,36.80000,153100
2016-07-18,36.64000,37.08000,36.64000,36.88000,162775
2016-07-19,36.80000,37.04000,36.76000,36.96000,183750
2016-07-20,36.96000,37.24000,36.76000,37.24000,146025
2016-07-21,37.24000,37.36000,36.88000,37.16000,251875
2016-07-22,37.04000,37.36000,37.00000,37.16000,86500
2016-07-25,37.20000,37.56000,37.16000,37.48000,144025
2016-07-26,37.40000,37.74000,37.36000,37.64000,172525
2016-07-27,37.52000,37.76000,37.44000,37.72000,177525
2016-07-28,37.64000,37.92000,37.40000,37.60000,139600
2016-07-29,37.64000,38.00000,37.64000,38.00000,241750
2016-08-01,38.00000,38.00000,37.24000,37.44000,208450
2016-08-02,37.60000,37.68000,37.16000,37.56000,212550
2016-08-03,37.48000,37.92000,37.44000,37.88000,125150
2016-08-04,37.92000,38.00000,37.80000,38.00000,115000
2016-08-05,38.08000,38.20000,37.72000,37.88000,191875
2016-08-08,38.00000,38.28000,37.44000,37.76000,222725
2016-08-09,37.72000,37.92000,37.44000,37.72000,156750
2016-08-10,37.92000,38.36000,37.64000,37.72000,309625
2016-08-11,37.88000,37.92000,37.56000,37.60000,152500
2016-08-12,37.84000,38.00000,37.64000,37.92000,207700
2016-08-15,38.00000,38.20000,37.76000,38.20000,181075
2016-08-16,38.12000,38.44000,38.00000,38.20000,142075
2016-08-17,38.28000,38.36000,38.00000,38.32000,153975
2016-08-18,38.36000,38.68000,38.32000,38.56000,140175
2016-08-19,38.64000,38.88000,38.16000,38.76000,146850
2016-08-22,38.60000,38.80000,38.40000,38.68000,133950
2016-08-23,38.68000,38.84000,38.64000,38.84000,121575
2016-08-24,38.80000,38.92000,38.60000,38.64000,106425
2016-08-25,38.72000,38.84000,38.36000,38.48000,172150
2016-08-26,38.60000,38.96000,38.40000,38.88000,205325
2016-08-29,38.92000,39.36000,38.80000,39.36000,184325
2016-08-30,39.24000,39.84000,39.20000,39.68000,246500
2016-08-31,39.64000,39.64000,39.04000,39.48000,209500
2016-09-01,39.52000,39.56000,39.04000,39.52000,118025
2016-09-02,39.60000,39.84000,39.30000,39.76000,156700
2016-09-06,39.88000,39.92000,39.56000,39.68000,127300
2016-09-07,39.56000,39.60000,39.00000,39.44000,237550
2016-09-08,39.40000,39.40000,38.96000,38.96000,172175
2016-09-09,38.96000,38.96000,38.44000,38.48000,172900
2016-09-12,38.44000,38.76000,37.44000,38.24000,347525
2016-09-13,38.12000,38.40000,37.92000,38.00000,200000
2016-09-14,38.24000,38.30000,37.88000,37.92000,142500
2016-09-15,38.08000,38.48000,37.92000,38.40000,159200
2016-09-16,38.44000,38.44000,37.92000,38.16000,240575
2016-09-19,37.72000,37.96000,37.40000,37.40000,170900
2016-09-20,37.64000,37.96000,37.44800,37.56000,142850
2016-09-21,37.80000,37.92000,37.44000,37.64000,227225
2016-09-22,37.92000,37.96000,37.40000,37.64000,186275
2016-09-23,37.60000,38.04000,37.56000,38.00000,171725
2016-09-26,37.88000,37.96000,37.72000,37.80000,132550
2016-09-27,37.80000,37.80000,37.48000,37.76000,181550
2016-09-28,37.88000,37.92000,37.40000,37.84000,154425
2016-09-29,37.84000,38.36000,37.72000,38.04000,235325
