date,open,high,low,close,volume
2016-02-05,5.80608,5.80608,5.80267,5.80267,6445
2016-02-08,5.80267,5.80267,5.80267,5.80267,1465
2016-02-10,5.80267,5.80267,5.80267,5.80267,4687
2016-02-11,5.80267,5.80267,5.80267,5.80267,3809
2016-02-12,5.80267,5.80267,5.80267,5.80267,1465
2016-02-17,5.80267,5.80267,5.80267,5.80267,1465
2016-02-19,5.80267,5.80267,5.80267,5.80267,1465
2016-02-22,5.80267,5.80267,5.80267,5.80267,879
2016-02-23,5.80267,5.80267,5.80267,5.80267,1172
2016-02-24,5.80267,5.80267,5.80267,5.80267,1465
2016-02-29,5.80267,5.80267,5.80267,5.80267,2930
2016-03-01,5.80267,5.80267,5.80267,5.80267,879
2016-03-08,5.88800,5.88800,5.88800,5.88800,586
2016-03-10,5.80267,5.80267,5.80267,5.80267,1465
2016-03-11,5.87093,5.87093,5.87093,5.87093,2637
2016-03-15,5.81973,5.81973,5.81973,5.81973,1465
2016-03-17,5.81973,5.81973,5.81973,5.81973,1465
2016-03-18,5.81973,5.81973,5.81973,5.81973,586
2016-03-22,5.81973,5.81973,5.81973,5.81973,1465
2016-03-23,5.87093,5.87093,5.81973,5.81973,1172
2016-03-28,5.85387,5.85387,5.81973,5.81973,586
2016-03-29,5.85387,5.85387,5.85387,5.85387,293
2016-03-30,5.87093,5.87093,5.87093,5.87093,1172
2016-04-01,5.90507,5.93920,5.90507,5.93920,1465
2016-04-06,5.93920,6.04160,5.93920,6.04160,1465
2016-04-08,5.88800,5.88800,5.88800,5.88800,1758
2016-04-11,5.87093,5.87093,5.87093,5.87093,879
2016-04-12,5.88800,5.88800,5.88800,5.88800,10254
2016-04-13,6.04160,6.10987,5.97333,5.97333,4980
2016-04-18,6.14400,6.21227,6.14400,6.21227,1758
2016-04-19,6.09280,6.09280,6.09280,6.09280,293
2016-04-20,6.21227,6.21227,6.14400,6.14400,586
2016-04-21,6.28053,6.28053,6.28053,6.28053,293
2016-04-27,6.29760,6.29760,6.29760,6.29760,586
2016-04-28,6.15083,6.31467,6.15083,6.31467,2344
2016-04-29,6.15765,6.16107,6.15765,6.16107,1758
2016-05-02,6.16107,6.16107,6.15765,6.15765,2930
2016-05-05,6.15765,6.15765,6.15765,6.15765,1758
2016-05-09,6.15765,6.15765,6.15765,6.15765,586
2016-05-10,6.15765,6.15765,6.15765,6.15765,293
2016-05-11,6.21227,6.22933,6.21227,6.22933,1465
2016-05-13,6.22933,6.22933,6.22933,6.22933,586
2016-05-16,6.22933,6.22933,6.22933,6.22933,2344
2016-05-17,6.14400,6.14400,6.14400,6.14400,2051
2016-05-24,6.14400,6.14400,6.14400,6.14400,586
2016-05-27,6.14400,6.14400,6.11669,6.11669,2344
2016-06-01,6.13717,6.13717,6.13717,6.13717,586
2016-06-02,6.13717,6.13717,6.13717,6.13717,879
2016-06-06,6.13717,6.13717,6.13717,6.13717,586
2016-06-07,6.14400,6.14400,6.14400,6.14400,879
2016-06-10,6.14400,6.14400,6.14400,6.14400,1758
2016-06-13,6.14400,6.14400,6.14400,6.14400,879
2016-06-14,6.22933,6.31467,6.22933,6.31467,2637
2016-06-15,6.36587,6.53653,6.36587,6.53653,2930
2016-06-20,6.31467,6.31467,6.31467,6.31467,586
2016-06-21,6.48533,6.65600,6.48533,6.60480,2051
2016-06-23,6.65600,7.25333,6.50240,6.50240,4395
2016-06-24,6.65600,6.65600,6.65600,6.65600,586
2016-06-29,6.65600,6.65600,6.51947,6.51947,2637
2016-06-30,6.82667,6.82667,6.82667,6.82667,586
2016-07-01,8.42667,8.42667,7.46667,7.68000,6563
2016-07-07,7.04000,7.04000,7.04000,7.04000,1406
2016-07-08,7.68000,7.89333,7.68000,7.89333,1406
2016-07-12,7.46667,7.89333,7.46667,7.57333,1641
2016-07-13,7.61600,7.61600,7.50933,7.57333,1875
2016-07-14,7.68000,7.68000,7.46667,7.63733,2344
2016-07-15,7.63733,7.63733,7.63733,7.63733,1875
2016-07-19,7.63733,7.63733,7.63733,7.63733,16641
2016-07-20,7.46667,7.63733,7.46667,7.63733,10313
2016-07-21,7.46667,7.46667,7.46667,7.46667,71250
2016-07-22,7.68000,7.68000,7.68000,7.68000,703
2016-07-25,7.68000,7.68000,7.33867,7.33867,7266
2016-07-26,7.42400,7.42400,7.38133,7.38133,703
2016-07-27,7.33867,7.50933,7.33867,7.50933,1875
2016-07-28,7.33867,7.33867,7.33867,7.33867,3750
