date,open,high,low,close,volume
2023-10-03,89.30000,90.40000,87.60000,88.60000,66298
2023-10-04,88.50000,89.55000,87.10000,88.25000,136472
2023-10-05,89.00000,90.85000,86.95000,88.55000,115497
2023-10-06,89.80000,89.80000,88.55000,88.80000,75964
2023-10-09,88.00000,88.60000,84.85000,86.10000,90029
2023-10-10,86.20000,89.00000,86.20000,88.65000,101428
2023-10-11,88.90000,90.65000,88.20000,88.70000,110931
2023-10-12,89.05000,90.45000,88.60000,88.95000,65790
2023-10-13,88.50000,89.60000,87.10000,87.65000,58805
2023-10-16,87.70000,95.00000,87.50000,91.70000,315352
2023-10-17,93.70000,95.30000,91.70000,93.50000,139720
2023-10-18,95.00000,95.00000,90.05000,90.65000,150685
2023-10-19,91.00000,92.80000,89.05000,90.35000,71546
2023-10-20,90.35000,91.25000,87.80000,88.95000,93468
2023-10-23,89.35000,91.40000,85.50000,86.05000,92198
2023-10-25,87.80000,87.80000,82.55000,83.80000,93967
2023-10-26,83.60000,84.50000,78.75000,83.15000,186690
2023-10-27,83.05000,86.35000,83.05000,85.05000,80991
2023-10-30,85.00000,85.40000,82.65000,84.35000,48346
2023-10-31,85.00000,85.75000,84.05000,84.60000,32108
2023-11-01,84.00000,85.25000,83.50000,84.50000,27079
2023-11-02,85.60000,88.00000,84.55000,85.35000,48931
2023-11-03,88.00000,98.90000,86.45000,93.70000,1968693
2023-11-06,93.65000,94.00000,92.00000,92.80000,154965
2023-11-07,92.95000,93.45000,91.00000,91.65000,117610
2023-11-08,91.90000,99.00000,90.40000,97.55000,657295
2023-11-09,98.00000,98.50000,94.75000,95.25000,223726
2023-11-10,95.25000,96.80000,93.70000,95.10000,171556
2023-11-13,98.40000,98.45000,94.75000,97.25000,220859
2023-11-15,98.50000,99.70000,96.45000,98.05000,378098
2023-11-16,98.00000,98.40000,97.05000,97.75000,131893
2023-11-17,97.95000,104.90000,97.20000,99.75000,955669
2023-11-20,100.50000,100.55000,96.60000,97.65000,243861
2023-11-21,98.55000,99.75000,97.10000,98.45000,122506
2023-11-22,99.15000,99.20000,97.00000,97.15000,78159
2023-11-23,97.15000,101.00000,97.00000,97.65000,157980
2023-11-24,97.20000,99.50000,96.00000,96.95000,210080
2023-11-28,97.50000,98.30000,96.00000,96.70000,136729
2023-11-29,96.95000,98.10000,95.20000,95.60000,102198
2023-11-30,96.05000,98.90000,95.55000,96.35000,75250
2023-12-01,97.00000,98.10000,96.55000,97.35000,140055
2023-12-04,98.35000,99.90000,96.10000,96.75000,177596
2023-12-05,96.85000,98.70000,95.40000,97.30000,179775
2023-12-06,98.20000,98.20000,96.00000,96.40000,85679
2023-12-07,96.15000,97.90000,96.10000,96.80000,144099
2023-12-08,97.60000,98.25000,95.25000,96.05000,175945
2023-12-11,96.75000,97.25000,95.55000,96.70000,49575
2023-12-12,97.00000,97.80000,95.70000,97.20000,129737
2023-12-13,98.75000,112.50000,98.05000,110.75000,4024473
2023-12-14,113.50000,119.60000,110.00000,114.75000,1821161
2023-12-15,115.80000,116.35000,109.10000,110.30000,451906
2023-12-18,111.00000,114.60000,108.20000,113.15000,397544
2023-12-19,113.45000,116.70000,112.95000,115.15000,214647
2023-12-20,115.90000,128.45000,115.15000,123.80000,3329575
2023-12-21,123.50000,133.00000,117.40000,131.60001,2356801
2023-12-22,132.10001,144.00000,130.75000,141.45000,2915519
2023-12-26,144.60001,169.70000,142.50000,169.70000,2572425
2023-12-27,174.39999,186.64999,170.55000,186.64999,1369248
2023-12-28,194.00000,200.00000,171.05000,182.45000,3411169
2023-12-29,183.00000,187.80000,178.00000,179.80000,556651
2024-01-01,181.00000,186.89999,178.00000,178.75000,428884
2024-01-02,178.00000,182.50000,168.10001,180.00000,510210
2024-01-03,182.85001,184.75000,175.00000,179.25000,375651
2024-01-04,180.00000,197.14999,177.39999,192.75000,2386890
2024-01-05,194.70000,201.55000,182.00000,184.89999,975119
2024-01-08,188.30000,195.00000,188.00000,193.30000,736482
2024-01-09,194.00000,203.00000,192.30000,193.64999,435007
2024-01-10,195.00000,198.39999,185.75000,190.80000,476061
2024-01-11,197.00000,197.00000,187.25000,189.00000,373852
2024-01-12,190.39999,191.60001,184.00000,184.75000,315735
2024-01-15,184.50000,184.70000,175.35001,177.70000,485257
2024-01-16,178.75000,183.89999,175.00000,180.05000,361173
2024-01-17,183.05000,185.70000,174.75000,175.89999,431052
2024-01-18,176.25000,178.30000,170.00000,175.45000,187495
2024-01-19,180.00000,182.50000,177.20000,179.39999,210572
2024-01-23,187.10001,190.00000,175.00000,176.55000,337819
2024-01-24,178.39999,186.45000,174.10001,183.60001,333753
2024-01-25,184.50000,187.80000,179.25000,180.39999,220266
2024-01-29,186.95000,197.00000,185.10001,194.50000,832105
2024-01-30,196.35001,199.95000,187.89999,194.39999,500368
2024-01-31,194.50000,194.70000,188.00000,191.80000,243939
2024-02-01,193.50000,210.95000,193.50000,210.95000,1020246
2024-02-02,218.00000,232.00000,217.30000,226.80000,1150061
2024-02-05,232.10001,236.39999,215.50000,215.50000,635043
2024-02-06,215.50000,219.00000,204.75000,216.85001,508550
2024-02-07,221.50000,225.00000,212.00000,214.45000,116467
2024-02-08,219.00000,222.45000,209.60001,212.00000,128595
2024-02-09,206.10001,215.00000,202.00000,208.05000,105600
2024-02-12,212.70000,212.70000,197.64999,197.64999,200135
2024-02-13,188.10001,197.00000,187.80000,193.50000,198561
2024-02-14,184.50000,203.14999,184.50000,203.14999,109998
2024-02-15,211.95000,213.30000,205.05000,213.30000,213594
2024-02-16,223.95000,223.95000,218.00000,223.95000,253866
2024-02-19,235.10001,235.10001,225.50000,230.14999,254351
2024-02-20,233.95000,234.00000,225.35001,225.85001,102555
2024-02-21,226.00000,226.00000,221.00000,221.64999,80286
2024-02-22,221.25000,225.00000,220.00000,222.55000,60814
2024-02-23,221.10001,227.00000,219.00000,220.85001,83406
2024-02-26,216.14999,224.64999,216.14999,219.55000,53386
2024-02-27,222.95000,223.00000,208.60001,215.35001,57091
2024-02-28,216.00000,219.95000,208.25000,209.25000,54476
2024-02-29,205.05000,214.70000,205.00000,210.39999,50224
2024-03-01,212.95000,218.39999,210.39999,215.75000,35284
2024-03-04,216.10001,220.50000,211.25000,213.55000,42443
2024-03-05,216.00000,224.00000,213.00000,222.14999,86125
2024-03-06,220.70000,224.00000,211.05000,214.10001,84743
2024-03-07,212.20000,218.00000,212.00000,216.95000,16702
2024-03-11,215.05000,217.00000,207.00000,207.35001,56554
2024-03-12,207.35001,207.35001,197.00000,197.00000,176095
2024-03-13,188.60001,195.00000,187.14999,187.14999,188382
2024-03-14,178.10001,196.50000,177.80000,193.10001,134945
2024-03-15,193.10001,198.39999,187.95000,192.45000,19249
2024-03-18,189.10001,196.80000,183.60001,193.05000,28895
2024-03-19,194.10001,199.00000,190.10001,195.89999,17357
2024-03-20,195.85001,195.85001,189.00000,191.89999,14519
2024-03-21,192.00000,199.20000,190.25000,192.30000,22469
2024-03-22,193.00000,198.50000,193.00000,196.25000,22615
2024-03-26,196.25000,196.25000,189.60001,192.55000,44442
2024-03-27,192.55000,194.89999,188.89999,190.30000,51840
2024-03-28,190.30000,199.70000,190.00000,192.00000,43307
2024-04-01,190.05000,200.00000,190.05000,197.50000,32973
2024-04-02,201.50000,203.89999,199.00000,201.39999,84226
2024-04-03,199.00000,207.00000,199.00000,204.50000,24625
2024-04-04,208.30000,208.45000,200.00000,203.70000,25250
