date,open,high,low,close,volume
2025-03-21,13.05000,13.48000,12.88000,13.20000,626500
2025-03-24,13.27000,13.94000,13.27000,13.92000,503200
2025-03-25,13.93000,14.02000,13.61000,13.75000,353300
2025-03-26,13.67000,13.86500,13.40800,13.41000,344500
2025-03-27,13.35000,13.54000,13.23000,13.35000,339700
2025-03-28,13.28000,13.48500,12.58000,12.67000,391500
2025-03-31,12.38000,12.80500,12.18000,12.62000,332100
2025-04-01,12.59000,12.86000,12.34000,12.70000,628500
2025-04-02,12.64000,13.07000,12.64000,12.96000,237600
2025-04-03,12.13000,12.45000,11.97200,12.25000,298200
2025-04-04,11.80000,11.99000,11.16000,11.59000,511700
2025-04-07,10.95000,12.11500,10.82000,11.55000,467500
2025-04-08,12.05000,12.35500,11.37000,11.54000,310100
2025-04-09,11.39000,12.71000,11.37100,12.47000,697300
2025-04-10,12.21000,12.25000,11.64000,11.89000,262100
2025-04-11,11.85000,11.93000,11.44000,11.83000,285700
2025-04-14,12.33000,12.39200,11.70000,11.89000,241800
2025-04-15,11.86000,12.20100,11.86000,12.08000,237700
2025-04-16,11.86000,12.10000,11.66000,11.91000,245700
2025-04-17,11.97000,12.13000,11.76000,11.97000,227300
2025-04-21,11.81000,11.87500,11.52000,11.65000,127100
2025-04-22,11.75000,12.19000,11.72000,12.03000,300500
2025-04-23,12.43000,12.61000,12.14000,12.22000,254600
2025-04-24,12.16000,12.61000,12.10000,12.55000,371100
2025-04-25,12.52000,12.79000,12.40000,12.78000,213600
2025-04-28,12.78000,12.97000,12.46500,12.79000,184800
2025-04-29,12.78000,12.96500,12.64000,12.88000,174700
2025-04-30,12.62000,12.91000,12.44500,12.87000,275800
2025-05-01,12.95000,12.97500,12.73500,12.86000,244000
2025-05-02,12.95000,13.36000,12.90000,13.17000,289700
2025-05-05,13.04000,13.32700,13.04000,13.22000,171500
2025-05-06,13.05000,13.30500,12.90500,13.24000,224100
2025-05-07,13.30000,13.50000,12.98100,13.36000,301600
2025-05-08,13.59000,13.75000,13.20000,13.51000,240700
2025-05-09,13.68000,13.82500,13.52000,13.67000,150000
2025-05-12,14.21000,14.34000,13.79000,14.21000,332800
2025-05-13,14.33000,14.65300,14.30000,14.58000,249100
2025-05-14,14.56000,14.82000,14.45000,14.72000,435600
2025-05-15,14.95000,14.95000,12.37000,12.52000,1684300
2025-05-16,12.61000,12.70500,12.01000,12.43000,844300
2025-05-19,12.28000,12.50000,11.90000,12.35000,523700
2025-05-20,12.36000,13.05000,12.23000,12.48000,986900
2025-05-21,12.46000,12.46000,12.06000,12.09000,415200
2025-05-22,12.05000,12.39000,11.70000,12.20000,607900
2025-05-23,11.99000,12.13000,11.85000,11.92000,249700
2025-05-27,12.07000,12.29000,11.89000,12.12000,372100
2025-05-28,12.13000,12.16500,11.94000,12.09000,243700
2025-05-29,12.22000,12.22000,11.89000,11.92000,205700
2025-05-30,11.83000,11.97900,11.68000,11.79000,617900
2025-06-02,11.81000,11.87000,11.51900,11.66000,311700
2025-06-03,11.68000,11.90000,11.53000,11.58000,1012400
2025-06-04,11.54000,11.90000,11.33000,11.89000,1114700
2025-06-05,11.88000,11.92000,11.49000,11.53000,627600
2025-06-06,11.73000,12.04000,11.55000,11.99000,425500
2025-06-09,12.05000,12.08500,11.80000,12.05000,310900
2025-06-10,12.10000,12.39000,12.03000,12.24000,325300
2025-06-11,12.30000,12.41000,12.16000,12.40000,296800
2025-06-12,12.45000,12.74000,12.10000,12.11000,416300
2025-06-13,11.86000,12.00000,11.71000,11.76000,270000
2025-06-16,11.79000,12.12000,11.79000,11.96000,371700
2025-06-17,11.84000,12.02000,11.81000,11.85000,246700
2025-06-18,11.81000,11.85000,11.52500,11.66000,725600
2025-06-20,11.84000,11.94000,11.59000,11.64000,335100
2025-06-23,11.56000,11.93000,11.42000,11.76000,357900
2025-06-24,11.88000,12.08000,11.81000,11.96000,258800
2025-06-25,12.08000,12.08000,11.71500,11.73000,347900
2025-06-26,11.70000,11.81900,11.63000,11.69000,456100
2025-06-27,11.73000,12.21000,11.71000,12.02000,655800
2025-06-30,12.02000,12.19000,11.87000,11.89000,463700
2025-07-01,11.85000,12.11000,11.78000,11.96000,226000
2025-07-02,11.99000,12.07000,11.77000,11.96000,403900
2025-07-03,11.85000,12.17000,11.85000,12.12000,145400
2025-07-07,12.05000,12.06300,11.80500,11.84000,249200
2025-07-08,11.90000,12.09000,11.83000,12.04000,264300
2025-07-09,12.07000,12.18000,12.04000,12.16000,199100
2025-07-10,12.16000,12.16000,11.98000,12.05000,191200
2025-07-11,12.08000,12.08000,11.52000,11.53000,324700
2025-07-14,11.50000,11.71900,11.43000,11.69000,212400
2025-07-15,11.79000,12.01000,11.53500,11.54000,458200
2025-07-16,11.91000,12.08000,11.27000,11.30000,593200
2025-07-17,11.35000,11.65000,11.31500,11.48000,297200
2025-07-18,11.50000,11.50000,11.05000,11.09000,376600
2025-07-21,11.22000,11.35000,11.00000,11.02000,383800
2025-07-22,11.03000,11.12000,10.94000,10.98000,309700
2025-07-23,11.13000,11.34000,11.01000,11.16000,466800
2025-07-24,11.16000,11.16000,10.75500,10.78000,389400
2025-07-25,10.97000,10.97000,10.61500,10.90000,273400
2025-07-28,11.05000,11.23600,10.94500,10.96000,233200
2025-07-29,11.00000,11.09600,10.47500,10.53000,491500
2025-07-30,10.57000,10.75000,10.50500,10.61000,233800
2025-07-31,10.67000,10.81700,10.47500,10.57000,421600
2025-08-01,10.36100,10.48000,10.08000,10.17000,415000
2025-08-04,10.26000,10.40600,10.18000,10.26000,221900
2025-08-05,10.30000,10.32900,10.03000,10.13000,445900
2025-08-06,10.17000,10.30000,10.12000,10.16000,396100
2025-08-07,10.24000,10.34400,9.82500,9.92000,482000
2025-08-08,10.03000,10.10000,9.87000,9.95000,471400
2025-08-11,10.18000,10.49000,9.99000,10.00000,546000
2025-08-12,10.22000,10.64000,10.18000,10.62000,745800
2025-08-13,10.73000,10.82000,10.39500,10.81000,639600
2025-08-14,10.80000,10.81000,10.20000,10.38000,2018100
2025-08-15,8.78500,9.18000,8.50000,8.61000,4456600
2025-08-18,8.71500,8.94000,8.55000,8.84000,1317700
2025-08-19,8.87000,8.87000,8.57000,8.64000,1066800
2025-08-20,8.64000,8.72000,8.44000,8.45000,974700
2025-08-21,8.40000,8.52000,8.27000,8.30000,902300
2025-08-22,8.30000,8.59000,8.30000,8.55000,738000
