date,open,high,low,close,volume
2025-03-26,10.03000,10.33000,9.90200,10.10000,12600
2025-03-27,10.10000,10.30000,9.90000,10.02000,6800
2025-03-28,10.26000,10.48000,10.00500,10.40000,25300
2025-03-31,10.47000,10.48500,10.19000,10.19000,15600
2025-04-01,10.15000,10.36000,10.15000,10.20000,13100
2025-04-02,10.14000,10.17500,10.01000,10.05000,10200
2025-04-03,9.95000,10.11900,9.92000,9.92000,17100
2025-04-04,9.90000,9.90000,9.25000,9.28000,48200
2025-04-07,9.25000,9.44000,9.00200,9.20000,38700
2025-04-08,9.29000,9.63900,8.97000,9.21000,34600
2025-04-09,9.05000,9.76000,8.87000,9.55000,45800
2025-04-10,9.58000,9.70000,9.22400,9.50000,19200
2025-04-11,9.50000,9.80000,9.22000,9.48500,16400
2025-04-14,9.34000,9.89000,9.26300,9.87000,70900
2025-04-15,9.88000,10.26000,9.88000,9.95000,57100
2025-04-16,10.05000,10.26000,9.81100,10.09000,17500
2025-04-17,10.21000,10.26000,9.85000,10.24000,19300
2025-04-21,10.23000,10.26300,9.96000,10.20000,8900
2025-04-22,10.14000,10.26000,10.00000,10.01000,9700
2025-04-23,10.01000,10.18600,9.95000,9.95000,11800
2025-04-24,9.96000,10.15000,9.80000,10.06000,16000
2025-04-25,10.15000,10.15000,9.90700,10.14000,10300
2025-04-28,10.01000,10.28000,10.01000,10.15500,16100
2025-04-29,10.11000,10.16500,9.95000,10.13000,14900
2025-04-30,10.06000,10.14900,10.03000,10.13000,10200
2025-05-01,10.04000,10.09100,9.96000,9.96000,16700
2025-05-02,10.10000,10.25000,10.05800,10.09200,17800
2025-05-05,10.10000,10.16300,10.00000,10.01000,10500
2025-05-06,10.05000,10.58000,10.03000,10.58000,41200
2025-05-07,10.63000,10.89500,10.56000,10.82500,73800
2025-05-08,10.94000,10.94500,10.47000,10.83000,9500
2025-05-09,10.90000,10.95000,10.72000,10.85000,33900
2025-05-12,10.90000,10.92000,10.58800,10.61000,24200
2025-05-13,10.69500,10.70500,10.50000,10.56000,10800
2025-05-14,10.58000,10.67000,10.50000,10.53000,19000
2025-05-15,10.54000,10.55400,10.40000,10.53000,12700
2025-05-16,10.52000,10.65000,10.42900,10.56000,29000
2025-05-19,10.56000,10.60000,10.47000,10.60000,16500
2025-05-20,10.52000,10.66000,10.51000,10.66000,29300
2025-05-21,10.57500,10.67000,10.51000,10.66000,19900
2025-05-22,10.61000,10.66000,10.59500,10.66000,12900
2025-05-23,10.53000,10.65000,10.47000,10.64000,8000
