date,open,high,low,close,volume
2023-10-03,210.70000,217.20000,203.55000,206.14999,296965
2023-10-04,206.14999,214.00000,204.35001,206.85001,114982
2023-10-05,207.50000,210.60001,202.50000,204.10001,55235
2023-10-06,208.00000,210.50000,204.55000,207.20000,50877
2023-10-09,207.10001,207.10001,190.80000,194.25000,54937
2023-10-10,195.00000,204.39999,191.25000,193.25000,87289
2023-10-11,193.80000,196.50000,192.00000,193.70000,33750
2023-10-12,194.00000,202.95000,193.85001,199.70000,44228
2023-10-13,202.00000,204.45000,197.10001,199.14999,25895
2023-10-16,200.50000,207.00000,197.55000,202.14999,66988
2023-10-17,203.89999,205.70000,198.00000,202.95000,45610
2023-10-18,204.39999,204.39999,199.50000,202.10001,19945
2023-10-19,200.95000,209.00000,200.05000,206.30000,47483
2023-10-20,206.70000,210.45000,201.00000,202.64999,61656
2023-10-23,204.00000,205.00000,189.10001,189.55000,45598
2023-10-25,190.00000,195.80000,186.50000,191.39999,31692
2023-10-26,193.75000,193.80000,179.35001,184.95000,32056
2023-10-27,186.45000,199.30000,186.45000,198.05000,21879
2023-10-30,196.00000,200.89999,191.55000,198.10001,54763
2023-10-31,196.55000,202.45000,195.20000,198.85001,32355
2023-11-01,196.39999,208.50000,196.30000,200.95000,79005
2023-11-02,201.10001,206.10001,197.10001,199.45000,22333
2023-11-03,200.50000,202.50000,188.10001,192.05000,34880
2023-11-06,193.00000,199.39999,184.00000,188.95000,39670
2023-11-07,194.50000,201.00000,192.00000,195.80000,63059
2023-11-08,198.05000,199.60001,193.10001,195.10001,13253
2023-11-09,197.89999,232.00000,195.60001,222.60001,1601759
2023-11-10,218.00000,228.00000,211.20000,214.05000,459847
2023-11-13,216.00000,221.00000,211.20000,213.30000,88988
2023-11-15,215.10001,221.70000,213.05000,217.10001,113344
2023-11-16,219.00000,221.00000,215.05000,217.35001,31503
2023-11-17,219.10001,219.89999,204.60001,207.00000,61625
2023-11-20,209.30000,216.20000,207.05000,208.85001,36757
2023-11-21,209.55000,214.00000,207.00000,208.45000,36794
2023-11-22,209.30000,217.70000,204.30000,212.64999,68720
2023-11-23,218.50000,218.50000,207.05000,208.80000,23716
2023-11-24,210.00000,211.80000,202.35001,205.20000,26706
2023-11-28,208.30000,210.00000,203.89999,207.10001,23884
2023-11-29,208.00000,212.30000,205.39999,210.05000,22136
2023-11-30,211.64999,211.64999,207.05000,207.55000,11388
2023-12-01,211.00000,211.70000,206.20000,208.10001,21338
2023-12-04,208.05000,210.00000,204.60001,205.39999,13499
2023-12-05,207.35001,207.35001,200.10001,201.10001,15666
2023-12-06,203.05000,216.70000,196.64999,213.80000,49251
2023-12-07,214.00000,220.95000,211.55000,213.10001,60985
2023-12-08,212.25000,216.00000,205.00000,211.64999,37273
2023-12-11,213.00000,214.80000,210.00000,212.45000,23607
2023-12-12,213.55000,219.85001,213.45000,216.14999,63941
2023-12-13,216.50000,228.20000,216.05000,223.60001,116689
2023-12-14,226.00000,226.70000,222.35001,223.70000,30803
2023-12-15,227.45000,227.45000,221.00000,224.25000,41496
2023-12-18,228.75000,236.00000,223.10001,227.20000,133954
2023-12-19,227.89999,232.80000,225.10001,230.39999,47273
2023-12-20,232.00000,232.00000,213.55000,214.85001,54654
2023-12-21,217.89999,218.00000,212.80000,217.14999,21607
2023-12-22,218.00000,228.00000,215.05000,225.80000,35628
2023-12-26,229.14999,242.89999,225.80000,233.25000,79435
2023-12-27,236.89999,237.45000,230.30000,234.25000,45752
2023-12-28,237.75000,238.70000,226.14999,229.50000,27808
2023-12-29,227.60001,235.00000,227.10001,228.70000,12459
2024-01-01,230.75000,234.14999,225.25000,227.25000,13732
2024-01-02,227.55000,232.45000,224.00000,228.50000,37211
2024-01-03,229.30000,231.95000,225.14999,229.89999,13698
2024-01-04,232.50000,236.80000,230.00000,232.89999,30236
2024-01-05,232.45000,235.45000,229.10001,230.95000,18576
2024-01-08,227.50000,237.25000,227.50000,232.35001,25169
2024-01-09,227.70000,236.00000,227.70000,235.05000,17929
2024-01-10,236.95000,238.00000,230.20000,235.55000,15690
2024-01-11,237.10001,247.05000,234.10001,242.70000,119977
2024-01-12,249.25000,251.89999,243.05000,244.39999,30807
2024-01-15,251.00000,266.00000,249.95000,259.39999,122150
2024-01-16,261.20001,268.39999,251.00000,252.10001,77299
2024-01-17,253.45000,259.89999,246.64999,257.04999,31036
2024-01-18,254.00000,257.39999,245.25000,253.30000,20701
2024-01-19,257.10001,258.95001,250.00000,253.55000,34118
2024-01-23,263.00000,266.00000,251.00000,251.85001,18566
2024-01-24,251.05000,256.45001,248.70000,251.10001,15244
2024-01-25,250.00000,269.00000,250.00000,257.50000,78613
2024-01-29,263.00000,283.89999,257.60001,278.64999,241394
2024-01-30,275.00000,282.95001,267.04999,277.70001,85888
2024-01-31,281.70001,286.50000,275.64999,279.00000,46142
2024-02-01,279.79999,282.60001,273.29999,276.50000,39798
2024-02-02,281.45001,281.89999,271.10001,273.29999,18867
2024-02-05,276.00000,281.20001,266.50000,269.54999,18900
2024-02-06,273.04999,273.79999,266.00000,268.64999,12958
2024-02-07,268.10001,272.95001,263.04999,267.39999,10914
2024-02-08,317.00000,320.85001,282.39999,320.85001,338119
2024-02-09,344.00000,349.00000,299.00000,301.64999,423552
2024-02-12,305.79999,306.14999,277.00000,282.14999,53881
2024-02-13,280.00000,304.39999,274.54999,291.60001,101287
2024-02-14,286.89999,293.50000,281.10001,284.79999,46876
