date,open,high,low,close,volume
2025-03-26,22.88000,23.17000,22.73000,23.05000,81900
2025-03-27,23.16000,23.29000,22.88000,23.25000,73500
2025-03-28,23.20000,23.20000,22.31000,22.53000,78000
2025-03-31,22.47000,22.64000,22.22000,22.40000,118700
2025-04-01,22.45000,22.69000,22.12000,22.52000,78300
2025-04-02,22.23000,22.92000,22.23000,22.87000,76300
2025-04-03,21.94000,22.23000,21.51000,21.80000,156000
2025-04-04,21.10000,21.96000,21.04000,21.85000,144000
2025-04-07,21.41000,22.16000,20.81000,21.40000,278000
2025-04-08,21.97000,21.97000,20.81000,21.07000,144100
2025-04-09,20.84000,22.76000,20.79000,22.33000,124300
2025-04-10,21.98000,22.82000,21.34000,21.87000,268700
2025-04-11,21.96000,22.39000,21.55000,22.38000,76700
2025-04-14,22.55000,22.69000,22.05000,22.60000,81000
2025-04-15,22.47000,22.77000,22.27000,22.35000,155000
2025-04-16,22.28000,22.44000,21.91000,22.00000,318100
2025-04-17,21.90000,22.03000,21.34000,21.46000,215800
2025-04-21,21.37000,21.42000,20.98000,21.26000,138900
2025-04-22,21.52000,21.78000,21.01000,21.76000,125900
2025-04-23,22.20000,22.42000,21.57000,21.58000,70700
2025-04-24,21.60000,22.24000,21.60000,22.09000,72300
2025-04-25,21.85000,22.12000,21.61000,22.12000,76500
2025-04-28,22.10000,22.15000,21.86000,22.04000,69500
2025-04-29,22.03000,22.39000,21.95000,22.19000,134200
2025-04-30,25.43000,26.05000,24.71000,25.68000,303200
2025-05-01,25.46000,25.89000,24.72000,25.61000,128900
2025-05-02,25.79000,26.16000,25.44000,25.91000,140900
2025-05-05,25.67000,26.03000,25.53000,25.60000,70600
2025-05-06,25.34000,25.73000,25.18000,25.38000,79600
2025-05-07,25.55000,25.80000,25.34000,25.61000,85200
2025-05-08,25.66000,26.23000,25.63000,25.97000,70900
2025-05-09,26.03000,26.03000,25.78000,25.81000,65900
2025-05-12,26.39000,26.94000,26.05000,26.67000,107000
