date,open,high,low,close,volume
2023-09-27,3.98000,4.04000,3.85000,3.91000,3200
2023-09-28,3.88000,4.01000,3.88000,3.93000,3400
2023-09-29,4.01000,4.03000,3.81000,3.85500,4800
2023-10-02,3.95000,4.03000,3.91000,3.95200,11300
2023-10-03,3.87000,3.95000,3.81000,3.95000,13200
2023-10-04,3.93000,4.03000,3.85000,4.00000,8700
2023-10-05,3.86000,3.92500,3.86000,3.91000,3200
2023-10-06,3.97000,3.98900,3.91000,3.91000,2900
2023-10-09,3.91000,4.01900,3.91000,3.98000,5000
2023-10-10,3.97000,4.02000,3.88500,3.91900,11100
2023-10-11,3.96900,4.02900,3.86000,3.94000,11000
2023-10-12,3.93000,4.02000,3.86000,3.97000,5800
2023-10-13,4.00000,4.00000,3.85100,3.93100,5300
2023-10-16,3.93000,3.93000,3.87000,3.87000,4500
2023-10-17,3.86000,3.92500,3.86000,3.91000,2500
2023-10-18,4.00000,4.00000,3.90000,3.92300,4100
2023-10-19,3.95000,3.99000,3.91000,3.91000,6400
2023-10-20,3.89000,3.94500,3.86400,3.91000,2500
2023-10-23,3.85100,3.92000,3.85100,3.90100,2100
2023-10-24,3.83000,3.83000,3.67000,3.71500,11100
2023-10-25,3.76000,3.80300,3.71200,3.80300,2000
2023-10-26,3.84000,3.91000,3.81000,3.82000,5800
2023-10-27,3.82000,3.92000,3.82000,3.86500,2700
2023-10-30,4.03000,4.03000,3.85000,3.93000,10600
2023-10-31,4.12000,4.12000,3.82000,3.82000,5900
2023-11-01,3.81000,3.89000,3.81000,3.86000,3200
2023-11-02,3.90000,3.95800,3.83000,3.88000,8400
2023-11-03,3.88000,3.99500,3.88000,3.99000,8000
2023-11-06,4.04000,4.11000,3.98000,4.05600,8100
2023-11-07,4.05000,4.05000,3.95000,3.97600,5000
2023-11-08,3.86000,3.95500,3.86000,3.95500,6400
2023-11-09,4.00000,4.01100,3.93000,3.93000,5100
2023-11-10,3.98000,4.10000,3.97000,4.06000,17600
2023-11-13,4.00000,4.15000,3.97000,4.07500,22200
2023-11-14,4.04000,4.11000,3.94000,4.05000,19900
2023-11-15,4.19000,4.19000,4.00000,4.01000,6800
2023-11-16,4.05000,4.08000,4.00000,4.00000,31100
2023-11-17,3.99000,4.09400,3.99000,4.02700,7800
2023-11-20,4.13000,4.15000,4.00000,4.01000,8200
2023-11-21,4.07000,4.07000,3.93000,3.97000,7900
2023-11-22,3.95000,3.95000,3.80000,3.89000,10000
2023-11-24,3.88000,4.00000,3.88000,4.00000,1000
2023-11-27,3.98000,4.00000,3.91000,3.96000,11200
2023-11-28,3.96000,4.00000,3.88000,3.93000,8800
2023-11-29,3.97900,4.00000,3.91000,4.00000,31200
2023-11-30,4.03000,4.03000,3.97000,3.97000,1700
2023-12-01,4.00000,4.05000,3.99000,4.01000,9500
2023-12-04,4.06000,4.06000,4.01000,4.03500,6400
2023-12-05,4.02000,4.03000,4.01000,4.02000,5000
2023-12-06,4.09000,4.09000,3.99500,3.99500,13700
2023-12-07,4.01000,4.01000,3.98400,3.99000,9000
2023-12-08,4.00000,4.00000,3.98000,4.00000,12000
2023-12-11,4.07000,4.07000,3.98000,4.00000,8600
2023-12-12,4.00000,4.03000,3.94000,3.94000,4200
2023-12-13,3.97000,4.05000,3.94000,4.02000,15900
2023-12-14,4.04000,4.07000,3.95500,4.06800,14900
2023-12-15,4.07000,4.07000,3.93500,4.05000,53400
2023-12-18,4.00000,4.00000,3.93500,3.95000,6900
2023-12-19,3.98000,3.98000,3.94000,3.96500,13000
2023-12-20,3.96000,3.98000,3.95000,3.96000,24600
2023-12-21,3.93000,3.96400,3.87000,3.88900,11100
2023-12-22,3.94000,3.98000,3.92000,3.95000,4900
2023-12-26,3.85000,3.98000,3.85000,3.93000,22900
2023-12-27,4.00000,4.04000,3.91000,3.99100,8700
