date,open,high,low,close,volume
2025-03-26,106.89000,107.12000,102.65000,103.13000,480000
2025-03-27,103.20000,105.07000,102.20000,103.62000,426400
2025-03-28,102.58000,102.75600,99.15000,102.00000,676500
2025-03-31,100.47000,100.47000,95.99000,98.42000,956900
2025-04-01,98.06000,98.39000,94.25000,97.09000,908000
2025-04-02,95.08000,100.56500,94.15000,100.04000,810100
2025-04-03,92.82000,95.38000,86.72000,87.00000,2049800
2025-04-04,83.09000,85.47000,77.91000,83.65000,1715800
2025-04-07,79.48000,89.93000,78.78000,86.07000,1996200
2025-04-08,90.33000,91.76500,80.46000,82.27000,1309700
2025-04-09,81.40000,94.46000,80.50000,93.55000,1689300
2025-04-10,91.15000,91.41500,87.66000,89.66000,858000
2025-04-11,89.66000,91.25400,86.31500,90.07000,533100
2025-04-14,92.06000,93.23000,90.15000,92.91000,712700
2025-04-15,93.03000,94.55000,92.67000,94.52000,595700
2025-04-16,92.85000,92.98000,86.15500,88.80000,1692100
2025-04-17,89.25000,91.43000,88.03000,90.26000,662600
2025-04-21,88.94000,89.85900,87.16500,88.30000,772000
2025-04-22,89.81000,90.50200,88.14000,89.73000,512100
2025-04-23,93.82000,98.86000,91.86000,92.61000,904500
2025-04-24,93.79000,95.43000,93.00000,95.43000,693800
2025-04-25,94.93000,96.71000,93.20000,96.68000,545200
2025-04-28,96.54000,97.38000,92.79000,93.81000,961800
2025-04-29,94.05000,94.72000,92.82000,93.83000,915200
2025-04-30,91.70000,94.50000,90.31000,94.25000,1382500
2025-05-01,84.42000,85.43000,77.10200,83.54000,4556200
2025-05-02,84.59000,89.62000,84.38100,87.61000,2188300
2025-05-05,85.66000,87.67000,84.74000,86.86000,1135600
2025-05-06,85.13000,87.56000,84.26100,87.20000,760800
2025-05-07,87.71000,89.47000,86.40000,88.24000,962400
2025-05-08,89.71000,92.27000,88.22500,90.54000,771400
2025-05-09,90.75000,91.83000,89.55000,89.96000,512000
2025-05-12,93.45000,96.21000,93.42000,94.64000,735300
2025-05-13,94.84000,95.78500,92.12000,92.36000,901900
2025-05-14,91.87000,93.70000,91.12000,91.57000,692100
2025-05-15,90.27000,92.62000,89.00000,91.62000,505800
2025-05-16,92.60000,95.54500,91.53000,95.47000,773100
2025-05-19,93.22000,95.88000,92.64000,95.85000,782400
2025-05-20,95.11000,98.00500,94.42000,97.49000,754200
2025-05-21,96.41000,97.70200,94.53500,94.82000,1079500
2025-05-22,93.86000,97.49000,93.52000,97.19000,864300
2025-05-23,94.78000,96.80000,94.64000,96.02000,829100
2025-05-27,98.14000,101.57000,96.57000,96.97000,1111100
2025-05-28,97.34000,97.34000,94.67000,94.96000,591500
2025-05-29,96.16000,97.03500,94.00500,94.87000,1197100
2025-05-30,93.79000,95.14000,91.97000,94.29000,1146100
2025-06-02,94.02000,95.20000,91.37000,94.79000,598300
2025-06-03,95.12000,96.91000,93.87500,94.49000,740400
2025-06-04,93.88000,94.99000,90.92000,90.96000,907300
2025-06-05,91.01000,93.81000,90.90000,92.69000,811300
2025-06-06,94.34000,95.00000,92.92000,92.99000,653300
2025-06-09,94.06000,94.88000,92.32000,94.64000,683600
2025-06-10,94.67000,96.39000,94.17500,95.64000,778400
2025-06-11,96.11000,102.56300,96.10000,99.15000,1778600
2025-06-12,98.00000,98.84000,96.01000,97.60000,847300
2025-06-13,96.21000,99.70000,96.01000,97.60000,797600
2025-06-16,98.32000,101.88000,98.32000,100.14000,1250300
2025-06-17,98.79000,101.74000,97.54000,99.81000,813200
2025-06-18,99.80000,102.82000,98.18000,102.34000,1056100
2025-06-20,103.12000,103.12000,99.76000,100.15000,1880500
2025-06-23,97.97000,99.76000,96.04000,96.80000,684700
2025-06-24,97.82000,100.31000,96.85500,100.20000,549800
2025-06-25,100.98000,101.31500,98.79000,99.31000,404100
2025-06-26,99.93000,101.29000,98.91000,101.06000,453400
2025-06-27,101.10000,103.64000,100.46000,101.42000,1956500
2025-06-30,102.47000,104.58000,101.99000,103.29000,984100
2025-07-01,102.28000,103.06000,100.92000,102.52000,512300
2025-07-02,103.22000,106.52000,101.96000,103.63000,875300
2025-07-03,103.98000,104.39000,102.20000,103.50000,289900
2025-07-07,103.76000,106.47000,101.39000,101.46000,962900
2025-07-08,102.36000,104.06000,101.46000,102.43000,816800
2025-07-09,102.54000,105.52000,101.30000,104.72000,678500
2025-07-10,104.00000,106.82000,103.39000,106.55000,441400
2025-07-11,104.98000,105.48500,103.08000,103.81000,660500
2025-07-14,103.61000,105.41000,103.50000,104.19000,662700
2025-07-15,103.14000,104.72000,98.06500,98.26000,1125000
2025-07-16,99.16000,100.19000,97.50000,98.50000,1130600
2025-07-17,99.22000,100.33000,98.64000,99.00000,872100
2025-07-18,100.10000,100.32000,97.69000,97.70000,599100
2025-07-21,97.47000,98.63500,96.69000,96.73000,618800
2025-07-22,96.74000,97.41500,95.34000,96.36000,1116200
2025-07-23,97.75000,98.21000,95.93000,96.00000,1115100
2025-07-24,96.17000,96.18500,92.42000,94.38000,1117000
2025-07-25,94.72000,94.91000,93.28000,94.30000,851500
2025-07-28,95.25000,95.47500,94.05000,94.92000,894800
2025-07-29,95.43000,95.43000,93.57000,93.76000,1149400
2025-07-30,95.25000,97.76000,94.02000,94.05000,2445000
2025-07-31,93.50000,94.81000,83.47000,86.09000,4830000
2025-08-01,84.41000,86.44000,82.88000,86.16000,1508200
2025-08-04,86.43000,87.89500,85.43000,87.50000,794000
2025-08-05,87.13000,89.37500,84.58000,88.06000,1764500
2025-08-06,88.91000,90.00500,87.37100,88.49000,1141600
2025-08-07,89.04000,90.30000,85.98000,88.00000,1142000
2025-08-08,88.33000,88.91000,84.60000,84.65000,812000
2025-08-11,84.62000,87.09000,84.37000,87.02000,884100
2025-08-12,87.83000,89.50500,85.92800,89.34000,1015900
2025-08-13,90.03000,92.69500,90.01000,91.79000,984700
2025-08-14,91.22000,91.36500,88.94000,91.08000,666500
2025-08-15,91.35000,92.22000,89.13000,89.86000,907200
2025-08-18,90.03000,91.36000,89.39000,89.52000,579600
2025-08-19,89.50000,91.03000,88.21000,91.03000,842100
2025-08-20,90.89000,91.34500,89.24000,90.94000,666900
2025-08-21,89.87000,90.39000,88.84500,89.79000,400200
2025-08-22,90.79000,94.71000,89.48000,94.15000,688100
2025-08-25,94.05000,94.17500,91.53000,91.55000,571200
2025-08-26,91.43000,94.05000,91.43000,93.79000,584400
2025-08-27,93.77000,96.40000,93.77000,95.12000,421900
2025-08-28,95.30000,96.67000,94.72400,96.56000,549200
2025-08-29,96.09000,97.00000,94.99000,95.82000,488500
2025-09-02,94.48000,95.57000,93.16000,93.95000,467100
2025-09-03,93.87000,94.76000,93.05000,94.47000,678600
2025-09-04,93.91000,94.13500,89.83000,90.14000,1169200
2025-09-05,93.00000,95.32000,92.01000,93.94000,758700
2025-09-08,94.14000,94.32000,91.73000,91.88000,662700
2025-09-09,91.36000,91.88000,90.17000,90.91000,646900
2025-09-10,90.37000,90.95000,86.81000,87.52000,867000
2025-09-11,87.54000,89.33000,87.14000,87.47000,786200
2025-09-12,87.20000,87.37000,82.53000,82.76000,883600
2025-09-15,83.17000,83.93000,80.52000,80.64000,1212500
2025-09-16,81.03000,83.26000,80.85300,82.35000,903400
2025-09-17,82.49000,83.62000,80.53000,82.10000,1119400
2025-09-18,83.15000,86.18000,81.80000,85.84000,947500
2025-09-19,86.40000,86.94000,81.16000,83.47000,1721400
2025-09-22,81.86000,85.10500,81.46400,84.62000,594100
2025-09-23,84.79000,85.58000,84.06000,84.69000,765200
2025-09-24,84.69000,85.16000,82.71000,82.79000,497500
2025-09-25,82.28000,82.51000,80.89000,81.47000,542300
2025-09-26,81.43000,82.14000,79.35000,79.92000,1184500
2025-09-29,80.56000,81.61000,79.02000,81.28000,575000
2025-09-30,80.83000,81.68000,79.66000,81.55000,770900
2025-10-01,82.86000,84.48000,80.19900,83.19000,790300
2025-10-02,83.45000,85.12000,83.00000,84.49000,817700
2025-10-03,84.56000,88.50000,83.88000,87.41000,882900
2025-10-06,88.27000,89.29000,85.60000,86.62000,967100
2025-10-07,86.66000,86.90000,83.76500,84.09000,465100
2025-10-08,86.40000,87.66000,84.59000,87.59000,409900
2025-10-09,87.59000,87.83200,86.18000,87.02000,354200
2025-10-10,87.00000,87.00000,82.37000,82.56000,703700
2025-10-13,83.58000,84.70000,82.19000,83.09000,719100
2025-10-14,83.22000,86.74000,82.46000,85.32000,1121000
2025-10-15,85.74000,86.37000,83.35000,85.60000,753700
2025-10-16,85.89000,87.48000,84.54000,85.33000,749300
2025-10-17,84.79000,88.93500,84.79000,87.17000,707700
2025-10-20,88.80000,89.75000,75.36000,79.47000,3190300
2025-10-21,79.51000,79.73000,73.73000,75.88000,3138700
2025-10-22,76.99000,76.99000,74.44000,76.63000,1689700
2025-10-23,76.21000,77.07000,75.01000,75.26000,883900
2025-10-24,75.80000,76.08000,74.55000,74.67000,1309100
2025-10-27,79.50000,79.50000,74.51000,75.68000,2699400
2025-10-28,75.00000,77.83000,73.16000,77.79000,1468400
2025-10-29,77.07000,80.99800,76.87500,77.09000,2372100
2025-10-30,95.07000,102.80000,85.85000,87.80000,4834300
2025-10-31,86.53000,90.61500,85.86300,88.07000,1634400
2025-11-03,88.09000,88.67000,83.46000,87.39000,1373900
2025-11-04,85.86000,88.29000,85.16000,85.95000,767500
2025-11-05,85.25000,86.82000,83.36000,84.35000,691800
2025-11-06,83.95000,84.07500,81.61000,81.79000,597400
2025-11-07,81.80000,84.36000,80.90500,83.86000,988300
2025-11-10,83.78000,88.61000,83.78000,88.35000,1140700
2025-11-11,88.82000,92.14000,88.72000,89.89000,1530400
2025-11-12,90.87000,93.00000,88.60000,92.61000,1679700
2025-11-13,91.17000,97.22000,91.17000,91.81000,2607500
2025-11-14,90.65000,93.14000,88.75500,90.03000,1131100
2025-11-17,89.51000,92.60000,88.28000,88.40000,984500
2025-11-18,88.20000,92.49000,87.32000,91.64000,889600
2025-11-19,92.00000,97.79000,91.83500,96.49000,1524200
2025-11-20,97.20000,98.45000,95.05000,95.20000,790600
2025-11-21,94.94000,99.73000,93.77500,99.62000,1286100
2025-11-24,98.71000,100.34000,96.35000,98.06000,1129200
2025-11-25,98.67000,106.04000,98.67000,104.35000,1340400
2025-11-26,103.23000,106.99500,103.18000,105.39000,1075600
2025-11-28,105.00000,107.18000,104.82500,106.29000,244200
2025-12-01,105.29000,106.61100,104.11000,106.11000,570200
2025-12-02,106.25000,107.82500,104.84000,106.07000,655800
2025-12-03,106.50000,109.31000,106.03000,107.46000,763100
2025-12-04,107.52000,110.02000,107.30000,108.85000,702000
2025-12-05,109.17000,112.00000,107.65000,108.51000,467800
2025-12-08,109.45000,109.74000,107.28000,108.46000,642400
2025-12-09,108.96000,110.02000,106.52000,106.87000,738000
2025-12-10,106.71000,109.38000,105.88000,108.72000,1023800
2025-12-11,109.20000,110.87000,108.15500,109.23000,787700
2025-12-12,108.96000,110.37000,108.45000,108.88000,477200
2025-12-15,109.93000,112.64000,109.33000,111.73000,1466100
2025-12-16,111.56000,114.81000,111.09000,113.76000,1188000
2025-12-17,113.57000,115.82000,111.81000,112.42000,871500
2025-12-18,114.32000,116.72000,113.11000,113.21000,739500
2025-12-19,113.26000,116.38000,112.67000,116.22000,1150100
2025-12-22,117.22000,118.17000,115.21000,117.09000,602000
2025-12-23,116.83000,117.13000,115.07000,116.18000,378400
2025-12-24,116.38000,117.94000,116.20000,116.64000,200100
2025-12-26,116.11000,116.80000,115.22000,116.21000,255800
2025-12-29,116.09000,116.77500,115.00000,115.55000,309900
2025-12-30,115.34000,115.89000,114.05000,114.24000,359600
2025-12-31,114.14000,114.62000,112.63000,112.91000,341600
2026-01-02,114.47000,114.47000,110.46000,110.72000,517300
2026-01-05,110.71000,113.97000,110.71000,112.51000,487700
2026-01-06,111.38000,113.81000,109.07000,112.28000,718600
2026-01-07,112.63000,114.56500,112.55000,113.73000,388000
2026-01-08,112.40000,115.00000,111.97000,114.15000,625700
2026-01-09,113.90000,114.77000,110.71000,112.92000,575600
2026-01-12,112.11000,112.11000,109.24000,110.91000,293700
2026-01-13,110.70000,111.53000,108.71000,110.23000,691600
