date,open,high,low,close,volume
2025-03-28,244.50000,244.50000,210.00000,215.25000,629
2025-03-31,215.25000,215.25000,197.25000,205.50000,396
2025-04-01,199.50000,219.75000,198.75000,219.75000,500
2025-04-02,221.25000,228.75000,210.75000,227.25000,193
2025-04-03,225.00000,225.00000,200.25000,200.25000,248
2025-04-04,199.50000,207.00000,174.75000,181.50000,434
2025-04-07,183.75000,201.00000,169.50000,193.50000,225
2025-04-08,188.25000,195.00000,175.50000,182.25000,281
2025-04-09,194.25000,217.50000,186.75000,211.50000,372
2025-04-10,207.75000,208.50000,186.00000,193.50000,164
2025-04-11,192.75000,209.25000,191.25000,202.50000,74
2025-04-14,216.00000,216.00000,199.50000,204.00000,71
2025-04-15,198.00000,213.75000,198.00000,208.50000,213
2025-04-16,202.50000,202.50000,180.00000,180.75000,309
2025-04-17,187.50000,187.50000,157.50000,175.50000,603
2025-04-21,173.25000,187.50000,173.25000,183.00000,267
2025-04-22,187.50000,200.25000,181.50000,200.25000,121
2025-04-23,208.50000,213.75000,179.25000,184.50000,83479
2025-04-24,17.25000,17.25000,10.50000,11.25000,522127
2025-04-25,9.75000,12.00000,9.00000,9.00000,473633
2025-04-28,9.75000,9.75000,9.00000,9.00000,338139
2025-04-29,9.00000,9.75000,9.00000,9.75000,476751
2025-04-30,9.00000,9.75000,8.25000,8.25000,431361
2025-05-01,8.25000,8.25000,6.75000,6.75000,538918
2025-05-02,8.25000,9.00000,7.50000,7.50000,772477
2025-05-05,7.50000,8.25000,6.75000,7.50000,373354
2025-05-06,6.75000,7.50000,6.75000,6.75000,210205
2025-05-07,6.00000,6.75000,5.25000,6.00000,383889
2025-05-08,5.25000,5.25000,4.50000,4.50000,394903
2025-05-09,5.25000,5.25000,4.50000,5.25000,689725
2025-05-12,5.25000,5.25000,4.50000,4.50000,334376
2025-05-13,4.50000,4.50000,3.75000,3.75000,297662
2025-05-14,3.75000,4.50000,3.75000,4.50000,339632
2025-05-15,5.25000,6.00000,4.50000,4.50000,418307
2025-05-16,4.50000,4.50000,4.50000,4.50000,177201
2025-05-19,4.50000,5.25000,4.50000,4.50000,305887
2025-05-20,4.50000,4.50000,4.50000,4.50000,157869
2025-05-21,6.75000,6.75000,4.50000,5.25000,1956806
2025-05-22,4.50000,5.25000,4.50000,4.50000,280231
2025-05-23,4.50000,4.50000,4.50000,4.50000,117609
2025-05-27,4.50000,4.50000,4.50000,4.50000,129825
2025-05-28,4.50000,4.50000,4.50000,4.50000,167346
2025-05-29,5.25000,5.25000,4.50000,4.50000,774259
2025-05-30,4.50000,5.25000,4.50000,4.50000,194499
2025-06-02,4.50000,4.50000,4.50000,4.50000,177280
2025-06-03,5.25000,5.25000,5.25000,5.25000,474240
2025-06-04,5.25000,6.00000,5.25000,5.25000,387531
2025-06-05,5.25000,5.25000,5.25000,5.25000,216947
2025-06-06,5.25000,5.25000,4.50000,5.25000,131183
2025-06-09,5.25000,5.25000,4.50000,5.25000,134172
2025-06-10,5.25000,6.00000,4.50000,5.25000,350961
2025-06-11,6.00000,6.75000,5.25000,6.00000,1122065
2025-06-12,11.25000,12.75000,8.25000,11.25000,5472467
2025-06-13,9.75000,9.75000,6.75000,7.50000,1056449
2025-06-16,8.25000,11.25000,7.50000,9.00000,2017716
2025-06-17,9.00000,9.75000,7.50000,7.50000,523926
2025-06-18,9.00000,9.00000,7.50000,7.50000,347915
2025-06-20,7.50000,7.50000,6.75000,6.75000,350513
2025-06-23,6.75000,7.50000,6.75000,6.75000,365217
2025-06-24,6.75000,6.75000,6.00000,6.75000,260183
2025-06-25,6.00000,6.00000,4.50000,5.25000,417688
2025-06-26,5.25000,6.00000,4.50000,5.25000,252898
2025-06-27,4.51000,4.70000,2.86000,3.08000,1104900
2025-06-30,3.16000,7.47000,3.14000,5.30000,30337300
2025-07-01,4.27000,4.60000,3.80000,4.39000,742100
2025-07-02,4.36000,4.42000,3.64500,3.76000,1646200
2025-07-03,3.72000,3.93000,3.65000,3.81000,270500
2025-07-07,3.75000,3.75000,3.33000,3.45000,223100
2025-07-08,3.30000,3.75000,3.20000,3.55000,303800
2025-07-09,3.52000,3.56000,3.17000,3.21000,263400
2025-07-10,3.26000,3.29000,3.05000,3.06000,254500
2025-07-11,3.05000,3.28000,3.02000,3.09000,175600
2025-07-14,3.18000,3.33000,2.84000,3.05000,4727600
2025-07-15,3.02000,3.21000,3.02000,3.11000,349000
2025-07-16,3.10000,3.38000,2.88000,3.30000,350400
2025-07-17,3.27000,3.80000,3.20000,3.46000,480200
2025-07-18,3.39000,3.75000,3.35000,3.42000,250300
2025-07-21,3.49000,3.96000,3.44000,3.89000,326400
2025-07-22,3.82000,4.11000,3.75000,4.03000,175300
2025-07-23,3.97000,4.25000,3.88000,4.09000,138200
2025-07-24,4.03000,4.56500,4.03000,4.39000,178200
2025-07-25,4.39000,4.86000,4.25000,4.57000,206600
2025-07-28,4.64000,5.32000,4.64000,4.94000,381500
2025-07-29,4.86000,5.07000,3.80000,3.82000,290200
2025-07-30,3.75000,3.81000,3.41000,3.43000,213400
2025-07-31,3.47000,4.04900,3.38000,3.98000,166500
2025-08-01,3.78000,3.97000,3.78000,3.80000,89600
2025-08-04,3.79000,4.04000,3.79000,3.84000,57400
2025-08-05,3.83000,3.93000,3.50000,3.57000,108300
2025-08-06,3.46000,3.57900,3.25000,3.31000,113000
2025-08-07,3.26000,3.33000,3.06000,3.07000,113700
2025-08-08,3.08000,3.28000,3.08000,3.26000,63400
2025-08-11,3.43000,4.19000,3.43000,4.01000,293700
2025-08-12,3.98000,4.20000,3.46800,3.56000,159700
2025-08-13,3.53000,3.74000,3.32000,3.56000,156100
2025-08-14,3.51000,3.60300,3.41000,3.48000,63500
2025-08-15,3.92000,3.92000,3.19000,3.26000,98100
2025-08-18,3.29000,3.67000,3.27000,3.56000,92500
2025-08-19,3.60000,3.60000,3.33000,3.35000,43400
2025-08-20,3.33000,3.44000,3.13000,3.13000,65200
2025-08-21,3.21000,3.31000,3.15000,3.27000,76400
2025-08-22,3.22000,3.44000,3.21400,3.30000,51900
2025-08-25,3.31000,3.60000,3.31000,3.44000,120300
2025-08-26,3.44000,3.60000,3.24000,3.33000,81100
2025-08-27,3.25000,3.38000,3.19000,3.21000,57500
2025-08-28,3.23000,3.58000,3.17000,3.41000,102200
2025-08-29,3.55000,3.65000,3.35000,3.40000,87500
2025-09-02,3.23000,3.38000,3.23000,3.25000,44100
2025-09-03,3.27000,3.38900,3.21000,3.36000,49700
2025-09-04,3.30000,3.35000,3.24000,3.30000,20300
2025-09-05,3.27000,3.40500,3.25000,3.27000,66200
2025-09-08,3.23000,3.35000,3.15000,3.22000,58600
2025-09-09,3.18000,3.42000,3.17000,3.33000,130800
2025-09-10,3.21000,3.50000,3.19000,3.45000,105500
2025-09-11,3.34000,3.55000,3.25000,3.50000,68500
2025-09-12,3.42000,3.90000,3.42000,3.77000,337900
2025-09-15,3.66000,3.66300,3.35000,3.39000,177400
2025-09-16,3.42000,3.50000,3.38000,3.41000,26000
2025-09-17,3.45000,3.74000,3.45000,3.57000,57700
2025-09-18,3.51000,3.84700,3.51000,3.77000,77100
2025-09-19,3.70000,3.78000,3.51000,3.55000,39400
2025-09-22,3.61000,3.79000,3.53000,3.56000,53600
2025-09-23,3.60000,3.67000,3.52000,3.58000,53000
