date,open,high,low,close,volume
2023-09-25,520.00000,524.34998,517.50000,519.34998,13708
2023-09-26,521.40002,528.90002,521.09998,524.15002,16792
2023-09-27,524.04999,525.59998,518.09998,519.29999,12727
2023-09-28,519.50000,523.95001,515.00000,516.09998,16228
2023-09-29,520.00000,526.00000,516.00000,518.04999,25033
2023-10-03,522.00000,527.40002,517.79999,519.75000,23431
2023-10-04,521.00000,547.84998,517.15002,532.95001,104623
2023-10-05,535.00000,543.90002,532.65002,535.20001,19542
2023-10-06,535.20001,558.45001,532.09998,550.15002,139011
2023-10-09,534.00000,543.95001,526.00000,536.59998,53194
2023-10-10,536.59998,565.00000,535.79999,547.50000,144920
2023-10-11,549.79999,569.79999,549.79999,559.84998,206214
2023-10-12,563.00000,584.40002,554.15002,560.04999,281540
2023-10-13,559.90002,566.45001,558.04999,559.59998,51854
2023-10-16,559.59998,562.25000,554.00000,557.15002,37296
2023-10-17,559.54999,567.34998,551.79999,556.00000,45719
2023-10-18,558.90002,562.95001,539.09998,542.09998,42184
2023-10-19,542.09998,554.90002,542.04999,550.25000,35216
2023-10-20,549.90002,564.90002,544.00000,554.84998,73743
2023-10-23,545.04999,545.54999,515.00000,521.54999,78002
2023-10-25,524.95001,529.95001,496.10001,514.70001,44731
2023-10-26,506.00000,509.04999,492.25000,501.54999,44543
2023-10-27,502.00000,514.90002,502.00000,508.70001,27408
2023-10-30,509.89999,513.95001,503.00000,511.20001,20244
2023-10-31,511.00000,523.00000,510.00000,512.95001,33624
2023-11-01,515.40002,517.00000,509.50000,511.25000,11899
2023-11-02,514.00000,521.70001,508.79999,511.79999,22898
2023-11-03,512.40002,520.20001,509.85001,511.29999,24423
2023-11-06,515.15002,518.84998,512.04999,514.29999,19351
2023-11-07,516.50000,522.09998,512.04999,513.95001,23696
2023-11-08,518.70001,522.29999,513.00000,514.65002,28267
2023-11-09,517.90002,520.25000,514.00000,515.15002,16280
2023-11-10,516.70001,522.40002,511.00000,514.84998,18083
2023-11-13,515.09998,532.00000,512.04999,519.25000,18780
2023-11-15,523.95001,528.50000,520.09998,522.84998,13518
2023-11-16,523.90002,529.00000,519.15002,521.45001,35276
2023-11-17,523.15002,549.79999,523.00000,536.29999,128260
2023-11-20,543.50000,545.00000,529.50000,532.20001,21884
2023-11-21,532.79999,547.00000,531.04999,535.20001,48099
2023-11-22,535.04999,537.00000,525.29999,527.70001,13231
2023-11-23,529.00000,546.95001,528.70001,537.70001,65482
2023-11-24,543.00000,543.90002,529.50000,531.34998,21478
2023-11-28,532.00000,541.65002,531.75000,532.75000,20929
2023-11-29,532.00000,577.40002,532.00000,557.65002,392044
2023-11-30,567.00000,575.00000,551.70001,558.59998,137539
2023-12-01,559.79999,569.00000,554.00000,556.90002,59956
2023-12-04,568.65002,572.00000,554.04999,560.00000,137192
2023-12-05,562.90002,562.90002,544.25000,547.34998,60708
2023-12-06,550.00000,556.20001,539.70001,541.90002,41107
2023-12-07,543.84998,552.50000,536.04999,543.20001,32703
2023-12-08,543.20001,552.15002,536.00000,538.09998,24045
2023-12-11,540.40002,547.95001,536.09998,540.90002,22377
2023-12-12,543.00000,550.00000,536.79999,538.65002,21504
2023-12-13,540.90002,542.70001,533.09998,535.29999,27470
2023-12-14,535.79999,541.25000,529.00000,530.90002,53370
2023-12-15,533.70001,549.00000,532.00000,536.00000,92274
2023-12-18,537.45001,551.84998,534.15002,541.50000,59859
2023-12-19,542.95001,548.00000,538.00000,540.09998,32153
2023-12-20,544.00000,550.84998,535.00000,538.34998,89067
2023-12-21,535.00000,547.34998,532.09998,545.04999,44663
2023-12-22,547.70001,567.29999,543.54999,557.65002,95654
2023-12-26,559.90002,618.70001,559.90002,562.20001,791991
2023-12-27,565.50000,589.00000,563.20001,572.50000,241862
2023-12-28,575.70001,587.00000,565.00000,580.34998,186575
2023-12-29,583.29999,583.95001,567.95001,571.79999,82128
2024-01-01,572.79999,580.00000,569.90002,571.54999,49248
2024-01-02,570.45001,577.65002,560.90002,569.00000,57424
2024-01-03,569.00000,577.00000,565.54999,573.20001,46745
2024-01-04,575.00000,578.54999,567.79999,570.00000,62117
2024-01-05,573.70001,577.70001,565.04999,569.75000,41290
2024-01-08,569.95001,575.40002,565.29999,569.90002,45075
2024-01-09,577.70001,592.00000,575.34998,579.40002,75417
2024-01-10,580.20001,604.45001,572.20001,584.75000,163787
2024-01-11,589.59998,593.79999,582.34998,584.34998,49710
2024-01-12,590.90002,612.84998,590.90002,599.00000,293382
2024-01-15,605.00000,608.90002,594.15002,603.54999,143580
2024-01-16,610.00000,625.00000,596.40002,606.34998,235766
2024-01-17,624.84998,727.59998,624.84998,721.15002,3910818
2024-01-18,737.00000,748.95001,682.34998,703.65002,1609087
2024-01-19,713.00000,720.00000,700.00000,704.59998,228176
2024-01-23,731.40002,731.40002,691.15002,702.59998,184256
2024-01-24,708.50000,725.00000,701.00000,714.90002,114792
2024-01-25,710.20001,799.04999,710.20001,774.50000,751511
2024-01-29,771.79999,788.00000,757.04999,775.09998,193307
2024-01-30,774.09998,775.00000,742.15002,747.20001,100582
2024-01-31,751.00000,758.90002,733.04999,740.40002,85525
2024-02-01,746.70001,754.40002,715.04999,725.15002,130360
2024-02-02,729.95001,749.95001,715.00000,718.84998,126632
2024-02-05,735.00000,844.40002,732.34998,803.65002,1057597
2024-02-06,815.00000,883.00000,796.00000,854.59998,965533
2024-02-07,863.75000,924.45001,845.09998,885.15002,597233
2024-02-08,883.04999,883.04999,851.00000,867.09998,121906
2024-02-09,878.00000,899.00000,835.00000,866.79999,136706
2024-02-12,874.00000,889.50000,821.00000,834.20001,106163
2024-02-13,828.00000,836.90002,784.59998,826.40002,87671
2024-02-14,795.29999,863.84998,795.29999,834.09998,49359
2024-02-15,839.70001,863.50000,839.65002,846.09998,48506
2024-02-16,857.40002,924.79999,853.20001,897.40002,251462
2024-02-19,904.84998,929.00000,882.04999,893.04999,164228
2024-02-20,893.04999,895.00000,862.15002,873.79999,58727
2024-02-21,879.79999,903.00000,841.00000,855.65002,81438
2024-02-22,860.00000,894.90002,835.04999,877.65002,215274
2024-02-23,878.00000,897.79999,871.59998,875.45001,49127
2024-02-26,870.00000,876.09998,850.00000,856.15002,26718
2024-02-27,856.20001,879.40002,856.20001,862.50000,37899
2024-02-28,860.20001,870.00000,803.00000,814.84998,63141
2024-02-29,818.00000,824.54999,786.84998,814.00000,59020
2024-03-01,822.95001,859.04999,813.25000,819.95001,65507
2024-03-04,836.00000,866.50000,831.04999,844.54999,123865
2024-03-05,844.54999,848.59998,825.90002,830.34998,55924
2024-03-06,842.50000,842.50000,790.09998,814.90002,113092
2024-03-07,824.95001,841.50000,814.00000,818.90002,92247
2024-03-11,818.90002,818.90002,754.70001,761.54999,96614
2024-03-12,761.95001,769.00000,724.95001,740.54999,147821
2024-03-13,749.00000,782.45001,659.95001,673.70001,137115
2024-03-14,683.79999,714.65002,675.00000,697.84998,117457
