date,open,high,low,close,volume
2023-09-25,129.83000,131.17000,128.96001,131.11000,20094600
2023-09-26,129.77000,130.36000,127.22000,128.57001,25718700
2023-09-27,128.57001,130.89999,128.57001,130.53999,22746500
2023-09-28,129.84000,133.30000,129.78999,132.31000,22513100
2023-09-29,133.28000,134.05000,130.36000,130.86000,30859800
2023-10-02,131.21001,134.42000,131.17000,134.17000,22288000
2023-10-03,133.94000,134.25999,131.84000,132.42999,22989400
2023-10-04,132.78999,135.57001,132.53000,135.24001,26752300
2023-10-05,135.07001,135.49001,133.45000,135.07001,19832600
2023-10-06,134.00999,138.16000,134.00999,137.58000,27597600
2023-10-09,136.94000,138.94000,135.61000,138.42000,19278100
2023-10-10,138.50000,139.72000,137.33000,138.06000,27786600
2023-10-11,138.58000,141.11000,138.58000,140.55000,25884300
2023-10-12,141.05000,141.22000,138.25999,138.97000,24765500
2023-10-13,139.38000,140.00000,136.62000,137.36000,23420500
2023-10-16,138.17000,139.63000,137.99001,139.10001,28501900
2023-10-17,138.63000,139.89999,137.17999,139.72000,23515800
2023-10-18,139.45000,140.72000,137.38000,137.96001,23375000
2023-10-19,138.50000,139.66000,137.38000,137.75000,26066000
2023-10-20,137.33000,137.87000,135.08000,135.60001,26335700
2023-10-23,135.03999,137.66000,133.95000,136.50000,26317900
2023-10-24,137.83000,139.36000,137.42000,138.81000,44814300
2023-10-25,128.16000,128.31000,125.07000,125.61000,84366200
2023-10-26,123.27000,124.33000,121.27000,122.28000,57061100
2023-10-27,122.88000,123.31000,120.21000,122.17000,44566500
2023-10-30,123.21000,125.40000,122.75000,124.46000,28940100
2023-10-31,125.06000,125.37000,122.69000,124.08000,26292300
2023-11-01,124.07000,126.49000,123.72000,126.45000,30082400
2023-11-02,128.42000,128.98000,126.93000,127.49000,27124600
2023-11-03,128.02000,129.53000,127.86000,129.10001,26393100
2023-11-06,129.05000,130.34000,128.67000,130.25000,19052700
2023-11-07,130.71001,131.91000,129.88000,130.97000,29757300
2023-11-08,130.97000,132.21001,130.78000,131.84000,26425800
2023-11-09,131.96001,132.55000,130.07001,130.24001,23747800
2023-11-10,130.10001,132.80000,129.41000,132.59000,26913300
2023-11-13,131.78000,132.59000,131.25000,132.09000,18324800
2023-11-14,134.19000,135.70000,133.32001,133.62000,32395200
2023-11-15,134.87000,135.03000,133.57001,134.62000,23861500
2023-11-16,135.19000,137.22000,134.32001,136.92999,28013200
2023-11-17,136.00000,136.06000,133.64999,135.31000,37240600
2023-11-20,133.69000,136.66000,133.62000,136.25000,27815500
2023-11-21,136.28999,137.17999,135.96001,136.97000,22635300
2023-11-22,137.47000,139.42000,137.47000,138.49001,17813900
2023-11-24,138.03000,138.13000,135.99001,136.69000,12514300
2023-11-27,136.03000,138.42000,136.00000,136.41000,23436500
2023-11-28,136.08000,137.25000,135.42000,137.20000,18730000
2023-11-29,137.57001,138.28999,134.84000,134.99001,23967200
2023-11-30,135.05000,135.55000,131.28000,132.53000,38988300
2023-12-01,131.86000,132.11000,130.67000,131.86000,31442300
2023-12-04,129.88000,130.03000,127.90000,129.27000,36669900
2023-12-05,128.95000,132.14000,128.25000,130.99001,27384800
2023-12-06,131.44000,131.84000,129.88000,130.02000,23576200
2023-12-07,135.03999,138.56000,134.70000,136.92999,56767100
2023-12-08,134.20000,136.39999,134.03000,134.99001,32260100
2023-12-11,132.38000,133.34000,131.36000,133.28999,31138000
2023-12-12,131.81000,133.00000,131.25999,132.52000,29032800
2023-12-13,133.38000,133.50000,131.57001,132.57001,30104800
2023-12-14,133.38000,133.72000,129.69000,131.94000,38722400
2023-12-15,131.62000,133.50999,131.17999,132.60001,50847100
2023-12-18,132.63000,137.14999,132.42999,135.80000,32258000
2023-12-19,136.84000,137.47000,136.08000,136.64999,25476800
2023-12-20,138.97000,141.70000,138.07001,138.34000,49107200
2023-12-21,139.49001,140.69000,139.17999,140.42000,27488300
2023-12-22,140.77000,141.99001,140.71001,141.49001,26532200
2023-12-26,141.59000,142.67999,141.19000,141.52000,16780300
2023-12-27,141.59000,142.08000,139.89000,140.37000,19628600
2023-12-28,140.78000,141.14000,139.75000,140.23000,16045700
2023-12-29,139.63000,140.36000,138.78000,139.69000,18733000
2024-01-02,138.55000,139.45000,136.48000,138.17000,23711200
2024-01-03,137.25000,139.63000,137.08000,138.92000,24212100
2024-01-04,138.42000,139.16000,136.35001,136.39000,27137700
2024-01-05,136.75000,137.16000,135.14999,135.73000,22513900
2024-01-08,136.28999,139.00999,136.25999,138.84000,21404000
2024-01-09,138.50000,141.49001,138.14999,140.95000,24759600
2024-01-10,141.00000,143.00000,140.91000,142.28000,21320200
2024-01-11,143.49001,145.22000,140.64000,142.08000,24008700
2024-01-12,142.67000,143.20000,141.82001,142.64999,18785500
2024-01-16,142.00000,144.35001,141.45000,142.49001,22670500
2024-01-17,141.35001,141.84000,138.89999,141.47000,20968600
2024-01-18,142.05000,144.21001,141.99001,143.48000,25746400
2024-01-19,144.74001,146.45000,144.38000,146.38000,34271900
2024-01-22,147.10001,148.39000,145.84000,145.99001,32200400
2024-01-23,145.89000,147.17999,145.50000,147.03999,21636100
2024-01-24,148.53999,149.85001,148.10001,148.70000,25233500
2024-01-25,150.07001,153.05000,149.53999,151.87000,29149100
2024-01-26,151.10001,152.53999,151.00999,152.19000,26115500
2024-01-29,152.06000,153.78000,151.42999,153.50999,27784300
2024-01-30,152.80000,153.62000,151.19000,151.46001,36331800
2024-01-31,143.62000,144.00000,139.87000,140.10001,71910000
2024-02-01,142.12000,143.06000,140.78999,141.16000,40466500
2024-02-02,139.25999,142.62000,136.50000,142.38000,62499600
2024-02-05,142.82001,145.47000,142.78000,143.67999,38505400
2024-02-06,144.64999,145.36000,143.19000,144.10001,29128200
2024-02-07,144.75999,145.62000,143.92999,145.53999,25208900
2024-02-08,145.83000,146.33000,145.10001,145.91000,22563800
2024-02-09,146.67999,149.44000,146.17999,149.00000,26829500
2024-02-12,148.42000,149.34000,147.37000,147.53000,21564100
2024-02-13,144.92000,146.67000,143.69000,145.14000,27837700
2024-02-14,146.08000,146.52000,144.09000,145.94000,22704200
2024-02-15,143.14000,143.52000,140.46001,142.77000,37590700
2024-02-16,142.99001,143.19000,140.14000,140.52000,31468900
2024-02-20,139.66000,142.08000,139.49001,141.12000,25144700
2024-02-21,141.45000,142.69000,140.67999,142.55000,23223300
2024-02-22,144.92999,145.00000,142.80000,144.09000,27191900
