date,open,high,low,close,volume
2025-03-26,0.94000,0.94000,0.90000,0.90000,6300
2025-03-27,0.92000,0.92000,0.89800,0.89800,5000
2025-03-28,0.92000,0.97000,0.88000,0.91600,10200
2025-03-31,0.89000,0.96000,0.88500,0.89000,18400
2025-04-01,0.92000,0.92000,0.90000,0.90000,1700
2025-04-02,0.90100,0.95000,0.89000,0.95000,17600
2025-04-03,0.95000,0.95000,0.89500,0.91300,32500
2025-04-04,0.89000,0.92000,0.88500,0.89300,22200
2025-04-07,0.85300,0.89200,0.84000,0.84000,28700
2025-04-08,0.85900,0.91200,0.84000,0.89000,34700
2025-04-09,0.83500,0.90000,0.83500,0.87000,10300
2025-04-10,0.87000,0.90000,0.87000,0.88500,3300
2025-04-11,0.88000,0.89000,0.87000,0.87000,4500
2025-04-14,0.87900,0.92000,0.87900,0.90000,3900
2025-04-15,0.94000,0.95000,0.90000,0.90000,1100
2025-04-16,0.94500,0.94500,0.91300,0.92000,5200
2025-04-17,0.97000,0.97000,0.92000,0.92800,1700
2025-04-21,0.94000,0.94000,0.89000,0.93500,5800
2025-04-22,0.95000,0.95000,0.87000,0.93000,10800
2025-04-23,0.93000,0.93000,0.93000,0.93000,1200
2025-04-24,0.93000,0.93000,0.89000,0.91000,2100
2025-04-25,0.92000,0.95000,0.92000,0.95000,23800
2025-04-28,0.95000,0.95000,0.91000,0.93000,400
2025-04-29,0.95000,0.95000,0.92000,0.94000,1000
2025-04-30,0.94000,0.94000,0.92000,0.94000,4900
2025-05-01,0.87000,0.98000,0.87000,0.95000,16800
2025-05-05,0.96000,0.98000,0.92100,0.93700,1400
2025-05-06,0.90000,1.15000,0.83500,0.90100,182200
2025-05-07,0.90000,0.92800,0.88000,0.89000,3000
2025-05-08,0.85000,0.92500,0.85000,0.88000,16200
2025-05-09,0.89000,0.92500,0.88200,0.90800,2300
2025-05-12,0.93000,0.97000,0.89400,0.92000,32500
2025-05-13,0.92000,0.92000,0.89400,0.89400,29400
2025-05-14,0.88100,1.10000,0.88100,1.02000,126000
2025-05-15,1.09000,1.10000,0.88000,1.02800,67500
2025-05-16,1.03000,1.43000,1.01000,1.34500,923400
2025-05-19,1.40000,1.42600,1.11400,1.28000,750200
2025-05-20,1.17000,1.19500,1.00000,1.00000,185600
2025-05-21,1.05000,1.15000,1.02000,1.10000,116200
2025-05-22,1.03000,1.14000,1.03000,1.09000,51300
2025-05-23,1.12000,1.20100,1.10000,1.10600,70400
2025-05-27,1.10000,1.13000,1.10000,1.11400,16900
2025-05-28,1.10500,1.10700,1.05000,1.05500,14100
2025-05-29,1.08000,1.09100,1.04200,1.04200,27700
2025-05-30,1.09000,1.09000,1.03000,1.06000,16300
2025-06-02,1.10000,1.10000,1.06000,1.07000,17000
2025-06-03,1.07000,1.10000,1.06000,1.10000,15600
2025-06-04,1.11000,1.31000,1.11000,1.29000,138100
2025-06-05,1.30000,1.30000,1.20000,1.25000,67700
