date,open,high,low,close,volume
2025-03-12,3926.00000,4100.70020,3875.00000,3912.89990,93958
2025-03-13,3930.19995,3996.00000,3820.00000,3858.19995,68774
2025-03-17,3876.60010,4060.00000,3847.30005,3981.10010,89847
2025-03-19,4219.95020,4294.79980,4085.10010,4138.45020,75584
2025-03-20,4149.85010,4212.45020,3998.00000,4033.55005,68519
2025-03-21,4033.55005,4348.00000,4021.30005,4187.75000,433513
2025-03-24,4250.00000,4267.25000,4100.00000,4186.64990,58456
2025-03-25,4210.95020,4217.95020,3876.30005,3913.64990,164390
2025-03-26,3946.89990,4055.00000,3821.10010,3975.30005,97015
2025-03-27,3911.55005,3999.85010,3887.19995,3931.44995,83117
2025-03-28,3910.00000,3996.85010,3880.00000,3944.75000,60244
2025-04-01,3900.00000,3947.00000,3795.00000,3832.50000,63609
2025-04-02,3823.50000,3863.05005,3730.00000,3770.05005,53814
2025-04-03,3475.60010,3667.39990,3053.30005,3209.39990,597197
2025-04-04,3062.35010,3084.00000,2603.35010,2686.39990,987276
2025-04-07,2417.80005,2542.00000,2417.80005,2418.69995,255209
2025-04-08,2500.00000,2660.55005,2479.10010,2528.69995,319748
2025-04-09,2489.25000,2524.94995,2317.35010,2408.89990,120513
2025-04-11,2649.75000,2649.75000,2649.75000,2649.75000,35243
2025-04-15,2914.69995,2914.69995,2914.69995,2914.69995,16082
2025-04-16,3206.10010,3206.10010,2991.10010,3206.10010,391917
2025-04-17,3200.00000,3272.00000,3085.00000,3173.19995,114344
2025-04-21,3196.50000,3196.60010,3025.69995,3092.19995,104825
2025-04-22,3097.00000,3178.00000,3010.30005,3091.19995,55246
2025-04-23,3129.00000,3245.69995,3098.00000,3245.69995,67774
2025-04-24,3310.00000,3407.89990,3266.00000,3407.89990,104851
2025-04-25,3489.50000,3489.50000,3237.50000,3324.69995,116895
2025-04-28,3300.00000,3399.89990,3186.80005,3337.00000,43900
2025-04-29,3337.00000,3399.80005,3264.10010,3282.39990,37232
2025-04-30,3300.00000,3325.00000,3133.00000,3187.00000,30062
2025-05-02,3217.00000,3265.00000,3151.00000,3193.39990,25071
2025-05-05,3180.00000,3316.00000,3070.00000,3088.10010,90756
2025-05-06,3110.00000,3110.00000,2934.00000,2954.89990,45487
2025-05-07,2866.00000,3100.00000,2855.00000,3064.60010,42156
2025-05-08,3066.00000,3217.80005,3066.00000,3146.39990,112433
2025-05-09,3080.00000,3230.00000,3068.00000,3199.50000,43937
2025-05-12,3357.89990,3359.39990,3275.10010,3359.39990,53134
2025-05-13,3355.00000,3527.30005,3328.10010,3527.30005,148591
2025-05-14,3560.00000,3684.39990,3461.10010,3641.19995,238182
2025-05-15,3745.00000,3823.19995,3655.10010,3823.19995,102674
2025-05-16,4014.30005,4014.30005,3842.30005,4006.50000,137375
2025-05-19,4025.39990,4206.79980,3932.50000,4206.79980,121901
2025-05-20,4317.00000,4417.10010,4252.10010,4322.89990,242806
2025-05-21,4317.00000,4399.89990,4220.00000,4346.79980,71995
2025-05-22,4350.00000,4474.00000,4315.00000,4362.29980,41688
2025-05-23,4332.00000,4353.79980,4145.00000,4215.60010,42985
2025-05-26,4290.00000,4298.60010,4151.00000,4272.79980,40088
2025-05-27,4272.79980,4300.00000,4202.00000,4290.50000,22300
2025-05-28,4331.70020,4505.00000,4310.00000,4505.00000,66549
2025-05-29,4684.89990,4730.20020,4527.50000,4730.20020,127477
2025-05-30,4690.10010,4782.89990,4650.00000,4696.50000,59059
2025-06-02,4750.10010,4769.79980,4530.00000,4555.79980,43368
2025-06-03,4570.00000,4668.00000,4557.79980,4580.10010,35307
2025-06-04,4580.10010,4765.00000,4539.00000,4656.39990,49028
2025-06-05,4660.00000,4776.89990,4610.00000,4647.00000,35122
2025-06-06,4640.00000,4640.00000,4457.50000,4475.89990,32871
2025-06-09,4520.50000,4585.00000,4300.00000,4498.50000,33525
2025-06-10,4564.00000,4569.00000,4402.00000,4416.39990,22218
2025-06-11,4430.00000,4463.60010,4327.00000,4377.20020,34948
2025-06-12,4405.00000,4440.89990,4201.50000,4233.10010,29675
2025-06-13,4025.00000,4329.00000,4025.00000,4277.20020,32012
2025-06-16,4282.00000,4330.00000,4189.00000,4312.20020,22453
2025-06-17,4357.00000,4365.00000,4221.10010,4249.20020,20130
2025-06-18,4246.70020,4300.00000,4131.00000,4185.20020,26085
2025-06-19,4168.10010,4245.00000,3978.10010,4040.39990,49789
2025-06-20,4000.00000,4138.10010,4000.00000,4028.50000,38377
2025-06-23,4000.00000,4067.89990,3971.00000,4001.80005,36275
2025-06-24,4085.00000,4201.79980,3975.19995,3997.80005,64610
2025-06-25,4050.00000,4151.29980,4019.00000,4119.10010,39085
2025-06-26,4120.00000,4160.00000,4072.30005,4148.70020,25350
2025-06-27,4182.00000,4212.00000,4104.00000,4174.79980,32534
2025-06-30,4180.00000,4239.20020,4149.60010,4197.60010,24702
2025-07-01,4152.00000,4244.70020,4070.50000,4138.20020,34498
2025-07-02,4100.00000,4144.50000,4059.89990,4077.19995,15397
2025-07-03,4060.00000,4191.79980,4060.00000,4114.79980,31189
2025-07-04,4145.89990,4145.89990,4001.39990,4027.39990,25038
2025-07-07,4022.89990,4022.89990,3826.10010,3826.10010,71884
2025-07-08,3764.00000,3799.00000,3687.00000,3709.89990,87619
2025-07-09,3748.00000,3802.00000,3600.50000,3654.30005,52969
2025-07-10,3686.00000,3714.69995,3610.00000,3639.00000,32696
2025-07-11,3640.00000,3655.89990,3598.30005,3603.89990,24578
2025-07-14,3604.10010,3649.30005,3575.00000,3616.39990,24057
2025-07-15,3640.00000,3750.00000,3632.00000,3694.00000,65610
2025-07-16,3699.80005,3747.00000,3635.00000,3706.80005,23927
2025-07-17,3734.80005,3798.00000,3668.00000,3775.39990,41762
2025-07-18,3780.00000,3787.00000,3682.89990,3706.89990,17557
2025-07-21,3745.00000,3745.00000,3649.69995,3661.39990,26244
2025-07-22,3679.69995,3732.80005,3659.00000,3713.10010,22885
2025-07-23,3720.80005,3762.89990,3649.89990,3665.60010,22383
2025-07-24,3705.00000,3780.00000,3663.39990,3758.19995,26012
2025-07-25,3806.80005,3806.80005,3618.60010,3675.89990,40312
2025-07-28,3602.00000,3669.50000,3513.69995,3530.00000,30475
2025-07-29,3549.80005,3607.00000,3538.80005,3585.89990,23973
2025-07-30,3636.00000,3646.60010,3535.80005,3587.30005,26385
2025-07-31,3426.00000,3533.80005,3408.00000,3458.60010,111791
2025-08-01,3498.89990,3498.89990,3304.00000,3324.69995,38129
2025-08-04,3400.00000,3440.00000,3326.69995,3347.50000,52760
2025-08-05,3347.00000,3354.00000,3288.00000,3338.19995,30541
2025-08-06,3352.00000,3431.00000,3210.00000,3234.50000,49163
2025-08-07,3180.00000,3300.00000,3114.00000,3275.10010,70329
2025-08-08,3285.00000,3316.60010,3115.00000,3170.69995,37292
2025-08-11,2938.00000,2940.00000,2780.69995,2842.30005,226223
2025-08-12,2843.89990,2897.00000,2802.39990,2856.89990,62785
2025-08-13,2855.00000,2996.00000,2809.80005,2857.00000,66796
2025-08-14,2880.80005,2880.80005,2753.10010,2773.30005,44918
2025-08-18,2864.80005,2885.00000,2756.39990,2805.30005,74480
2025-08-19,2827.19995,3105.00000,2809.10010,3008.50000,273845
2025-08-20,3008.50000,3080.69995,2887.30005,2921.19995,157400
2025-08-21,2922.89990,3109.00000,2896.10010,3006.19995,115483
2025-08-22,3006.00000,3057.39990,2970.00000,2980.60010,46421
2025-08-25,2990.00000,2990.00000,2815.39990,2837.80005,69041
2025-08-26,2778.00000,2820.00000,2705.00000,2712.39990,74283
2025-08-28,2724.69995,2790.10010,2681.00000,2749.39990,65657
2025-08-29,2749.80005,2769.19995,2688.10010,2697.30005,34069
2025-09-01,2718.00000,2800.00000,2709.00000,2773.80005,57983
2025-09-02,2788.00000,2874.00000,2768.30005,2857.60010,41970
2025-09-03,2857.60010,2923.80005,2857.60010,2913.69995,34101
2025-09-04,2916.00000,2954.69995,2875.00000,2893.89990,34246
