date,open,high,low,close,volume
2023-10-02,14.65000,14.65000,14.05000,14.12000,732700
2023-10-03,14.10000,14.21000,13.88000,14.01000,625700
2023-10-04,13.97000,14.07000,13.71000,13.89000,1050900
2023-10-05,13.86000,14.02000,13.86000,13.98000,334900
2023-10-06,13.95000,14.16500,13.95000,14.08000,393600
2023-10-09,14.02000,14.18000,14.02000,14.09000,271800
2023-10-10,14.11000,14.25500,14.06000,14.10000,302300
2023-10-11,14.15000,14.20600,14.06000,14.13000,381500
2023-10-12,14.13000,14.13000,13.78500,13.98000,468900
2023-10-13,14.05000,14.14000,13.96000,14.00000,296600
2023-10-16,14.10000,14.33000,14.10000,14.24000,434900
2023-10-17,14.19000,14.27000,14.13000,14.15000,230800
2023-10-18,14.17000,14.17000,13.94500,13.97000,376900
2023-10-19,13.96000,14.00000,13.75000,13.75000,347900
2023-10-20,13.78000,13.84000,13.58900,13.73000,462200
2023-10-23,13.64000,13.74900,13.51000,13.53000,483800
2023-10-24,13.81000,13.81000,13.56500,13.58000,453400
2023-10-25,13.55000,13.73900,13.45000,13.51000,487200
2023-10-26,13.56000,13.75000,13.56000,13.63000,378000
2023-10-27,13.64000,13.77000,13.39000,13.46000,580700
2023-10-30,13.55000,13.74000,13.55000,13.72000,631800
2023-10-31,13.86000,13.99000,13.60000,13.69000,408700
2023-11-01,13.71000,14.01500,13.71000,13.90000,427800
2023-11-02,14.00000,14.38000,13.98000,14.34000,682300
2023-11-03,14.63000,14.74000,14.42000,14.58000,1149000
2023-11-06,14.58000,14.62000,14.31000,14.45000,637000
2023-11-07,14.48000,14.48000,14.31000,14.36000,678500
2023-11-08,14.53000,14.65000,14.30000,14.40000,571900
2023-11-09,14.41000,14.56500,14.34500,14.43000,651700
2023-11-10,14.52000,14.68000,14.47000,14.63000,559700
2023-11-13,14.60000,14.66500,14.52000,14.64000,418500
2023-11-14,14.78000,14.99000,14.72000,14.95000,1384200
2023-11-15,14.95000,15.04000,14.92000,14.94000,495900
2023-11-16,14.90000,14.94600,14.71000,14.77000,512900
2023-11-17,14.86000,14.89000,14.78000,14.84000,319000
2023-11-20,14.86000,14.92000,14.78100,14.88000,368200
2023-11-21,14.85000,14.89000,14.78000,14.79000,456000
2023-11-22,14.79000,14.89000,14.77000,14.86000,330800
2023-11-24,14.98000,15.03000,14.87000,14.96000,209400
2023-11-27,14.96000,14.96000,14.86000,14.90000,307700
2023-11-28,14.91000,14.97000,14.84000,14.86000,506100
2023-11-29,14.91000,14.95000,14.69000,14.69000,454000
2023-11-30,14.69000,14.77000,14.65000,14.73000,546700
2023-12-01,14.77000,14.85000,14.68000,14.84000,419500
2023-12-04,14.85000,15.00000,14.83200,14.86000,400400
2023-12-05,14.84000,14.85800,14.69000,14.71000,547900
2023-12-06,14.72000,14.81000,14.64000,14.66000,469000
2023-12-07,14.73000,14.85000,14.66000,14.80000,418700
2023-12-08,14.80000,14.96500,14.78000,14.94000,382200
2023-12-11,14.98000,14.99000,14.78000,14.83000,484600
2023-12-12,14.88000,14.95000,14.81000,14.90000,369600
2023-12-13,14.92000,15.10000,14.83000,15.09000,517300
2023-12-14,15.10000,15.23700,14.90000,15.14000,954200
2023-12-15,15.16000,15.20000,14.97000,15.03000,864700
2023-12-18,15.15000,15.26000,15.08500,15.22000,624900
2023-12-19,15.23000,15.30000,15.17000,15.27000,745600
2023-12-20,15.25000,15.38000,15.17000,15.19000,786100
2023-12-21,15.31000,15.34000,15.24000,15.32000,758400
2023-12-22,15.33000,15.45000,15.31000,15.34000,614600
2023-12-26,15.37000,15.49000,15.35000,15.38000,866300
2023-12-27,15.49000,15.50000,15.39000,15.44000,944800
2023-12-28,15.02000,15.08000,14.81000,14.82000,1193500
2023-12-29,14.75000,14.78000,14.56000,14.65000,1441500
2024-01-02,14.59000,14.70000,14.50000,14.60000,630300
2024-01-03,14.58500,14.66000,14.49100,14.56000,647600
2024-01-04,14.59000,14.93500,14.59000,14.81000,770500
2024-01-05,14.81000,14.84000,14.73300,14.81000,717200
2024-01-08,14.83000,14.88000,14.75000,14.82000,626200
2024-01-09,14.77000,14.84000,14.73000,14.82000,593100
2024-01-10,14.78000,14.88500,14.78000,14.84000,492000
2024-01-11,14.83000,14.90000,14.62000,14.88000,393100
2024-01-12,14.90000,14.97000,14.87500,14.91000,386400
2024-01-16,14.90000,14.90000,14.80500,14.85000,410000
2024-01-17,14.80000,14.88000,14.76000,14.87000,407500
2024-01-18,14.90000,14.94500,14.77000,14.94000,441200
2024-01-19,14.97000,14.97000,14.85000,14.91000,457700
2024-01-22,14.96000,15.06000,14.92100,15.06000,397900
2024-01-23,15.05000,15.17000,15.03100,15.15000,347500
2024-01-24,15.18000,15.28000,15.14000,15.18000,579200
2024-01-25,15.24000,15.33000,15.16000,15.29000,385800
2024-01-26,15.30000,15.39000,15.28500,15.34000,480800
2024-01-29,15.34000,15.39000,15.20000,15.32000,572400
2024-01-30,15.29000,15.43000,15.28000,15.36000,726200
2024-01-31,15.35000,15.37000,15.11000,15.13000,537700
2024-02-01,15.15000,15.16000,14.90000,15.06000,518400
2024-02-02,15.00000,15.21500,14.98000,15.10000,404500
2024-02-05,15.07000,15.07000,14.88000,15.00000,487600
2024-02-06,14.99000,14.99000,14.81200,14.89000,523700
2024-02-07,14.91000,14.97000,14.82000,14.89000,379900
2024-02-08,14.89000,14.94000,14.82000,14.86000,442300
2024-02-09,14.86000,14.93000,14.79000,14.93000,653400
2024-02-12,14.93000,15.15000,14.90000,15.10000,334100
2024-02-13,15.02000,15.09500,14.89900,14.95000,376600
2024-02-14,15.02000,15.16000,15.00000,15.15000,391100
2024-02-15,15.23000,15.41000,15.19000,15.38000,604800
2024-02-16,15.31000,15.42000,15.25000,15.34000,368000
2024-02-20,15.21000,15.37000,15.21000,15.32000,283300
2024-02-21,15.32000,15.34000,15.24500,15.29000,390200
2024-02-22,15.32000,15.39500,15.28000,15.39000,283800
2024-02-23,15.36000,15.52000,15.36000,15.43000,359100
2024-02-26,15.34000,15.46000,15.33000,15.37000,407200
2024-02-27,15.44000,15.58000,15.33000,15.57000,544800
2024-02-28,15.60000,15.60000,15.45000,15.52000,454000
2024-02-29,15.37000,15.65200,14.93000,15.02000,1042600
2024-03-01,15.06000,15.25000,15.00000,15.23000,525700
2024-03-04,15.24000,15.34000,15.17000,15.31000,505800
2024-03-05,15.30000,15.38000,15.25000,15.32000,377600
2024-03-06,15.35000,15.44000,15.33000,15.36000,472500
2024-03-07,15.44000,15.46000,15.36000,15.40000,295200
2024-03-08,15.53000,15.57000,15.46000,15.51000,404600
2024-03-11,15.53000,15.56000,15.39500,15.40000,498100
2024-03-12,15.40000,15.53000,15.33000,15.52000,607600
2024-03-13,15.54000,15.59500,15.31000,15.33000,2314300
2024-03-14,15.45000,15.45000,14.96000,15.00000,2177700
2024-03-15,15.10000,15.24000,15.01000,15.15000,1614300
2024-03-18,15.22000,15.25000,15.04000,15.07000,1014600
2024-03-19,15.03000,15.16200,14.95000,15.01000,1021300
2024-03-20,15.06000,15.07000,14.95500,15.04000,746700
2024-03-21,15.10000,15.24000,15.09000,15.21000,511400
2024-03-22,15.26000,15.28000,15.19000,15.22000,505200
2024-03-25,15.25000,15.42000,15.25000,15.34000,773400
2024-03-26,15.37000,15.40500,15.33000,15.33000,716400
2024-03-27,14.98000,15.05000,14.79000,14.96000,991600
2024-03-28,15.00000,15.11000,14.96000,14.98000,686600
2024-04-01,15.01000,15.01000,14.91000,15.00000,658200
2024-04-02,14.98000,15.04000,14.91000,14.98000,624400
2024-04-03,14.96000,15.03400,14.91700,14.96000,405400
2024-04-04,14.99000,15.01000,14.82000,14.84000,583400
2024-04-05,14.89000,14.91000,14.82000,14.84000,792000
2024-04-08,14.88000,14.92500,14.84000,14.91000,338700
2024-04-09,14.98000,15.06500,14.92000,15.04000,682400
2024-04-10,14.94000,15.05000,14.90000,14.96000,388400
2024-04-11,14.95000,15.08000,14.91500,15.07000,406900
2024-04-12,15.04000,15.12000,14.86000,14.88000,397400
2024-04-15,15.00000,15.11000,14.90200,14.94000,767300
2024-04-16,14.91000,15.00500,14.86000,14.96000,473400
2024-04-17,15.00000,15.17500,14.99500,15.13000,564300
2024-04-18,15.19000,15.28000,15.12000,15.26000,442800
2024-04-19,15.31000,15.36000,15.28000,15.33000,352700
2024-04-22,15.35000,15.52000,15.32000,15.50000,444900
2024-04-23,15.48000,15.53000,15.43000,15.51000,503100
2024-04-24,15.52000,15.60000,15.49000,15.53000,539300
2024-04-25,15.50000,15.54000,15.42000,15.48000,366900
2024-04-26,15.57000,15.72000,15.52000,15.69000,743100
2024-04-29,15.71000,15.80000,15.71000,15.77000,436400
2024-04-30,15.77000,15.78000,15.51500,15.54000,397600
2024-05-01,15.51000,15.69000,15.51000,15.64000,636200
2024-05-02,15.66000,15.66000,15.36000,15.43000,563500
2024-05-03,15.59000,15.61000,15.44000,15.58000,368000
2024-05-06,15.63000,15.73000,15.61000,15.69000,462600
2024-05-07,15.73000,15.76000,15.62000,15.69000,768200
2024-05-08,15.51000,15.67000,15.31000,15.61000,533700
2024-05-09,15.60000,15.82000,15.57000,15.63000,516900
2024-05-10,15.68000,15.93500,15.67000,15.91000,521500
2024-05-13,15.92000,15.94000,15.72000,15.77000,948000
2024-05-14,15.89000,15.89000,15.67000,15.68000,1024800
2024-05-15,15.75000,15.77000,15.61000,15.64000,1299600
2024-05-16,15.74000,15.86000,15.42000,15.45000,1483700
2024-05-17,15.53000,15.57000,15.35000,15.36000,855300
2024-05-20,15.41000,15.42000,15.16000,15.18000,1201400
2024-05-21,15.17000,15.27500,15.10000,15.23000,914500
2024-05-22,15.22000,15.30000,15.17100,15.27000,443100
2024-05-23,15.20000,15.22000,15.12000,15.18000,597700
2024-05-24,15.19000,15.27000,15.14000,15.19000,499600
2024-05-28,15.16000,15.25000,15.13000,15.18000,490000
2024-05-29,15.07000,15.19000,14.95000,15.16000,750900
2024-05-30,15.22000,15.31000,15.17000,15.27000,540600
2024-05-31,15.28000,15.39500,15.25500,15.38000,624800
2024-06-03,15.37000,15.37000,15.23500,15.37000,805700
2024-06-04,15.30000,15.30500,15.21000,15.29000,495800
2024-06-05,15.30000,15.30000,15.11500,15.26000,721300
2024-06-06,15.22000,15.28000,15.20000,15.27000,436800
2024-06-07,15.20000,15.31900,15.20000,15.28000,437700
2024-06-10,15.24000,15.33000,15.22000,15.28000,454100
2024-06-11,15.25000,15.30000,15.21900,15.28000,374900
2024-06-12,15.35000,15.47000,15.25500,15.29000,581400
2024-06-13,15.32000,15.37900,15.16500,15.21000,555300
2024-06-14,15.17000,15.26000,15.13000,15.26000,669300
2024-06-17,15.27000,15.46000,15.24500,15.44000,541400
2024-06-18,15.45000,15.60000,15.45000,15.53000,443100
2024-06-20,15.57000,15.69000,15.54000,15.61000,648800
2024-06-21,15.64000,15.64000,15.56800,15.63000,666900
2024-06-24,15.69000,15.81000,15.67500,15.73000,628800
2024-06-25,15.79000,15.81000,15.62000,15.64000,643300
2024-06-26,15.65000,15.71000,15.59000,15.68000,390500
2024-06-27,15.72000,15.80000,15.64000,15.65000,907100
2024-06-28,15.31000,15.31000,15.01000,15.03000,1003800
2024-07-01,15.09000,15.17000,15.03500,15.16000,779200
2024-07-02,15.17000,15.45000,15.14000,15.43000,703700
2024-07-03,15.40000,15.51000,15.40000,15.45000,300500
2024-07-05,15.45000,15.47700,15.40000,15.45000,324700
2024-07-08,15.54000,15.60000,15.49000,15.59000,454100
2024-07-09,15.58000,15.59000,15.46000,15.51000,459800
2024-07-10,15.49000,15.62000,15.48000,15.58000,409500
2024-07-11,15.57000,15.64000,15.52000,15.53000,413000
2024-07-12,15.59000,15.64000,15.48000,15.50000,446800
2024-07-15,15.56000,15.56000,15.49500,15.53000,458400
2024-07-16,15.59000,15.60000,15.38500,15.40000,717300
2024-07-17,15.40000,15.42000,15.22000,15.34000,733100
2024-07-18,15.38000,15.38000,15.10000,15.17000,658000
2024-07-19,15.22000,15.28000,15.12000,15.12000,343400
2024-07-22,15.15000,15.30000,15.14000,15.27000,341400
2024-07-23,15.28000,15.28000,15.16000,15.17000,370000
2024-07-24,15.25000,15.25000,15.05000,15.07000,557500
2024-07-25,15.11000,15.15500,14.95000,15.05000,729800
2024-07-26,15.30000,15.30000,15.04000,15.12000,625400
2024-07-29,15.14000,15.17000,15.01000,15.08000,596000
2024-07-30,15.13000,15.14500,14.92000,15.04000,1043100
2024-07-31,15.10000,15.17000,14.97000,14.99000,852600
2024-08-01,14.99000,15.04000,14.84000,14.90000,1087800
2024-08-02,14.81000,14.81000,14.56000,14.58000,1248100
2024-08-05,14.20000,14.29000,14.00000,14.12000,1077800
2024-08-06,14.40000,14.46500,14.29000,14.39000,886900
2024-08-07,14.46000,14.56000,14.25000,14.29000,785500
2024-08-08,14.33000,14.41000,14.29500,14.39000,672300
2024-08-09,13.85000,13.95000,13.55000,13.70000,2234500
2024-08-12,13.74000,13.79000,13.45000,13.68000,1034000
2024-08-13,13.69000,13.71000,13.58000,13.62000,933200
2024-08-14,13.68000,13.73000,13.55000,13.73000,596200
2024-08-15,13.78000,13.95000,13.73000,13.85000,828600
2024-08-16,13.85000,13.93000,13.80000,13.84000,762800
2024-08-19,13.91000,14.02000,13.86000,13.98000,828100
2024-08-20,13.98000,14.01000,13.89000,13.94000,559400
2024-08-21,14.00000,14.11000,13.96000,14.11000,446200
2024-08-22,14.17000,14.18600,14.05000,14.12000,607700
2024-08-23,14.13000,14.24000,14.08000,14.18000,584100
2024-08-26,14.23000,14.35000,14.15500,14.17000,508300
2024-08-27,14.22000,14.24500,14.08000,14.13000,478400
2024-08-28,14.11000,14.16500,14.01000,14.03000,682200
2024-08-29,14.10000,14.15000,14.05000,14.07000,426500
2024-08-30,14.11000,14.19000,14.08000,14.13000,547900
2024-09-03,14.12000,14.24000,14.11000,14.19000,522700
2024-09-04,14.19000,14.29000,14.15000,14.16000,396900
2024-09-05,14.20000,14.23000,14.07000,14.09000,380100
2024-09-06,14.09000,14.10000,13.83000,13.85000,610200
2024-09-09,13.93000,14.02000,13.85000,13.87000,508100
2024-09-10,13.89000,13.89000,13.76000,13.84000,419500
2024-09-11,13.81000,13.86000,13.71000,13.85000,324500
2024-09-12,13.84000,14.17000,13.84000,14.09000,554300
2024-09-13,14.15000,14.28000,14.14000,14.28000,451000
2024-09-16,14.30000,14.41500,14.30000,14.39000,369500
2024-09-17,14.48000,14.48000,14.25000,14.26000,508200
2024-09-18,14.26000,14.36000,14.21000,14.30000,543900
2024-09-19,14.48000,14.48000,14.34000,14.38000,504100
2024-09-20,14.35000,14.39000,14.31000,14.35000,760700
2024-09-23,14.39000,14.51000,14.38000,14.44000,567500
2024-09-24,14.48000,14.54000,14.36000,14.38000,537400
2024-09-25,14.41000,14.41500,14.20000,14.22000,508600
2024-09-26,14.26000,14.39000,14.25000,14.34000,552100
2024-09-27,14.35000,14.49000,14.31400,14.42000,863300
2024-09-30,14.00000,14.05000,13.74000,13.76000,812100
2024-10-01,13.80000,13.80000,13.51000,13.58000,983300
2024-10-02,13.50000,13.71000,13.50000,13.68000,522800
2024-10-03,13.63000,13.71000,13.59000,13.71000,907100
2024-10-04,13.71000,13.73500,13.59000,13.72000,661600
2024-10-07,13.66000,13.70000,13.60000,13.63000,441200
2024-10-08,13.63000,13.64000,13.55000,13.60000,508200
2024-10-09,13.56000,13.60000,13.55000,13.60000,423900
2024-10-10,13.58000,13.58000,13.50000,13.55000,674800
2024-10-11,13.55000,13.57000,13.47000,13.54000,484100
2024-10-14,13.58000,13.62000,13.38000,13.48000,791300
2024-10-15,13.53000,13.67000,13.48000,13.56000,542900
2024-10-16,13.63000,13.78000,13.63000,13.78000,504000
2024-10-17,13.80000,13.80000,13.63000,13.71000,595100
2024-10-18,13.70000,13.77000,13.65200,13.69000,568000
2024-10-21,13.72000,13.76000,13.58500,13.75000,518000
2024-10-22,13.70000,13.72400,13.47000,13.48000,765700
2024-10-23,13.46000,13.47700,13.38000,13.45000,390800
2024-10-24,13.45000,13.51000,13.38500,13.45000,663800
2024-10-25,13.55000,13.59000,13.43000,13.48000,619200
2024-10-28,13.51000,13.71000,13.49000,13.66000,753500
2024-10-29,13.65000,13.66000,13.46000,13.47000,479800
2024-10-30,13.49000,13.59000,13.47000,13.49000,412200
2024-10-31,13.45000,13.51000,13.30000,13.34000,570900
2024-11-01,13.36000,13.36000,13.13500,13.21000,774700
2024-11-04,13.21000,13.22000,12.90000,12.91000,988500
2024-11-05,12.90000,12.91000,12.75500,12.85000,787100
2024-11-06,13.03000,13.17000,12.76000,13.15000,899700
2024-11-07,13.14000,13.24500,13.02000,13.12000,901600
2024-11-08,13.18000,13.20000,12.79000,12.99000,1100000
2024-11-11,13.05000,13.16000,12.89500,12.96000,1395100
2024-11-12,12.90000,12.91000,12.69000,12.71000,1087200
2024-11-13,12.75000,12.94000,12.68000,12.84000,1115700
2024-11-14,12.84000,12.99000,12.72000,12.76000,858400
2024-11-15,12.80000,12.82000,12.67000,12.77000,725500
2024-11-18,12.70000,12.77000,12.67000,12.76000,957400
2024-11-19,12.70000,12.87500,12.70000,12.85000,713100
2024-11-20,12.84000,12.89000,12.72800,12.86000,697800
2024-11-21,12.86000,12.89000,12.73100,12.75000,833800
2024-11-22,12.76000,12.88500,12.73000,12.88000,789000
2024-11-25,12.95000,13.19000,12.95000,13.18000,1150500
2024-11-26,13.17000,13.18000,13.02500,13.08000,616400
