date,open,high,low,close,volume
2025-03-21,1.27000,1.28000,1.16800,1.26000,36500
2025-03-24,1.28000,1.30000,1.27000,1.27000,38000
2025-03-25,1.28000,1.32000,1.26000,1.29000,41400
2025-03-26,1.29000,1.33000,1.29000,1.31000,8823000
2025-03-27,2.26000,2.58000,1.97000,2.17000,78574700
2025-03-28,1.91000,1.92600,1.67000,1.73000,1967700
2025-03-31,1.57000,1.85000,1.57000,1.75000,598200
2025-04-01,1.69000,2.16000,1.66100,1.98000,1257200
2025-04-02,1.94000,2.10000,1.85000,1.90000,355500
2025-04-03,1.83000,1.90000,1.72000,1.78000,176600
2025-04-04,1.68000,1.77000,1.54600,1.71000,193100
2025-04-07,1.61000,1.67000,1.50000,1.60000,261900
2025-04-08,1.72000,1.72000,1.54100,1.59000,126000
2025-04-09,1.53000,1.63000,1.50000,1.55000,364600
2025-04-10,1.58000,1.67000,1.52000,1.60000,120000
2025-04-11,1.60000,1.62000,1.55000,1.57000,132000
2025-04-14,1.60000,1.60000,1.44000,1.49000,108700
2025-04-15,1.48000,1.57000,1.44000,1.56000,48700
2025-04-16,1.53000,1.56000,1.40200,1.44000,125700
2025-04-17,1.48000,1.49000,1.41400,1.46000,50600
2025-04-21,1.46000,1.46000,1.37000,1.42000,66500
2025-04-22,1.44000,1.44000,1.34000,1.42000,97100
2025-04-23,1.45000,1.49000,1.41400,1.45000,62100
2025-04-24,1.43000,1.53000,1.43000,1.52000,181000
2025-04-25,1.50000,1.70000,1.47000,1.66000,225200
2025-04-28,1.66000,1.67900,1.56000,1.58000,84100
2025-04-29,1.66000,1.91000,1.56000,1.90000,740200
2025-04-30,1.90000,2.02000,1.80000,1.96000,343000
2025-05-01,2.05000,2.06000,1.78000,1.83000,212300
2025-05-02,1.85000,2.03500,1.83000,1.90000,167800
2025-05-05,1.92000,2.10000,1.91500,2.07000,177600
2025-05-06,2.09000,2.14000,1.95000,2.03000,167400
2025-05-07,2.05000,2.08000,1.99000,2.03000,194200
2025-05-08,2.00300,2.02900,1.92000,1.92000,153100
2025-05-09,1.93000,1.97000,1.87000,1.93000,76100
2025-05-12,2.01000,2.03000,1.89000,1.99000,118200
2025-05-13,2.00000,2.20000,1.99000,2.14000,356100
2025-05-14,2.17000,2.19000,2.04000,2.14000,229300
2025-05-15,2.19000,2.47000,2.17500,2.39000,558700
2025-05-16,2.45000,2.47000,2.16000,2.26000,352500
