date,open,high,low,close,volume
2025-04-03,40.45000,41.39000,37.65000,39.80000,3671
2025-04-04,41.78000,41.78000,41.40000,41.40000,669
2025-04-07,39.33000,39.33000,39.33000,39.33000,605
2025-04-08,38.00000,40.90000,38.00000,39.55000,784
2025-04-09,39.55000,39.90000,38.01000,38.96000,1806
2025-04-11,39.90000,39.90000,37.11000,38.22000,1873
2025-04-15,38.22000,39.69000,36.56000,38.01000,2943
2025-04-16,38.99000,39.50000,36.61000,39.27000,3222
2025-04-17,40.45000,40.45000,38.11000,38.63000,1948
2025-04-21,37.50000,39.80000,37.30000,39.79000,2783
2025-04-22,39.59000,39.79000,38.11000,39.79000,5572
2025-04-23,40.60000,40.60000,38.37000,39.37000,1394
2025-04-24,40.85000,40.85000,37.71000,39.55000,4160
2025-04-25,39.56000,39.56000,37.80000,39.00000,735
2025-04-28,39.78000,39.78000,38.57000,38.77000,899
2025-04-29,38.77000,38.96000,37.77000,38.07000,1351
2025-04-30,38.07000,38.07000,36.51000,37.51000,1132
2025-05-02,38.26000,39.26000,38.26000,38.99000,478
2025-05-05,38.21000,38.21000,37.10000,37.48000,874
2025-05-06,39.25000,39.25000,35.78000,38.43000,2341
2025-05-07,36.50000,38.39000,36.50000,37.03000,2144
2025-05-08,35.51000,38.88000,35.51000,37.00000,1440
2025-05-09,36.26000,38.44000,35.50000,36.56000,1412
2025-05-12,36.50000,37.90000,36.15000,37.65000,1571
2025-05-13,37.00000,37.65000,36.50000,37.48000,2586
2025-05-14,37.48000,39.00000,35.75000,37.66000,8715
2025-05-15,37.65000,38.01000,37.65000,38.01000,2613
2025-05-16,37.25000,39.85000,37.05000,38.10000,3577
2025-05-19,39.90000,39.95000,38.10000,38.10000,4778
2025-05-20,38.10000,40.00000,38.10000,39.97000,2335
2025-05-21,40.45000,40.45000,38.00000,39.31000,3463
2025-05-22,39.31000,40.90000,38.00000,40.42000,1838
2025-05-23,38.40000,40.90000,38.40000,40.50000,2039
2025-05-26,39.69000,40.50000,38.61000,39.75000,3987
2025-05-27,38.01000,39.20000,38.00000,38.31000,1008
2025-05-28,40.22000,40.22000,39.00000,39.06000,2867
2025-05-29,39.84000,40.44000,38.11000,38.81000,1753
2025-05-30,39.00000,39.78000,38.06000,38.55000,3149
2025-06-02,38.60000,40.39000,38.60000,38.77000,4090
2025-06-03,38.78000,39.16000,38.78000,39.06000,670
2025-06-04,39.00000,39.49000,38.05000,39.41000,2746
2025-06-05,39.41000,40.14000,38.50000,39.40000,1543
2025-06-06,39.40000,40.30000,38.16000,39.77000,1719
2025-06-09,39.75000,39.75000,38.13000,39.47000,666
2025-06-10,39.57000,39.98000,38.16000,39.77000,605
2025-06-11,40.45000,41.00000,38.60000,40.14000,2628
2025-06-12,41.99000,42.14000,40.80000,42.06000,13971
2025-06-13,42.00000,44.15000,40.55000,42.10000,7992
2025-06-16,42.54000,44.20000,42.31000,43.05000,3480
2025-06-17,42.84000,45.20000,42.84000,45.00000,10976
2025-06-18,43.87000,45.25000,43.11000,43.89000,5075
2025-06-19,43.89000,45.10000,43.89000,43.89000,4887
2025-06-20,44.10000,45.20000,42.50000,44.45000,1282
2025-06-23,44.67000,44.67000,42.31000,43.65000,1368
2025-06-24,43.00000,44.46000,41.46000,41.80000,2258
2025-06-25,42.00000,43.74000,40.96000,41.87000,1663
2025-06-26,41.87000,43.59000,41.85000,41.87000,8214
2025-06-27,41.87000,41.87000,40.10000,40.51000,1304
2025-06-30,40.51000,40.71000,40.50000,40.51000,563
2025-07-01,40.51000,42.45000,39.70000,41.66000,2032
2025-07-02,39.60000,42.15000,39.60000,40.16000,830
2025-07-03,38.15000,39.51000,38.15000,39.51000,708
