date,open,high,low,close,volume
2022-09-13,1316.65002,1319.00000,1291.75000,1298.75000,2767998
2022-09-14,1285.00000,1313.47498,1268.65002,1284.50000,2740260
2022-09-15,1290.92505,1292.09998,1257.09998,1272.07495,1979796
2022-09-16,1270.00000,1276.94995,1209.34998,1241.69995,2923862
2022-09-19,1245.00000,1264.97498,1218.07495,1240.55005,2277992
2022-09-20,1246.77502,1262.17505,1227.50000,1230.52502,1662434
2022-09-21,1233.27502,1240.50000,1204.50000,1227.32495,2533448
2022-09-22,1230.00000,1265.00000,1220.62500,1243.77502,2726474
2022-09-23,1247.50000,1251.59998,1203.52502,1219.40002,1511820
2022-09-26,1196.22498,1203.97498,1135.75000,1169.82495,2907240
2022-09-27,1175.00000,1182.19995,1136.50000,1141.17505,1899410
2022-09-28,1130.00000,1158.50000,1120.52502,1145.09998,1342928
2022-09-29,1155.00000,1164.32495,1130.69995,1157.40002,3562366
2022-09-30,1157.00000,1178.75000,1145.00000,1172.42505,1537268
2022-10-03,1177.42505,1189.30005,1138.00000,1145.80005,1951292
2022-10-04,1161.05005,1187.09998,1160.00000,1184.00000,1648706
2022-10-06,1187.52502,1246.84998,1185.25000,1238.00000,3203376
2022-10-07,1234.44995,1249.50000,1220.84998,1229.84998,1778044
2022-10-10,1220.00000,1226.15002,1205.00000,1209.87500,1345132
2022-10-11,1214.50000,1225.50000,1180.00000,1184.40002,1211382
2022-10-12,1190.00000,1196.57495,1172.50000,1180.09998,1495980
2022-10-13,1181.50000,1199.50000,1174.37500,1180.19995,1493578
2022-10-14,1195.00000,1202.87500,1165.50000,1168.50000,908480
2022-10-17,1168.50000,1193.47498,1166.52502,1181.97498,1697222
2022-10-18,1188.09998,1243.97498,1180.00000,1238.97498,3098996
2022-10-19,1245.17505,1278.50000,1224.55005,1234.97498,3684862
2022-10-20,1232.44995,1253.00000,1211.27502,1224.00000,2160936
2022-10-21,1232.50000,1245.00000,1190.00000,1201.27502,1552594
2022-10-24,1212.27502,1212.40002,1200.50000,1207.47498,404974
2022-10-25,1208.87500,1258.00000,1203.50000,1251.92505,2591880
2022-10-27,1257.40002,1264.90002,1243.67505,1260.22498,1429232
2022-10-28,1260.00000,1264.50000,1240.80005,1262.32495,1115040
2022-10-31,1263.00000,1275.97498,1256.19995,1265.02502,1038820
2022-11-01,1269.00000,1274.75000,1253.42505,1265.67505,841596
2022-11-02,1265.00000,1274.50000,1237.50000,1246.92505,1265316
2022-11-03,1230.00000,1283.50000,1230.00000,1272.57495,1930752
2022-11-04,1279.34998,1287.00000,1262.80005,1280.47498,1865810
2022-11-07,1286.90002,1303.97498,1276.50000,1296.30005,2117362
2022-11-09,1302.00000,1302.00000,1245.00000,1251.27502,1930226
2022-11-10,1248.00000,1250.00000,1205.59998,1215.55005,1648594
