date,open,high,low,close,volume
2016-02-04,27.77600,28.18048,27.62752,27.90400,540430
2016-02-05,27.72480,27.72480,27.10528,27.26400,736328
2016-02-08,27.01312,28.34944,26.78272,28.25216,540039
2016-02-09,27.91424,28.34432,27.85792,28.09856,368750
2016-02-10,28.27776,28.45696,27.93984,27.98592,356836
2016-02-11,27.54560,27.86816,26.50112,27.17696,257617
2016-02-12,27.34592,27.67872,26.77248,26.87488,268359
2016-02-16,27.11552,27.36128,26.84928,27.22304,292187
2016-02-17,27.42784,27.80672,27.30496,27.71456,462695
2016-02-18,27.97056,28.11904,27.62752,27.92448,325781
2016-02-19,27.89888,28.11392,27.67872,27.81696,377734
2016-02-22,28.22656,28.48768,27.49952,27.66848,473437
2016-02-23,27.64288,28.65664,27.54048,28.50816,533008
2016-02-24,28.23680,28.23680,27.52512,27.82208,312891
2016-02-25,27.90400,28.54912,27.90400,28.41088,365039
2016-02-26,29.23520,30.10048,28.94848,29.47072,881055
2016-02-29,29.65504,29.71648,28.77952,29.44512,699805
2016-03-01,29.73696,30.03904,29.30176,29.91104,558203
2016-03-02,29.92640,30.56128,29.79840,30.35648,451562
2016-03-03,30.23872,30.72000,30.05440,30.27968,468164
2016-03-04,30.27968,30.47936,29.90592,30.37184,400000
2016-03-07,30.21312,30.55104,30.16192,30.38208,316406
2016-03-08,30.20800,30.23360,29.73696,29.76256,343750
2016-03-09,29.79840,29.93152,29.31200,29.47072,224023
2016-03-10,29.48608,29.90080,28.65152,28.91776,386328
2016-03-11,29.09696,29.62432,28.99968,29.51168,187305
2016-03-14,29.39904,29.39904,28.96896,29.29664,282227
2016-03-15,29.09696,29.75744,29.03040,29.58848,383594
2016-03-16,29.50144,30.22336,29.30176,30.09536,424023
2016-03-17,30.09024,30.58176,29.66528,30.49472,370703
2016-03-18,30.72000,30.82752,30.52032,30.76096,710352
2016-03-21,30.82752,31.12448,30.55104,31.07840,431445
2016-03-22,30.78656,30.92992,30.55616,30.91968,371484
2016-03-23,30.78656,30.88384,30.37696,30.43328,348437
2016-03-24,30.35648,30.60736,30.00832,30.53568,287109
