date,open,high,low,close,volume
2019-09-13,9.78000,9.80000,9.78000,9.80000,300
2019-09-19,9.95000,9.95000,9.95000,9.95000,600
2019-09-26,9.95000,9.95000,9.90000,9.90000,200
2019-09-27,9.87000,9.87000,9.87000,9.87000,100
2019-10-03,9.86000,9.86000,9.86000,9.86000,200
2019-10-07,9.85000,9.85000,9.85000,9.85000,500000
2019-10-08,9.85000,9.85000,9.85000,9.85000,50000
2019-10-10,9.82500,9.83000,9.82500,9.82500,225000
2019-10-15,9.85000,9.85000,9.85000,9.85000,4500
2019-10-16,9.85000,9.85000,9.85000,9.85000,5100
2019-10-17,9.85000,9.85000,9.85000,9.85000,9600
2019-10-18,9.85000,9.85000,9.85000,9.85000,100
2019-10-21,9.85000,9.85000,9.85000,9.85000,5000
2019-10-23,9.83800,9.85000,9.83800,9.85000,1400
2019-10-25,9.81000,9.85000,9.81000,9.85000,1300
2019-10-29,9.83000,9.83000,9.83000,9.83000,100000
2019-10-30,9.85000,9.85000,9.85000,9.85000,9900
2019-10-31,9.85000,9.85000,9.83500,9.83500,200
2019-11-04,9.85000,9.85000,9.84000,9.84000,8000
2019-11-05,9.85000,9.86000,9.83000,9.86000,229500
2019-11-07,9.86000,9.86000,9.86000,9.86000,100
2019-11-08,9.87000,9.87000,9.87000,9.87000,3200
2019-11-11,9.87000,9.87000,9.86000,9.87000,35000
2019-11-12,9.92000,9.92000,9.87000,9.87000,6300
2019-11-13,9.87000,9.87000,9.87000,9.87000,88900
2019-11-14,9.85000,9.86000,9.85000,9.85000,206800
2019-11-15,9.85000,9.92000,9.85000,9.90000,88500
2019-11-18,9.92000,9.92000,9.89000,9.90000,521300
2019-11-19,9.92000,9.92000,9.90000,9.90000,111900
2019-11-20,9.92000,9.92000,9.90000,9.92000,20200
2019-11-22,9.81000,9.92000,9.81000,9.91000,3400
2019-11-26,9.87400,9.92000,9.87400,9.92000,200
2019-12-03,9.90000,9.92000,9.90000,9.92000,400
2019-12-04,9.91000,9.92000,9.85000,9.85000,293200
2019-12-05,9.91000,9.91000,9.85000,9.90000,11000
2019-12-06,9.90000,9.90000,9.90000,9.90000,100
2019-12-09,9.91000,9.92000,9.81000,9.81000,40800
2019-12-13,9.87000,9.87000,9.86000,9.86000,177400
2019-12-16,9.90000,9.90000,9.90000,9.90000,100
2019-12-18,9.88000,9.88000,9.86000,9.86000,90000
2019-12-20,9.89500,9.89500,9.89500,9.89500,500
2019-12-30,9.90000,9.90000,9.90000,9.90000,200
2020-01-02,9.90000,9.90000,9.90000,9.90000,300
2020-01-07,9.92000,9.92000,9.92000,9.92000,105000
2020-01-08,9.92000,9.93000,9.92000,9.93000,100300
2020-01-09,9.94100,9.96000,9.94000,9.95000,209100
2020-01-15,9.99400,9.99400,9.99400,9.99400,100
2020-01-17,10.05000,10.05000,10.05000,10.05000,26000
2020-01-21,10.07200,10.07200,10.07200,10.07200,1000
2020-01-22,10.10000,10.10000,10.07200,10.07200,1700
2020-01-23,10.07000,10.07000,10.07000,10.07000,2500
2020-01-24,10.05000,10.05100,10.05000,10.05000,40000
2020-01-27,10.06000,10.06000,10.03000,10.05300,4400
2020-01-29,10.05000,10.07000,10.05000,10.07000,10400
2020-01-30,10.19000,10.19000,10.01000,10.01000,3800
2020-01-31,10.05000,10.05000,10.05000,10.05000,16400
2020-02-04,10.05000,10.05000,10.05000,10.05000,100
2020-02-05,10.05000,10.05000,10.05000,10.05000,13400
2020-02-06,10.01000,10.05000,10.01000,10.05000,1300
2020-02-07,10.03000,10.06000,10.02500,10.05100,28100
2020-02-10,10.07800,10.07800,10.03000,10.03000,300
2020-02-11,10.05200,10.05200,10.01000,10.01000,400
2020-02-12,10.15000,10.15000,10.10000,10.15000,2500
2020-02-14,10.06000,10.15000,10.06000,10.10000,30200
2020-02-20,10.10000,10.10000,10.10000,10.10000,200
2020-02-27,10.02000,10.10000,9.97000,10.10000,71100
2020-02-28,10.03800,10.03800,10.03800,10.03800,600
2020-03-04,10.11000,10.11000,10.11000,10.11000,100
2020-03-05,10.11000,10.11000,10.05000,10.09000,1400
2020-03-09,10.00000,10.06000,9.98500,10.00900,1300
2020-03-10,9.96000,9.97000,9.92000,9.97000,55000
2020-03-11,9.97000,9.98000,9.94000,9.94000,534500
2020-03-12,9.90000,9.90000,9.84000,9.84000,510200
2020-03-16,9.70000,9.70000,9.65000,9.65000,32600
2020-03-17,9.66000,9.66000,9.56000,9.56000,1700
