date,open,high,low,close,volume
2022-11-01,21.10000,21.89000,20.83000,21.54000,114475
2022-11-02,21.34000,21.75000,21.00000,21.34000,90140
2022-11-03,20.61000,21.40000,20.61000,20.95000,88570
2022-11-04,21.37000,21.37000,19.91000,20.38000,125490
2022-11-07,19.65000,20.79000,19.43000,20.15000,179175
2022-11-09,20.00000,20.47000,19.62000,20.17000,76255
2022-11-10,20.38000,20.38000,19.67000,19.76000,71775
2022-11-11,20.28000,20.28000,19.61000,19.85000,49645
2022-11-14,20.09000,20.09000,19.20000,19.28000,115250
2022-11-15,19.48000,20.24000,18.36000,19.69000,192435
2022-11-16,19.68000,19.90000,19.16000,19.71000,79870
2022-11-17,19.21000,20.00000,18.82000,19.96000,137360
2022-11-18,20.19000,20.19000,19.00000,19.41000,66340
2022-11-21,19.76000,19.76000,18.45000,18.84000,113715
2022-11-22,18.95000,18.95000,18.02000,18.16000,117900
2022-11-23,18.10000,18.60000,17.60000,18.11000,125155
2022-11-24,18.13000,19.01000,18.13000,19.01000,84770
2022-11-25,19.96000,19.96000,18.69000,19.01000,93905
2022-11-28,19.01000,19.28000,18.50000,18.90000,50310
2022-11-29,18.41000,19.15000,18.41000,18.68000,62630
2022-11-30,18.99000,18.99000,18.04000,18.69000,58145
2022-12-01,18.95000,18.95000,18.50000,18.77000,101240
2022-12-02,18.96000,18.96000,18.21000,18.88000,53120
2022-12-05,18.80000,18.99000,18.50000,18.88000,78735
2022-12-06,19.15000,19.82000,18.20000,19.81000,312250
2022-12-07,20.78000,20.78000,19.20000,19.62000,104735
2022-12-08,19.40000,19.62000,18.66000,19.23000,125785
2022-12-09,19.23000,19.58000,18.33000,18.62000,108880
2022-12-12,18.06000,19.30000,18.06000,19.17000,52095
2022-12-13,19.30000,19.43000,18.85000,18.98000,65050
2022-12-14,18.85000,19.35000,18.85000,19.15000,53975
2022-12-15,19.30000,19.30000,18.27000,18.46000,104590
2022-12-16,18.60000,18.71000,18.00000,18.34000,65675
2022-12-19,18.12000,18.64000,18.12000,18.55000,36150
2022-12-20,18.58000,19.14000,18.07000,18.53000,69480
2022-12-21,18.79000,18.94000,17.62000,18.00000,186935
2022-12-22,18.00000,18.19000,17.10000,17.47000,190835
2022-12-23,16.60000,17.47000,16.60000,16.60000,98065
2022-12-26,16.20000,17.43000,15.81000,17.40000,105180
2022-12-27,18.19000,18.20000,17.20000,18.05000,51130
2022-12-28,18.19000,18.19000,17.65000,17.76000,39935
2022-12-29,17.74000,17.91000,17.20000,17.34000,54960
2022-12-30,17.54000,18.20000,17.05000,18.11000,129135
2023-01-02,18.89000,18.89000,18.11000,18.50000,38875
2023-01-03,18.21000,18.57000,17.62000,17.80000,66245
2023-01-04,17.96000,18.20000,17.60000,18.13000,58535
2023-01-05,18.52000,18.52000,17.85000,18.17000,45820
2023-01-06,18.49000,18.49000,17.92000,18.04000,50050
2023-01-09,18.69000,18.69000,18.08000,18.19000,26660
2023-01-10,18.54000,18.54000,17.94000,18.02000,51770
2023-01-11,17.96000,18.40000,17.82000,17.87000,39840
2023-01-12,17.86000,18.04000,17.82000,17.88000,32635
2023-01-13,18.20000,18.20000,17.82000,18.01000,32090
2023-01-16,18.00000,18.54000,18.00000,18.22000,49105
2023-01-17,18.54000,18.56000,17.92000,18.35000,107065
2023-01-18,18.66000,18.66000,18.35000,18.50000,49185
2023-01-19,18.94000,18.94000,18.00000,18.21000,47125
2023-01-20,18.32000,18.79000,18.25000,18.46000,95660
2023-01-23,18.34000,18.84000,17.84000,18.27000,57330
2023-01-24,18.02000,18.59000,17.90000,18.15000,61045
2023-01-25,18.40000,18.40000,17.90000,18.07000,47520
2023-01-27,18.58000,18.60000,17.74000,17.95000,48850
2023-01-30,17.80000,17.84000,17.06000,17.54000,62030
2023-01-31,17.80000,18.18000,17.30000,17.89000,35385
2023-02-01,17.82000,18.20000,17.45000,17.49000,53570
2023-02-02,17.39000,18.36000,17.38000,18.14000,46215
2023-02-03,18.20000,18.20000,17.24000,17.40000,71280
2023-02-06,17.69000,17.69000,16.81000,17.25000,60125
2023-02-07,17.25000,18.79000,17.20000,18.08000,80890
2023-02-08,17.85000,18.60000,17.85000,18.07000,49005
2023-02-09,18.60000,18.60000,17.82000,18.05000,45960
2023-02-10,18.96000,19.40000,18.44000,18.73000,179905
2023-02-13,19.20000,19.36000,18.27000,18.51000,85680
2023-02-14,18.60000,18.60000,17.91000,18.34000,37370
2023-02-15,18.01000,19.20000,18.01000,18.59000,42720
2023-02-16,19.30000,19.30000,18.04000,18.21000,43995
2023-02-17,18.80000,18.80000,18.10000,18.25000,19065
2023-02-20,18.78000,18.78000,17.90000,18.06000,104815
2023-02-21,17.62000,18.35000,17.62000,17.94000,50450
2023-02-22,18.60000,18.60000,17.51000,17.68000,25575
2023-02-23,17.98000,17.98000,16.23000,16.55000,77730
2023-02-24,17.00000,17.36000,15.96000,16.44000,160360
2023-02-27,16.07000,16.80000,15.36000,15.77000,86365
2023-02-28,15.42000,16.04000,15.42000,15.95000,34570
2023-03-01,16.19000,17.54000,16.19000,17.16000,74605
2023-03-02,17.40000,17.40000,16.57000,17.09000,32665
2023-03-03,17.59000,18.00000,17.01000,17.51000,64495
2023-03-06,18.00000,18.38000,17.42000,17.64000,65595
2023-03-08,17.84000,17.99000,17.50000,17.79000,44690
2023-03-09,17.79000,18.00000,17.50000,17.72000,29330
2023-03-10,17.22000,17.70000,17.13000,17.38000,48440
2023-03-13,17.57000,17.57000,16.54000,16.76000,66480
2023-03-14,17.60000,17.60000,16.32000,16.59000,34520
2023-03-15,16.60000,16.99000,16.20000,16.30000,30770
2023-03-16,16.41000,16.60000,15.70000,15.86000,61975
2023-03-17,16.28000,16.34000,15.87000,15.99000,34630
2023-03-20,16.00000,16.28000,15.40000,16.10000,25995
2023-03-21,16.72000,16.72000,16.20000,16.46000,21295
2023-03-22,16.98000,16.98000,16.10000,16.21000,25315
2023-03-23,16.02000,16.20000,15.81000,16.09000,22695
2023-03-24,16.91000,16.91000,15.90000,15.93000,42625
2023-03-27,16.68000,16.68000,15.70000,15.91000,50390
2023-03-28,16.32000,16.32000,15.50000,15.64000,68910
2023-03-29,16.28000,16.39000,15.32000,15.48000,49855
2023-03-31,15.96000,16.19000,15.64000,15.83000,35350
2023-04-03,16.34000,16.34000,15.84000,16.03000,37980
2023-04-05,16.39000,16.55000,15.80000,16.50000,81145
2023-04-06,16.63000,17.11000,16.11000,16.38000,76140
2023-04-10,16.99000,16.99000,15.89000,16.04000,76450
2023-04-11,16.44000,16.80000,15.99000,16.49000,53700
2023-04-12,16.92000,16.92000,16.44000,16.74000,52520
