date,open,high,low,close,volume
2025-01-22,24.45000,24.45000,24.45000,24.45000,700
2025-02-04,24.45000,24.45000,24.45000,24.45000,100
2025-02-06,24.50000,24.50000,24.35000,24.35000,2200
2025-02-14,24.36000,24.36000,24.35000,24.35000,2000
2025-02-19,24.40000,24.40000,24.40000,24.40000,700
2025-02-21,24.40000,24.40000,24.35000,24.35000,2200
2025-02-28,24.53000,24.60000,24.53000,24.60000,2000
2025-03-03,24.37700,24.37700,24.35000,24.35000,2200
2025-03-04,24.36000,24.36000,24.25000,24.25000,4000
2025-03-06,24.37000,24.51900,24.37000,24.51900,3100
2025-03-11,24.53000,24.60500,24.38000,24.38000,500
2025-03-13,24.36000,24.36000,24.36000,24.36000,100
2025-03-14,24.11000,24.11000,24.11000,24.11000,500
2025-03-17,24.22000,24.22000,24.22000,24.22000,100
2025-03-18,24.31000,24.45000,24.31000,24.45000,400
2025-03-19,24.35000,24.35000,24.30000,24.32000,1500
2025-03-20,24.45000,24.45000,24.35000,24.35000,400
2025-03-21,24.43200,24.43200,24.43200,24.43200,200
2025-03-24,24.43000,24.50000,24.43000,24.50000,500
2025-03-25,24.43000,24.43000,24.35000,24.35000,700
2025-03-26,24.52800,24.55000,24.52800,24.52800,400
2025-03-27,25.57000,25.57000,24.95000,24.99000,4600
2025-03-28,24.90000,25.39000,24.35000,24.75500,2700
2025-03-31,24.56000,24.85000,24.30000,24.74000,2600
2025-04-04,24.54500,24.54500,24.54500,24.54500,500
2025-04-09,24.78000,24.78000,24.68000,24.68000,500
2025-04-14,24.53000,24.53000,24.25000,24.25000,900
2025-04-15,24.64000,24.64000,24.64000,24.64000,200
2025-04-16,24.39000,24.69000,24.22000,24.69000,4200
2025-04-17,24.55000,24.55000,24.55000,24.55000,1700
2025-04-21,24.57500,24.57500,24.55000,24.55000,700
2025-04-22,24.62000,24.63000,24.62000,24.63000,800
2025-04-23,24.69000,24.69000,24.56000,24.56000,1100
2025-04-24,24.55000,24.62500,24.55000,24.60000,2500
2025-04-28,24.65000,24.65000,24.65000,24.65000,400
2025-04-29,24.65000,24.66000,24.40000,24.66000,6100
2025-04-30,24.70000,24.70000,24.70000,24.70000,700
2025-05-05,24.60000,24.60000,24.60000,24.60000,200
2025-05-06,24.60000,24.60000,24.60000,24.60000,2100
2025-05-07,24.60000,24.60000,24.43500,24.50000,800
2025-05-12,24.82000,24.82000,24.55000,24.75000,600
2025-05-13,24.75000,24.75000,24.75000,24.75000,200
2025-05-19,24.65000,24.75000,24.65000,24.70000,3000
2025-05-21,24.75000,24.75000,24.65000,24.65000,900
2025-05-22,24.51000,24.60000,24.41000,24.41000,3700
2025-05-29,24.75000,24.75000,24.75000,24.75000,300
2025-06-09,24.75000,24.75000,24.75000,24.75000,100
2025-06-11,24.84000,24.84000,24.82000,24.84000,500
2025-06-16,24.63000,24.63000,24.63000,24.63000,500
2025-06-18,24.85000,24.85000,24.85000,24.85000,1400
2025-06-23,24.65000,24.80000,24.63000,24.70000,1800
2025-06-24,24.75000,24.75000,24.75000,24.75000,200
2025-06-26,24.84500,24.85500,24.75000,24.84500,4100
2025-06-30,24.75000,24.75000,24.75000,24.75000,100
2025-07-01,24.75000,24.75000,24.75000,24.75000,200
2025-07-02,24.75000,24.75000,24.42500,24.60000,7900
2025-07-07,24.65000,24.65000,24.65000,24.65000,400
2025-07-09,24.67600,24.70000,24.55000,24.67500,1900
2025-07-10,24.66900,24.66900,24.55000,24.55000,4900
2025-07-22,24.72000,24.72000,24.72000,24.72000,200
2025-07-30,24.58000,24.58000,24.52000,24.52000,600
2025-08-01,24.78900,24.79900,24.78000,24.78400,2900
2025-08-04,24.65000,24.65000,24.50000,24.53000,2500
2025-08-06,24.75000,24.75000,24.73000,24.75000,1200
2025-08-08,24.75000,24.85000,24.57000,24.85000,7600
2025-08-12,24.59000,24.59000,24.59000,24.59000,100
2025-08-13,24.72500,24.84000,24.63000,24.84000,700
2025-08-15,24.82000,24.82000,24.82000,24.82000,100
2025-08-18,24.84000,24.84000,24.84000,24.84000,300
2025-08-19,24.85000,24.85000,24.85000,24.85000,2200
2025-08-25,24.89000,25.00000,24.89000,25.00000,900
2025-08-26,24.89000,24.89000,24.89000,24.89000,700
2025-08-27,25.00000,25.00000,24.56000,24.56000,2600
2025-09-02,24.80000,24.85000,24.80000,24.85000,800
2025-09-03,24.90000,24.90000,24.62000,24.86200,3100
2025-09-05,24.92700,24.94000,24.85000,24.94000,2500
2025-09-09,24.92000,25.00000,24.92000,25.00000,1800
2025-09-10,24.90000,24.90000,24.90000,24.90000,300
2025-09-11,25.00000,25.00000,24.97000,25.00000,1500
2025-09-22,24.63000,24.75000,24.63000,24.68000,1000
2025-09-23,24.68000,24.68000,24.68000,24.68000,600
2025-09-25,24.90000,24.90000,24.90000,24.90000,200
2025-09-26,24.75000,24.75000,24.61000,24.65000,1400
2025-09-29,24.89000,24.89000,24.75000,24.89000,400
2025-09-30,24.80000,24.90000,24.80000,24.89800,700
2025-10-01,24.74000,24.79500,24.70000,24.79500,3200
2025-10-06,24.72000,24.72000,24.72000,24.72000,100
2025-10-08,24.85000,24.85000,24.77400,24.77400,1000
2025-10-10,24.76000,24.85000,24.25000,24.85000,2400
2025-10-13,24.69000,24.85000,24.54000,24.85000,1300
2025-10-14,24.82000,24.82000,24.82000,24.82000,300
2025-10-15,24.85500,24.85500,24.82000,24.82000,400
2025-10-16,24.89000,24.89000,24.83200,24.84000,700
2025-10-17,24.90000,24.90000,24.90000,24.90000,300
2025-10-20,24.90000,24.90000,24.90000,24.90000,600
2025-10-23,24.85000,24.85000,24.68000,24.69000,2000
2025-10-24,24.81000,24.81000,24.81000,24.81000,100
2025-10-27,24.99000,24.99000,24.99000,24.99000,200
2025-10-28,24.80000,24.80000,24.70200,24.75000,4500
2025-10-31,24.85000,25.00000,24.85000,25.00000,500
2025-11-05,24.87500,24.87500,24.87500,24.87500,400
2025-11-10,24.78000,24.78000,24.77000,24.78000,400
2025-11-17,24.91000,24.91000,24.90000,24.90000,5600
2025-11-19,24.96000,24.96000,24.96000,24.96000,100
2025-11-20,25.00000,25.00000,25.00000,25.00000,800
2025-11-21,25.15000,25.20000,25.15000,25.20000,300
2025-11-25,24.99100,25.00000,24.96000,24.96000,1600
2025-11-26,25.00000,25.00000,25.00000,25.00000,200
2025-11-28,25.04000,25.04000,25.04000,25.04000,400
2025-12-02,25.01000,25.01000,24.51000,24.53000,9100
2025-12-03,24.70000,24.90000,24.70000,24.86000,4800
2025-12-04,24.92000,24.96000,24.90800,24.90800,2000
2025-12-05,24.92000,24.98000,24.92000,24.95000,2200
2025-12-08,24.96000,24.98000,24.95000,24.95000,1100
2025-12-09,25.00000,25.00000,25.00000,25.00000,500
2025-12-10,25.00000,25.00000,24.83000,24.83000,1300
2025-12-11,24.96000,25.08000,24.96000,25.08000,900
2025-12-12,25.02000,25.02000,25.02000,25.02000,200
2025-12-16,24.82000,24.82000,24.82000,24.82000,800
2025-12-17,24.82000,24.82000,24.82000,24.82000,900
2025-12-18,24.83000,24.85000,24.82000,24.82000,2200
2025-12-31,25.00000,25.00000,25.00000,25.00000,300
2026-01-12,24.99000,25.00000,24.99000,24.99000,500
2026-01-15,24.94500,24.98000,24.94500,24.98000,600
2026-01-16,25.08500,25.08500,24.97000,24.97000,900
2026-01-21,24.97000,24.97000,24.97000,24.97000,700
2026-01-22,24.95000,24.95000,24.95000,24.95000,200
