date,open,high,low,close,volume
2023-10-02,15.50000,15.54000,15.38000,15.41000,264800
2023-10-03,15.42000,15.46000,15.20000,15.23000,154300
2023-10-04,15.31000,15.33000,15.21000,15.30000,153300
2023-10-05,15.30000,15.52000,15.30000,15.51000,178300
2023-10-06,15.48000,15.77000,15.44000,15.71000,184200
2023-10-09,15.70000,15.78000,15.60000,15.75000,194400
2023-10-10,15.82000,15.89000,15.68000,15.81000,119800
2023-10-11,15.84000,15.88000,15.75000,15.79000,108700
2023-10-12,15.76000,15.77000,15.46000,15.48000,121700
2023-10-13,15.46000,15.56000,15.42000,15.44000,137600
2023-10-16,15.53000,15.66000,15.45000,15.51000,134700
2023-10-17,15.49000,15.53000,15.38000,15.44000,173200
2023-10-18,15.47000,15.47000,15.25000,15.26000,145200
2023-10-19,15.25000,15.26000,14.84000,14.87000,192600
2023-10-20,14.84000,14.97000,14.79000,14.80000,117600
2023-10-23,14.79000,14.84000,14.59000,14.61000,163200
2023-10-24,14.70000,14.84000,14.67000,14.76000,134200
2023-10-25,14.73000,14.73000,14.55000,14.66000,176600
2023-10-26,14.61000,14.71000,14.55000,14.59000,128400
2023-10-27,14.62000,14.62000,14.31000,14.32000,139300
2023-10-30,14.37000,14.53000,14.37000,14.47000,100800
2023-10-31,14.47000,14.63000,14.47000,14.61000,240400
2023-11-01,14.65000,14.95000,14.65000,14.91000,190300
2023-11-02,15.03000,15.40000,15.03000,15.40000,199200
2023-11-03,15.44000,15.84000,15.44000,15.79000,197400
2023-11-06,15.79000,15.85000,15.63000,15.65000,139200
2023-11-07,15.65000,15.68000,15.51000,15.60000,179100
2023-11-08,15.68000,15.68000,15.36000,15.39000,93500
2023-11-09,15.47000,15.47000,14.77000,14.78000,242600
2023-11-10,14.77000,14.91000,14.74000,14.90000,183900
2023-11-13,14.90000,14.96000,14.75000,14.89000,149500
2023-11-14,15.01000,15.36000,15.01000,15.17000,330500
2023-11-15,15.27000,15.35000,15.18000,15.23000,161600
2023-11-16,15.31000,15.32000,15.02000,15.08000,183500
2023-11-17,15.20000,15.30000,15.14000,15.29000,190700
2023-11-20,15.32000,15.43000,15.30000,15.35000,192000
2023-11-21,15.02000,15.11000,14.70000,14.75000,325200
2023-11-22,14.79000,14.90000,14.79000,14.82000,293400
2023-11-24,14.86000,14.97000,14.83000,14.89000,90700
2023-11-27,14.89000,14.92000,14.65000,14.70000,372900
2023-11-28,14.65000,14.77000,14.58000,14.60000,281200
2023-11-29,14.62000,14.89000,14.62000,14.72000,272500
