date,open,high,low,close,volume
2023-10-05,37.99000,38.27000,37.20000,37.35000,3170600
2023-10-06,37.17000,37.21000,35.96000,36.87000,2782900
2023-10-09,36.70000,36.84000,35.41000,36.05000,4866300
2023-10-10,36.39000,37.24000,36.39000,36.81000,3151900
2023-10-11,36.87000,36.99000,36.09000,36.23000,2250900
2023-10-12,36.00000,36.19000,32.20000,32.67000,8080400
2023-10-13,32.09000,32.25000,30.70000,32.02000,7341800
2023-10-16,32.05000,32.42000,31.31000,32.12000,5147300
2023-10-17,32.07000,32.66000,32.00000,32.41000,3473700
2023-10-18,32.48000,32.62000,31.85000,31.86000,2647900
2023-10-19,31.86000,32.22000,31.70000,31.82000,2657000
2023-10-20,31.99000,32.13000,31.40000,31.42000,3068400
2023-10-23,31.27000,31.51000,30.92000,30.96000,2984000
2023-10-24,30.96000,31.22000,30.86000,30.96000,5064600
2023-10-25,31.03000,32.17000,30.93000,32.12000,5677100
2023-10-26,32.20000,32.25000,31.67000,32.04000,3609900
2023-10-27,31.87000,32.01000,31.30000,31.39000,2891500
2023-10-30,31.59000,32.14000,31.59000,32.06000,2557100
2023-10-31,32.23000,32.70000,32.18000,32.55000,7189300
2023-11-01,32.51000,32.67000,32.14000,32.44000,4235700
2023-11-02,32.72000,33.37000,32.60000,33.18000,3305300
2023-11-03,33.58000,33.68000,32.83000,32.87000,2215500
2023-11-06,32.86000,32.98000,32.49000,32.53000,1999100
2023-11-07,32.54000,32.72000,32.40000,32.59000,2129000
2023-11-08,32.68000,32.69000,32.38000,32.47000,1894900
2023-11-09,32.58000,32.60000,32.30000,32.51000,2175000
2023-11-10,32.64000,32.64000,32.32000,32.50000,2115500
2023-11-13,32.32000,32.67000,32.29000,32.43000,2379100
2023-11-14,32.73000,33.16000,32.53000,32.92000,3841700
2023-11-15,32.97000,33.02000,32.58000,32.74000,2059100
2023-11-16,32.67000,32.99000,32.50000,32.66000,7867200
2023-11-17,32.84000,32.84000,32.33000,32.52000,3708400
2023-11-20,32.33000,32.48000,32.16000,32.19000,2797200
2023-11-21,32.28000,32.72000,32.16000,32.45000,8459100
2023-11-22,32.75000,32.83000,32.34000,32.59000,3400000
2023-11-24,32.70000,32.91000,32.62000,32.72000,1191400
2023-11-27,32.73000,32.77000,31.87000,31.96000,3757500
2023-11-28,31.93000,32.12000,31.65000,31.95000,5487500
2023-11-29,31.55000,31.71000,30.12000,30.47000,8596600
2023-11-30,30.50000,30.87000,30.14000,30.59000,7201800
2023-12-01,30.59000,31.34000,30.55000,31.32000,2968900
2023-12-04,31.32000,31.92000,31.32000,31.74000,2454900
2023-12-05,31.77000,31.87000,31.28000,31.34000,2153100
2023-12-06,31.26000,31.95000,31.14000,31.90000,3016700
2023-12-07,32.00000,32.05000,31.52000,31.85000,2546700
2023-12-08,31.89000,31.89000,31.36000,31.38000,2133700
2023-12-11,31.63000,31.93000,31.39000,31.71000,3222700
2023-12-12,31.69000,31.75000,31.37000,31.66000,1899500
2023-12-13,31.58000,32.71000,31.41000,32.70000,2468100
2023-12-14,32.78000,32.85000,31.87000,31.92000,3134600
2023-12-15,31.77000,31.87000,31.03000,31.08000,5677200
