date,open,high,low,close,volume
2025-02-05,10.08000,10.08000,10.02000,10.02000,34700
2025-02-06,10.02000,10.02000,10.02000,10.02000,156000
2025-02-07,10.02000,10.02000,10.02000,10.02000,5500
2025-02-10,10.02000,10.02000,10.02000,10.02000,291500
2025-02-11,10.02000,10.03000,10.01000,10.03000,297700
2025-02-12,10.02000,10.02000,10.01200,10.02000,269400
2025-02-13,10.03000,10.03000,10.03000,10.03000,1700
2025-02-18,10.03000,10.03000,10.03000,10.03000,6400
2025-02-19,10.04000,10.04000,10.02000,10.02000,90700
2025-02-20,10.03000,10.03000,10.02000,10.02000,56800
2025-02-21,10.02500,10.03000,10.02500,10.03000,117800
2025-02-24,10.04000,10.04000,10.03000,10.03000,475600
2025-02-25,10.05000,10.05000,10.03000,10.03000,26900
2025-02-26,10.04000,10.04000,10.03000,10.03000,120500
2025-02-27,10.04000,10.04000,10.03000,10.03000,386800
2025-02-28,10.04000,10.04000,10.04000,10.04000,200
2025-03-03,10.03000,10.04000,10.03000,10.04000,186900
2025-03-04,10.03000,10.04000,10.03000,10.04000,90100
2025-03-05,10.05000,10.07000,10.04000,10.07000,218900
2025-03-07,10.08000,10.08000,10.08000,10.08000,100
2025-03-12,10.05000,10.07000,10.05000,10.07000,85300
2025-03-13,10.08000,10.08000,10.07000,10.08000,6600
2025-03-21,10.10000,10.10000,10.10000,10.10000,100
2025-03-24,10.10000,10.10000,10.10000,10.10000,100
2025-03-31,10.10000,10.10000,10.10000,10.10000,200
2025-04-01,10.10000,10.10000,10.09500,10.10000,1200
2025-04-03,10.10000,10.10000,10.10000,10.10000,3100
2025-04-04,10.11000,10.11000,10.09000,10.10000,39300
2025-04-07,10.12000,10.12000,10.12000,10.12000,100
2025-04-08,10.12000,10.12000,10.09000,10.10000,14000
2025-04-09,10.10000,10.10000,10.10000,10.10000,1600
2025-04-10,10.11000,10.18000,10.10000,10.12000,28900
2025-04-11,10.12000,10.12000,10.12000,10.12000,200
2025-04-14,10.11000,10.12000,10.11000,10.11000,1400
2025-04-15,10.11000,10.12000,10.11000,10.12000,1400
2025-04-16,10.11000,10.12000,10.11000,10.12000,200
2025-04-17,10.12000,10.20000,10.12000,10.12000,75100
2025-04-21,10.13000,10.13000,10.12000,10.12000,5800
2025-05-01,10.14000,10.14000,10.13000,10.13000,28000
2025-05-02,10.11000,10.11000,10.11000,10.11000,100
2025-05-05,10.14000,10.14000,10.14000,10.14000,600
2025-05-06,10.16000,10.16000,10.14000,10.15000,3100
2025-05-07,10.16000,10.16000,10.16000,10.16000,1400
2025-05-08,10.15000,10.15000,10.15000,10.15000,3500
2025-05-09,10.35000,10.44000,10.16000,10.16000,1300
2025-05-12,10.29000,10.29000,10.16000,10.16000,6800
2025-05-13,10.21000,10.21000,10.21000,10.21000,1600
2025-05-16,10.17000,10.17000,10.17000,10.17000,1000
2025-05-27,10.18000,10.18000,10.18000,10.18000,5500
2025-06-06,10.21000,10.21000,10.21000,10.21000,400
2025-06-09,10.22000,10.22000,10.22000,10.22000,500
2025-06-10,10.22000,10.22000,10.21000,10.21000,100000
2025-06-20,10.21000,10.21000,10.21000,10.21000,100
2025-06-26,10.21000,10.21000,10.21000,10.21000,600
2025-06-27,10.21000,10.22000,10.21000,10.22000,6000
2025-07-09,10.24000,10.24000,10.24000,10.24000,1100
2025-07-11,10.24000,10.24000,10.24000,10.24000,7400
2025-07-16,10.25000,10.25000,10.25000,10.25000,2000
2025-07-29,10.29000,10.29000,10.29000,10.29000,100
2025-08-01,10.26000,10.26000,10.26000,10.26000,100
2025-08-07,10.27000,10.27000,10.27000,10.27000,300
2025-08-18,10.29000,10.29000,10.29000,10.29000,100
2025-08-19,10.29000,10.29000,10.29000,10.29000,1000
2025-08-20,10.30000,10.30000,10.29000,10.29000,3300
2025-08-21,10.29000,10.29000,10.29000,10.29000,700
2025-08-25,10.30000,10.30000,10.30000,10.30000,2000
2025-09-02,10.31000,10.31000,10.31000,10.31000,21200
2025-09-10,10.33000,10.36000,10.33000,10.35000,17100
2025-09-11,10.31000,10.31000,10.31000,10.31000,23000
2025-09-15,10.33000,10.33000,10.33000,10.33000,5100
2025-09-16,10.32000,10.32000,10.32000,10.32000,5100
2025-09-18,10.32000,10.32500,10.32000,10.32500,8100
2025-09-22,10.33000,10.33000,10.33000,10.33000,3500
2025-09-23,10.33000,10.33000,10.33000,10.33000,2000
2025-09-26,10.34000,10.34000,10.34000,10.34000,34000
2025-09-29,10.35000,10.37000,10.35000,10.36000,40500
2025-10-01,10.35500,10.35500,10.35500,10.35500,100
2025-10-13,10.36000,10.36000,10.36000,10.36000,3500
2025-10-15,10.37000,10.37000,10.37000,10.37000,200
2025-10-16,10.35000,10.35000,10.35000,10.35000,200
2025-10-20,10.35900,10.37000,10.35700,10.37000,4100
