date,open,high,low,close,volume
2024-10-22,4.00000,4.96000,3.52000,4.11000,1637900
2024-10-23,4.20000,4.45000,3.90000,4.03000,330500
2024-10-24,3.75000,4.00600,3.75000,3.76000,93000
2024-10-25,3.85000,4.18200,3.85000,4.12000,74500
2024-10-28,4.18000,4.89000,4.03000,4.39000,486900
2024-10-29,4.49000,4.49000,4.20000,4.40000,67100
2024-10-30,4.26000,4.64000,4.23000,4.50000,70500
2024-10-31,4.48000,4.73500,4.43000,4.55000,95600
2024-11-01,4.69000,4.80600,4.55000,4.64000,31200
2024-11-04,4.87000,4.90000,4.50000,4.50000,56600
2024-11-05,4.41000,4.55000,4.13000,4.24000,144600
2024-11-06,4.25000,4.40000,3.90000,4.16000,111100
2024-11-07,4.14000,4.40000,4.01000,4.28000,52800
2024-11-08,4.22000,4.39000,4.20000,4.21000,38200
2024-11-11,4.26000,4.60000,4.23000,4.45000,17200
2024-11-12,4.76000,4.76000,4.41600,4.42000,14000
2024-11-13,4.66100,4.66100,4.43500,4.52000,7700
2024-11-14,4.52600,4.68000,4.45700,4.50000,6100
2024-11-15,4.74000,4.80000,4.40000,4.40000,16100
2024-11-18,4.67000,4.73000,4.05000,4.19000,112500
2024-11-19,4.12000,4.43000,4.00000,4.36000,106700
2024-11-20,4.50000,4.56000,3.80000,4.00000,94300
2024-11-21,4.01000,4.35000,4.00000,4.15000,238300
2024-11-22,4.10000,4.27500,4.00000,4.00000,167500
2024-11-25,4.00000,4.37000,4.00000,4.01000,48700
2024-11-26,4.15000,4.28500,4.05000,4.09000,65800
2024-11-27,4.23000,4.27500,4.13000,4.16000,83400
2024-11-29,4.29000,4.49000,3.92100,4.14000,91500
2024-12-02,4.36000,4.36500,4.10000,4.13000,80100
2024-12-03,4.19500,4.78000,4.13000,4.55000,107500
2024-12-04,4.64500,9.89000,3.60000,5.11000,1255300
2024-12-05,4.38000,5.72500,4.34000,5.12000,235600
2024-12-06,5.20000,5.75000,4.68000,5.01000,225000
2024-12-09,4.99000,5.40000,4.81000,5.00000,122900
2024-12-10,4.79000,5.20000,4.79000,5.07000,76500
2024-12-11,5.01500,5.17000,4.80100,5.00000,38100
2024-12-12,4.99000,5.30000,4.70000,5.14400,105000
2024-12-13,5.20000,5.40000,4.85000,5.14000,68600
2024-12-16,5.18000,5.18000,4.60000,4.78000,110100
2024-12-17,4.67000,4.83000,4.32000,4.71800,132400
2024-12-18,4.60000,4.80000,4.52000,4.60100,81800
2024-12-19,4.65000,5.00000,4.40000,4.50000,100600
2024-12-20,4.54000,4.76300,4.39000,4.50000,126800
2024-12-23,4.55000,4.59000,4.31000,4.31000,45900
2024-12-24,4.50000,5.00000,4.41000,4.81000,97100
2024-12-26,4.81000,5.16000,4.58500,5.08000,111500
2024-12-27,5.16000,5.50000,4.81000,4.89400,51700
2024-12-30,4.75000,5.06000,4.66000,4.73000,43400
2024-12-31,4.74000,4.92500,4.74000,4.74000,10600
2025-01-02,4.72000,4.85000,4.60000,4.70000,17800
2025-01-03,4.95000,5.50000,4.41000,4.56000,99200
2025-01-06,4.60000,5.00000,4.45500,4.65000,83700
2025-01-07,4.74000,4.74000,4.30000,4.48000,18400
2025-01-08,4.70000,4.70000,4.10000,4.35900,89600
2025-01-10,4.40000,4.40000,4.10000,4.10000,17200
2025-01-13,4.30000,4.48000,4.10000,4.40000,12500
2025-01-14,4.40000,4.70000,4.35000,4.55000,65400
2025-01-15,4.58000,4.80000,4.56000,4.69000,40600
2025-01-16,4.65000,4.70000,4.31000,4.52000,75800
2025-01-17,4.60000,4.70000,4.48000,4.51000,9100
2025-01-21,4.58000,4.64000,4.40000,4.58000,26200
2025-01-22,4.58000,4.80000,4.33000,4.56000,34400
2025-01-23,4.79000,4.79000,4.29500,4.39500,37500
2025-01-24,4.50000,4.50000,4.30000,4.38000,41200
2025-01-27,4.30000,4.33100,4.05000,4.10000,33900
2025-01-28,4.16100,4.50000,4.13000,4.26000,26800
2025-01-29,4.38600,4.56000,4.38000,4.38900,23300
2025-01-30,4.30000,4.41000,4.29600,4.36000,24800
2025-01-31,4.35000,4.54000,4.29000,4.29000,11200
2025-02-03,4.27000,4.36000,4.15000,4.15000,5600
2025-02-04,4.20000,4.35000,4.15000,4.16000,5200
2025-02-05,4.20000,4.38000,4.15000,4.15000,3500
2025-02-06,4.21000,4.42000,3.92000,3.92000,5500
2025-02-07,3.96000,4.08000,3.95000,4.07000,8000
2025-02-10,4.13000,4.13000,4.00500,4.00500,4600
2025-02-11,3.97000,4.16000,3.92000,3.95000,9900
2025-02-12,3.92000,4.00000,3.92000,3.96000,5000
2025-02-13,3.91000,3.99000,3.80000,3.84500,6400
2025-02-14,3.76000,3.76000,3.35000,3.41000,25400
2025-02-18,3.45000,3.48300,3.16000,3.20000,48700
2025-02-19,3.47000,4.31000,2.97000,4.29000,86300
2025-02-20,4.11000,4.48000,4.00000,4.12000,31200
2025-02-21,4.21900,4.25000,3.84000,4.22600,22500
2025-02-24,3.95000,4.24400,3.94000,4.07000,7000
2025-02-25,4.11000,4.11000,4.06000,4.06000,1500
2025-02-26,4.16000,4.23500,4.05000,4.06700,1900
2025-02-27,4.12000,4.30000,4.10000,4.30000,41300
2025-02-28,4.13000,4.49000,4.13000,4.43000,39900
2025-03-03,4.36500,4.60000,4.33400,4.48000,17200
2025-03-04,4.50000,4.52000,4.20000,4.21000,44900
2025-03-05,4.38000,4.50000,3.89000,4.18000,105400
2025-03-06,4.40000,4.40000,3.88000,4.25000,5700
2025-03-07,4.20000,4.34500,4.19000,4.32000,15700
2025-03-10,4.24000,4.40000,3.89000,4.18000,143600
2025-03-11,4.30000,4.49000,4.02000,4.35500,36100
2025-03-12,4.39000,4.50000,4.27000,4.37000,33000
2025-03-13,4.34000,4.48000,4.09000,4.16800,34300
2025-03-14,4.30000,4.45000,4.07000,4.39000,50000
2025-03-17,4.13000,4.32000,4.13000,4.28000,12400
2025-03-18,4.17000,4.43000,4.10000,4.43000,11800
2025-03-19,4.22000,4.68000,4.22000,4.67000,18600
2025-03-20,4.45000,5.22000,4.40000,4.74000,50100
2025-03-21,4.80000,7.72000,4.80000,5.96000,768200
2025-03-24,7.07000,8.49000,4.84900,5.44000,848000
2025-03-25,5.54000,5.80000,4.47000,5.34000,224800
2025-03-26,5.34000,6.35000,5.06000,5.06000,178400
2025-03-27,4.83000,5.25000,4.06000,4.23000,113900
2025-03-28,4.10000,4.65000,4.10000,4.45000,34600
2025-03-31,4.27000,4.27000,3.80000,4.16000,19900
2025-04-01,4.04000,4.45000,4.04000,4.45000,11100
2025-04-02,4.49000,4.66000,4.14000,4.20000,28200
2025-04-03,4.33000,4.45000,4.07000,4.30000,38000
2025-04-04,4.15000,4.60000,4.04000,4.27000,43000
2025-04-07,4.04000,4.21000,4.03000,4.05500,9300
2025-04-08,4.09000,4.09000,3.11000,3.11000,98500
2025-04-09,3.15000,3.23200,2.95000,3.02000,15200
2025-04-10,3.07000,3.25700,3.07000,3.17000,8700
2025-04-11,3.20000,3.49000,3.20000,3.30500,10600
2025-04-14,3.24000,3.49000,3.08000,3.46000,24000
2025-04-15,3.39800,3.93000,3.27000,3.61500,54800
2025-04-16,3.42000,4.65500,3.37000,4.35000,58700
2025-04-17,4.01000,4.58000,4.01000,4.45000,45200
2025-04-21,4.07000,4.70000,4.07000,4.60000,37400
2025-04-22,4.44000,4.70000,4.29000,4.59000,38300
2025-04-23,4.49000,4.74000,4.40000,4.74000,23900
2025-04-24,4.81200,5.22000,4.62700,4.93000,29200
2025-04-25,4.95000,5.23400,4.65000,4.73000,26500
2025-04-28,4.80000,5.09000,4.47000,5.00000,23200
2025-04-29,5.00000,5.59000,4.95000,5.25500,44800
2025-04-30,5.03000,5.33500,5.03000,5.07900,10800
2025-05-01,5.03000,5.18000,4.81000,5.14000,3700
2025-05-02,5.37000,5.41000,5.02000,5.39000,3700
2025-05-05,4.96600,5.19700,4.91000,4.91000,10000
2025-05-06,4.92000,4.96900,4.70000,4.86000,23200
2025-05-07,5.01000,5.08000,4.70000,4.73000,37700
2025-05-08,4.74800,5.00000,4.65000,4.90000,117500
2025-05-09,4.80000,5.00000,4.75000,4.91500,14000
2025-05-12,4.45000,4.97000,4.45000,4.88000,23600
2025-05-13,4.45000,5.55000,4.45000,5.26000,31100
2025-05-14,5.40000,5.55000,4.97000,5.30000,23500
2025-05-15,5.24000,5.34000,5.18000,5.33000,5800
2025-05-16,5.25500,5.46000,5.25000,5.25000,7500
2025-05-19,5.14000,5.37000,5.14000,5.30000,1600
2025-05-20,4.98300,5.23000,4.98000,5.10000,8900
2025-05-21,4.97000,5.25000,4.97000,5.02000,13100
2025-05-22,5.24000,5.27500,5.04000,5.11000,10200
2025-05-23,4.95000,5.15000,4.80000,5.15000,34900
2025-05-27,4.97000,5.10000,4.86800,4.88000,12400
2025-05-28,4.87000,5.05000,4.82000,4.99000,3500
2025-05-29,4.99000,4.99000,4.84900,4.84900,3000
2025-05-30,4.85000,4.93000,4.85000,4.93000,10400
2025-06-02,4.70000,4.96000,4.68000,4.96000,3000
