date,open,high,low,close,volume
2016-02-04,119.57935,122.84895,119.50287,122.03633,5508759
2016-02-05,121.62524,122.98280,120.31549,122.91587,7507874
2016-02-08,120.45889,121.90249,118.67113,121.39579,7702744
2016-02-09,120.57362,121.34799,118.32696,118.61377,6231231
2016-02-10,119.50287,119.78011,114.56979,114.90440,6766679
2016-02-11,113.55640,114.39771,111.75908,112.66730,7643750
2016-02-12,114.01530,115.72658,113.14532,115.71702,5163579
2016-02-16,116.47227,117.67686,116.00382,117.34225,4248224
2016-02-17,118.26960,121.00382,117.82983,120.55450,5042766
2016-02-18,124.28298,128.10707,124.04398,126.62524,10409374
2016-02-19,126.53920,127.77247,125.08604,127.22753,5361064
2016-02-22,127.22753,128.40344,126.58700,127.88719,4662440
2016-02-23,127.28490,127.54302,126.20459,126.57744,3597926
2016-02-24,125.76482,127.61950,123.97706,126.95985,4312240
2016-02-25,127.42830,128.59465,125.12428,128.58508,4558782
2016-02-26,128.59465,128.98662,126.14722,126.22371,4587965
2016-02-29,126.19503,127.49522,125.14340,125.26768,4631688
2016-03-01,126.42448,128.71893,126.22371,128.46080,3962771
2016-03-02,127.82027,131.39580,127.36137,130.30592,5457191
2016-03-03,131.18547,131.89293,130.08604,131.73996,5393594
2016-03-04,131.49139,133.28871,130.99426,131.73996,4150946
2016-03-07,131.24283,134.33078,130.85086,133.98662,5408866
2016-03-08,133.56596,134.17783,131.37668,132.95412,5835739
2016-03-09,133.18356,135.91779,133.10707,134.23518,4609199
2016-03-10,135.02869,135.24857,132.01721,134.02486,4205548
2016-03-11,135.49713,136.63480,134.33078,136.09943,4625307
2016-03-14,135.76482,136.89293,134.83748,136.50096,4235045
2016-03-15,135.50670,137.02676,135.31549,136.67303,3878045
2016-03-16,136.34799,138.50861,135.86043,138.42256,4416107
2016-03-17,138.41299,140.84129,138.09752,140.57361,6089394
2016-03-18,140.91779,141.02295,139.11090,140.62141,12645826
2016-03-21,140.82217,142.17017,140.26768,142.09369,3892794
2016-03-22,141.54875,142.71510,141.33842,141.58701,4269667
2016-03-23,141.49139,141.52008,138.74760,139.00574,4983353
2016-03-24,138.60420,141.70172,138.13576,141.44359,5276547
2016-03-28,141.25240,142.11281,140.75526,141.87381,3415295
2016-03-29,141.09943,143.17400,141.01338,142.76291,3282871
2016-03-30,143.35564,143.79541,141.79732,141.88336,3484435
2016-03-31,143.20268,146.36711,142.79158,144.78967,7092508
2016-04-01,143.89101,146.23328,143.64244,145.81262,4106073
2016-04-04,145.64053,146.76865,145.22945,145.38242,4112035
2016-04-05,144.77055,144.93307,143.06883,143.40344,3490502
