date,open,high,low,close,volume
2025-03-19,2.51000,2.65000,2.51000,2.60000,26300
2025-03-20,2.56000,2.60000,2.50000,2.55000,24200
2025-03-21,2.90000,2.96000,2.55000,2.72000,185600
2025-03-24,2.70000,2.85000,2.46000,2.69000,129500
2025-03-25,2.68000,2.79000,2.57000,2.65000,82400
2025-03-26,2.67000,2.78000,2.55000,2.61000,50200
2025-03-27,2.64000,2.70000,2.56000,2.59000,30900
2025-03-28,2.57000,2.96000,2.47000,2.88000,242800
2025-03-31,2.95000,3.07000,2.88000,3.03000,257100
2025-04-01,3.13000,3.25000,2.93000,2.95000,257700
2025-04-02,2.94000,3.12000,2.93000,2.95000,70500
2025-04-03,2.82000,2.94000,2.60000,2.63000,156600
2025-04-04,2.55000,2.62000,2.41000,2.44000,117200
2025-04-07,2.34000,2.61000,2.33000,2.40000,90300
2025-04-08,2.49000,2.67000,2.27000,2.27000,54500
2025-04-09,2.25000,2.61000,2.17000,2.55000,122000
2025-04-10,2.60000,2.68000,2.35000,2.36000,38600
2025-04-11,2.37000,2.38000,2.28000,2.36000,63900
2025-04-14,2.40000,2.43000,2.34000,2.41000,23600
2025-04-15,2.40000,2.52000,2.40000,2.43000,50500
2025-04-16,2.40000,2.54000,2.38000,2.38000,21900
2025-04-17,2.40000,2.45000,2.35000,2.43000,17800
2025-04-21,2.39000,2.45000,2.30000,2.30000,43700
2025-04-22,2.33000,2.41000,2.31000,2.40000,31400
2025-04-23,2.49000,2.60000,2.37000,2.57000,59300
2025-04-24,2.59000,2.68000,2.58000,2.65000,21800
2025-04-25,2.65000,2.84000,2.56000,2.60000,158400
2025-04-28,2.58000,2.59000,2.51000,2.54000,24800
2025-04-29,2.50000,2.69000,2.47000,2.53000,53800
2025-04-30,2.51000,2.72000,2.51000,2.66000,46300
2025-05-01,2.69000,2.73000,2.62000,2.67000,21600
2025-05-02,2.61000,2.87000,2.61000,2.70000,84100
2025-05-05,2.66000,2.74000,2.56000,2.60000,56000
2025-05-06,2.55000,2.74000,2.47000,2.62000,29300
2025-05-07,2.63000,2.67000,2.60000,2.65000,24700
2025-05-08,2.75000,2.79000,2.62000,2.79000,67900
2025-05-09,2.79000,2.86000,2.69000,2.83000,50500
