date,open,high,low,close,volume
2025-03-19,12.99000,13.17500,12.60000,13.01000,108300
2025-03-20,12.72000,12.93500,12.61000,12.90000,68800
2025-03-21,12.64000,13.05000,12.51000,12.84000,148900
2025-03-24,13.02000,13.94000,12.85000,13.79000,192500
2025-03-25,14.02000,14.39000,13.64000,13.94000,186500
2025-03-26,13.95000,14.19000,13.20000,13.30000,95900
2025-03-27,13.50000,14.22000,13.45500,13.84000,132800
2025-03-28,13.90000,13.97000,13.35000,13.43000,158100
2025-03-31,13.84000,14.40000,13.02000,14.31000,215900
2025-04-01,14.50000,15.51000,14.42000,14.81000,308200
2025-04-02,14.90000,15.25000,14.29100,15.19000,246600
2025-04-03,14.69000,16.20000,14.50000,15.94000,409400
2025-04-04,16.50000,16.50000,14.35000,14.96000,468400
2025-04-07,14.50000,16.20900,14.06000,15.01000,253200
2025-04-08,15.81000,15.81000,14.35000,14.55000,210200
2025-04-09,15.07000,15.97300,14.59000,15.75000,367600
2025-04-10,15.90000,16.98000,15.78000,16.51000,425900
2025-04-11,16.98000,17.30000,16.53000,17.12000,583700
2025-04-14,17.25000,18.33000,16.79000,17.42000,580500
2025-04-15,17.77000,18.27000,17.11000,18.18000,289300
2025-04-16,18.71000,19.34500,17.88000,18.91000,619400
2025-04-17,18.59000,19.75000,17.85000,18.08000,803600
2025-04-21,18.90000,19.38000,17.43000,17.87000,416600
2025-04-22,17.98000,18.08000,16.55000,17.13000,470000
2025-04-23,16.94500,17.39000,16.38000,17.31000,363700
2025-04-24,17.53000,18.55900,17.28500,18.06000,330100
2025-04-25,17.58000,17.93000,16.75000,16.85000,244800
2025-04-28,17.00000,17.69000,16.97000,17.48000,234600
2025-04-29,17.01000,17.25000,15.95000,16.01000,351700
2025-04-30,15.83000,16.21000,15.22000,15.99000,244100
2025-05-01,15.50000,15.85000,15.05000,15.24000,333500
2025-05-02,15.47000,15.90000,14.91000,14.98000,210200
2025-05-05,15.50000,15.82000,14.98000,15.67000,252300
2025-05-06,15.98000,17.00000,15.70000,16.69000,278100
2025-05-07,16.27000,16.72200,15.80000,15.99000,181500
2025-05-08,15.22000,15.71500,14.38000,14.47000,409200
2025-05-09,14.64000,14.74000,14.00500,14.33000,243300
2025-05-12,14.00000,14.21000,12.81000,12.99000,671700
2025-05-13,12.67000,12.86000,12.20000,12.62000,654600
2025-05-14,12.51000,12.88000,12.20000,12.51000,250900
2025-05-15,12.75000,12.98500,12.60000,12.79000,173500
2025-05-16,12.50000,12.79000,12.45000,12.60000,179000
2025-05-19,12.64000,12.82000,12.25000,12.82000,165600
2025-05-20,12.82000,12.85000,12.34000,12.71000,296500
2025-05-21,12.70000,13.05000,12.46500,12.98000,276900
2025-05-22,12.95000,12.99000,12.30000,12.43000,262100
2025-05-23,12.61000,13.90000,12.61000,13.50000,475300
2025-05-27,13.79000,14.26000,13.44500,14.04000,442700
2025-05-28,14.17000,14.62000,13.77100,14.06000,371100
2025-05-29,14.35000,14.35000,13.28000,13.31000,228400
2025-05-30,13.24000,13.40000,12.48000,13.23000,474300
2025-06-02,13.59000,14.21300,13.42500,13.71000,359500
2025-06-03,13.59000,13.59000,13.05000,13.25000,233800
2025-06-04,13.27000,13.90000,13.11500,13.86000,660800
2025-06-05,13.99000,14.06000,13.50000,13.67000,252900
2025-06-06,13.91000,13.95000,13.33100,13.57000,406300
2025-06-09,13.60000,13.88600,13.38000,13.64000,239700
2025-06-10,13.75000,13.81700,13.10000,13.26000,250900
2025-06-11,13.11000,13.25500,12.96000,13.19000,158900
2025-06-12,13.40000,13.91000,13.16000,13.86000,318200
2025-06-13,14.13000,14.79000,13.91900,14.37000,349600
2025-06-16,14.19000,14.64000,14.15000,14.47000,205300
2025-06-17,14.50000,14.58000,14.00000,14.32000,184000
2025-06-18,14.42000,14.79000,14.25000,14.26000,245700
2025-06-20,14.14000,14.17000,13.59500,13.73000,264400
2025-06-23,13.73000,14.29000,13.65000,14.07000,258400
2025-06-24,13.76000,13.92500,13.56000,13.74000,279200
2025-06-25,13.56000,13.69300,13.07000,13.07000,277100
2025-06-26,13.09000,13.38000,12.80000,13.35000,271700
2025-06-27,12.92000,13.01500,12.43000,12.86000,2176700
2025-06-30,12.50000,13.10000,12.40000,13.08000,296400
