date,open,high,low,close,volume
2018-04-10,9.57000,9.57000,9.57000,9.57000,850000
2018-04-11,9.56000,9.56000,9.56000,9.56000,380100
2018-04-12,9.55000,9.55000,9.55000,9.55000,260000
2018-04-13,9.55000,9.55000,9.55000,9.55000,200000
2018-04-19,9.58000,9.58000,9.58000,9.58000,100000
2018-04-24,9.58000,9.58000,9.58000,9.58000,150000
2018-04-30,9.60000,9.60000,9.58000,9.58000,800800
2018-05-07,9.60400,9.70000,9.58000,9.64000,18100
2018-05-09,9.62000,9.62000,9.62000,9.62000,560700
2018-05-11,9.58000,9.58000,9.58000,9.58000,5000
2018-05-14,9.59000,9.59000,9.59000,9.59000,200
2018-05-15,9.58000,9.59000,9.58000,9.58000,855500
2018-05-18,9.62000,9.66000,9.57000,9.61800,8900
2018-05-21,9.61000,9.61000,9.60000,9.60000,500
2018-05-22,9.74000,9.74000,9.57000,9.59000,406300
2018-05-23,9.60000,9.60000,9.60000,9.60000,1000
2018-05-24,9.61000,9.61000,9.59000,9.59000,125500
2018-05-31,9.65000,9.65000,9.58000,9.58000,52000
2018-06-01,9.62000,9.62000,9.62000,9.62000,1000
2018-06-05,9.62000,9.64000,9.60000,9.64000,27800
2018-06-06,9.64000,9.64000,9.64000,9.64000,200
2018-06-07,9.64000,9.65000,9.64000,9.65000,1000
2018-06-12,9.60000,9.61000,9.59000,9.61000,37100
2018-06-21,9.60000,9.60000,9.60000,9.60000,2100
2018-06-22,9.60000,9.61000,9.60000,9.60000,271900
2018-06-26,9.59000,9.60000,9.59000,9.60000,1100
2018-06-28,9.61000,9.61000,9.61000,9.61000,5000
2018-07-03,9.61000,9.61000,9.61000,9.61000,495000
2018-07-17,9.58000,9.65000,9.58000,9.65000,237000
2018-07-19,9.58000,9.58000,9.58000,9.58000,148800
2018-07-26,9.56000,9.56000,9.56000,9.56000,150000
2018-07-27,9.56000,9.56000,9.56000,9.56000,1000
2018-08-01,9.58000,9.58000,9.58000,9.58000,65000
2018-08-06,9.59000,9.59000,9.59000,9.59000,100100
2018-08-07,9.60000,9.62000,9.60000,9.60000,260900
2018-08-13,9.63000,9.63000,9.63000,9.63000,1000
2018-08-15,9.63000,9.63000,9.63000,9.63000,100000
2018-08-20,9.64000,9.65000,9.60000,9.60000,5600
2018-08-21,9.62000,9.62000,9.62000,9.62000,1000
2018-08-22,9.62000,9.62000,9.62000,9.62000,20000
2018-08-23,9.65000,9.65000,9.62000,9.65000,601700
2018-08-24,9.65000,9.65000,9.65000,9.65000,37000
2018-08-27,9.64000,9.65000,9.64000,9.65000,87600
2018-08-28,9.64000,9.65000,9.64000,9.65000,1500
2018-08-29,9.67000,9.67000,9.65000,9.65000,27600
2018-08-30,9.67000,9.67000,9.67000,9.67000,1400
2018-08-31,9.75000,9.75000,9.65000,9.75000,30600
2018-09-05,9.71000,9.75000,9.71000,9.71000,36200
2018-09-06,9.70000,9.70000,9.70000,9.70000,100
2018-09-07,9.70000,9.70000,9.70000,9.70000,100
2018-09-10,9.70000,9.70000,9.62000,9.65000,700
2018-09-12,9.69700,9.70000,9.69700,9.70000,600
2018-09-14,9.65000,9.65000,9.65000,9.65000,55000
2018-09-17,9.65000,9.65000,9.64000,9.64000,300
2018-09-18,9.64000,9.65000,9.64000,9.64000,23700
2018-09-21,9.67000,9.67000,9.67000,9.67000,100
2018-09-24,9.67000,9.67000,9.67000,9.67000,40000
2018-09-25,9.65000,9.67000,9.65000,9.67000,54400
2018-10-03,9.70000,9.70000,9.70000,9.70000,17100
2018-10-04,9.78000,9.78000,9.70000,9.70000,2900
2018-10-08,9.70000,9.70300,9.70000,9.70000,1000
2018-10-09,9.68000,9.68000,9.67000,9.67000,6600
2018-10-12,9.65000,9.68000,9.50000,9.50000,5300
2018-10-15,9.65000,9.65000,9.55000,9.63000,35000
2018-10-18,9.65000,9.65000,9.65000,9.65000,1000
2018-10-30,9.63000,9.66000,9.63000,9.66000,3300
2018-11-01,9.66000,9.66000,9.50000,9.55000,13000
2018-11-06,9.64000,9.65000,9.64000,9.65000,1900
2018-11-07,9.66000,9.66100,9.65000,9.65000,5600
2018-11-12,9.67000,9.67100,9.67000,9.67000,61600
2018-11-16,9.70000,9.80000,9.70000,9.80000,2200
2018-11-19,9.77000,9.77000,9.70000,9.76000,14300
