date,open,high,low,close,volume
2025-03-26,2.44000,2.46000,2.29000,2.39000,155800
2025-03-27,2.42000,2.42000,2.33000,2.37000,134100
2025-03-28,2.37000,2.39000,2.20000,2.29000,104800
2025-03-31,2.24000,2.33000,2.14000,2.19000,162200
2025-04-01,2.23000,2.23000,2.03000,2.09000,236300
2025-04-02,2.11000,2.26500,2.00000,2.18000,140900
2025-04-03,2.12000,2.12000,1.92000,1.97500,104900
2025-04-04,1.92000,1.93000,1.76500,1.84000,139600
2025-04-07,1.78000,1.80500,1.54000,1.68000,352600
2025-04-08,1.67000,1.79000,1.61000,1.66000,84300
2025-04-09,1.69000,1.95000,1.58000,1.89000,212600
2025-04-10,1.87000,1.98000,1.73000,1.86000,92900
2025-04-11,1.87000,2.08000,1.86500,2.07000,105900
2025-04-14,2.22000,2.22000,1.97000,2.00000,190300
2025-04-15,2.00000,2.10000,1.88500,1.90000,111300
2025-04-16,1.88000,1.98000,1.85000,1.98000,123500
2025-04-17,1.96000,1.98000,1.84000,1.90000,162800
2025-04-21,1.85000,1.90000,1.79000,1.89000,62400
2025-04-22,1.93000,1.96500,1.78500,1.96000,131000
2025-04-23,2.02000,2.17500,2.01000,2.16000,112000
2025-04-24,2.15000,2.26000,2.11000,2.26000,103600
2025-04-25,2.22000,2.23000,2.09500,2.11000,93400
2025-04-28,2.15000,2.20000,2.09000,2.20000,136600
2025-04-29,2.18000,2.26000,2.13000,2.25000,131500
2025-04-30,2.17000,2.29500,2.15500,2.26000,131600
2025-05-01,2.26000,2.31000,2.21000,2.24000,49800
2025-05-02,2.25000,2.36500,2.20000,2.25000,116500
2025-05-05,2.18000,2.30000,2.08000,2.09000,65200
2025-05-06,2.05000,2.09000,1.94000,1.94000,131400
2025-05-07,1.94000,1.94000,1.78000,1.85000,140900
2025-05-08,1.85000,2.13000,1.82000,2.10000,135100
2025-05-09,2.09000,2.09000,1.93500,2.00000,109400
2025-05-12,2.03000,2.22000,2.03000,2.19000,161400
2025-05-13,2.20000,2.26000,2.00600,2.23000,154800
2025-05-14,2.27000,2.27000,2.12000,2.12000,91300
2025-05-15,2.07000,2.10500,1.95000,2.03000,90000
2025-05-16,1.98000,2.07000,1.96000,2.01000,118100
2025-05-19,1.95000,1.98000,1.80000,1.87000,120300
2025-05-20,1.84000,1.99000,1.81000,1.99000,98400
2025-05-21,1.94000,2.12000,1.90000,1.97000,90400
2025-05-22,1.95000,2.02000,1.83000,1.84000,132100
2025-05-23,1.82000,1.93000,1.75000,1.77000,148900
2025-05-27,1.77000,1.93800,1.70000,1.77000,238200
2025-05-28,1.76000,2.11500,1.76000,2.04000,168100
2025-05-29,2.06000,2.13100,2.04000,2.08000,93800
2025-05-30,2.04000,2.16000,1.95000,2.01000,67700
2025-06-02,2.04000,2.08000,2.00000,2.05000,57400
2025-06-03,2.06000,2.13000,2.02000,2.03000,95000
2025-06-04,2.03000,2.05000,1.98000,1.98000,93100
2025-06-05,1.98000,2.02500,1.93000,1.96000,111300
2025-06-06,1.98000,2.00500,1.91000,1.96000,185200
2025-06-09,2.00000,2.00000,1.91500,1.95000,96500
2025-06-10,2.01800,2.07000,1.97600,2.00500,133000
2025-06-11,2.05000,2.05000,1.94000,1.96000,95600
2025-06-12,1.96000,2.03000,1.90000,1.91000,58600
2025-06-13,1.90000,1.98000,1.85000,1.86000,92000
2025-06-16,1.87000,1.97000,1.85000,1.94000,152500
2025-06-17,1.94000,1.95000,1.74000,1.74000,226800
2025-06-18,1.74000,1.77500,1.69500,1.70000,189000
2025-06-20,1.71000,1.85500,1.66000,1.66000,278100
2025-06-23,1.66000,1.69000,1.56000,1.66000,332000
2025-06-24,1.75000,1.78000,1.65000,1.66000,169800
2025-06-25,1.68000,1.71000,1.62400,1.67000,199300
2025-06-26,1.66000,1.69000,1.64500,1.65000,177400
2025-06-27,1.65000,1.67000,1.56000,1.62000,7072300
2025-06-30,1.63000,2.03500,1.58000,1.95000,446300
2025-07-01,1.95000,1.97000,1.82000,1.95000,197400
2025-07-02,1.94000,1.96800,1.83000,1.85000,137900
2025-07-03,1.87000,1.90000,1.80000,1.89000,82000
2025-07-07,1.90000,1.96500,1.85000,1.93000,162300
2025-07-08,1.93000,2.03900,1.91000,2.01000,157000
2025-07-09,2.00000,2.09000,1.97500,2.02000,220900
2025-07-10,2.02000,2.06600,1.99000,2.00000,75900
2025-07-11,1.97000,1.97000,1.81000,1.85000,151300
2025-07-14,1.82000,1.95000,1.82000,1.94000,103900
2025-07-15,1.94000,1.97000,1.79200,1.80000,103800
2025-07-16,1.80000,1.88000,1.76000,1.86000,94100
2025-07-17,1.85000,1.94000,1.83000,1.90000,232500
2025-07-18,1.92000,1.92000,1.83000,1.84000,94000
2025-07-21,1.87000,1.93300,1.83000,1.88000,159300
2025-07-22,1.87000,1.94000,1.87000,1.93000,86800
2025-07-23,1.97000,2.05000,1.94000,1.98000,150700
2025-07-24,1.98000,1.99000,1.80000,1.85000,138000
2025-07-25,1.86000,1.89000,1.75000,1.77000,79200
2025-07-28,1.77000,1.81500,1.70000,1.77000,102900
2025-07-29,1.80000,1.83300,1.70000,1.70000,57700
2025-07-30,1.72000,1.82000,1.64000,1.65000,143300
2025-07-31,1.63000,1.66000,1.56500,1.58000,159300
2025-08-01,1.56000,1.56000,1.46000,1.52000,83500
2025-08-04,1.55000,1.61000,1.48000,1.60000,63300
2025-08-05,1.61000,1.83000,1.57000,1.80000,145500
2025-08-06,1.78000,1.78000,1.69000,1.73000,82100
2025-08-07,1.74000,1.74000,1.54000,1.55000,136200
2025-08-08,1.55000,1.56000,1.41500,1.43000,142900
2025-08-11,1.46000,1.52000,1.44000,1.51000,48300
2025-08-12,1.53000,1.79800,1.53000,1.75000,167800
2025-08-13,1.77000,1.88000,1.69500,1.71000,131100
2025-08-14,1.70000,1.79500,1.61000,1.71000,81200
2025-08-15,1.75000,1.85000,1.62500,1.75000,143600
2025-08-18,1.74000,1.85700,1.72000,1.72000,57100
2025-08-19,1.68000,1.85000,1.65000,1.70000,89900
2025-08-20,1.70000,1.72000,1.56000,1.68000,93800
2025-08-21,1.66000,1.70000,1.61000,1.68000,34000
2025-08-22,1.70000,1.90000,1.69000,1.89000,218900
