date,open,high,low,close,volume
2025-03-21,4.12000,4.60000,4.12000,4.21000,1420
2025-03-24,4.12000,4.83000,4.12000,4.40000,32600
2025-03-25,4.32000,4.50000,3.89000,3.96000,9900
2025-03-26,4.00000,4.00000,3.81000,3.81000,6950
2025-03-27,3.99000,4.34000,3.55000,3.79000,11260
2025-03-28,3.61000,3.90000,3.61000,3.70000,1060
2025-03-31,3.61000,4.07000,3.61000,3.70000,1390
2025-04-01,3.83000,3.93000,3.63000,3.93000,3810
2025-04-02,4.10000,4.10000,3.70000,4.00000,520
2025-04-03,4.05000,4.33000,3.70000,3.70000,650
2025-04-04,3.90000,3.90000,3.61000,3.61000,4370
2025-04-07,3.60000,3.66000,3.60000,3.66000,2050
2025-04-08,3.85000,3.90000,3.69000,3.89000,620
2025-04-09,3.69000,3.90000,3.69000,3.80000,680
2025-04-10,3.70000,3.70000,3.51000,3.58000,3410
2025-04-11,3.51000,3.90000,3.51000,3.51000,1490
2025-04-14,4.00000,4.00000,3.51000,3.70000,12300
2025-04-15,3.70000,3.70000,3.51000,3.51000,880
2025-04-16,3.52000,3.70000,3.47000,3.53000,1480
2025-04-17,3.53000,4.20000,3.51000,3.62000,53740
2025-04-21,3.60000,3.90000,3.60000,3.90000,3580
2025-04-22,3.99000,3.99000,3.60000,3.70000,1860
2025-04-23,3.88000,3.88000,3.63000,3.85000,1410
2025-04-24,4.00000,4.20000,3.81000,3.99000,1360
2025-04-25,4.18000,4.18000,3.61000,3.92000,2310
2025-04-28,3.80000,4.07000,3.80000,3.84000,1210
2025-04-29,3.80000,4.00000,3.70000,3.75000,920
2025-04-30,3.75000,4.00000,3.70000,3.81000,2040
2025-05-01,3.70000,4.00000,3.70000,3.82000,470
2025-05-02,3.70000,4.00000,3.70000,3.80000,820
2025-05-05,3.80000,3.88000,3.80000,3.80000,510
2025-05-06,3.68000,3.90000,3.61000,3.63000,1990
2025-05-07,3.61000,3.90000,3.54000,3.70000,5730
2025-05-08,3.63000,3.85000,3.47000,3.85000,3980
2025-05-09,3.69000,9.80000,3.47000,5.05000,4973370
2025-05-12,4.70000,4.87000,4.00000,4.03000,189840
2025-05-13,4.00000,4.00000,3.40000,3.62000,37990
2025-05-14,3.80000,3.81000,3.42000,3.79000,10610
2025-05-15,3.55000,4.50000,3.41000,3.90000,129730
2025-05-16,3.70000,4.01000,3.61000,3.84000,7800
2025-05-19,3.62000,4.10000,3.62000,3.99000,9700
2025-05-20,4.00000,4.50000,4.00000,4.07000,17780
2025-05-21,4.06000,4.30000,4.01000,4.02000,9230
2025-05-22,3.95000,4.10000,3.72000,3.84000,5460
2025-05-23,3.82000,4.50000,3.61000,4.20000,91090
2025-05-27,4.30000,4.30000,3.91000,4.10000,13500
2025-05-28,4.00000,7.88000,3.58000,4.05000,2436610
2025-05-29,3.95000,4.65000,3.95000,4.18000,105470
2025-05-30,3.97000,4.41000,3.89000,3.91000,23110
2025-06-02,3.99000,4.20000,3.85000,3.94000,17100
2025-06-03,3.85000,4.40000,3.78000,4.05000,10320
2025-06-04,4.12000,4.25000,3.92000,4.00000,17320
2025-06-05,3.99000,4.20000,3.93000,4.03000,10690
2025-06-06,4.05000,4.70000,4.00000,4.60000,53140
2025-06-09,4.70000,4.98000,4.42000,4.52000,29840
2025-06-10,4.10000,4.85000,4.10000,4.70000,25840
2025-06-11,4.50000,5.80000,4.50000,5.18000,119790
2025-06-12,5.17000,5.17000,4.80000,4.85000,15020
2025-06-13,4.58000,5.00000,4.58000,4.79000,15840
2025-06-16,4.70000,6.00000,4.70000,5.35000,165370
2025-06-17,5.25000,6.20000,4.82000,5.40000,109780
2025-06-18,5.60000,7.63000,5.60000,6.40000,387420
2025-06-20,6.00000,6.99000,5.95000,6.53000,27820
2025-06-23,6.48000,6.48000,4.13000,5.19000,67940
2025-06-24,5.19000,5.35000,4.60000,5.20000,7480
2025-06-25,5.10000,5.64000,5.10000,5.47000,10350
2025-06-26,5.10000,5.60000,5.10000,5.41000,5800
2025-06-27,5.40000,5.40000,5.00000,5.02000,8000
2025-06-30,4.79000,5.38000,4.79000,5.20000,7080
2025-07-01,5.40000,5.40000,5.00000,5.23000,2280
2025-07-02,5.40000,5.40000,5.01000,5.37000,2780
2025-07-03,5.24000,5.37000,4.80000,5.02000,5640
2025-07-07,4.99000,5.20000,4.99000,5.14000,1660
2025-07-08,5.00000,5.14000,5.00000,5.13000,3760
2025-07-09,5.10000,5.21000,4.95000,5.02000,3920
2025-07-10,5.02000,5.07000,4.90000,4.90000,2690
2025-07-11,4.90000,5.15000,4.90000,5.10000,4140
2025-07-14,5.15000,5.60000,5.15000,5.44000,6120
2025-07-15,5.80000,5.85000,5.21000,5.30000,9400
2025-07-16,5.30000,6.00000,5.21000,5.63000,54640
2025-07-17,5.80000,5.80000,5.50000,5.70000,9980
2025-07-18,5.57000,5.64000,4.90000,4.91000,16060
2025-07-21,4.91000,5.03000,4.50000,4.55000,9470
2025-07-22,4.95000,4.95000,4.51000,4.64000,5370
2025-07-23,4.20000,5.40000,4.20000,4.88000,39460
2025-07-24,5.02000,5.02000,4.75000,4.91000,5230
2025-07-25,4.91000,4.91000,4.64000,4.87000,5540
2025-07-28,4.92000,4.92000,4.60000,4.66000,1550
2025-07-29,4.63000,4.91000,4.61000,4.61000,1490
2025-07-30,4.90000,4.90000,4.21000,4.50000,4270
2025-07-31,4.89000,5.70000,4.40000,4.65000,108250
2025-08-01,4.42000,5.30000,4.42000,4.70000,65300
2025-08-04,4.95000,5.30000,4.72000,5.16000,24040
2025-08-05,5.00000,6.30000,5.00000,5.46000,56840
2025-08-06,5.29000,5.51000,5.00000,5.20000,13790
2025-08-07,5.13000,5.33000,4.93000,5.33000,2960
2025-08-08,5.00000,5.90000,5.00000,5.20000,67510
2025-08-11,5.20000,5.60000,4.90000,5.05000,7730
2025-08-12,4.95000,5.20000,4.95000,5.15000,3630
2025-08-13,5.10000,5.12000,4.90000,5.08000,4400
2025-08-14,5.08000,6.00000,4.95000,5.50000,77360
2025-08-15,5.20000,5.49000,5.20000,5.27000,17270
2025-08-18,5.13000,5.36000,5.00000,5.22000,7610
2025-08-19,5.13000,5.70000,5.05000,5.48000,19290
2025-08-20,5.30000,5.70000,5.21000,5.60000,8740
2025-08-21,5.59000,5.69000,5.36000,5.53000,3280
2025-08-22,5.40000,5.60000,5.38000,5.48000,6110
2025-08-25,5.50000,5.54000,5.13000,5.28000,6540
2025-08-26,4.90000,7.00000,4.79000,5.11000,358600
2025-08-27,5.20000,5.62000,5.11000,5.61000,26790
2025-08-28,5.70000,5.70000,5.38000,5.48000,6580
2025-08-29,5.18000,5.41000,5.11000,5.18000,4570
2025-09-02,5.20000,5.41000,5.13000,5.34000,6910
2025-09-03,5.10000,5.51000,5.10000,5.21000,10320
2025-09-04,5.10000,5.90000,5.02000,5.09000,93500
2025-09-05,5.10000,5.17000,4.77000,4.99000,17750
2025-09-08,4.95000,5.40000,4.70000,5.01000,17900
2025-09-09,5.02000,5.40000,4.90000,5.26000,384700
2025-09-10,5.70000,9.56000,5.20000,8.73000,369340
2025-09-11,6.50000,7.20000,6.20000,6.80000,53290
2025-09-12,6.43000,6.75000,6.31000,6.51000,16050
2025-09-15,6.40000,6.50000,6.00000,6.21000,18540
2025-09-16,6.34000,6.69000,6.20000,6.57000,11010
2025-09-17,6.20000,6.55000,6.20000,6.36000,3090
2025-09-18,6.30000,6.74000,6.05000,6.41000,9510
2025-09-19,6.30000,6.73000,6.30000,6.50000,8310
2025-09-22,6.58000,7.27000,6.50000,7.00000,15590
2025-09-23,7.00000,7.10000,6.50000,6.56000,10730
2025-09-24,6.50000,6.85000,6.33000,6.70000,3370
2025-09-25,6.60000,6.80000,6.36000,6.59000,1840
2025-09-26,6.59000,6.59000,6.50000,6.50000,660
2025-09-29,6.32000,6.80000,6.32000,6.69000,3090
2025-09-30,6.55000,6.60000,6.20000,6.35000,7910
2025-10-01,6.60000,6.60000,6.35000,6.37000,1040
2025-10-02,6.54000,6.54000,6.10000,6.50000,11180
2025-10-03,6.50000,6.60000,6.30000,6.40000,6150
2025-10-06,6.60000,6.60000,6.30000,6.50000,3120
2025-10-07,6.47000,6.50000,6.10000,6.26000,1780
2025-10-08,6.30000,6.30000,5.68000,5.73000,4770
2025-10-09,5.60000,6.45000,5.60000,6.38000,5850
2025-10-10,6.20000,6.45000,5.82000,5.83000,8520
2025-10-13,5.80000,6.30000,5.80000,6.20000,2990
2025-10-14,5.81000,6.20000,5.80000,6.10000,1820
2025-10-15,5.83000,6.10000,5.83000,6.10000,580
2025-10-16,6.00000,6.10000,5.97000,6.10000,240
2025-10-17,5.80000,6.10000,5.80000,6.10000,540
2025-10-20,6.10000,6.10000,5.51000,5.70000,3820
2025-10-21,5.80000,6.00000,5.60000,6.00000,3190
2025-10-22,5.74000,6.00000,5.60000,5.80000,430
2025-10-23,5.75000,6.00000,5.51000,6.00000,1190
2025-10-24,5.90000,6.00000,5.50000,5.62000,800
2025-10-27,5.88000,5.90000,5.60000,5.79000,2010
2025-10-28,5.70000,5.90000,5.38000,5.69000,3220
2025-10-29,5.78000,5.90000,5.48000,5.79000,4820
2025-10-30,5.79000,5.79000,5.40000,5.42000,2650
2025-10-31,5.54000,5.91000,5.06000,5.85000,23990
2025-11-03,5.91000,5.91000,5.06000,5.58000,7920
2025-11-04,5.40000,5.79000,4.46000,4.80000,5880
2025-11-05,4.96000,5.75000,4.30000,5.24000,3820
2025-11-06,5.24000,5.47000,4.52000,5.46000,970
2025-11-07,5.00000,5.00000,4.50000,4.70000,2060
2025-11-10,4.73000,5.40000,4.64000,5.29000,2820
2025-11-11,5.40000,5.40000,4.69000,5.10000,1190
2025-11-12,5.10000,5.10000,4.80000,5.05000,1300
2025-11-13,5.09000,5.29000,4.52000,4.82000,3120
2025-11-14,4.90000,5.15000,4.80000,4.80000,1010
2025-11-17,5.14000,5.14000,4.63000,4.79000,1720
2025-11-18,4.81000,5.10000,4.52000,5.00000,680
2025-11-19,5.00000,5.00000,4.70000,4.88000,290
2025-11-20,4.70000,4.85000,4.23000,4.41000,3680
2025-11-21,4.61000,4.80000,4.33000,4.80000,760
2025-11-24,4.64000,4.80000,4.51000,4.79000,1550
2025-11-25,4.59000,4.79000,4.39000,4.70000,3300
2025-11-26,4.56000,4.94000,4.56000,4.94000,2580
2025-11-28,4.75000,4.90000,4.56000,4.90000,2160
2025-12-01,4.50000,4.90000,4.50000,4.75000,1060
2025-12-02,4.75000,4.90000,4.44000,4.80000,2050
2025-12-03,4.65000,4.80000,4.55000,4.55000,660
2025-12-04,4.78000,4.78000,4.37000,4.78000,300
2025-12-05,4.51000,4.78000,4.51000,4.75000,300
2025-12-08,4.44000,4.80000,4.23000,4.23000,2960
2025-12-09,4.50000,4.94000,4.50000,4.94000,6480
2025-12-10,5.60000,5.60000,5.00000,5.28000,6080
2025-12-11,5.19000,5.20000,4.91000,4.91000,2770
2025-12-12,4.92000,5.30000,4.70000,5.13000,410
2025-12-15,4.80000,5.13000,4.50000,5.13000,2060
2025-12-16,4.80000,5.13000,4.23000,4.97000,1690
2025-12-17,4.84000,4.85000,4.63000,4.70000,1740
2025-12-18,4.92000,4.97000,3.50000,3.50000,13830
2025-12-19,3.74000,4.47000,2.74000,3.32000,9560
2025-12-22,3.32000,3.84000,3.32000,3.71000,10390
2025-12-23,4.17000,4.20000,3.75000,4.17000,9770
2025-12-24,4.25000,4.25000,3.82000,4.20000,740
2025-12-26,3.24000,4.15000,3.01000,3.52000,15890
2025-12-29,3.60000,5.91000,3.58000,5.24000,379710
2025-12-30,4.90000,5.26000,4.30000,4.55000,38800
2025-12-31,4.37000,4.47500,3.93000,4.05000,17300
2026-01-02,3.81000,4.19000,3.66000,3.80000,17700
2026-01-05,3.87000,3.99400,3.74500,3.87000,7300
2026-01-06,3.91000,4.07000,3.90000,4.01000,5600
2026-01-07,4.00000,4.19000,4.00000,4.10000,5000
2026-01-08,4.14000,4.55000,4.03000,4.05000,14300
2026-01-09,4.20000,4.23000,4.02000,4.03000,5400
2026-01-12,3.61000,4.00000,3.61000,3.94000,6200
2026-01-13,3.94000,4.00000,3.71000,3.82000,15000
2026-01-14,3.95000,3.95000,3.73000,3.92000,3900
2026-01-15,3.49000,3.70000,3.22000,3.40000,145700
2026-01-16,3.32000,3.87500,3.32000,3.69000,25900
2026-01-20,3.82000,3.83500,3.71000,3.73000,5700
2026-01-21,3.76800,3.76800,3.76800,3.76800,600
2026-01-22,3.83000,3.83700,3.74000,3.81600,2600
2026-01-23,3.85600,4.19800,3.85000,3.85000,10300
2026-01-26,4.05000,4.05000,3.77000,3.85000,4600
2026-01-27,3.70000,3.97000,3.70000,3.84000,6000
2026-01-28,4.10000,4.11000,3.86000,3.86000,2000
2026-01-29,3.80000,4.11000,3.70000,3.91000,9800
