date,open,high,low,close,volume
2023-09-27,53.26800,55.80000,49.92000,52.80000,12817
2023-09-28,52.56000,54.54000,51.00000,52.08000,3117
2023-09-29,54.18000,55.86000,51.60000,51.96000,16908
2023-10-02,51.00000,51.48000,45.72000,47.52000,10492
2023-10-03,48.00000,48.12000,44.16000,47.16000,7233
2023-10-04,47.64000,48.60000,42.96000,45.84000,4567
2023-10-05,45.72000,51.24000,45.24000,50.16000,4750
2023-10-06,49.20000,52.08000,45.24000,48.00000,8617
2023-10-09,48.48000,48.48000,45.36000,46.80000,4850
2023-10-10,49.44000,51.48000,45.72000,49.56000,3450
2023-10-11,50.64000,51.00000,47.52000,50.28000,3500
2023-10-12,49.08000,50.04000,45.96000,46.32000,5200
2023-10-13,46.32000,51.96000,46.03200,50.52000,7883
2023-10-16,50.16000,51.27600,48.48000,50.76000,5108
2023-10-17,50.76000,54.06000,48.24000,48.60000,6742
2023-10-18,48.72000,49.44000,44.52000,45.48000,5833
2023-10-19,44.88000,47.76000,39.84000,40.08000,20400
2023-10-20,40.44000,42.48000,40.44000,40.56000,3708
2023-10-23,40.80000,44.64000,40.20000,41.88000,5442
2023-10-24,41.88000,45.84000,41.40000,42.12000,3833
2023-10-25,41.52000,51.60000,41.16000,49.44000,9225
2023-10-26,49.20000,51.60000,47.76000,49.56000,6250
2023-10-27,49.68000,52.65600,42.60000,43.92000,5050
2023-10-30,43.92000,47.04000,41.52000,45.00000,4983
2023-10-31,45.00000,48.72000,44.04000,48.36000,3642
2023-11-01,47.76000,49.80000,47.76000,48.84000,1950
2023-11-02,48.84000,52.02000,47.64000,48.72000,5508
2023-11-03,49.32000,55.50000,49.32000,52.80000,5725
2023-11-06,53.40000,55.50000,46.92000,47.52000,7033
2023-11-07,48.30000,52.11600,48.12000,49.44000,3158
2023-11-08,49.44000,49.86000,44.88000,49.56000,5250
2023-11-09,47.04000,47.04000,12.24000,15.96000,284250
2023-11-10,15.72000,17.52000,14.76000,17.52000,118917
2023-11-13,18.84000,18.84000,15.96000,17.76000,25808
2023-11-14,17.28000,17.34000,15.36000,16.32000,23167
2023-11-15,16.50000,17.16000,16.20000,16.80000,9308
2023-11-16,17.28000,18.24000,16.50000,17.88000,23175
2023-11-17,18.00000,22.20000,17.40000,21.60000,36467
2023-11-20,21.96000,23.40000,20.28000,20.52000,23675
2023-11-21,19.92000,20.88000,18.72000,19.20000,18242
2023-11-22,19.92000,20.52000,19.44000,19.56000,3525
2023-11-24,19.68000,20.40000,18.84000,18.96000,2283
2023-11-27,19.32000,20.16000,19.20000,19.32000,5600
2023-11-28,19.32000,19.56000,17.04000,17.28000,17058
2023-11-29,18.00000,18.60000,16.20000,16.80000,11975
2023-11-30,17.28000,17.64000,16.80000,17.40000,6792
2023-12-01,17.50800,18.24000,17.04000,18.00000,5725
2023-12-04,17.40000,18.72000,17.40000,18.36000,9817
2023-12-05,18.48000,18.72000,17.53200,18.00000,8158
2023-12-06,18.60000,21.57600,18.24000,20.88000,23625
2023-12-07,20.40000,21.48000,20.13600,21.00000,6108
2023-12-08,20.64000,23.64000,20.10000,22.80000,12708
2023-12-11,23.04000,25.32000,21.60000,22.92000,17675
2023-12-12,22.68000,24.36000,22.20000,23.64000,8300
2023-12-13,23.64000,24.48000,22.92000,24.24000,11683
