date,open,high,low,close,volume
2023-09-25,141.60001,148.80000,123.60000,135.60001,255
2023-09-26,133.20000,145.20000,124.80000,133.20000,347
2023-09-27,142.80000,144.00000,126.00000,133.20000,296
2023-09-28,144.00000,145.92000,135.60001,139.08000,210
2023-09-29,132.00000,152.39999,122.40000,123.60000,674
2023-10-02,51.60000,63.60000,50.40000,57.48000,11264
2023-10-03,61.80000,61.80000,51.72000,54.00000,2350
2023-10-04,54.60000,57.60000,51.36000,52.80000,1483
2023-10-05,52.80000,54.00000,46.80000,46.92000,2877
2023-10-06,47.88000,48.00000,45.60000,45.84000,878
2023-10-09,48.72000,48.72000,42.12000,42.48000,1382
2023-10-10,41.28000,46.80000,40.92000,45.48000,1218
2023-10-11,47.52000,56.40000,45.84000,51.48000,12320
2023-10-12,55.68000,56.40000,42.24000,43.20000,7806
2023-10-13,42.36000,49.20000,30.24000,33.72000,13268
2023-10-16,35.88000,37.20000,33.84000,36.00000,5594
2023-10-17,37.20000,39.48000,34.80000,36.48000,30308
2023-10-18,39.24000,39.48000,31.80000,32.40000,41444
2023-10-19,31.92000,31.92000,26.40000,29.40000,8834
2023-10-20,28.56000,34.32000,24.12000,32.40000,25285
2023-10-23,30.84000,32.40000,27.84000,29.04000,9276
2023-10-24,28.80000,29.40000,25.32000,27.84000,7283
2023-10-25,28.80000,30.00000,25.44000,27.60000,2028
2023-10-26,27.60000,27.84000,24.00000,25.44000,4555
2023-10-27,24.72000,26.40000,24.24000,25.68000,3348
2023-10-30,26.04000,27.60000,24.24000,27.60000,2400
2023-10-31,26.76000,27.60000,25.32000,25.92000,1862
2023-11-01,26.28000,28.80000,26.28000,28.80000,4560
2023-11-02,29.04000,29.16000,27.60000,28.80000,2383
2023-11-03,27.96000,30.60000,27.60000,28.92000,2555
2023-11-06,28.44000,29.16000,26.64000,28.20000,1677
2023-11-07,28.56000,29.40000,24.12000,25.08000,4151
2023-11-08,25.20000,27.72000,25.20000,27.24000,63984
2023-11-09,43.80000,93.72000,39.72000,52.44000,1841561
