date,open,high,low,close,volume
2023-10-03,513.00000,513.65002,497.00000,499.20001,21032
2023-10-04,498.89999,504.20001,488.00000,494.14999,20773
2023-10-05,499.75000,515.00000,495.00000,497.04999,14424
2023-10-06,496.29999,508.04999,496.29999,503.54999,11501
2023-10-09,493.54999,509.29999,485.64999,488.75000,15055
2023-10-10,485.50000,505.04999,485.50000,498.00000,11587
2023-10-11,500.89999,507.45001,495.39999,497.89999,14118
2023-10-12,503.00000,503.00000,490.35001,497.10001,11969
2023-10-13,501.00000,503.00000,494.50000,501.00000,12934
2023-10-16,504.95001,514.79999,500.20001,508.10001,37120
2023-10-17,508.10001,513.84998,499.64999,502.75000,12851
2023-10-18,508.50000,509.29999,486.54999,488.00000,26689
2023-10-19,493.54999,500.70001,481.25000,484.35001,41701
2023-10-20,489.89999,518.00000,484.04999,509.50000,96567
2023-10-23,515.29999,531.59998,484.75000,488.79999,47367
2023-10-25,496.04999,496.29999,466.00000,476.60001,27175
2023-10-26,476.04999,494.85001,462.10001,490.39999,20077
2023-10-27,497.75000,512.00000,483.54999,507.70001,26622
2023-10-30,512.54999,512.54999,492.14999,497.25000,30537
2023-10-31,497.54999,504.70001,489.14999,498.35001,10730
2023-11-01,493.20001,503.00000,488.04999,490.50000,13015
2023-11-02,496.04999,505.00000,494.14999,500.50000,12833
2023-11-03,493.00000,529.70001,493.00000,522.25000,72591
2023-11-06,522.25000,529.79999,514.00000,520.34998,21415
2023-11-07,520.40002,543.00000,515.90002,531.20001,60822
2023-11-08,532.00000,537.34998,518.15002,522.09998,12163
2023-11-09,529.00000,529.00000,501.29999,504.70001,25785
2023-11-10,510.39999,511.00000,489.00000,493.04999,52253
2023-11-13,507.00000,507.00000,484.75000,488.60001,26256
2023-11-15,495.95001,505.00000,489.00000,494.89999,22685
2023-11-16,494.89999,501.75000,478.25000,481.14999,55897
2023-11-17,484.95001,488.45001,472.10001,474.10001,70944
2023-11-20,479.85001,499.00000,474.64999,491.29999,74633
2023-11-21,496.95001,498.00000,485.00000,486.60001,23334
2023-11-22,491.75000,500.00000,486.20001,489.04999,31339
2023-11-23,489.64999,503.20001,484.79999,497.64999,42981
2023-11-24,495.00000,511.00000,491.29999,498.39999,52768
2023-11-28,504.14999,512.40002,495.10001,497.54999,29123
2023-11-29,500.14999,506.00000,495.04999,497.54999,26093
2023-11-30,497.54999,501.29999,488.20001,490.70001,14517
2023-12-01,494.75000,499.00000,491.60001,494.54999,11938
2023-12-04,499.89999,503.95001,493.95001,502.10001,12639
2023-12-05,507.29999,509.25000,500.60001,507.60001,20152
2023-12-06,508.00000,527.00000,504.60001,524.25000,79139
2023-12-07,542.00000,575.00000,540.00000,555.54999,363366
2023-12-08,559.90002,561.00000,533.09998,536.54999,64309
2023-12-11,536.65002,549.90002,536.54999,538.75000,27314
2023-12-12,541.59998,544.90002,529.45001,530.59998,18889
2023-12-13,535.90002,545.84998,534.09998,538.09998,18881
2023-12-14,538.09998,557.95001,530.25000,549.54999,46764
2023-12-15,554.95001,572.00000,549.04999,568.34998,62686
2023-12-18,555.00000,571.00000,542.20001,545.09998,43345
2023-12-19,549.70001,554.90002,543.00000,548.84998,15985
2023-12-20,555.04999,570.00000,517.79999,525.40002,69716
2023-12-21,522.09998,543.70001,522.09998,540.34998,20084
2023-12-22,544.00000,548.45001,536.00000,541.84998,16364
2023-12-26,548.15002,560.00000,540.00000,543.09998,24452
2023-12-27,549.20001,549.20001,531.70001,533.75000,25378
2023-12-28,539.79999,547.79999,533.09998,537.34998,27053
2023-12-29,542.84998,545.45001,532.04999,534.79999,11496
2024-01-01,534.79999,539.79999,530.00000,534.15002,8462
2024-01-02,534.20001,542.84998,519.79999,521.65002,37415
2024-01-03,523.04999,530.29999,518.04999,526.15002,64590
2024-01-04,531.00000,550.09998,521.00000,546.09998,83442
2024-01-05,548.54999,564.79999,526.50000,530.15002,93141
2024-01-08,534.90002,565.84998,524.54999,562.00000,157184
2024-01-09,567.00000,572.95001,554.70001,556.84998,75209
2024-01-10,556.84998,578.79999,551.00000,572.75000,69826
2024-01-11,579.20001,609.00000,576.59998,602.04999,168377
2024-01-12,610.00000,615.00000,593.04999,609.50000,113158
2024-01-15,615.95001,615.95001,585.00000,596.95001,58655
2024-01-16,595.00000,599.59998,557.00000,573.40002,78670
2024-01-17,580.09998,580.09998,558.20001,568.59998,27615
2024-01-18,568.59998,580.00000,549.95001,575.29999,30660
2024-01-19,582.00000,582.09998,565.29999,569.79999,21103
2024-01-23,655.00000,669.79999,620.00000,624.75000,117306
2024-01-24,630.00000,690.00000,615.54999,672.45001,159545
2024-01-25,675.95001,748.00000,671.40002,730.79999,382558
2024-01-29,749.95001,768.00000,720.00000,727.09998,185482
2024-01-30,732.04999,736.45001,702.25000,713.34998,59474
2024-01-31,717.50000,717.50000,680.00000,695.95001,44209
2024-02-01,700.00000,700.00000,676.09998,693.95001,39518
2024-02-02,698.54999,757.00000,698.54999,714.00000,98617
2024-02-05,719.84998,724.90002,676.00000,684.40002,36771
2024-02-06,687.00000,708.00000,682.65002,700.90002,25358
2024-02-07,702.09998,743.00000,702.09998,731.75000,79021
2024-02-08,740.15002,741.00000,695.00000,704.15002,40643
2024-02-09,710.00000,725.00000,678.09998,701.09998,76433
2024-02-12,702.45001,709.29999,645.65002,662.59998,42712
2024-02-13,660.00000,719.90002,641.50000,651.84998,129030
2024-02-14,663.84998,673.45001,654.59998,660.45001,62396
2024-02-15,676.00000,712.40002,668.25000,703.65002,92156
2024-02-16,703.70001,763.75000,703.70001,757.34998,289600
2024-02-19,759.59998,812.84998,759.59998,781.29999,289349
2024-02-20,783.50000,791.00000,764.00000,778.29999,62768
2024-02-21,785.25000,796.50000,750.00000,755.65002,54846
2024-02-22,755.00000,787.70001,750.15002,780.79999,53409
2024-02-23,775.29999,789.79999,765.00000,771.20001,27855
2024-02-26,771.25000,774.79999,745.04999,747.50000,26521
2024-02-27,747.50000,757.34998,731.00000,744.00000,61117
2024-02-28,755.00000,766.34998,725.15002,732.04999,40599
2024-02-29,728.04999,744.00000,716.00000,733.84998,38984
2024-03-01,742.04999,745.79999,721.04999,727.75000,23619
2024-03-04,741.25000,741.25000,722.00000,732.95001,21698
2024-03-05,735.54999,739.95001,712.50000,715.84998,17593
2024-03-06,723.00000,723.75000,704.65002,715.90002,35279
2024-03-07,724.09998,775.00000,700.54999,759.54999,105368
2024-03-11,759.54999,763.54999,720.54999,723.59998,25484
2024-03-12,725.40002,726.45001,681.00000,687.00000,47400
2024-03-13,675.04999,677.00000,601.00000,612.45001,119027
2024-03-14,603.25000,644.40002,603.25000,625.90002,50416
2024-03-15,633.09998,642.54999,619.20001,633.84998,28604
2024-03-18,633.00000,647.95001,625.00000,633.90002,17369
2024-03-19,625.29999,642.00000,608.09998,612.40002,24712
2024-03-20,614.95001,634.95001,610.95001,627.95001,48703
2024-03-21,632.34998,650.00000,628.45001,646.04999,69855
2024-03-22,646.04999,652.65002,628.20001,634.29999,32684
2024-03-26,642.00000,643.95001,628.04999,630.95001,15448
2024-03-27,631.00000,644.95001,627.95001,630.45001,15982
2024-03-28,634.00000,689.95001,634.00000,680.65002,58402
2024-04-01,699.95001,734.65002,688.29999,728.65002,52510
2024-04-02,736.00000,736.00000,703.45001,709.34998,46441
2024-04-03,709.34998,734.20001,709.34998,723.09998,24861
2024-04-04,723.09998,748.00000,718.00000,721.79999,32615
2024-04-05,727.20001,735.00000,713.90002,731.75000,23839
2024-04-08,734.90002,742.00000,715.00000,717.00000,18298
2024-04-09,717.25000,746.50000,717.04999,732.20001,29995
2024-04-10,731.00000,736.00000,711.00000,726.45001,23690
2024-04-12,726.45001,736.09998,703.70001,710.09998,14230
2024-04-15,706.00000,715.00000,662.84998,683.50000,29416
2024-04-16,683.70001,698.50000,676.70001,694.25000,18301
2024-04-18,690.00000,729.95001,690.00000,712.25000,21895
2024-04-19,705.04999,720.65002,680.00000,713.15002,19473
2024-04-22,719.00000,721.15002,699.50000,706.15002,15515
2024-04-23,713.45001,731.70001,706.00000,709.59998,29309
2024-04-24,709.59998,727.70001,709.00000,716.40002,13251
2024-04-25,718.00000,723.95001,709.04999,713.95001,10302
2024-04-26,718.29999,725.00000,708.00000,716.34998,12102
2024-04-29,716.34998,722.95001,706.00000,710.04999,11082
2024-04-30,715.34998,719.90002,692.95001,700.40002,18529
2024-05-02,700.40002,707.45001,688.45001,691.90002,18854
2024-05-03,694.29999,698.25000,667.54999,676.90002,25652
2024-05-06,684.90002,693.75000,659.90002,669.65002,12149
2024-05-07,669.65002,669.65002,630.00000,636.95001,49000
2024-05-08,643.29999,671.95001,630.00000,662.95001,27207
2024-05-09,662.95001,662.95001,632.20001,638.59998,13608
2024-05-10,635.00000,645.20001,630.00000,637.45001,9224
2024-05-13,639.04999,649.00000,627.29999,643.75000,10361
2024-05-14,645.15002,665.00000,643.00000,658.20001,10717
2024-05-15,658.95001,664.95001,648.79999,655.25000,6491
2024-05-16,659.00000,673.84998,655.20001,663.34998,11602
2024-05-17,665.00000,673.59998,663.59998,669.95001,7413
2024-05-21,670.00000,679.00000,663.54999,668.59998,10086
2024-05-22,676.15002,699.00000,670.40002,674.75000,36834
2024-05-23,674.75000,680.40002,658.54999,665.04999,10976
