date,open,high,low,close,volume
2022-11-03,161.95000,165.89999,158.10001,159.55000,15705
2022-11-04,159.80000,162.00000,157.00000,160.50000,9706
2022-11-07,157.00000,162.50000,154.00000,160.39999,24965
2022-11-09,159.70000,167.85001,152.39999,158.64999,197237
2022-11-10,156.20000,162.75000,154.60001,154.89999,4866
2022-11-11,154.89999,159.89999,150.14999,155.05000,11427
2022-11-14,150.10001,156.50000,150.10001,154.89999,20469
2022-11-15,150.25000,155.00000,150.25000,154.05000,19292
2022-11-16,154.05000,154.95000,150.00000,151.95000,9334
2022-11-17,148.80000,154.00000,147.30000,150.89999,11322
2022-11-18,151.95000,151.95000,148.05000,149.55000,9238
2022-11-21,155.00000,155.00000,147.50000,149.00000,6078
2022-11-22,150.89999,150.89999,143.50000,144.00000,20907
2022-11-23,148.20000,151.20000,144.55000,151.20000,7477
2022-11-24,157.35001,157.35001,147.50000,151.05000,3088
2022-11-25,148.05000,154.00000,148.00000,151.89999,4639
2022-11-28,155.00000,158.95000,151.00000,156.00000,11748
2022-11-29,158.00000,159.14999,153.00000,155.70000,5372
2022-11-30,158.25000,158.25000,149.00000,150.70000,10984
2022-12-01,152.50000,154.89999,150.00000,151.50000,5114
2022-12-02,151.50000,154.00000,150.95000,152.95000,2886
2022-12-05,153.75000,155.95000,151.00000,154.64999,22668
2022-12-06,153.00000,156.30000,153.00000,154.55000,17477
2022-12-07,151.00000,156.95000,151.00000,154.75000,12045
2022-12-08,154.75000,156.60001,154.00000,154.75000,12149
2022-12-09,154.75000,155.00000,153.05000,153.10001,9367
2022-12-12,154.00000,154.00000,148.25000,153.00000,8487
2022-12-13,148.39999,153.89999,148.14999,151.60001,5567
2022-12-14,149.10001,150.85001,146.50000,147.25000,23455
2022-12-15,148.00000,148.39999,145.00000,145.35001,16752
2022-12-16,146.75000,148.50000,143.35001,146.60001,5485
2022-12-19,149.55000,149.55000,143.00000,147.39999,14717
2022-12-20,147.39999,148.70000,141.30000,142.64999,18121
2022-12-21,143.00000,145.50000,140.00000,140.75000,4510
2022-12-22,140.75000,142.00000,135.00000,141.64999,161709
2022-12-23,137.05000,140.00000,134.60001,134.60001,23214
2022-12-26,135.00000,141.30000,134.35001,135.75000,11211
2022-12-27,139.95000,140.00000,135.00000,137.35001,14872
2022-12-28,139.80000,144.20000,139.80000,144.20000,8588
2022-12-29,147.00000,151.39999,147.00000,151.39999,61971
2022-12-30,158.89999,158.89999,153.00000,155.60001,15955
2023-01-02,158.89999,163.35001,147.85001,163.35001,67439
2023-01-03,163.30000,168.45000,156.30000,161.45000,35910
2023-01-04,158.10001,161.50000,153.64999,154.80000,533861
2023-01-05,153.80000,162.45000,153.80000,162.05000,150780
2023-01-06,164.64999,164.64999,158.50000,162.35001,14541
2023-01-09,162.35001,165.00000,155.39999,160.05000,22479
2023-01-10,160.05000,164.45000,157.05000,157.95000,7889
2023-01-11,157.25000,157.25000,155.00000,155.00000,14487
2023-01-12,155.00000,159.39999,155.00000,158.00000,8955
2023-01-13,158.00000,158.00000,154.00000,155.39999,13473
2023-01-16,153.05000,155.39999,150.00000,153.39999,17512
2023-01-17,154.64999,155.75000,153.00000,154.00000,6140
2023-01-18,153.00000,156.89999,153.00000,153.05000,7901
2023-01-19,153.00000,154.95000,153.00000,153.20000,4958
2023-01-20,154.85001,155.00000,153.00000,153.00000,7516
2023-01-23,155.95000,155.95000,152.00000,153.95000,13602
2023-01-24,152.10001,154.35001,152.00000,153.35001,6062
2023-01-25,152.00000,154.00000,151.00000,153.60001,28592
2023-01-27,156.85001,156.89999,151.00000,151.30000,13787
2023-01-30,151.30000,154.70000,151.30000,153.50000,6081
2023-01-31,154.00000,156.89999,154.00000,155.10001,6917
2023-02-01,154.89999,157.95000,154.89999,157.39999,14420
2023-02-02,157.89999,158.25000,153.50000,158.00000,10982
2023-02-03,157.95000,159.00000,152.00000,152.45000,22091
2023-02-06,155.35001,155.35001,152.00000,154.00000,9813
2023-02-07,154.00000,155.89999,152.00000,153.89999,7540
2023-02-08,151.05000,155.55000,151.05000,155.20000,7960
2023-02-09,153.00000,153.00000,151.00000,151.95000,10456
2023-02-10,152.00000,152.95000,151.00000,152.75000,17762
2023-02-13,152.75000,154.95000,150.00000,150.05000,14543
2023-02-14,150.10001,151.00000,150.00000,150.05000,11783
2023-02-15,150.00000,151.00000,143.20000,144.20000,10782
2023-02-16,140.55000,149.35001,140.55000,141.70000,9978
2023-02-17,142.00000,143.60001,137.25000,137.95000,10652
2023-02-20,137.89999,142.00000,135.35001,138.60001,8828
2023-02-21,139.00000,142.25000,136.00000,137.14999,9899
2023-02-22,140.75000,144.00000,137.00000,141.39999,18451
2023-02-23,142.00000,143.75000,138.39999,139.95000,9383
2023-02-24,138.00000,143.00000,137.10001,140.00000,6566
2023-02-27,140.00000,140.00000,134.25000,135.14999,4762
2023-02-28,135.05000,138.00000,128.60001,131.20000,11407
2023-03-01,134.20000,134.20000,131.00000,132.05000,19582
2023-03-02,132.95000,133.00000,131.14999,132.60001,12998
2023-03-03,132.60001,139.20000,132.39999,139.14999,29801
2023-03-06,141.00000,144.50000,139.89999,142.05000,27912
2023-03-08,144.35001,144.45000,139.00000,142.25000,17970
2023-03-09,143.80000,143.80000,136.20000,137.85001,12032
2023-03-10,137.80000,138.70000,132.00000,133.00000,41128
2023-03-13,132.00000,137.00000,127.00000,127.60000,62640
2023-03-14,128.60001,132.00000,128.00000,129.55000,79048
2023-03-15,131.00000,131.00000,125.00000,127.30000,25132
2023-03-16,126.15000,127.75000,125.25000,125.50000,9208
2023-03-17,125.50000,126.00000,123.05000,125.35000,11431
2023-03-20,123.00000,124.80000,120.00000,123.15000,14344
2023-03-21,122.35000,123.00000,120.05000,121.60000,23392
2023-03-22,122.05000,123.50000,120.05000,121.50000,11383
2023-03-23,122.10000,123.65000,120.00000,121.15000,13719
2023-03-24,122.00000,123.00000,118.75000,119.90000,18082
2023-03-27,117.10000,120.65000,113.90000,113.90000,49968
2023-03-28,113.60000,113.60000,108.20000,109.35000,47875
2023-03-29,109.35000,112.00000,103.95000,106.50000,46958
2023-03-31,108.25000,110.85000,103.15000,104.05000,38632
2023-04-03,104.00000,109.25000,104.00000,109.25000,14480
2023-04-05,114.70000,114.70000,114.55000,114.70000,2465
2023-04-06,120.40000,120.40000,120.00000,120.40000,5464
2023-04-10,126.40000,126.40000,126.40000,126.40000,2986
2023-04-11,132.70000,132.70000,132.70000,132.70000,12948
2023-04-12,139.30000,139.30000,127.25000,134.55000,93790
2023-04-13,127.85000,132.89999,127.85000,130.39999,44980
2023-04-17,131.70000,134.00000,124.25000,131.45000,20232
2023-04-18,130.00000,135.14999,125.20000,133.10001,19224
2023-04-19,128.25000,134.00000,128.25000,132.35001,10061
2023-04-20,134.00000,134.00000,127.10000,128.50000,40581
2023-04-21,129.00000,131.00000,125.00000,129.85001,8166
2023-04-24,130.00000,136.00000,127.00000,128.14999,36302
2023-04-25,134.00000,134.00000,128.00000,128.10001,28348
2023-04-26,126.00000,128.85001,124.30000,127.20000,58779
2023-04-27,127.20000,129.70000,125.15000,128.14999,15135
2023-04-28,129.95000,129.95000,121.90000,123.05000,48776
2023-05-02,123.90000,129.20000,120.00000,124.50000,113617
2023-05-03,118.30000,118.30000,118.30000,118.30000,60147
2023-05-04,112.40000,121.80000,112.40000,112.90000,2721371
2023-05-05,114.90000,118.50000,114.85000,118.50000,722563
2023-05-08,124.40000,124.40000,120.00000,124.40000,2770319
2023-05-09,130.60001,130.60001,126.00000,130.60001,2041476
2023-05-10,133.00000,137.10001,127.30000,137.10001,1760007
2023-05-11,138.80000,143.75000,133.50000,142.80000,606019
2023-05-12,142.80000,149.75000,136.60001,144.55000,517785
2023-05-15,145.39999,145.39999,139.70000,143.25000,154880
2023-05-16,143.25000,145.75000,138.00000,139.80000,237129
2023-05-17,139.05000,143.00000,133.75000,140.50000,308182
2023-05-18,141.95000,141.95000,135.25000,136.25000,100526
2023-05-19,137.64999,138.50000,133.50000,136.75000,119452
2023-05-22,139.00000,141.00000,136.00000,137.60001,76954
2023-05-23,139.80000,139.80000,136.00000,137.05000,85033
2023-05-24,137.05000,143.89999,137.05000,143.89999,124921
2023-05-25,151.05000,151.05000,145.00000,147.70000,224374
2023-05-26,149.00000,149.00000,141.00000,142.95000,180876
2023-05-29,143.00000,148.39999,143.00000,146.00000,148821
2023-05-30,143.30000,147.45000,142.00000,142.95000,52696
2023-05-31,144.80000,146.30000,140.60001,144.30000,87865
2023-06-01,145.89999,147.20000,142.50000,144.85001,88519
2023-06-02,147.80000,152.05000,144.50000,152.05000,380561
2023-06-05,152.50000,158.00000,152.45000,153.14999,401166
2023-06-06,154.50000,155.60001,151.55000,153.95000,176422
2023-06-07,153.95000,156.39999,149.75000,150.30000,97048
2023-06-08,150.39999,153.00000,148.05000,149.20000,118730
2023-06-09,148.00000,153.10001,146.25000,152.45000,211487
2023-06-12,153.00000,154.95000,151.20000,153.55000,86384
2023-06-13,155.50000,155.50000,151.39999,153.50000,88134
2023-06-14,154.85001,161.14999,153.55000,161.14999,339584
2023-06-15,161.95000,166.70000,158.55000,159.50000,268360
2023-06-16,160.00000,163.00000,158.30000,161.70000,78524
2023-06-19,161.70000,165.00000,160.00000,164.50000,139277
2023-06-20,164.45000,165.00000,161.00000,163.45000,44740
2023-06-21,161.64999,164.89999,159.50000,161.30000,79077
2023-06-22,161.05000,162.85001,154.39999,159.45000,152371
2023-06-23,152.60001,157.00000,151.50000,151.50000,187069
2023-06-26,150.85001,155.00000,144.60001,148.70000,134638
2023-06-27,148.95000,153.75000,147.00000,152.60001,67254
2023-06-28,152.85001,156.00000,152.00000,154.89999,92589
2023-06-30,154.89999,158.70000,148.20000,151.00000,140916
2023-07-03,152.10001,154.70000,147.05000,149.89999,133206
2023-07-04,151.35001,151.35001,145.14999,146.20000,65369
2023-07-05,145.50000,148.39999,141.05000,143.55000,133203
2023-07-06,144.00000,150.70000,141.00000,150.70000,166068
2023-07-07,151.45000,152.39999,145.05000,146.85001,84828
2023-07-10,146.70000,154.14999,145.00000,154.14999,251881
2023-07-11,152.80000,158.00000,150.05000,156.30000,150639
2023-07-12,155.20000,158.00000,150.10001,155.75000,127705
2023-07-13,155.39999,155.64999,150.20000,150.80000,108419
2023-07-14,152.89999,156.39999,150.00000,151.25000,58055
2023-07-17,151.25000,153.95000,149.00000,149.35001,51588
2023-07-18,151.50000,151.50000,145.20000,149.39999,53821
2023-07-19,149.00000,153.89999,147.05000,149.45000,105965
2023-07-20,148.50000,156.89999,148.50000,156.89999,108503
2023-07-21,164.70000,164.70000,158.05000,164.50000,470277
2023-07-24,163.89999,171.00000,160.60001,170.00000,277143
2023-07-25,171.00000,174.50000,169.60001,172.80000,150798
2023-07-26,172.80000,176.50000,171.05000,174.64999,140341
2023-07-27,175.30000,177.00000,168.00000,169.80000,94883
2023-07-28,170.00000,172.00000,165.00000,166.75000,60496
2023-07-31,170.00000,175.05000,168.00000,174.85001,217780
2023-08-01,174.80000,179.89999,169.25000,171.64999,122253
2023-08-02,172.95000,177.00000,169.10001,175.25000,127069
2023-08-03,166.50000,170.00000,166.50000,169.35001,501206
2023-08-04,167.00000,168.00000,160.89999,163.80000,113568
2023-08-07,163.10001,167.50000,162.00000,166.85001,73543
2023-08-08,168.70000,168.70000,159.55000,163.20000,162019
2023-08-09,162.50000,168.60001,160.60001,167.20000,71879
2023-08-10,170.00000,170.89999,162.25000,164.00000,68738
2023-08-11,166.95000,167.89999,160.95000,162.35001,99149
2023-08-14,164.75000,165.89999,159.60001,164.64999,95540
2023-08-16,162.89999,172.85001,160.00000,172.85001,205457
2023-08-17,174.85001,176.39999,169.00000,173.55000,114873
2023-08-18,173.55000,182.20000,172.64999,182.20000,285346
2023-08-21,191.00000,191.30000,184.00000,187.05000,359760
2023-08-22,184.00000,186.00000,177.70000,179.14999,175177
2023-08-23,181.00000,183.70000,175.14999,179.35001,75357
2023-08-24,179.35001,184.00000,173.50000,174.60001,100488
2023-08-25,177.50000,178.00000,167.00000,175.05000,133623
2023-08-28,183.80000,183.80000,177.00000,183.60001,223258
2023-08-29,180.80000,182.00000,176.45000,178.60001,101905
2023-08-30,178.39999,186.50000,176.00000,184.39999,221062
2023-08-31,184.25000,189.85001,184.20000,185.64999,291701
2023-09-01,186.00000,186.89999,182.10001,183.00000,105437
2023-09-04,184.89999,189.89999,183.50000,184.14999,115487
2023-09-05,185.89999,190.70000,184.89999,188.60001,180890
2023-09-06,186.00000,193.00000,186.00000,188.14999,108039
2023-09-07,185.14999,188.14999,183.00000,184.45000,121857
2023-09-08,185.00000,186.95000,182.05000,182.95000,111410
2023-09-11,185.00000,185.45000,175.00000,184.39999,134121
2023-09-12,184.64999,186.39999,175.20000,175.20000,178592
2023-09-13,173.95000,177.00000,168.00000,174.55000,127535
2023-09-14,175.95000,180.00000,175.00000,175.35001,53714
2023-09-15,176.00000,177.80000,172.00000,175.75000,46403
2023-09-18,175.85001,176.95000,170.00000,171.10001,67952
2023-09-20,172.80000,175.00000,169.25000,172.85001,38022
2023-09-21,174.95000,174.95000,169.80000,170.89999,92832
2023-09-22,173.30000,173.39999,170.00000,171.89999,45733
2023-09-25,173.95000,175.00000,165.00000,172.64999,153174
2023-09-26,172.64999,177.00000,170.60001,173.75000,50107
2023-09-27,175.39999,177.89999,173.00000,174.10001,111147
2023-09-28,177.80000,177.80000,171.55000,172.00000,41803
2023-09-29,172.00000,175.00000,169.55000,170.05000,49011
2023-10-03,170.05000,174.00000,169.00000,170.30000,155405
2023-10-04,168.05000,173.89999,168.05000,172.95000,66396
2023-10-05,173.50000,175.89999,170.30000,174.75000,70483
2023-10-06,174.75000,175.00000,172.45000,172.89999,33328
2023-10-09,172.64999,174.70000,169.10001,170.60001,33138
2023-10-10,170.50000,174.00000,170.50000,173.20000,22029
2023-10-11,174.00000,181.85001,173.00000,181.80000,116748
2023-10-12,181.50000,184.39999,177.35001,179.30000,70916
2023-10-13,178.10001,181.20000,175.05000,176.45000,43447
2023-10-16,176.45000,180.00000,176.00000,176.14999,121502
2023-10-17,176.30000,180.70000,176.00000,176.95000,65510
2023-10-18,178.70000,180.00000,176.05000,179.39999,70637
2023-10-19,178.95000,179.50000,175.30000,177.14999,132389
2023-10-20,177.14999,178.20000,176.00000,176.70000,53073
2023-10-23,179.20000,179.20000,169.00000,169.35001,69123
2023-10-25,169.35001,174.35001,167.50000,168.20000,74568
2023-10-26,169.64999,173.00000,166.00000,172.14999,48479
2023-10-27,172.00000,177.00000,165.00000,167.10001,144285
2023-10-30,165.00000,167.80000,158.75000,161.80000,291574
2023-10-31,161.85001,161.85001,157.55000,159.60001,48142
2023-11-01,159.55000,162.89999,157.50000,161.80000,165570
2023-11-02,163.00000,163.00000,158.00000,159.89999,94839
2023-11-03,159.89999,161.00000,159.10001,159.85001,18331
2023-11-06,160.00000,167.80000,160.00000,167.80000,137765
2023-11-07,172.00000,176.14999,170.10001,173.39999,100026
2023-11-08,173.39999,180.00000,173.00000,175.95000,159561
2023-11-09,175.95000,179.00000,172.00000,176.25000,43832
