date,open,high,low,close,volume
2023-09-27,32.50000,33.12000,32.23000,32.56000,915100
2023-09-28,32.59000,33.62000,30.85000,30.95000,3900600
2023-09-29,31.36000,31.39000,30.08000,30.46000,2146200
2023-10-02,30.58000,30.76000,29.69000,30.13000,1300300
2023-10-03,29.87000,30.02900,28.25000,28.43000,2256800
2023-10-04,28.55000,28.56000,27.60000,28.21000,1493300
2023-10-05,28.30000,28.48000,27.65000,28.24000,1525800
2023-10-06,27.88000,28.83000,27.87000,28.71000,1228900
2023-10-09,27.46000,28.14000,26.46800,27.83000,3671500
2023-10-10,28.32000,29.28500,27.86000,29.03000,2599000
2023-10-11,29.05000,29.17000,27.11500,27.99000,3025400
2023-10-12,24.14000,24.19000,21.14100,22.40000,16356900
2023-10-13,22.31000,22.87000,20.63000,20.75000,6312800
2023-10-16,21.00000,22.05000,20.43000,21.32000,4573300
2023-10-17,21.05000,22.02000,21.05000,21.23000,2714200
2023-10-18,21.10000,21.40600,20.53000,20.74000,1881400
2023-10-19,20.86000,21.07500,19.67000,19.86000,2693800
2023-10-20,19.78000,19.89000,19.27400,19.70000,2346800
2023-10-23,19.53000,20.02000,19.05000,19.93000,1999000
2023-10-24,20.12000,20.88000,20.09000,20.27000,1685700
2023-10-25,19.96000,20.03000,19.51000,19.70000,1811000
2023-10-26,19.61000,19.61000,19.01500,19.25000,1962100
2023-10-27,19.72000,19.91000,18.97500,19.13000,3042100
2023-10-30,19.40000,19.60800,18.80000,19.02000,2028800
2023-10-31,19.14000,19.67000,19.05500,19.10000,2118700
2023-11-01,19.02000,19.20000,18.57000,19.03000,2155900
2023-11-02,21.00000,21.85000,20.63000,21.76000,3693000
2023-11-03,21.83000,22.00000,21.21000,21.48000,2100500
2023-11-06,21.67000,21.83000,20.17500,20.47000,2108200
2023-11-07,20.66000,20.87000,19.52500,19.68000,3678000
2023-11-08,19.92000,20.98000,19.68000,19.99000,3901200
2023-11-09,20.02000,20.23000,19.51000,19.69000,1682500
2023-11-10,19.73000,19.76500,19.06000,19.50000,1929400
2023-11-13,19.65500,20.31000,19.47400,19.82000,1332100
2023-11-14,20.46000,21.21000,20.46000,20.97000,1671600
2023-11-15,21.31000,22.58000,20.90000,22.18000,2929400
2023-11-16,22.10000,22.43000,21.38000,21.71000,1691600
2023-11-17,21.92000,22.60000,21.69000,22.09000,1905400
2023-11-20,22.24000,22.89000,22.00000,22.60000,1995300
2023-11-21,22.50000,22.69000,22.21000,22.50000,1210200
2023-11-22,22.66000,23.38000,22.34000,23.19000,1434300
2023-11-24,23.22000,23.54000,22.90500,22.92000,710400
2023-11-27,22.79000,23.16000,22.25000,22.76000,1150700
2023-11-28,22.57000,23.75600,22.53000,23.39000,1516100
2023-11-29,23.72000,24.54000,23.66000,23.80000,1696800
2023-11-30,23.94000,24.20000,23.41000,23.75000,1376900
2023-12-01,23.81000,25.02000,23.70000,24.54000,1956900
2023-12-04,24.52000,25.39000,24.45000,24.69000,1704000
2023-12-05,24.50000,24.50000,23.59500,23.62000,1269700
2023-12-06,20.34000,22.05000,20.14000,21.26000,6431000
2023-12-07,21.31000,21.35000,20.25500,20.75000,3205600
2023-12-08,20.76000,21.96000,20.75000,21.74000,2124100
2023-12-11,21.64000,22.20000,21.32000,21.54000,1827600
2023-12-12,21.49000,21.60000,20.66000,20.90000,1483600
2023-12-13,20.89000,22.11000,20.64000,22.02000,1721300
2023-12-14,22.69000,23.66000,22.68000,23.09000,2070000
2023-12-15,23.14000,23.28000,22.70000,22.83000,1884700
2023-12-18,22.88000,23.05000,22.34000,22.35000,1267100
2023-12-19,22.64000,23.42000,22.64000,22.94000,1108600
2023-12-20,22.80000,22.90500,21.80000,21.81000,1147300
2023-12-21,22.20000,22.77000,21.94000,22.74000,1382500
2023-12-22,22.81000,23.12000,22.59000,22.72000,909700
2023-12-26,22.89000,23.24000,22.64000,23.00000,1025400
2023-12-27,23.07000,23.17000,22.36500,22.50000,893700
2023-12-28,22.50000,22.95000,22.29000,22.54000,977600
2023-12-29,22.54000,22.66000,22.19200,22.24000,953400
2024-01-02,21.85800,23.15000,21.65000,22.22000,1377900
2024-01-03,21.93000,21.93400,20.83500,21.00000,2061400
2024-01-04,20.96000,21.30000,20.87000,21.01000,846500
2024-01-05,20.82000,21.26000,20.70000,20.96000,1340400
2024-01-08,21.00000,21.55000,20.84000,21.37000,1079300
2024-01-09,21.09000,22.47000,21.06500,22.08000,1935000
2024-01-10,22.11000,22.21000,21.39000,21.94000,1317500
2024-01-11,21.90000,22.00000,21.00000,21.19000,1538800
2024-01-12,21.41000,21.65000,20.70500,20.78000,1439400
2024-01-16,20.76000,21.66000,20.72200,21.57000,3299200
2024-01-17,21.17000,21.96000,20.96000,21.88000,2159500
2024-01-18,22.04000,23.01000,21.93000,22.90000,2191300
2024-01-19,23.00000,23.09000,22.02000,22.59000,1703100
2024-01-22,22.70000,23.39000,22.60000,23.07000,1524200
2024-01-23,23.25000,23.49000,22.58000,22.99000,1152900
2024-01-24,23.45000,23.47400,22.61900,22.72000,1114800
2024-01-25,22.76000,23.32000,22.22000,23.30000,1798100
2024-01-26,23.40000,23.65000,23.00000,23.25000,1353300
2024-01-29,23.27000,24.35500,23.11000,24.27000,1614600
2024-01-30,24.14000,24.23000,23.87500,24.03000,1083300
2024-01-31,23.91000,24.58000,23.68000,23.69000,1172200
2024-02-01,23.91000,24.15700,23.55000,24.12000,878100
2024-02-02,23.72000,24.24000,23.63000,24.00000,775800
2024-02-05,23.68000,23.81000,23.33000,23.54000,1224700
2024-02-06,23.49000,24.83000,23.23000,24.81000,1529400
2024-02-07,24.84000,25.15000,24.40900,25.01000,1408400
2024-02-08,24.91000,25.41500,24.66000,25.36000,1096400
2024-02-09,25.50000,26.02000,25.06000,25.96000,1792400
2024-02-12,26.10000,26.80000,25.88000,26.49000,3254500
2024-02-13,23.94000,25.12000,23.50000,23.67000,3896700
2024-02-14,24.00000,24.13000,22.66000,22.90000,2716300
2024-02-15,23.26000,24.03000,23.16000,23.77000,1567900
2024-02-16,23.66000,23.66000,22.72000,22.80000,1802400
2024-02-20,21.57000,22.00000,19.70000,20.97000,6944100
2024-02-21,20.83000,20.86000,20.44000,20.84000,2202600
2024-02-22,20.86000,21.06500,20.47000,20.69000,1696900
2024-02-23,20.62000,21.41000,20.32000,21.35000,1549800
2024-02-26,21.34000,21.65000,21.20000,21.44000,1078400
2024-02-27,21.58000,22.11000,21.36000,21.99000,992400
2024-02-28,21.64000,22.16000,21.60000,21.68000,1416100
2024-02-29,22.02000,22.22000,21.68000,22.00000,1245600
2024-03-01,22.09000,23.02500,21.88000,22.93000,1434700
2024-03-04,22.86000,23.46000,22.70000,23.22000,1307000
2024-03-05,23.05000,23.20000,22.75000,22.94000,1025900
2024-03-06,22.78000,23.34600,22.63000,22.76000,773600
2024-03-07,22.96000,23.08000,22.63000,22.67000,795900
2024-03-08,23.00000,23.38000,21.96000,21.97000,1207000
2024-03-11,21.94000,22.22000,21.35000,21.54000,1017900
2024-03-12,21.42000,21.60000,21.08000,21.46000,1244200
2024-03-13,21.34000,21.99500,21.33300,21.92000,1112200
2024-03-14,21.85000,21.97000,21.23000,21.33000,1551300
2024-03-15,21.22000,21.51000,20.81000,20.91000,2008500
2024-03-18,21.07000,21.17000,20.71000,20.76000,1337600
2024-03-19,20.61000,20.73000,20.00000,20.59000,2308600
2024-03-20,20.58000,21.37000,20.27000,21.24000,1272000
2024-03-21,21.50000,21.75000,21.21000,21.23000,955300
2024-03-22,21.13000,21.26500,20.44000,20.45000,870900
2024-03-25,20.60000,20.84000,20.41000,20.45000,709600
2024-03-26,20.77000,20.92500,20.49000,20.67000,681400
2024-03-27,20.85000,21.34000,20.82000,21.20000,821700
2024-03-28,21.17000,21.92000,21.12000,21.61000,1012700
2024-04-01,21.70000,21.75500,20.87000,21.00000,739800
2024-04-02,20.65000,20.68500,20.42000,20.61000,928700
2024-04-03,20.50000,20.73800,20.45000,20.62000,947800
2024-04-04,20.97000,20.98000,19.81000,19.83000,2291300
2024-04-05,19.80000,20.01000,19.52000,19.55000,1394700
2024-04-08,19.55000,19.99000,19.38000,19.79000,1074400
2024-04-09,18.30000,19.40000,18.14000,18.43000,5028200
2024-04-10,18.00000,18.99500,17.74000,18.89000,2793800
