date,open,high,low,close,volume
2016-02-04,32.41477,33.51326,32.10227,33.21023,6857558
2016-02-05,33.20076,33.48485,32.96402,33.11553,6897158
2016-02-08,32.67046,32.77462,31.93182,32.53788,4495498
2016-02-09,32.20644,33.33333,31.96023,33.26704,6488064
2016-02-10,33.39962,34.20454,32.85985,32.93560,8214624
2016-02-11,32.05492,32.32008,31.11742,31.36364,6215088
2016-02-12,31.78977,33.28598,31.74242,32.34848,6722813
2016-02-16,32.71780,33.27652,32.40530,33.23864,3854611
2016-02-17,33.42803,34.25190,33.39015,33.69318,4720848
2016-02-18,33.65530,33.72159,33.17235,33.44697,3180038
2016-02-19,32.96402,32.96402,31.65720,32.20644,6206851
2016-02-22,32.60417,32.67046,32.27273,32.52841,4254624
2016-02-23,32.36742,32.49053,31.96970,32.37690,3968976
2016-02-24,32.18750,33.01136,32.00758,32.86932,3848803
2016-02-25,32.93560,33.09659,32.49053,32.94508,3256598
2016-02-26,33.14394,33.61742,33.11553,33.37121,3522182
2016-02-29,33.33333,34.28030,33.29546,33.80682,4557696
2016-03-01,34.10985,34.95265,34.02462,34.69697,4198022
2016-03-02,34.51704,35.08523,34.48864,34.82954,3461146
2016-03-03,34.84848,36.33523,34.82954,36.27841,5420870
2016-03-04,36.20265,37.09280,36.10796,36.67614,4994774
2016-03-07,36.60038,37.01704,36.50568,36.85606,3003475
2016-03-08,36.68560,36.83712,35.76704,35.82386,3694522
2016-03-09,36.07008,36.57197,35.87121,36.50568,4148074
2016-03-10,36.72348,37.27273,36.42046,37.16856,5536502
2016-03-11,37.68940,37.92614,37.60417,37.78409,4430659
2016-03-14,37.85985,38.28598,37.74621,37.88826,5877907
2016-03-15,37.70833,37.82197,37.05492,37.37690,5213472
2016-03-16,37.26326,38.41856,37.20644,38.24810,6167251
2016-03-17,38.17235,39.48864,38.10606,39.08144,5302704
2016-03-18,39.68750,39.68750,38.36174,38.76894,10498330
2016-03-21,38.77841,39.85796,38.77841,39.26136,4766573
2016-03-22,39.03409,39.58333,38.78788,39.09091,3634224
2016-03-23,38.99621,39.18560,38.49432,38.55114,2789213
2016-03-24,38.35227,38.65530,38.08712,38.62690,2900304
2016-03-28,38.73106,38.83523,38.39015,38.69318,2280115
2016-03-29,38.60796,39.16667,38.20076,39.14773,3136003
2016-03-30,39.25190,39.34659,38.70265,38.82576,3163142
2016-03-31,38.82576,38.97727,38.45644,38.86364,4565510
2016-04-01,38.58902,38.84470,38.23864,38.79735,4211222
2016-04-04,38.84470,38.93940,38.35227,38.40909,3236640
2016-04-05,37.96402,38.19129,37.52841,37.75568,5114419
2016-04-06,37.68940,38.10606,37.26326,38.06818,3159130
2016-04-07,37.73674,38.02083,37.28220,37.50000,2570726
2016-04-08,37.81250,38.32386,37.78409,38.08712,2626694
2016-04-11,38.26704,38.54167,37.98296,38.04924,2901254
2016-04-12,38.21023,38.44697,37.86932,38.37121,2533133
2016-04-13,38.69318,39.17614,38.63636,39.12879,2755104
2016-04-14,39.20454,39.25190,38.56060,38.81629,2424259
2016-04-15,38.73106,39.57386,38.69318,39.50758,3149309
2016-04-18,39.33712,39.85796,39.20454,39.79167,2505466
2016-04-19,39.84848,41.15530,39.82008,40.64394,5066054
2016-04-20,40.68182,40.80492,40.25568,40.29356,2561645
2016-04-21,40.64394,41.19318,40.26515,40.31250,3666432
2016-04-22,40.46402,41.18371,40.43560,41.06060,3118579
2016-04-25,40.58712,40.75758,40.10417,40.57765,3638870
2016-04-26,40.67235,41.17424,40.65341,41.07008,3164515
2016-04-27,41.72348,42.23485,41.25947,41.83712,4279334
