date,open,high,low,close,volume
2025-03-21,27.19000,27.84000,27.08000,27.65000,2726000
2025-03-24,27.95000,28.33000,27.86000,28.19000,1148500
2025-03-25,28.22000,29.12000,28.15000,29.00000,1613300
2025-03-26,29.04000,30.04000,29.04000,29.54000,1056800
2025-03-27,29.33000,29.99000,28.90000,29.48000,1782200
2025-03-28,29.41000,29.74000,27.52000,27.54000,1246700
2025-03-31,27.10000,27.61000,26.69000,27.32000,1374500
2025-04-01,27.21000,27.59000,26.60000,27.32000,1386500
2025-04-02,27.04000,27.49000,26.81000,27.03000,1132200
2025-04-03,26.22000,26.67000,25.54000,25.58000,1075800
2025-04-04,24.78000,25.30000,24.12000,24.59000,1550300
2025-04-07,23.27000,25.05000,22.90000,23.28000,1884300
2025-04-08,24.01000,24.19000,22.23000,22.65000,1263100
2025-04-09,22.28000,24.88000,22.18000,24.65000,1622000
2025-04-10,24.27000,24.66000,23.84000,24.15000,1256800
2025-04-11,24.22000,24.57000,23.33000,24.27000,852000
2025-04-14,24.68000,25.01000,24.18000,24.32000,931200
2025-04-15,24.50000,24.72000,24.06000,24.20000,818400
2025-04-16,23.95000,24.30000,23.59000,23.83000,731500
2025-04-17,23.89000,24.56000,23.53000,23.77000,738800
2025-04-21,23.50000,23.63000,22.87000,23.20000,2063400
2025-04-22,22.50000,23.04000,19.91000,21.61000,6427200
2025-04-23,22.64000,23.13000,21.38000,21.57000,2360700
2025-04-24,21.80000,23.15000,21.57000,23.04000,2161600
2025-04-25,22.99000,23.32000,22.47000,23.16000,1433100
2025-04-28,23.42000,24.44000,23.42000,24.16000,1951300
2025-04-29,24.20000,24.55000,23.77000,24.12000,1305500
2025-04-30,23.85000,24.19000,23.43000,24.13000,1079500
2025-05-01,24.14000,24.50000,23.86000,24.07000,1093700
2025-05-02,24.37000,25.38000,24.27000,25.17000,1117100
2025-05-05,25.14000,25.92000,24.88000,25.77000,1577200
2025-05-06,25.43000,26.39000,25.26000,26.25000,1359900
2025-05-07,26.25000,26.61000,26.09000,26.31000,1209000
2025-05-08,26.46000,26.47000,25.88000,26.01000,1013700
2025-05-09,26.00000,26.81000,26.00000,26.45000,796500
2025-05-12,27.12000,27.49000,26.71000,26.98000,891100
2025-05-13,26.90000,26.97000,25.63000,25.66000,1821700
2025-05-14,25.50000,25.76000,24.81000,25.33000,1267900
2025-05-15,25.35000,25.85000,25.18000,25.65000,1161200
2025-05-16,25.69000,25.89000,25.39000,25.45000,875500
2025-05-19,25.12000,25.50000,24.94000,25.23000,880700
2025-05-20,25.27000,26.07000,25.11000,25.82000,921100
2025-05-21,25.82000,25.85000,25.06000,25.31000,794800
2025-05-22,25.31000,25.68000,25.01000,25.53000,916900
2025-05-23,25.23000,25.38000,24.57000,25.22000,742700
2025-05-27,25.54000,26.70000,25.38000,26.23000,1167100
2025-05-28,26.23000,26.25000,25.61000,25.68000,847000
2025-05-29,25.97000,25.97000,25.07000,25.57000,795100
2025-05-30,25.42000,25.69000,25.22000,25.40000,1432400
2025-06-02,25.25000,26.16000,25.10000,25.87000,1369900
2025-06-03,25.95000,26.26000,25.60000,26.14000,921300
2025-06-04,26.05000,26.59000,25.88000,26.34000,673100
2025-06-05,26.50000,26.72000,26.25000,26.51000,890400
2025-06-06,26.80000,27.86000,26.55000,27.76000,1829300
2025-06-09,27.80000,29.21000,27.80000,28.56000,1909500
2025-06-10,29.20000,29.20000,28.20000,28.94000,912300
2025-06-11,29.18000,29.26000,28.57000,28.77000,808100
2025-06-12,28.74000,29.33000,28.73000,29.23000,766300
2025-06-13,28.69000,29.14000,28.47000,28.64000,854100
2025-06-16,28.61000,29.44000,28.47000,29.36000,954400
2025-06-17,29.09000,29.34000,28.10000,28.60000,987200
2025-06-18,28.66000,29.26000,28.59000,28.74000,867300
2025-06-20,28.89000,29.15000,28.40000,28.43000,2230200
2025-06-23,28.42000,29.30000,28.36000,29.20000,953200
2025-06-24,29.45000,29.52000,28.77000,28.93000,1265100
2025-06-25,28.94000,29.08000,28.73000,28.81000,931300
2025-06-26,29.04000,29.68000,28.82000,29.51000,1485100
2025-06-27,29.72000,30.29000,29.56000,30.04000,2400900
2025-06-30,30.18000,30.49000,29.67000,30.17000,1542100
2025-07-01,30.18000,30.85000,30.14000,30.59000,1414900
2025-07-02,30.66000,31.57000,30.40000,31.52000,1103900
2025-07-03,31.69000,32.03000,31.30000,31.80000,870500
2025-07-07,31.55000,32.26000,31.40000,32.02000,1265400
2025-07-08,32.10000,32.68000,31.64000,31.87000,1010000
2025-07-09,32.00000,32.12000,31.17000,31.34000,893200
2025-07-10,31.35000,32.71000,31.27000,32.06000,1384100
2025-07-11,31.85000,31.95000,31.26000,31.45000,1113600
2025-07-14,31.44000,31.87000,31.36000,31.71000,1258400
2025-07-15,31.81000,32.15000,31.43000,31.44000,1111600
2025-07-16,31.52000,31.92000,30.49000,31.19000,1769100
2025-07-17,31.32000,32.35000,31.26000,32.11000,1883700
2025-07-18,32.39000,32.75000,31.73000,32.08000,1403200
2025-07-21,32.56000,33.34000,31.83000,32.07000,1825300
2025-07-22,31.76000,32.20000,31.17000,31.88000,1337200
2025-07-23,31.97000,32.64000,31.75000,32.43000,1688700
2025-07-24,28.90000,29.75000,24.81000,25.27000,10299000
2025-07-25,25.83000,26.02000,24.84000,25.70000,4026500
2025-07-28,25.50000,25.99000,25.30000,25.54000,2436700
2025-07-29,25.51000,25.69000,24.61000,24.61000,1970700
2025-07-30,24.67000,25.12000,24.64000,24.91000,1489100
2025-07-31,24.67000,25.07000,24.22000,24.46000,1512500
2025-08-01,24.08000,24.62000,23.85000,24.18000,1576300
2025-08-04,24.41000,24.96000,24.34000,24.66000,2426300
2025-08-05,24.98000,25.30000,24.83000,24.89000,1518200
2025-08-06,24.82000,25.06000,24.05000,24.09000,1339900
2025-08-07,24.10000,24.32000,23.21000,23.74000,1632400
2025-08-08,23.85000,24.00000,23.64000,23.81000,1054900
2025-08-11,23.80000,23.91000,23.51000,23.76000,1095700
2025-08-12,24.09000,24.95000,24.09000,24.89000,2131500
2025-08-13,24.89000,24.99000,24.48000,24.98000,1519300
2025-08-14,24.62000,24.98000,24.55000,24.95000,1327400
2025-08-15,25.00000,25.37000,24.80000,25.01000,1528900
2025-08-18,25.09000,25.35000,24.52000,24.65000,1391400
2025-08-19,24.70000,24.75000,23.90000,23.90000,1366300
2025-08-20,23.84000,24.17000,23.78000,24.13000,1504000
2025-08-21,23.96000,24.16000,23.70000,24.14000,886600
