date,open,high,low,close,volume
2023-10-02,43.99000,44.20000,43.24300,44.05000,26200
2023-10-03,43.97000,43.97000,42.52000,42.62000,20600
2023-10-04,42.66000,43.15000,42.40000,42.69000,18600
2023-10-05,42.87000,42.87000,42.01000,42.23000,28900
2023-10-06,41.93000,41.99000,41.08000,41.66000,17200
2023-10-09,41.27000,41.65000,40.42000,40.56000,15700
2023-10-10,40.50000,41.01500,39.76200,40.41000,36100
2023-10-11,40.41000,40.75000,38.38000,39.03000,49200
2023-10-12,39.00000,39.00000,37.10000,37.31000,74500
2023-10-13,37.34000,38.26000,36.44000,38.17000,46800
2023-10-16,38.14000,39.05000,36.12000,38.94000,22800
2023-10-17,38.90000,39.79000,38.90000,39.32000,31700
2023-10-18,39.26000,39.26000,38.76000,38.98000,20800
2023-10-19,39.22000,40.15000,39.02000,39.34000,15300
2023-10-20,39.63000,39.63000,38.70000,38.90000,22900
2023-10-23,37.59000,38.83000,37.51000,38.08000,18200
2023-10-24,38.53000,39.39000,38.53000,39.28000,27000
2023-10-25,39.20000,39.82000,38.90000,38.99000,27000
2023-10-26,39.17000,39.73000,38.67000,39.70000,20800
2023-10-27,39.81000,41.62000,39.19000,41.22000,53000
2023-10-30,41.52000,41.52000,38.98500,40.10000,32400
2023-10-31,40.41000,40.93000,39.87000,40.74000,30200
2023-11-01,41.08000,41.75000,40.20000,41.06000,31000
2023-11-02,41.58000,41.81000,40.51000,41.00000,17500
2023-11-03,43.51000,49.37000,43.25000,45.06000,94500
2023-11-06,44.88000,45.03000,42.42000,42.44000,36600
2023-11-07,42.57000,44.13800,41.04000,41.12000,27900
2023-11-08,41.12000,41.26000,39.64000,40.48000,24100
2023-11-09,40.53000,40.74500,39.63000,40.05000,12900
2023-11-10,39.80000,40.49000,39.28000,39.57000,22600
2023-11-13,39.39000,41.95000,39.24000,41.67000,34700
2023-11-14,42.46000,44.33000,42.30000,43.18000,30900
2023-11-15,43.64000,44.42500,42.58500,42.74000,20000
2023-11-16,42.96000,42.98000,42.08000,42.36000,20300
2023-11-17,42.73000,43.94500,41.76700,42.22000,34000
2023-11-20,42.69000,43.11000,41.38900,42.93000,28200
2023-11-21,43.30000,43.94000,41.79000,41.79000,28300
2023-11-22,42.27000,42.45000,40.54000,40.80000,23300
2023-11-24,40.63000,43.27000,40.56000,43.06000,11900
2023-11-27,43.00000,43.03000,41.28000,41.28000,26400
2023-11-28,41.58000,42.09000,40.05000,40.05000,50300
2023-11-29,40.62000,42.44000,40.62000,41.90000,23200
2023-11-30,41.51000,44.16000,40.33000,43.94000,44700
2023-12-01,44.34000,44.34000,41.85000,42.43000,37300
2023-12-04,42.40000,43.01700,41.76000,42.28000,26100
2023-12-05,41.77000,42.43000,40.56000,42.09000,28900
2023-12-06,42.68000,43.00000,41.58000,41.99000,29000
2023-12-07,42.43000,42.43000,41.27000,41.78000,12800
2023-12-08,41.25000,42.38900,41.25000,41.73000,20900
2023-12-11,41.81000,42.50500,40.40000,41.91000,49800
2023-12-12,41.77000,43.62800,41.17000,42.69000,39900
2023-12-13,43.27200,43.74000,41.39000,43.73000,40500
2023-12-14,44.56000,45.71000,44.01000,45.53000,63300
2023-12-15,46.00000,46.00000,43.25000,45.68000,82200
2023-12-18,45.73000,45.83000,43.12000,44.64000,97800
2023-12-19,44.98000,46.36000,43.40000,45.79000,49400
2023-12-20,46.15000,47.49000,45.13000,45.48000,40900
2023-12-21,45.50000,46.44000,44.70000,45.94000,30900
2023-12-22,45.88000,47.73000,45.82000,46.33000,32200
2023-12-26,46.12000,47.72000,45.99000,46.74000,25000
2023-12-27,47.22000,47.23000,45.65400,47.01000,25800
2023-12-28,47.01000,47.01000,45.29000,46.06000,32200
2023-12-29,46.07000,48.44000,45.73500,47.47000,50900
2024-01-02,47.23000,49.00000,46.25500,47.29000,38300
2024-01-03,47.33000,47.33000,44.76000,45.79000,55400
2024-01-04,46.15000,46.71000,45.30000,45.84000,27000
2024-01-05,45.32000,46.52100,44.61000,44.70000,59100
2024-01-08,44.70000,46.03000,44.03000,45.95000,31200
2024-01-09,46.15000,46.15000,44.77000,45.51000,43200
2024-01-10,45.45000,45.96000,44.43200,45.16000,34400
2024-01-11,44.91000,45.97000,44.55000,45.74000,31200
2024-01-12,46.32000,46.55500,44.88000,45.30000,30900
2024-01-16,45.25000,45.25000,44.03000,44.79000,18600
2024-01-17,44.08000,45.04500,44.03000,45.00000,26700
2024-01-18,44.95000,44.96000,43.87000,44.48000,19000
2024-01-19,44.74000,44.74000,43.26000,44.37000,31000
2024-01-22,44.66000,45.65000,44.31000,45.62000,24700
2024-01-23,45.99000,45.99000,44.44000,45.19000,22600
2024-01-24,45.42000,45.69000,43.77000,44.17000,22000
2024-01-25,44.84000,44.84000,42.89000,43.20000,29300
2024-01-26,43.72000,44.84000,42.73000,43.12000,21200
2024-01-29,42.87000,43.38000,42.64000,43.30000,16300
2024-01-30,42.93000,43.54500,42.45000,43.47000,19700
2024-01-31,43.49000,43.49000,41.40000,41.41000,33400
2024-02-01,41.70000,43.32000,41.51000,42.87000,484600
2024-02-02,42.80000,45.33000,42.64000,44.66000,44300
2024-02-05,44.50000,45.34000,43.81000,45.00000,37100
2024-02-06,45.35000,46.07000,44.88000,45.77000,37900
2024-02-07,45.77000,46.72000,44.91000,46.53000,26900
2024-02-08,45.90000,46.67000,44.09000,46.55000,88500
2024-02-09,46.53000,46.53000,42.78000,43.34000,93700
2024-02-12,43.63000,45.93000,43.13000,45.61000,101500
2024-02-13,44.51000,45.90000,43.82000,45.00000,55100
2024-02-14,45.46000,46.10000,44.55000,45.75000,70600
2024-02-15,45.80000,46.90000,44.73000,46.76000,85000
2024-02-16,46.70000,47.76000,45.18000,45.48000,54400
2024-02-20,45.09000,45.48000,44.50000,44.90000,28200
2024-02-21,44.55000,44.55000,42.64000,43.31000,58900
2024-02-22,43.31000,43.82000,41.01000,41.83000,94600
2024-02-23,41.70000,44.08000,41.26000,42.39000,73400
2024-02-26,42.11000,43.07000,41.93000,42.20000,61300
2024-02-27,42.53000,43.49000,42.24000,42.60000,43100
2024-02-28,42.26000,42.70000,41.12000,41.17000,30700
2024-02-29,41.70000,42.45000,40.81000,41.97000,57500
2024-03-01,42.04000,42.40400,41.24000,42.20000,74600
2024-03-04,42.20000,42.20000,40.43000,42.00000,79700
2024-03-05,41.99000,42.76000,41.32000,42.63000,42300
2024-03-06,43.07000,43.65000,42.35000,43.64000,59700
2024-03-07,43.97000,44.32000,43.29000,44.25000,54400
2024-03-08,44.72000,45.20000,43.60000,44.12000,37000
2024-03-11,44.11000,44.11000,42.61000,43.21000,61700
2024-03-12,42.97000,43.96500,42.70000,43.87000,36400
2024-03-13,43.82000,45.15000,43.62000,45.00000,47700
