date,open,high,low,close,volume
2025-03-20,223.00000,227.08000,217.25000,223.25000,92216
2025-03-21,224.14999,228.95000,222.00000,222.70000,103903
2025-03-24,222.78999,226.78000,219.59000,221.55000,101078
2025-03-25,222.60001,225.00000,212.13000,213.81000,103570
2025-03-26,212.99001,218.17999,209.60001,211.05000,68802
2025-03-27,214.39999,225.00000,210.61000,222.50000,215962
2025-03-28,223.00000,225.10001,215.05000,217.20000,102476
2025-04-01,217.89999,220.28000,211.21001,217.03999,88625
2025-04-02,217.50000,230.97000,214.60001,227.84000,128611
2025-04-03,227.00000,243.64999,226.42999,233.53000,217120
2025-04-04,235.00000,235.30000,210.00000,215.82001,212237
2025-04-07,198.00000,211.21001,192.85001,202.88000,103290
2025-04-08,206.35001,219.89999,204.25000,208.87000,98798
2025-04-09,205.14999,207.89999,200.00000,200.61000,61342
2025-04-11,204.00000,215.00000,204.00000,210.72000,162461
2025-04-15,214.88000,221.30000,214.88000,219.39000,56335
2025-04-16,220.89999,222.60001,218.55000,219.84000,47390
2025-04-17,220.60001,223.92999,218.10001,222.13000,43815
2025-04-21,225.00000,235.00000,222.86000,227.28000,109458
2025-04-22,227.88000,230.00000,223.35001,226.06000,51910
2025-04-23,228.60001,230.99001,223.20000,224.07001,79649
2025-04-24,222.14999,244.00000,222.14999,239.31000,266030
2025-04-25,249.50000,267.00000,231.55000,240.99001,4131662
2025-04-28,237.00000,237.00000,226.72000,232.70000,338169
2025-04-29,233.88000,235.37000,226.95000,227.46001,90717
2025-04-30,226.00000,232.84000,222.05000,224.96001,153359
2025-05-02,225.50000,245.00000,225.50000,236.14999,342657
2025-05-05,240.00000,252.00000,238.20000,249.91000,292395
2025-05-06,248.78999,248.88000,235.00000,240.58000,174870
2025-05-07,232.58000,232.80000,218.10001,219.82001,390947
2025-05-08,221.58000,225.47000,207.39999,210.39999,241574
2025-05-09,204.00000,207.78999,201.35001,204.37000,227795
2025-05-12,218.00000,225.00000,211.14000,222.03000,244440
2025-05-13,222.50000,222.50000,215.11000,219.20000,108426
2025-05-14,221.95000,223.99001,216.81000,218.03000,87733
2025-05-15,219.88000,222.03999,218.50999,219.30000,102009
2025-05-16,220.89000,221.30000,210.11000,213.16000,204267
2025-05-19,216.45000,218.64000,211.64999,212.25999,111500
2025-05-20,214.99001,214.99001,210.35001,210.74001,67951
2025-05-21,212.67000,212.67000,207.98000,208.58000,89980
2025-05-22,208.70000,215.00000,208.00000,211.46001,167915
2025-05-23,212.39000,212.78999,208.49001,209.67999,107099
2025-05-26,211.44000,222.31000,209.46001,220.96001,286471
2025-05-27,222.00000,233.75000,217.22000,232.12000,330166
2025-05-28,238.00000,238.83000,226.99001,229.39000,500084
2025-05-29,229.00000,244.00000,228.50000,242.64000,544112
2025-05-30,242.64000,248.85001,235.00000,236.78000,224958
2025-06-02,239.46001,241.39000,232.80000,237.06000,107622
2025-06-03,237.20000,237.64999,229.99001,232.17999,74263
2025-06-04,230.53000,233.85001,222.23000,225.21001,141346
2025-06-05,226.45000,235.70000,226.33000,233.81000,140205
2025-06-06,233.81000,234.87000,227.92000,231.50999,118868
2025-06-09,233.10001,234.89999,228.16000,231.37000,69663
2025-06-10,231.39999,239.00000,231.39999,233.69000,123310
2025-06-11,234.80000,243.39999,233.20000,238.13000,191229
2025-06-12,240.00000,243.89000,233.00000,235.02000,129711
2025-06-13,234.00000,236.39999,228.83000,232.95000,103057
2025-06-16,230.61000,234.03000,224.87000,231.09000,74474
2025-06-17,230.09000,232.96001,222.14999,224.45000,67086
2025-06-18,224.45000,227.80000,222.56000,223.69000,39931
2025-06-19,223.69000,225.39999,213.97000,214.44000,68520
2025-06-20,212.00999,216.64000,210.09000,214.10001,74795
2025-06-23,210.89999,217.86000,210.64999,217.17000,73430
2025-06-24,219.00000,225.41000,215.99001,216.91000,105507
2025-06-25,218.25000,223.03999,217.56000,220.72000,72641
2025-06-26,221.39999,222.00000,214.89000,216.62000,90806
2025-06-27,218.39999,224.42999,211.50999,220.00000,127371
2025-06-30,220.64999,224.86000,218.24001,223.77000,84588
2025-07-01,223.77000,231.89999,221.21001,226.89000,143194
2025-07-02,227.50000,231.49001,226.00000,229.56000,89367
2025-07-03,229.56000,233.00000,227.27000,229.80000,79212
2025-07-04,230.13000,232.00000,228.23000,231.08000,48320
2025-07-07,231.10001,232.45000,228.41000,230.67000,56660
2025-07-08,230.67000,231.84000,226.50000,229.75000,46587
2025-07-09,229.75000,231.50000,226.10001,230.34000,38088
2025-07-10,231.00000,231.69000,227.08000,230.38000,53017
2025-07-11,230.37000,249.00000,226.00000,242.09000,863082
2025-07-14,243.00000,256.79999,241.72000,253.06000,501611
2025-07-15,254.99001,259.59000,245.00000,246.03999,526449
2025-07-16,248.00999,249.89999,244.25000,246.30000,79976
2025-07-17,250.74001,258.39001,250.00000,252.42999,234934
2025-07-18,252.95000,257.76001,248.86000,254.20000,225705
2025-07-21,254.20000,254.45000,248.00000,249.03999,86366
2025-07-22,249.03999,272.00000,241.98000,261.34000,541900
2025-07-23,261.64999,274.79999,258.10999,269.76001,357090
2025-07-24,269.70001,270.00000,251.10001,253.10001,191367
2025-07-25,254.84000,279.94000,253.78999,263.29001,1607919
2025-07-28,274.00000,301.64999,269.04999,292.75000,7530244
2025-07-29,292.79999,298.48999,279.00000,289.12000,1437720
2025-07-30,290.00000,293.37000,280.51001,282.54999,400413
2025-07-31,281.98999,291.95001,263.64001,285.03000,608519
2025-08-01,286.85001,288.50000,270.00000,271.35001,282572
2025-08-04,271.04999,277.00000,261.20001,272.79999,310493
2025-08-05,273.79999,282.70001,270.89999,278.35001,256935
2025-08-06,275.45001,281.70001,267.54999,269.25000,223388
2025-08-07,265.00000,272.50000,261.79999,268.10001,136508
2025-08-08,268.14999,269.14999,251.00000,255.45000,164954
2025-08-11,254.70000,257.70001,246.25000,249.60001,131683
2025-08-12,249.89999,253.00000,246.00000,247.75000,70979
2025-08-13,248.00000,255.00000,246.00000,251.05000,300284
2025-08-14,251.00000,257.50000,241.70000,245.10001,270731
2025-08-18,250.75000,260.00000,247.85001,251.00000,353668
2025-08-19,248.39999,250.50000,245.35001,248.55000,119933
2025-08-20,248.55000,250.70000,242.70000,244.05000,118753
2025-08-21,245.25000,246.89999,240.14999,241.55000,83584
2025-08-22,241.70000,243.25000,231.75000,235.05000,245645
2025-08-25,235.80000,241.70000,233.50000,238.60001,135144
2025-08-26,238.85001,239.55000,233.00000,233.85001,73769
2025-08-28,234.75000,235.10001,229.50000,232.60001,72961
2025-08-29,232.35001,242.64999,231.55000,233.85001,115066
2025-09-01,234.55000,240.84000,234.39999,239.74001,91487
2025-09-02,239.89999,245.02000,237.16000,241.92000,92696
2025-09-03,244.34000,250.59000,241.92000,248.31000,189388
2025-09-04,248.28999,250.61000,238.89999,242.30000,102560
2025-09-05,243.89999,245.61000,238.55000,240.31000,50663
2025-09-08,239.12000,241.88000,237.12000,240.25999,65558
2025-09-09,240.25999,241.42999,235.87000,237.53000,51831
2025-09-10,237.80000,247.00000,236.63000,245.03999,119229
2025-09-11,245.49001,258.23999,244.78999,247.82001,230751
2025-09-12,246.89999,251.44000,238.50000,240.39999,105531
2025-09-15,240.98000,253.25000,237.94000,250.10001,356243
2025-09-16,250.10001,252.96001,246.39999,248.23000,73613
2025-09-17,250.70000,251.00000,242.39999,243.05000,107429
2025-09-18,243.60001,246.70000,242.00000,243.32001,54605
2025-09-19,243.35001,248.78999,242.00000,243.08000,96026
2025-09-22,243.00000,245.67000,234.28999,237.80000,216760
2025-09-23,238.14999,245.00000,236.41000,241.89000,71843
2025-09-24,242.00000,242.00000,233.61000,235.21001,62898
2025-09-25,234.20000,235.78999,232.11000,234.91000,36277
2025-09-26,230.00000,230.77000,209.39000,214.95000,399213
2025-09-29,215.03999,229.89000,208.00000,219.00000,221244
