date,open,high,low,close,volume
2021-06-11,34.00000,37.99000,23.45000,25.15000,2386500
2021-06-14,26.47000,26.47000,19.88000,20.16000,895000
2021-06-15,20.91600,20.91600,16.32000,18.58000,338400
2021-06-16,17.26000,19.48000,16.76000,18.88000,288300
2021-06-17,18.39000,20.00000,18.02000,18.66000,368300
2021-06-18,17.05500,19.70000,17.05500,19.68000,133700
2021-06-21,18.60900,21.93000,18.60900,20.87000,134800
2021-06-22,21.24000,22.10000,19.83000,22.04000,67300
2021-06-23,22.30000,23.40000,21.44000,23.21000,153400
2021-06-24,23.28000,25.99000,22.21000,24.82000,220200
2021-06-25,25.03000,25.03000,24.00000,24.79000,210800
2021-06-28,24.55000,25.63300,24.32700,24.62000,150000
2021-06-29,24.62000,25.52000,23.05500,25.37000,133700
2021-06-30,25.16000,25.50000,24.64000,24.95000,74400
2021-07-01,24.96000,25.59000,24.60000,25.34000,357000
2021-07-02,25.30000,25.98600,22.77000,25.40000,257100
2021-07-06,25.50000,27.67000,25.19000,26.09000,481700
2021-07-07,26.00000,27.38000,25.00000,27.30000,177300
2021-07-08,26.51000,27.47000,25.84000,26.85000,406200
2021-07-09,26.63000,27.91000,26.40000,27.79000,355200
2021-07-12,27.61000,28.48000,26.36000,26.67000,501600
2021-07-13,27.01000,27.99000,26.07000,27.35000,297200
2021-07-14,27.27000,27.37000,26.10000,26.61000,107000
2021-07-15,26.40000,26.89000,25.98500,26.79000,374000
2021-07-16,26.70000,27.00000,26.17000,26.75000,227700
2021-07-19,26.32000,26.92000,25.53000,26.65000,306800
2021-07-20,26.57000,28.23800,26.45500,27.86000,319800
2021-07-21,27.40000,29.45000,27.39500,28.68000,461000
2021-07-22,28.74000,30.51000,28.74000,30.37000,380000
2021-07-23,30.26000,30.65000,29.52400,30.51000,300800
2021-07-26,30.21000,30.84000,28.41000,28.41000,497100
2021-07-27,28.18000,29.13500,26.78000,27.60000,483400
2021-07-28,27.87000,29.25000,27.42000,28.33000,191000
2021-07-29,28.42000,31.50000,28.42000,31.27000,162400
2021-07-30,31.50000,32.43000,30.49000,32.43000,96700
2021-08-02,32.73000,34.15000,31.61000,34.02000,61000
2021-08-03,33.72000,34.06500,32.49000,32.99000,156100
2021-08-04,32.99000,34.19000,32.77000,33.91000,90000
2021-08-05,34.34000,35.93000,33.02000,34.69000,110800
2021-08-06,35.00000,35.80000,30.02000,30.47000,201200
2021-08-09,30.75000,32.59000,30.68000,31.70000,255500
2021-08-10,31.70000,32.68000,31.22000,32.11000,106000
2021-08-11,31.56000,32.33000,30.53000,31.37000,97600
2021-08-12,31.14000,33.71000,30.48200,32.22000,95900
2021-08-13,32.22000,32.22000,30.42100,30.51000,390600
2021-08-16,30.51000,31.09000,28.25500,29.35000,294100
2021-08-17,29.21000,30.81000,28.60000,30.78000,130800
2021-08-18,30.78000,32.00000,29.35000,29.43000,308800
2021-08-19,29.16000,30.08000,26.87000,27.39000,147800
2021-08-20,27.39000,29.70000,26.37500,28.43000,179700
2021-08-23,28.92000,30.27000,28.40000,28.63000,128400
2021-08-24,29.01000,30.12000,28.13000,29.52000,65200
2021-08-25,29.62000,30.29500,29.26000,29.51000,84900
2021-08-26,29.36000,32.83000,28.81500,31.01000,118600
2021-08-27,31.09000,34.69000,30.56000,33.14000,155500
2021-08-30,33.07000,34.48000,31.84000,32.72000,130300
2021-08-31,32.80000,34.98000,31.62000,34.10000,67600
2021-09-01,34.31000,35.73000,31.49000,31.95000,115200
2021-09-02,31.28000,32.54500,30.95500,32.01000,130400
2021-09-03,31.91000,32.73000,30.64500,31.28000,187300
2021-09-07,31.55000,33.98000,28.49800,29.58000,221600
2021-09-08,29.17000,30.31500,26.04000,26.66000,228700
2021-09-09,27.00000,29.46000,26.50500,28.57000,190200
2021-09-10,28.89000,29.05000,26.75000,27.72000,191400
2021-09-13,27.95000,30.05000,27.08500,28.36000,111000
2021-09-14,28.36000,31.12000,27.55500,29.79000,184600
2021-09-15,28.43000,32.45000,28.43000,31.09000,194600
2021-09-16,30.76000,34.94000,30.01000,34.35000,289600
2021-09-17,34.00000,34.93000,26.80000,27.39000,2066200
2021-09-20,26.98000,28.78800,24.30000,25.17000,349300
2021-09-21,25.41000,26.52000,24.28000,25.74000,141300
2021-09-22,25.68000,25.69000,23.47000,23.60000,96500
2021-09-23,23.85000,23.87000,21.80000,22.87000,64400
2021-09-24,22.73000,24.07000,20.48000,20.70000,115100
2021-09-27,20.49000,25.19000,20.23000,24.80000,130900
2021-09-28,24.22000,24.80000,21.76000,22.13000,276900
2021-09-29,22.32000,23.35600,21.93000,22.93000,124100
2021-09-30,22.97000,23.99000,20.75000,21.63000,166200
2021-10-01,21.63000,22.70000,20.52000,22.36000,61400
2021-10-04,22.65000,24.42000,21.68000,22.85000,48900
2021-10-05,22.99000,23.21900,21.64000,23.08000,53000
2021-10-06,22.74000,22.94500,21.65000,22.02000,43200
