date,open,high,low,close,volume
2023-10-03,195.20000,210.30000,195.20000,209.10001,56110
2023-10-04,208.70000,210.50000,204.50000,205.20000,23059
2023-10-05,208.85001,211.00000,205.25000,207.95000,26273
2023-10-06,207.00000,209.00000,203.60001,204.39999,17185
2023-10-09,203.60001,203.60001,198.00000,199.00000,14461
2023-10-10,203.00000,204.50000,198.00000,200.64999,22968
2023-10-11,204.64999,206.20000,199.95000,201.85001,17669
2023-10-12,202.25000,205.39999,201.00000,201.95000,33242
2023-10-13,202.89999,203.95000,198.55000,199.89999,25548
2023-10-16,199.89999,202.25000,199.89999,200.85001,8914
2023-10-17,199.39999,212.39999,199.39999,207.39999,62176
2023-10-18,208.89999,210.50000,203.60001,206.55000,17450
2023-10-19,205.10001,214.00000,204.30000,212.85001,58037
2023-10-20,213.80000,213.89999,203.14999,204.75000,28530
2023-10-23,205.05000,207.00000,196.00000,197.80000,40250
2023-10-25,201.80000,201.80000,190.30000,194.25000,19177
2023-10-26,194.00000,197.95000,186.05000,193.64999,26254
2023-10-27,197.10001,207.00000,194.35001,204.55000,19599
2023-10-30,210.55000,226.50000,210.55000,214.30000,435988
2023-10-31,215.80000,216.45000,211.05000,214.39999,33804
2023-11-01,211.20000,220.45000,204.75000,207.75000,67685
2023-11-02,210.20000,215.85001,210.20000,213.85001,34524
2023-11-03,215.85001,216.00000,207.00000,208.30000,24590
2023-11-06,210.00000,215.05000,208.60001,209.30000,22920
2023-11-07,207.20000,210.05000,205.14999,206.60001,14527
2023-11-08,205.00000,211.14999,205.00000,209.39999,14420
2023-11-09,210.89999,213.20000,207.05000,208.39999,25045
2023-11-10,207.05000,211.45000,204.30000,205.85001,27776
2023-11-13,211.75000,224.00000,207.89999,218.75000,133882
2023-11-15,233.00000,233.00000,222.10001,229.05000,181249
2023-11-16,229.50000,233.75000,226.10001,228.14999,102561
2023-11-17,230.89999,259.00000,228.35001,256.95001,1013706
2023-11-20,261.54999,262.39999,254.30000,258.75000,228728
2023-11-21,259.95001,260.75000,251.35001,255.30000,120811
2023-11-22,260.00000,271.00000,257.50000,262.04999,345360
2023-11-23,269.00000,269.20001,262.85001,264.85001,72320
2023-11-24,264.85001,267.70001,258.00000,262.64999,50989
2023-11-28,265.00000,266.85001,258.00000,260.25000,41553
2023-11-29,261.00000,262.54999,255.70000,259.54999,39322
2023-11-30,260.89999,263.00000,253.05000,256.89999,45554
2023-12-01,258.00000,261.14999,250.89999,252.95000,58773
2023-12-04,253.10001,260.35001,250.00000,252.95000,69532
2023-12-05,254.30000,259.29999,251.00000,256.10001,43323
2023-12-06,258.50000,264.20001,254.00000,258.95001,51661
2023-12-07,261.00000,266.64999,256.29999,260.45001,69066
2023-12-08,262.14999,266.00000,251.10001,253.30000,36418
2023-12-11,254.45000,259.70001,252.35001,255.45000,16662
2023-12-12,256.89999,262.79999,247.70000,250.20000,51175
2023-12-13,251.30000,259.00000,250.39999,256.79999,30107
2023-12-14,257.04999,263.00000,253.50000,254.30000,29014
2023-12-15,253.00000,257.14999,249.00000,249.85001,22795
2023-12-18,250.80000,252.95000,244.00000,247.64999,38834
2023-12-19,247.30000,255.00000,247.30000,252.20000,29414
2023-12-20,255.00000,270.45001,236.00000,242.80000,114706
2023-12-21,241.25000,252.20000,237.00000,249.35001,39747
2023-12-22,250.14999,254.60001,246.85001,247.85001,20781
2023-12-26,249.39999,256.70001,248.25000,254.89999,28297
2023-12-27,256.50000,269.50000,251.00000,255.80000,143806
2023-12-28,257.50000,269.00000,244.00000,249.89999,102750
2023-12-29,250.95000,252.89999,247.50000,249.80000,30117
2024-01-01,250.80000,259.20001,249.30000,250.85001,30972
2024-01-02,253.25000,253.25000,244.85001,246.39999,27478
2024-01-03,247.70000,255.00000,246.45000,249.89999,53100
2024-01-04,253.50000,255.00000,247.60001,251.45000,31291
2024-01-05,250.30000,258.95001,248.95000,250.25000,29061
2024-01-08,250.25000,253.85001,245.25000,246.70000,32769
2024-01-09,248.89999,256.89999,244.75000,249.30000,78684
2024-01-10,250.39999,263.04999,246.20000,255.89999,114151
2024-01-11,257.70001,277.00000,255.00000,274.95001,250523
2024-01-12,276.89999,283.04999,267.50000,276.10001,329354
2024-01-15,280.89999,282.00000,276.04999,277.04999,73233
2024-01-16,279.70001,281.00000,273.00000,275.89999,77527
2024-01-17,270.00000,276.64999,261.95001,264.95001,91809
2024-01-18,261.00000,271.45001,261.00000,268.60001,55218
2024-01-19,271.39999,271.39999,262.04999,266.25000,43575
2024-01-23,264.70001,270.00000,250.10001,251.80000,40695
2024-01-24,251.70000,256.64999,246.05000,247.14999,43535
2024-01-25,248.00000,253.25000,238.70000,251.70000,64443
2024-01-29,255.00000,259.95001,251.70000,257.89999,43879
2024-01-30,257.89999,260.95001,253.00000,258.70001,36526
2024-01-31,256.10001,259.64999,254.55000,256.10001,24378
2024-02-01,257.79999,267.00000,255.35001,262.35001,68364
2024-02-02,266.29999,273.20001,263.29999,266.45001,43559
2024-02-05,269.20001,273.00000,255.00000,260.60001,84722
2024-02-06,261.60001,264.64999,255.50000,257.10001,47926
2024-02-07,258.89999,270.45001,258.00000,261.29999,94623
2024-02-08,262.89999,271.00000,252.00000,253.10001,35353
2024-02-09,254.89999,258.95001,244.05000,246.30000,58409
2024-02-12,250.10001,252.80000,227.30000,230.50000,62510
2024-02-13,233.80000,239.10001,225.00000,233.80000,20588
2024-02-14,234.00000,238.85001,232.10001,235.89999,16885
2024-02-15,237.89999,242.00000,237.00000,240.14999,15374
2024-02-16,241.89999,244.64999,228.64999,234.00000,25746
2024-02-19,230.14999,254.60001,224.85001,227.55000,275097
2024-02-20,228.00000,244.85001,225.25000,242.20000,170849
2024-02-21,254.89999,261.89999,239.05000,241.25000,110485
2024-02-22,239.00000,239.55000,234.39999,237.64999,23904
2024-02-23,239.00000,240.00000,229.50000,236.14999,39321
2024-02-26,234.70000,240.00000,231.80000,236.60001,31361
2024-02-27,235.00000,239.95000,232.20000,233.00000,23323
2024-02-28,234.30000,234.30000,227.60001,228.85001,25243
2024-02-29,227.30000,230.75000,225.30000,228.30000,15006
2024-03-01,228.30000,237.60001,228.30000,231.50000,25735
2024-03-04,232.50000,236.80000,231.75000,234.39999,16290
2024-03-05,231.75000,236.14999,228.80000,233.30000,22207
2024-03-06,234.25000,234.30000,221.80000,224.75000,27299
2024-03-07,226.30000,229.25000,223.80000,227.75000,21175
2024-03-11,226.75000,231.00000,225.85001,228.05000,14972
2024-03-12,229.00000,229.70000,223.80000,224.14999,24151
2024-03-13,224.05000,228.20000,198.00000,206.95000,45414
2024-03-14,205.00000,217.05000,205.00000,210.80000,36026
2024-03-15,210.00000,221.45000,209.35001,216.55000,28286
2024-03-18,217.89999,219.95000,216.39999,218.50000,15741
2024-03-19,217.55000,217.95000,211.00000,211.45000,19185
