date,open,high,low,close,volume
2023-09-25,546.75000,731.25000,546.75000,690.75000,515
2023-09-26,663.75000,765.00000,663.75000,762.75000,192
2023-09-27,850.50000,924.75000,679.50000,758.25000,1333
2023-09-28,724.50000,832.50000,677.25000,677.25000,359
2023-09-29,677.25000,778.50000,677.25000,725.62500,259
2023-10-02,787.50000,787.50000,694.57501,715.50000,180
2023-10-03,697.50000,753.75000,679.50000,693.00000,68
2023-10-04,681.75000,736.65002,621.00000,675.00000,105
2023-10-05,632.25000,672.75000,609.75000,630.00000,68
2023-10-06,614.92499,621.00000,544.50000,555.75000,102
2023-10-09,573.75000,577.12500,528.97498,569.25000,64
2023-10-10,562.50000,672.75000,533.25000,533.25000,196
2023-10-11,535.50000,565.20001,524.25000,528.75000,128
2023-10-12,562.50000,585.00000,537.75000,560.25000,71
2023-10-13,551.25000,585.00000,537.75000,553.50000,52
2023-10-16,594.00000,596.25000,540.45001,544.50000,79
2023-10-17,540.00000,585.00000,540.00000,551.25000,25
2023-10-18,555.75000,573.75000,471.60001,490.50000,103
2023-10-19,515.25000,544.50000,470.25000,470.25000,58
2023-10-20,495.00000,515.25000,474.75000,497.25000,28
2023-10-23,497.25000,507.60001,477.00000,477.00000,20
2023-10-24,452.25000,470.25000,450.00000,450.00000,37
2023-10-25,450.00000,452.25000,398.25000,405.00000,71
2023-10-26,425.25000,438.75000,393.75000,407.25000,24
2023-10-27,393.75000,393.75000,310.72501,317.25000,167
2023-10-30,317.25000,342.00000,317.25000,342.00000,41
2023-10-31,319.50000,337.50000,317.25000,335.25000,21
2023-11-01,308.25000,335.25000,229.50000,247.50000,215
2023-11-02,310.50000,310.50000,249.75000,265.50000,90
2023-11-03,249.75000,285.75000,249.75000,256.50000,118
2023-11-06,283.50000,305.32501,261.00000,261.00000,226
2023-11-07,254.25000,296.10001,249.75000,263.25000,85
2023-11-08,258.07501,276.75000,254.25000,261.00000,52
2023-11-09,274.50000,276.75000,234.22501,236.25000,99
2023-11-10,261.22501,261.22501,240.75000,240.75000,66
2023-11-13,252.00000,301.50000,236.25000,236.25000,50
2023-11-14,285.75000,308.25000,261.00000,288.00000,260
2023-11-15,290.25000,351.00000,270.00000,306.00000,204
2023-11-16,330.75000,418.50000,281.25000,297.00000,625
2023-11-17,292.50000,360.00000,288.00000,335.25000,101
2023-11-20,324.00000,351.00000,292.50000,342.00000,183
2023-11-21,335.25000,335.25000,297.67499,333.00000,104
2023-11-22,335.25000,371.25000,326.25000,337.50000,150
2023-11-24,369.00000,369.00000,348.75000,369.00000,30
2023-11-27,369.00000,371.25000,326.25000,344.25000,101
2023-11-28,360.00000,360.00000,319.04999,348.75000,112
2023-11-29,357.75000,423.00000,355.04999,384.75000,408
2023-11-30,436.50000,436.50000,360.00000,384.75000,201
2023-12-01,402.75000,411.75000,371.25000,382.50000,72
2023-12-04,402.75000,403.42499,333.00000,333.00000,202
2023-12-05,337.50000,348.75000,326.25000,339.75000,50
2023-12-06,369.00000,369.00000,330.75000,339.75000,80
2023-12-07,324.00000,360.00000,324.00000,360.00000,44
2023-12-08,342.00000,423.00000,342.00000,362.47501,195
2023-12-11,416.25000,855.00000,409.50000,679.50000,382285
2023-12-12,666.00000,724.50000,571.50000,607.50000,14488
2023-12-13,526.50000,670.50000,517.50000,630.00000,5628
2023-12-14,621.00000,832.50000,596.25000,708.75000,7626
2023-12-15,720.00000,1005.75000,693.00000,807.75000,26995
2023-12-18,720.00000,771.52502,652.50000,672.75000,1745
2023-12-19,645.75000,663.75000,540.00000,580.50000,1408
2023-12-20,589.50000,645.75000,580.50000,636.75000,1070
2023-12-21,648.00000,731.25000,629.09998,645.75000,1008
2023-12-22,648.00000,663.75000,573.75000,591.75000,595
2023-12-26,587.25000,607.50000,360.00000,360.00000,1370
2023-12-27,488.25000,501.75000,411.75000,427.50000,20984
2023-12-28,423.00000,425.25000,337.50000,353.25000,3776
2023-12-29,348.75000,375.75000,315.22501,324.00000,2437
2024-01-02,335.25000,360.00000,319.50000,326.25000,712
2024-01-03,337.50000,337.50000,303.75000,324.00000,468
2024-01-04,326.25000,339.75000,317.25000,337.50000,512
2024-01-05,333.00000,360.00000,327.14999,335.25000,483
2024-01-08,344.25000,344.25000,317.25000,317.25000,320
2024-01-09,351.00000,351.00000,294.75000,301.50000,414
2024-01-10,315.00000,315.00000,265.50000,272.25000,800
2024-01-11,274.50000,279.00000,247.50000,252.00000,453
2024-01-12,267.75000,342.00000,261.00000,306.00000,20930
2024-01-16,292.50000,310.50000,263.25000,301.50000,2807
2024-01-17,288.00000,292.50000,270.00000,285.75000,1162
2024-01-18,281.25000,281.25000,249.75000,252.00000,1043
2024-01-19,261.00000,261.00000,227.25000,234.00000,1711
2024-01-22,231.75000,290.25000,231.75000,274.50000,2687
2024-01-23,272.25000,324.00000,245.25000,247.50000,8299
2024-01-24,247.50000,257.85001,236.25000,245.25000,1314
2024-01-25,243.00000,247.50000,216.00000,223.20000,1702
2024-01-26,229.50000,235.57500,202.72501,207.67500,1599
2024-01-29,200.25000,211.72501,192.37500,200.25000,2200
2024-01-30,200.25000,209.25000,193.50000,200.25000,915
2024-01-31,209.25000,270.00000,198.00000,225.00000,12805
2024-02-01,218.02499,224.10001,191.47501,202.50000,2530
2024-02-02,204.75000,211.50000,183.60001,192.37500,880
2024-02-05,195.75000,195.75000,174.60001,185.17500,564
2024-02-06,180.22501,207.45000,180.22501,195.75000,736
2024-02-07,198.00000,202.50000,174.37500,174.37500,1581
2024-02-08,174.37500,184.50000,170.10001,171.00000,842
2024-02-09,180.89999,207.00000,175.50000,178.42500,2549
2024-02-12,188.55000,188.55000,178.42500,180.67500,580
2024-02-13,182.25000,184.50000,178.87500,184.50000,425
2024-02-14,188.55000,188.77499,180.00000,184.50000,577
2024-02-15,180.00000,188.55000,180.00000,184.95000,383
2024-02-16,196.64999,245.25000,186.75000,240.75000,17742
2024-02-20,225.00000,225.00000,198.00000,211.05000,1884
2024-02-21,200.25000,219.37500,183.14999,209.25000,1392
2024-02-22,205.20000,211.50000,191.25000,202.50000,857
2024-02-23,211.50000,211.50000,180.00000,195.52499,1662
2024-02-26,186.07500,213.75000,180.00000,196.87500,2940
2024-02-27,195.97501,288.00000,193.50000,279.00000,17173
2024-02-28,299.25000,301.50000,225.00000,236.25000,6981
2024-02-29,236.25000,254.25000,220.72501,222.75000,3155
2024-03-01,224.55000,229.50000,214.87500,220.50000,902
2024-03-04,225.00000,229.50000,192.60001,195.75000,1645
2024-03-05,204.75000,208.57500,198.00000,203.62500,739
2024-03-06,213.07500,234.00000,202.50000,207.00000,1473
2024-03-07,211.50000,218.25000,203.62500,204.75000,1342
2024-03-08,207.00000,213.75000,200.25000,204.75000,806
2024-03-11,202.50000,208.12500,198.00000,201.14999,1132
2024-03-12,198.00000,202.50000,189.00000,190.57500,1248
2024-03-13,198.45000,213.75000,189.00000,191.25000,3494
2024-03-14,190.57500,191.25000,148.50000,148.72501,4900
2024-03-15,243.00000,315.00000,219.60001,243.00000,451373
2024-03-18,238.50000,243.00000,200.02499,218.25000,15097
2024-03-19,216.00000,234.00000,204.75000,223.87500,7154
2024-03-20,223.87500,240.75000,203.62500,208.80000,5806
2024-03-21,204.75000,207.00000,191.25000,191.92500,3320
2024-03-22,191.47501,195.97501,182.25000,193.27499,1399
2024-03-25,191.70000,206.32500,190.12500,202.50000,1287
2024-03-26,198.00000,231.75000,193.50000,212.39999,3820
2024-03-27,204.52499,211.27499,200.25000,204.75000,970
2024-03-28,200.92500,213.75000,196.87500,208.12500,1112
2024-04-01,202.50000,217.80000,201.60001,202.50000,1316
2024-04-02,198.00000,205.87500,191.25000,199.12500,940
2024-04-03,199.12500,199.12500,182.25000,191.25000,1826
2024-04-04,193.05000,195.75000,185.62500,190.57500,342
2024-04-05,190.57500,190.57500,182.47501,188.55000,321
2024-04-08,191.25000,194.62500,185.62500,189.22501,403
2024-04-09,189.89999,193.50000,182.47501,184.50000,460
2024-04-10,180.00000,180.00000,175.50000,177.97501,910
2024-04-11,178.42500,178.42500,169.20000,175.95000,787
2024-04-12,180.00000,185.85001,175.50000,180.00000,800
2024-04-15,175.50000,187.42500,170.10001,176.39999,764
2024-04-16,173.02499,178.87500,157.72501,164.70000,587
2024-04-17,164.70000,164.70000,157.05000,157.72501,441
2024-04-18,159.75000,172.80000,159.52499,166.50000,347
2024-04-19,168.75000,168.75000,159.75000,164.25000,323
2024-04-22,161.32500,162.00000,153.45000,155.70000,369
2024-04-23,153.00000,162.00000,153.00000,160.87500,305
2024-04-24,160.87500,162.00000,155.47501,157.05000,217
2024-04-25,157.50000,164.25000,154.12500,157.50000,180
2024-04-26,160.87500,166.50000,155.25000,162.00000,314
2024-04-29,159.30000,162.22501,157.72501,157.72501,308
2024-04-30,173.25000,175.50000,157.72501,166.27499,579
2024-05-01,170.77499,171.00000,158.62500,164.47501,108
2024-05-02,166.50000,171.00000,159.75000,166.50000,285
2024-05-03,175.05000,175.50000,160.20000,168.75000,399
2024-05-06,165.37500,175.50000,159.75000,169.20000,298
2024-05-07,173.25000,173.25000,155.47501,156.37500,871
2024-05-08,162.00000,168.75000,153.00000,157.05000,2188
2024-05-09,157.05000,157.50000,150.52499,157.27499,568
2024-05-10,157.27499,159.75000,152.77499,155.25000,302
