date,open,high,low,close,volume
2023-10-05,431.95001,441.85001,423.50000,424.35001,68558
2023-10-06,424.35001,429.00000,424.29999,427.89999,41421
2023-10-09,427.89999,435.60001,416.45001,427.00000,107823
2023-10-10,429.10001,429.10001,420.00000,420.89999,74949
2023-10-11,425.00000,426.95001,415.04999,416.54999,88055
2023-10-12,418.60001,422.60001,411.20001,415.85001,193231
2023-10-13,416.79999,421.70001,411.10001,412.35001,161170
2023-10-16,400.20001,423.00000,400.20001,405.85001,269293
2023-10-17,409.95001,421.14999,408.00000,418.14999,205833
2023-10-18,418.14999,419.79999,407.54999,409.50000,126667
2023-10-19,409.89999,411.20001,404.54999,406.10001,75217
2023-10-20,406.10001,410.45001,396.50000,400.10001,150079
2023-10-23,400.10001,403.20001,353.00000,358.50000,907197
2023-10-25,363.79999,369.39999,326.14999,330.89999,914306
2023-10-26,331.00000,345.00000,318.75000,339.70001,722560
2023-10-27,332.79999,407.60001,332.79999,397.25000,3710049
2023-10-30,385.35001,394.39999,379.79999,381.14999,1217764
2023-10-31,383.00000,387.45001,373.00000,374.54999,311821
2023-11-01,376.50000,393.25000,370.45001,376.95001,574151
2023-11-02,380.00000,392.00000,378.45001,386.89999,234151
2023-11-03,388.79999,399.00000,385.20001,394.70001,359994
2023-11-06,394.89999,402.95001,391.95001,400.00000,364891
2023-11-07,400.95001,408.64999,393.10001,397.54999,311221
2023-11-08,397.54999,402.95001,395.20001,400.75000,122485
2023-11-09,398.35001,402.60001,393.00000,401.85001,292269
2023-11-10,401.95001,412.39999,397.45001,406.64999,187463
2023-11-13,414.50000,438.89999,408.00000,414.00000,1753313
2023-11-15,414.00000,421.50000,408.25000,419.54999,364688
2023-11-16,420.00000,422.89999,415.70001,420.14999,600860
2023-11-17,422.25000,435.04999,414.20001,431.79999,292466
2023-11-20,435.39999,443.89999,423.04999,435.35001,644302
2023-11-21,439.95001,439.95001,428.00000,429.50000,165257
2023-11-22,431.60001,431.60001,418.29999,420.64999,104489
2023-11-23,422.89999,429.95001,417.04999,419.89999,307410
2023-11-24,419.89999,425.89999,415.04999,417.79999,198340
2023-11-28,419.85001,436.00000,409.39999,432.60001,417372
2023-11-29,434.00000,435.89999,424.00000,424.70001,150435
2023-11-30,426.79999,433.10001,422.00000,429.45001,235966
2023-12-01,431.54999,458.64999,428.75000,453.04999,573220
2023-12-04,464.89999,475.50000,451.29999,470.10001,642361
2023-12-05,470.00000,470.00000,455.79999,458.70001,256997
2023-12-06,461.10001,461.95001,452.45001,454.25000,175004
2023-12-07,452.00000,480.10001,450.79999,474.60001,380531
2023-12-08,477.00000,492.39999,469.60001,472.60001,679827
2023-12-11,475.00000,477.50000,453.00000,456.35001,241827
2023-12-12,458.79999,471.95001,457.50000,462.25000,317584
2023-12-13,462.25000,465.70001,452.79999,457.60001,128406
2023-12-14,457.60001,468.89999,454.39999,460.45001,263820
2023-12-15,465.00000,522.84998,462.85001,509.95001,2601844
2023-12-18,507.75000,532.00000,500.00000,528.29999,1875019
2023-12-19,528.29999,533.40002,511.04999,515.59998,371305
2023-12-20,518.00000,518.00000,483.89999,490.95001,520805
2023-12-21,483.00000,521.40002,465.00000,516.09998,1078953
2023-12-22,518.79999,535.50000,507.39999,532.65002,1033890
2023-12-26,535.70001,545.00000,526.04999,537.54999,841906
2023-12-27,536.15002,549.20001,535.54999,539.25000,569562
2023-12-28,537.00000,550.79999,534.29999,541.09998,776099
2023-12-29,541.90002,548.90002,530.79999,545.45001,329265
2024-01-01,572.00000,584.00000,560.40002,580.15002,2182903
2024-01-02,582.04999,587.20001,571.45001,577.95001,673114
2024-01-03,583.20001,591.00000,573.34998,579.84998,605306
2024-01-04,583.00000,585.90002,574.95001,578.45001,580606
2024-01-05,579.00000,598.20001,577.09998,584.79999,1139654
2024-01-08,585.95001,589.00000,550.95001,558.00000,462731
2024-01-09,565.95001,572.34998,561.00000,566.20001,274792
2024-01-10,566.20001,574.84998,562.84998,569.84998,224941
2024-01-11,570.40002,578.50000,568.79999,572.54999,346816
2024-01-12,572.00000,573.65002,558.09998,561.95001,216994
2024-01-16,558.20001,569.04999,553.00000,562.00000,534778
2024-01-17,558.84998,572.00000,552.15002,568.70001,293210
2024-01-18,569.00000,570.25000,543.04999,554.70001,337244
2024-01-19,565.00000,579.50000,560.09998,572.90002,502010
2024-01-23,574.50000,579.65002,532.15002,535.25000,390638
2024-01-24,538.45001,571.79999,534.20001,567.90002,449982
2024-01-25,565.00000,579.79999,560.00000,568.75000,519981
2024-01-29,580.09998,591.95001,557.04999,576.70001,912515
2024-01-30,570.50000,577.29999,555.54999,559.29999,465334
2024-01-31,563.00000,574.75000,563.00000,571.45001,409624
2024-02-01,574.00000,588.50000,565.50000,576.65002,279925
2024-02-02,576.65002,616.70001,568.20001,592.25000,4134528
2024-02-05,588.79999,592.45001,565.00000,581.65002,864857
2024-02-06,577.04999,586.00000,568.25000,580.95001,629223
2024-02-07,581.29999,592.00000,571.04999,574.50000,260486
2024-02-08,574.50000,577.25000,565.90002,570.50000,163585
2024-02-09,569.04999,573.40002,552.50000,560.79999,266083
2024-02-12,557.45001,594.29999,550.04999,586.25000,803247
2024-02-13,587.00000,593.79999,565.04999,580.95001,385635
2024-02-14,575.09998,591.90002,571.29999,583.75000,190373
2024-02-15,593.70001,624.25000,592.00000,610.25000,1765022
2024-02-16,612.00000,627.45001,608.65002,619.90002,513160
2024-02-19,622.70001,626.00000,601.00000,606.20001,279630
2024-02-20,610.00000,616.00000,596.00000,600.79999,171451
2024-02-21,604.90002,609.50000,563.79999,583.50000,417126
2024-02-22,586.54999,594.79999,578.00000,586.40002,229945
2024-02-23,589.50000,591.04999,567.95001,571.25000,450745
2024-02-26,576.00000,580.65002,569.34998,576.40002,255947
2024-02-27,577.00000,578.70001,565.09998,568.15002,117356
2024-02-28,568.15002,572.34998,551.00000,559.95001,241828
2024-02-29,558.09998,575.00000,546.15002,568.20001,235661
2024-03-01,569.00000,576.04999,565.25000,573.59998,116342
2024-03-04,572.00000,574.90002,564.50000,569.04999,94746
2024-03-05,569.04999,599.00000,565.75000,588.95001,289014
2024-03-06,589.00000,612.00000,586.29999,598.00000,1548578
2024-03-07,594.90002,606.90002,580.65002,589.15002,232374
2024-03-11,589.04999,592.29999,555.00000,558.59998,333584
2024-03-12,558.59998,582.90002,553.50000,570.09998,619136
2024-03-13,565.00000,571.50000,542.00000,548.95001,387505
2024-03-14,538.04999,571.84998,538.04999,564.70001,149783
2024-03-15,562.50000,571.50000,560.04999,568.04999,156347
2024-03-18,568.04999,574.09998,564.65002,570.84998,99283
2024-03-19,569.04999,578.20001,564.59998,567.50000,176318
2024-03-20,566.95001,577.50000,558.75000,570.65002,216252
2024-03-21,573.25000,579.59998,564.00000,570.59998,155342
2024-03-22,568.40002,576.79999,563.09998,564.84998,98372
2024-03-26,569.90002,573.34998,566.29999,567.00000,88863
2024-03-27,567.00000,589.59998,566.90002,572.15002,360973
2024-03-28,572.15002,578.34998,562.70001,569.90002,214984
2024-04-01,572.90002,588.00000,569.90002,574.59998,97430
2024-04-02,566.59998,596.20001,566.59998,589.45001,506281
2024-04-03,589.45001,589.45001,576.20001,579.40002,132668
2024-04-04,585.00000,646.95001,580.45001,636.90002,3945444
