date,open,high,low,close,volume
2022-09-08,230.600010,230.800000,223.100010,226.100010,26307.00
2022-09-09,226.100010,233.000000,223.100010,224.750000,26678.00
2022-09-12,224.000000,227.000000,222.750000,225.750000,10029.00
2022-09-13,223.550000,229.050000,220.500000,221.450000,9927.00
2022-09-14,219.050000,239.800000,219.050000,224.000000,121376.00
2022-09-15,226.700000,233.000000,223.649990,230.399990,36459.00
2022-09-16,231.450000,233.899990,221.600010,222.149990,25083.00
2022-09-19,223.149990,232.399990,216.000000,224.950000,39599.00
2022-09-20,226.899990,268.200010,225.350010,253.500000,449058.00
2022-09-21,255.000000,257.799990,238.950000,241.300000,145617.00
2022-09-22,242.800000,243.899990,233.649990,238.250000,28136.00
2022-09-23,238.250000,240.000000,226.250000,227.899990,27864.00
2022-09-26,230.000000,230.000000,212.500000,216.550000,15806.00
2022-09-27,221.950000,223.050000,212.250000,219.450000,9989.00
2022-09-28,213.250000,223.450000,213.250000,216.600010,18313.00
2022-09-29,222.600010,222.600010,213.300000,214.300000,8808.00
2022-09-30,215.950000,221.899990,215.950000,219.250000,13175.00
2022-10-03,222.000000,222.000000,212.750000,213.399990,6591.00
2022-10-04,217.649990,219.899990,215.649990,216.200000,20304.00
2022-10-06,218.500000,222.149990,216.149990,219.899990,20093.00
2022-10-07,217.850010,224.950000,217.850010,223.750000,25544.00
2022-10-10,223.000000,223.000000,218.000000,220.800000,17218.00
2022-10-11,222.899990,227.899990,217.700000,221.350010,21285.00
2022-10-12,221.350010,223.500000,218.100010,218.600010,9445.00
2022-10-13,220.850010,222.000000,212.800000,215.750000,8115.00
2022-10-14,220.050000,224.000000,214.100010,215.200000,7856.00
2022-10-17,214.950000,217.250000,212.500000,213.500000,6749.00
2022-10-18,214.700000,215.500000,213.250000,214.050000,5633.00
2022-10-19,215.100010,216.950000,211.000000,211.750000,7568.00
2022-10-20,212.250000,212.600010,210.000000,211.850010,5454.00
2022-10-21,215.800000,215.800000,208.500000,209.750000,13657.00
2022-10-24,212.950000,213.750000,202.250000,206.600010,9052.00
2022-10-25,206.600010,209.800000,205.050000,207.550000,6182.00
2022-10-27,205.000000,209.750000,205.000000,207.700000,4898.00
2022-10-28,211.300000,211.300000,201.399990,202.750000,10332.00
2022-10-31,203.000000,210.950000,203.000000,209.149990,15920.00
2022-11-01,209.899990,217.000000,209.550000,212.550000,14652.00
2022-11-02,213.600010,217.649990,212.500000,214.200000,12755.00
2022-11-03,213.750000,215.500000,211.950000,213.649990,3797.00
2022-11-04,210.050000,225.350010,210.050000,217.800000,27425.00
2022-11-07,218.100010,219.899990,208.350010,209.700000,23398.00
2022-11-09,211.550000,213.149990,206.550000,210.100010,22647.00
2022-11-10,208.050000,209.750000,195.450000,204.149990,43392.00
2022-11-11,205.300000,212.000000,196.000000,202.750000,27445.00
2022-11-14,206.500000,206.500000,198.950000,200.850010,11392.00
