date,open,high,low,close,volume
2023-09-25,216.85001,216.89999,202.80000,204.20000,4224660
2023-09-26,205.85001,217.89999,205.55000,216.55000,4963007
2023-09-27,217.20000,227.30000,215.60001,224.20000,5748219
2023-09-28,224.80000,225.55000,220.55000,224.25000,4216317
2023-09-29,225.20000,231.89999,225.20000,227.55000,1902262
2023-10-03,228.00000,231.75000,221.64999,229.64999,2800584
2023-10-04,225.45000,231.25000,224.50000,226.39999,1533191
2023-10-05,228.00000,235.75000,227.89999,234.39999,2580122
2023-10-06,239.70000,261.00000,239.70000,258.14999,14774304
2023-10-09,257.25000,260.70001,241.50000,251.25000,6668843
2023-10-10,256.79999,267.79999,255.45000,262.04999,6066813
2023-10-11,267.04999,272.89999,265.89999,271.20001,5920245
2023-10-12,272.20001,277.70001,272.14999,274.54999,3818635
2023-10-13,273.00000,276.60001,267.00000,274.39999,3113658
2023-10-16,275.14999,289.00000,275.14999,283.85001,5172227
2023-10-17,289.54999,297.79999,285.85001,294.70001,4394866
2023-10-18,299.39999,309.75000,296.04999,301.20001,5533379
2023-10-19,302.00000,307.60001,265.64999,304.29999,5773942
2023-10-20,303.89999,309.00000,296.00000,300.10001,3239429
2023-10-23,301.45001,303.39999,280.04999,287.35001,4753278
2023-10-25,289.75000,299.29999,282.25000,293.75000,5307028
2023-10-26,293.70001,293.70001,278.10001,285.89999,5741348
2023-10-27,290.00000,292.39999,285.10001,287.45001,2901300
2023-10-30,288.45001,293.95001,280.25000,291.25000,3060863
2023-10-31,292.79999,292.79999,286.79999,288.70001,1376013
2023-11-01,289.00000,302.50000,286.14999,297.35001,4354929
2023-11-02,302.75000,303.00000,297.00000,298.14999,1947076
2023-11-03,300.20001,306.00000,293.00000,304.64999,3519839
2023-11-06,308.00000,324.25000,307.04999,321.39999,5973345
2023-11-07,323.79999,339.29999,318.39999,336.95001,5246015
2023-11-08,339.79999,351.79999,339.00000,347.89999,5078257
2023-11-09,351.04999,359.14999,320.75000,336.10001,7825148
2023-11-10,337.79999,341.89999,330.00000,338.50000,2785367
2023-11-13,338.04999,343.00000,333.60001,337.20001,2751773
2023-11-15,345.00000,348.00000,326.00000,329.79999,4132958
2023-11-16,329.79999,331.64999,306.95001,313.50000,6635212
2023-11-17,316.00000,320.60001,314.10001,317.10001,3018971
2023-11-20,319.95001,320.29999,312.35001,313.79999,1885583
2023-11-21,315.50000,335.00000,308.04999,333.20001,6520123
2023-11-22,335.00000,341.00000,327.75000,333.14999,3613610
2023-11-23,332.79999,333.00000,327.00000,328.89999,1493358
