date,open,high,low,close,volume
2025-03-17,36.98000,36.98000,34.31000,34.58000,207467
2025-03-19,35.60000,37.30000,35.59000,37.08000,323296
2025-03-20,37.75000,37.80000,36.50000,36.72000,285255
2025-03-21,37.38000,37.89000,36.96000,37.39000,182235
2025-03-24,37.79000,37.79000,36.74000,36.77000,587287
2025-03-25,37.40000,37.48000,35.80000,35.99000,466009
2025-03-26,35.95000,36.25000,35.11000,35.49000,291004
2025-03-27,35.90000,35.98000,34.10000,34.37000,316009
2025-03-28,34.50000,35.59000,34.10000,34.30000,179747
2025-04-01,34.31000,35.79000,34.30000,35.65000,99831
2025-04-02,36.20000,36.20000,34.56000,35.33000,115769
2025-04-03,35.40000,36.32000,34.52000,36.20000,115791
2025-04-04,36.20000,36.20000,34.87000,35.21000,83510
2025-04-07,34.38000,34.38000,31.11000,33.53000,177378
2025-04-08,36.72000,36.72000,34.25000,34.97000,119919
2025-04-09,35.05000,35.90000,33.96000,34.45000,79904
2025-04-11,35.90000,35.90000,34.66000,34.84000,91634
2025-04-15,35.11000,36.55000,35.10000,35.97000,167585
2025-04-16,36.25000,37.36000,35.90000,36.85000,188602
2025-04-17,36.85000,37.50000,36.53000,36.67000,148891
2025-04-21,36.72000,37.29000,36.50000,36.61000,149971
2025-04-22,36.69000,38.05000,36.69000,37.29000,199778
2025-04-23,37.54000,38.10000,36.39000,37.19000,144854
2025-04-24,37.35000,39.59000,37.01000,38.61000,455019
2025-04-25,38.58000,38.58000,36.09000,36.89000,191221
2025-04-28,35.81000,36.55000,35.32000,36.18000,110448
2025-04-29,36.18000,37.22000,35.80000,36.10000,105701
2025-04-30,35.42000,35.99000,35.31000,35.41000,71773
2025-05-02,35.01000,36.00000,35.01000,35.26000,35444
2025-05-05,35.94000,35.94000,34.80000,35.01000,114116
2025-05-06,35.05000,35.40000,32.85000,33.03000,211843
2025-05-07,32.06000,33.85000,32.06000,33.56000,118429
2025-05-08,34.23000,34.23000,32.10000,32.51000,111766
2025-05-09,32.02000,33.90000,31.85000,33.72000,133875
2025-05-12,35.00000,35.50000,34.58000,35.16000,159768
2025-05-13,35.70000,35.98000,35.20000,35.74000,101806
2025-05-14,35.90000,37.29000,35.89000,36.87000,302478
2025-05-15,37.19000,38.05000,37.12000,37.31000,220957
2025-05-16,37.02000,37.90000,37.02000,37.58000,205202
2025-05-19,37.74000,40.50000,37.71000,40.19000,784163
2025-05-20,40.69000,41.10000,38.03000,38.22000,342083
2025-05-21,38.00000,38.90000,37.66000,38.62000,104272
2025-05-22,38.60000,38.92000,37.35000,38.33000,94831
2025-05-23,38.56000,39.50000,37.76000,39.24000,186199
2025-05-26,39.55000,39.90000,38.41000,39.35000,162623
2025-05-27,39.54000,39.90000,38.80000,39.38000,117105
2025-05-28,39.53000,40.49000,39.10000,39.94000,237411
2025-05-29,38.50000,38.99000,36.47000,37.00000,617101
2025-05-30,37.08000,37.49000,36.66000,36.73000,161640
2025-06-02,36.80000,37.47000,36.55000,36.73000,150536
2025-06-03,36.79000,37.19000,36.26000,36.39000,89375
2025-06-04,36.57000,36.57000,35.63000,36.37000,127335
2025-06-05,36.05000,37.45000,36.05000,36.45000,125749
2025-06-06,36.63000,36.87000,36.30000,36.72000,119931
2025-06-09,36.57000,37.55000,36.57000,36.90000,137907
2025-06-10,36.91000,37.84000,35.61000,36.94000,338228
2025-06-11,36.94000,38.27000,36.80000,36.93000,267709
2025-06-12,36.84000,37.38000,36.20000,36.30000,168651
2025-06-13,35.50000,36.33000,35.20000,36.02000,136101
2025-06-16,35.59000,36.19000,35.10000,35.38000,144055
