date,open,high,low,close,volume
2023-09-27,426.00000,440.00000,413.00000,433.25000,21201
2023-09-28,431.10001,445.00000,430.00000,436.00000,26519
2023-09-29,442.00000,450.00000,429.00000,447.04999,24200
2023-10-03,447.04999,460.00000,435.50000,455.25000,19292
2023-10-04,453.00000,457.00000,442.00000,444.64999,22118
2023-10-05,454.85001,466.85001,450.00000,466.35001,21050
2023-10-06,470.00000,484.79999,462.04999,480.89999,36172
2023-10-09,480.00000,503.00000,470.25000,484.95001,86433
2023-10-10,486.00000,501.00000,485.00000,499.45001,47353
2023-10-11,499.00000,524.40002,495.00000,513.75000,53579
2023-10-12,517.00000,521.00000,505.00000,506.54999,20940
2023-10-13,511.89999,520.00000,502.50000,516.70001,53986
2023-10-16,522.00000,541.45001,517.04999,538.59998,58581
2023-10-17,544.90002,563.90002,544.90002,561.20001,72168
2023-10-18,563.00000,580.00000,555.25000,571.70001,35918
2023-10-19,577.84998,589.00000,555.25000,559.29999,89119
2023-10-20,567.00000,570.00000,555.00000,563.59998,19025
2023-10-23,571.20001,576.70001,535.45001,535.45001,24000
2023-10-25,540.04999,552.79999,515.00000,540.15002,62002
2023-10-26,525.25000,566.90002,515.00000,561.04999,43059
2023-10-27,561.04999,574.90002,561.04999,571.34998,30559
2023-10-30,574.00000,599.90002,560.09998,598.59998,54925
2023-10-31,599.50000,610.00000,580.15002,604.15002,29148
2023-11-01,609.00000,609.00000,585.00000,598.25000,11309
2023-11-02,603.95001,628.15002,598.70001,626.79999,54857
2023-11-03,626.00000,645.00000,602.25000,637.95001,40681
2023-11-06,643.00000,669.40002,625.00000,653.90002,26884
2023-11-07,668.50000,684.40002,640.00000,671.75000,33189
2023-11-08,673.00000,699.70001,655.29999,664.15002,37197
2023-11-09,674.79999,674.79999,630.95001,654.54999,40746
2023-11-10,654.75000,674.00000,639.00000,661.95001,13473
2023-11-13,632.15002,667.40002,632.15002,663.59998,10409
2023-11-15,655.00000,668.95001,631.00000,644.54999,31204
2023-11-16,656.90002,656.90002,633.79999,645.90002,26722
2023-11-17,645.90002,665.00000,615.70001,638.79999,19494
2023-11-20,620.15002,644.95001,620.15002,630.04999,8475
2023-11-21,639.95001,648.70001,622.09998,626.65002,13272
2023-11-22,626.65002,641.95001,609.00000,627.95001,7067
2023-11-23,628.00000,633.84998,607.00000,626.75000,8491
2023-11-24,630.00000,630.00000,605.50000,615.90002,8816
2023-11-28,615.00000,630.00000,602.00000,615.45001,12526
2023-11-29,629.79999,629.79999,595.00000,602.59998,14742
2023-11-30,602.70001,629.00000,572.50000,572.50000,54534
2023-12-01,543.90002,600.00000,543.90002,566.45001,106049
2023-12-04,589.00000,589.00000,538.15002,547.45001,65012
2023-12-05,545.50000,567.95001,540.00000,564.20001,35331
2023-12-06,576.95001,580.00000,560.00000,575.29999,20280
2023-12-07,572.00000,578.00000,565.00000,569.70001,16040
2023-12-08,570.00000,585.75000,567.09998,568.90002,9782
2023-12-11,568.90002,584.00000,565.20001,581.84998,10979
2023-12-12,584.90002,590.00000,570.59998,587.20001,18578
2023-12-13,587.20001,600.00000,585.09998,591.65002,11305
2023-12-14,605.00000,611.65002,596.00000,604.04999,16365
2023-12-15,618.00000,630.00000,610.00000,614.59998,13087
2023-12-18,627.00000,644.00000,616.00000,624.00000,17149
2023-12-19,629.90002,629.90002,595.09998,609.75000,23951
2023-12-20,617.45001,624.15002,579.29999,579.29999,11850
2023-12-21,578.95001,590.00000,552.15002,580.15002,18437
2023-12-22,580.00000,597.95001,580.00000,586.04999,8065
2023-12-26,595.00000,599.79999,560.00000,576.59998,14276
2023-12-27,593.00000,593.00000,560.00000,568.70001,8232
2023-12-28,557.00000,581.50000,557.00000,578.45001,8488
2023-12-29,578.00000,578.79999,551.59998,577.15002,12162
2024-01-01,588.70001,588.70001,565.00000,581.65002,11785
2024-01-02,610.70001,610.70001,590.00000,608.25000,75516
2024-01-03,608.25000,609.00000,585.00000,589.15002,21357
2024-01-04,593.15002,595.00000,581.00000,583.20001,13569
2024-01-05,594.00000,594.00000,569.00000,577.84998,13844
2024-01-08,577.70001,589.70001,561.84998,567.45001,9239
2024-01-09,567.45001,593.00000,567.45001,582.70001,16792
