date,open,high,low,close,volume
2025-03-21,38.10000,38.51500,37.67000,37.80000,2597400
2025-03-24,38.44000,39.26000,38.03000,39.23000,574600
2025-03-25,39.14000,39.50000,38.78000,38.95000,642500
2025-03-26,39.32000,39.37000,37.74500,37.90000,455600
2025-03-27,38.00000,38.00000,37.15000,37.50000,543000
2025-03-28,37.51000,37.84000,36.94000,37.61000,1035500
2025-03-31,36.93000,37.42000,36.38000,37.30000,1529200
2025-04-01,37.39000,37.91000,36.37900,37.63000,963400
2025-04-02,36.84000,38.79000,36.63000,38.72000,694900
2025-04-03,35.80000,37.07000,34.40000,34.73000,1074200
2025-04-04,32.59000,32.88000,29.53500,31.28000,1950000
2025-04-07,29.69000,33.24000,29.25000,31.39000,2078700
2025-04-08,33.19000,33.25000,29.46500,30.23000,2257100
2025-04-09,30.06000,34.32000,29.26000,33.57000,2313900
2025-04-10,32.06000,32.93000,31.35000,32.22000,1578200
2025-04-11,32.64000,32.78000,31.34000,32.54000,1057100
2025-04-14,33.43000,33.48500,32.63000,32.93000,876700
2025-04-15,33.00000,33.93000,33.00000,33.48000,780700
2025-04-16,33.15000,34.20000,33.15000,33.83000,823100
2025-04-17,34.00000,35.04000,34.00000,34.40000,547100
2025-04-21,34.07000,34.40000,32.45000,32.81000,940300
2025-04-22,33.55000,33.64000,32.59000,33.25000,462900
2025-04-23,34.23000,34.70500,33.07000,33.25000,591700
2025-04-24,34.27000,34.82000,33.44000,34.82000,1613800
2025-04-25,34.40000,35.28000,34.03000,34.90000,670600
2025-04-28,35.02000,35.51500,34.59000,35.37000,705300
2025-04-29,35.10000,35.15000,34.72000,34.77000,534200
2025-04-30,33.90000,34.16500,33.12000,34.01000,616200
2025-05-01,34.27000,35.67000,34.01500,35.19000,857900
2025-05-02,35.76000,36.16000,35.36500,35.70000,711400
2025-05-05,34.49000,34.82000,34.02000,34.16000,759000
2025-05-06,33.98000,34.54000,33.65000,34.22000,1066600
2025-05-07,34.53000,34.70000,33.95000,34.13000,950600
2025-05-08,34.87000,36.15000,33.45000,35.44000,1708000
2025-05-09,35.65000,35.78000,34.79000,35.66000,777900
2025-05-12,37.40000,37.78000,36.01000,36.47000,575100
2025-05-13,35.73000,36.93000,35.29000,36.40000,1923300
2025-05-14,36.28000,36.49000,35.82000,36.20000,1111000
2025-05-15,35.72000,36.15000,35.13000,35.63000,1202200
2025-05-16,35.66000,35.96000,34.77500,35.52000,920400
2025-05-19,34.88000,35.54000,34.52000,35.51000,664600
2025-05-20,35.47000,35.57000,35.00000,35.43000,809000
2025-05-21,35.24000,35.63000,33.95000,34.21000,716400
2025-05-22,34.19000,34.35500,33.41000,34.34000,681300
2025-05-23,33.65000,34.93000,33.65000,34.62000,640900
2025-05-27,35.03000,35.21000,34.28000,35.05000,811100
2025-05-28,35.19000,35.65000,35.00000,35.53000,873500
2025-05-29,36.00000,36.00000,35.25000,35.46000,675000
2025-05-30,35.08000,35.49000,34.65000,35.31000,1778200
2025-06-02,35.72000,36.33000,35.55000,35.95000,1574200
2025-06-03,36.27000,36.83000,35.90000,36.63000,855200
2025-06-04,36.28000,36.88000,35.82000,36.02000,724800
2025-06-05,36.29000,36.67000,35.96500,36.44000,639200
2025-06-06,36.96000,37.33000,36.64700,37.00000,590500
2025-06-09,37.11000,37.26000,35.03000,35.05000,1186900
2025-06-10,35.58000,35.69000,33.65000,33.75000,980900
2025-06-11,34.02000,34.25000,33.59000,34.02000,1113300
2025-06-12,34.01000,34.19000,33.42000,34.11000,607100
2025-06-13,34.41000,34.87000,33.70000,34.28000,671400
