date,open,high,low,close,volume
2025-03-27,6.40000,6.45000,6.33000,6.40000,209900
2025-03-28,6.40000,6.40000,6.22000,6.27000,253900
2025-03-31,6.21000,6.30000,6.18000,6.26000,357300
2025-04-01,6.26000,6.32000,6.16000,6.26000,296300
2025-04-02,6.17000,6.36000,6.16000,6.35000,262900
2025-04-03,6.05000,6.11000,5.76000,5.76000,585800
2025-04-04,5.49000,5.81000,5.45000,5.76000,776800
2025-04-07,5.60000,6.13000,5.54000,5.81000,643400
2025-04-08,6.00000,6.01000,5.68000,5.77000,430000
2025-04-09,5.71000,6.28000,5.59000,6.02000,614100
2025-04-10,5.93000,6.01000,5.56000,5.72000,544200
2025-04-11,5.65000,5.76000,5.55000,5.66000,354200
2025-04-14,5.74000,5.76000,5.59000,5.74000,343800
2025-04-15,5.74000,5.91000,5.74000,5.82000,304200
2025-04-16,5.82000,5.89000,5.78000,5.86000,256400
2025-04-17,5.85000,5.96000,5.85000,5.92000,329400
2025-04-21,5.86000,5.90000,5.81000,5.88000,397300
2025-04-22,5.93000,6.13000,5.90000,6.10000,338300
2025-04-23,6.25000,6.37000,6.12000,6.16000,464800
2025-04-24,6.20000,6.52000,6.07000,6.45000,573100
2025-04-25,6.35000,6.38000,6.22000,6.37000,405500
2025-04-28,6.38000,6.38000,6.26000,6.37000,203400
2025-04-29,6.32000,6.41000,6.28000,6.30000,249100
2025-04-30,6.19000,6.34000,6.12000,6.26000,274900
2025-05-01,6.28000,6.35000,6.22000,6.28000,278100
2025-05-02,6.39000,6.49000,6.34000,6.48000,200100
2025-05-05,6.41000,6.49000,6.34000,6.42000,257300
2025-05-06,6.42000,6.48000,6.26000,6.40000,349500
2025-05-07,6.38000,6.39000,6.23000,6.26000,297300
2025-05-08,6.28000,6.43000,6.28000,6.37000,260300
2025-05-09,6.41000,6.41000,6.29000,6.35000,254800
2025-05-12,6.56000,6.70000,6.53000,6.54000,401100
2025-05-13,6.60000,6.61000,6.54000,6.55000,190000
2025-05-14,6.52000,6.56000,6.44000,6.47000,286500
2025-05-15,6.47000,6.51000,6.40000,6.49000,178000
2025-05-16,6.49000,6.49000,6.32000,6.33000,268400
2025-05-19,6.25000,6.31000,6.20000,6.28000,315900
2025-05-20,6.26000,6.34000,6.24000,6.27000,176100
2025-05-21,6.21000,6.30000,6.07000,6.16000,416800
2025-05-22,6.11000,6.17000,6.01000,6.02000,227100
2025-05-23,5.92000,6.04000,5.92000,6.00000,281300
2025-05-27,6.07000,6.15000,5.99000,6.14000,394800
2025-05-28,6.14000,6.14000,6.04000,6.06000,314100
2025-05-29,6.07000,6.11000,6.01000,6.11000,356200
2025-05-30,6.07000,6.08000,5.97000,6.03000,1452200
2025-06-02,6.01000,6.03000,5.87000,5.90000,361900
2025-06-03,5.89000,6.10000,5.87000,6.07000,774800
2025-06-04,6.08000,6.11000,5.92000,5.97000,369900
2025-06-05,5.97000,6.01000,5.88000,5.94000,381500
2025-06-06,6.03000,6.11000,6.01000,6.11000,300800
2025-06-09,6.15000,6.21000,6.09000,6.16000,472700
2025-06-10,6.17000,6.34000,6.15000,6.27000,236800
2025-06-11,6.28000,6.39000,6.25000,6.38000,348900
2025-06-12,6.35000,6.40000,6.27000,6.36000,264500
2025-06-13,6.28000,6.32000,6.00000,6.24000,402100
2025-06-16,6.31000,6.34000,6.17000,6.19000,376700
2025-06-17,6.15000,6.19000,6.01000,6.02000,475900
2025-06-18,6.01000,6.16000,5.99000,6.06000,361400
2025-06-20,6.12000,6.17000,6.01000,6.01000,637600
2025-06-23,5.99000,6.20000,5.95000,6.18000,335400
2025-06-24,6.23000,6.40000,6.23000,6.29000,408600
2025-06-25,6.27000,6.31000,6.23000,6.27000,291600
