date,open,high,low,close,volume
2023-09-25,7.05000,7.07000,7.05000,7.05000,600
2023-09-26,7.29500,7.44000,7.20000,7.20000,5800
2023-09-27,7.20000,7.33500,7.05000,7.06000,1700
2023-09-28,7.19000,7.19000,7.06000,7.10000,1200
2023-09-29,6.86300,7.15000,6.86300,7.15000,800
2023-10-02,7.00000,7.00000,6.85000,6.85000,1900
2023-10-03,6.90000,6.90000,6.77500,6.78000,2000
2023-10-04,6.78000,6.78000,6.78000,6.78000,300
2023-10-05,7.10000,7.10000,6.45000,6.75000,1000
2023-10-09,6.90000,6.90000,6.60000,6.60000,1300
2023-10-10,6.90000,7.04000,6.70000,7.00000,5000
2023-10-11,6.69100,6.91000,6.60000,6.91000,5800
2023-10-12,7.06000,7.06000,6.26000,6.80000,7000
2023-10-13,6.78000,6.78000,6.74000,6.74000,700
2023-10-16,6.84000,6.84000,6.60000,6.61000,3900
2023-10-17,6.73000,6.82000,6.73000,6.82000,1300
2023-10-18,6.68000,6.68000,6.60000,6.60000,1700
2023-10-19,6.40000,6.60300,6.33500,6.60300,1300
2023-10-20,6.50000,6.50000,6.36000,6.36000,700
2023-10-23,6.30000,6.44500,5.94000,5.94000,1400
2023-10-25,5.56000,5.82400,5.56000,5.77000,1500
2023-10-26,6.17000,6.31500,6.17000,6.30000,1500
2023-10-27,6.50000,6.50000,6.27000,6.50000,3400
2023-10-30,6.52000,6.52000,6.50000,6.51000,1900
2023-10-31,6.50000,6.50000,6.40000,6.46000,6100
2023-11-01,6.40000,6.40000,6.26800,6.26800,4600
2023-11-02,6.04900,6.17500,6.04900,6.17500,1300
2023-11-03,6.17000,6.30000,6.09400,6.30000,2300
2023-11-06,6.30000,6.30000,6.30000,6.30000,100
2023-11-08,6.42000,6.50000,6.35000,6.35000,3700
2023-11-09,6.25000,6.25000,6.10000,6.10000,1000
2023-11-13,6.25000,6.25000,5.81300,6.20000,4800
2023-11-14,6.25000,6.35000,6.20000,6.20000,2700
2023-11-15,6.30000,6.30000,5.49000,5.49000,700
2023-11-16,6.04000,6.30000,6.04000,6.30000,2600
2023-11-17,6.10000,6.10000,6.01000,6.10000,700
2023-11-20,6.20000,6.20000,6.20000,6.20000,100
2023-11-21,6.06300,6.10000,6.06300,6.10000,500
2023-11-27,6.00000,6.25000,6.00000,6.25000,1600
2023-11-28,6.50000,6.80500,6.30000,6.80500,23500
2023-11-29,7.00000,7.09000,7.00000,7.09000,10200
2023-11-30,6.95000,7.09000,6.95000,7.06600,4200
2023-12-01,7.10000,7.46000,7.03000,7.29000,16900
2023-12-04,7.30000,7.47000,6.97000,7.47000,8300
2023-12-05,7.46000,7.50000,7.25000,7.48000,5600
2023-12-06,7.48000,7.48000,7.48000,7.48000,300
2023-12-07,7.07000,7.39600,7.07000,7.39600,800
2023-12-08,7.39000,7.88000,7.33000,7.79200,8100
2023-12-12,7.20000,7.65000,7.20000,7.63000,4900
2023-12-13,8.22000,8.28000,7.58000,7.58000,3800
2023-12-14,7.80000,7.80000,7.75000,7.75000,500
2023-12-15,8.00000,8.36000,7.96000,8.36000,5200
2023-12-18,8.21800,8.95000,8.21800,8.95000,6300
2023-12-19,8.90000,8.92500,8.90000,8.91000,1000
2023-12-20,9.36500,9.37000,9.36500,9.37000,500
2023-12-21,8.73000,9.50000,8.73000,9.50000,2900
2023-12-22,9.40000,9.95000,9.40000,9.80500,3100
2023-12-26,9.07000,9.66800,9.07000,9.66800,500
2023-12-27,9.82000,9.87000,9.28000,9.50000,3400
2023-12-28,9.40000,9.40000,9.30000,9.30000,700
2023-12-29,9.16000,9.16000,9.07500,9.07500,1200
2024-01-02,9.08000,9.13000,9.08000,9.11000,2900
2024-01-03,9.10000,9.15000,9.06000,9.15000,4900
2024-01-04,9.02000,9.02000,9.02000,9.02000,400
2024-01-08,8.81000,9.00000,8.46500,8.56000,7000
2024-01-09,8.56000,8.80000,8.50000,8.80000,5200
2024-01-10,8.60000,8.60000,8.30000,8.30000,7600
2024-01-11,8.30000,8.30000,7.60000,7.60000,2700
2024-01-12,7.54000,7.90000,7.25000,7.60000,9200
2024-01-16,7.60000,8.92000,7.40000,7.62000,14100
2024-01-17,8.00000,8.55000,7.86000,8.55000,3700
2024-01-18,7.89000,8.46000,7.61000,8.03000,12400
