date,open,high,low,close,volume
2023-09-25,24.60000,25.12000,24.55000,25.03000,1330400
2023-09-26,24.89000,25.06000,24.37000,24.58000,1252900
2023-09-27,24.72000,24.94000,24.51000,24.64000,1007900
2023-09-28,24.65000,25.43000,24.63000,25.34000,1016700
2023-09-29,25.64000,25.69000,25.29000,25.41000,1013200
2023-10-02,25.27000,25.45000,24.89000,25.09000,1120800
2023-10-03,24.91000,25.03000,24.41000,24.55000,1122500
2023-10-04,24.60000,24.73000,24.26000,24.47000,697600
2023-10-05,24.41000,24.58000,24.25000,24.43000,709900
2023-10-06,24.21000,24.88000,24.16000,24.82000,917500
2023-10-09,24.59000,25.01000,24.44000,24.85000,679200
2023-10-10,25.02000,25.35000,24.90000,25.03000,1264200
2023-10-11,25.07000,25.51000,25.07000,25.50000,647100
2023-10-12,25.44000,25.44000,24.67000,25.09000,1010400
2023-10-13,25.15000,25.33000,24.86000,24.99000,927300
2023-10-16,25.22000,25.53000,25.00000,25.09000,1204300
2023-10-17,24.79000,25.43000,24.76000,24.89000,1116500
2023-10-18,24.70000,24.74000,24.19000,24.25000,1850000
2023-10-19,24.17000,24.31000,23.80000,23.91000,1060400
2023-10-20,23.95000,24.11000,23.87000,23.97000,1030800
2023-10-23,23.82000,24.01000,23.41000,23.47000,1429100
2023-10-24,23.63000,23.79000,23.15000,23.27000,1309900
2023-10-25,23.12000,23.33000,23.01000,23.27000,1058300
2023-10-26,23.29000,23.90000,23.20000,23.68000,969400
2023-10-27,23.80000,23.80000,23.14000,23.18000,788100
2023-10-30,23.36000,23.94000,23.34000,23.75000,1618600
2023-10-31,23.32000,23.99000,22.69000,23.43000,2969300
2023-11-01,23.12000,23.82000,22.65000,23.34000,2080400
2023-11-02,23.89000,24.02000,23.45000,23.76000,1243000
2023-11-03,24.18000,24.53000,23.79000,23.84000,1545600
2023-11-06,23.83000,23.86000,23.43000,23.60000,1171100
2023-11-07,23.46000,23.98000,23.44000,23.58000,871800
2023-11-08,23.60000,23.62000,23.20000,23.25000,1565900
2023-11-09,23.39000,23.39000,22.80000,22.84000,1541800
2023-11-10,22.89000,23.14000,22.65000,23.04000,2580200
2023-11-13,22.92000,23.06000,22.50000,22.52000,1422100
2023-11-14,23.21000,23.69000,23.01000,23.29000,2429200
2023-11-15,23.34000,23.98000,23.30000,23.75000,3118100
2023-11-16,23.72000,23.86000,23.51000,23.73000,1221400
2023-11-17,23.91000,23.98000,23.42000,23.62000,1089300
2023-11-20,23.62000,23.62000,23.26000,23.50000,931500
2023-11-21,23.37000,23.40000,23.12000,23.25000,760400
2023-11-22,23.40000,23.44000,23.11000,23.17000,682500
2023-11-24,23.20000,23.41000,23.11000,23.34000,356200
2023-11-27,23.25000,23.33000,22.97000,23.00000,1352600
2023-11-28,22.96000,23.00000,22.68000,22.90000,949000
2023-11-29,23.09000,23.34000,22.94000,22.99000,1097500
2023-11-30,23.08000,23.13000,22.75000,22.87000,1166500
2023-12-01,22.91000,23.90000,22.82000,23.90000,1320700
2023-12-04,23.85000,24.43000,23.76000,24.25000,1160500
2023-12-05,24.09000,24.36000,23.91000,24.33000,1138300
2023-12-06,24.54000,25.95000,24.48000,25.88000,3171000
2023-12-07,25.85000,26.38000,25.56000,26.07000,2190300
