date,open,high,low,close,volume
2023-10-02,17.22000,17.29000,16.73700,16.80000,10800
2023-10-03,16.73000,17.36000,16.38000,17.29000,12771
2023-10-04,17.22000,17.64000,16.80000,17.22000,21757
2023-10-05,17.22000,17.50000,16.87000,16.94000,8571
2023-10-06,16.94000,16.94000,16.31000,16.52000,19357
2023-10-09,16.52000,16.80000,16.45000,16.73000,19186
2023-10-10,16.73000,17.50000,16.73000,17.22000,11571
2023-10-11,17.15000,17.50000,17.01000,17.01000,5157
2023-10-12,17.01000,17.01000,16.45000,16.66000,7300
2023-10-13,16.66000,16.80000,16.38000,16.73000,6757
2023-10-16,16.87000,17.43000,16.45700,17.29000,7700
2023-10-17,17.08000,17.50000,16.48500,16.94000,13229
2023-10-18,17.01000,17.01000,16.55500,16.62500,6186
2023-10-19,16.66000,16.66000,16.37300,16.45000,9857
2023-10-20,16.52000,17.29000,16.38000,16.55500,9243
2023-10-23,16.38000,16.87000,16.31000,16.52000,5714
2023-10-24,16.52000,17.08000,16.31700,16.73000,8271
2023-10-25,16.59000,16.65300,15.89000,15.96000,10486
2023-10-26,16.10000,16.87000,15.96000,16.73000,5143
2023-10-27,16.59000,16.87000,16.38000,16.45000,6171
2023-10-30,16.59000,16.66000,15.82000,16.66000,13500
2023-10-31,17.15000,17.71000,16.94000,17.43000,19000
2023-11-01,17.43000,17.50000,17.15000,17.22000,5471
2023-11-02,17.36000,17.40900,16.48500,16.80000,18129
2023-11-03,16.80000,16.87000,16.03000,16.10000,31714
2023-11-06,16.24000,17.15000,15.61000,16.87000,35357
2023-11-07,16.80000,17.08000,16.52000,16.87000,12286
2023-11-08,16.45000,17.08000,16.38000,16.59000,12986
2023-11-09,16.10000,16.73000,16.10000,16.31000,22443
2023-11-10,16.10000,16.45000,15.96000,16.38000,9100
2023-11-13,16.17000,16.38000,15.75000,16.10000,41429
2023-11-14,16.45000,16.59000,16.03000,16.31000,12929
2023-11-15,15.12000,16.10000,14.07000,15.75000,128743
2023-11-16,15.75000,16.10000,15.54000,15.78500,17443
2023-11-17,15.89000,16.38000,15.75000,16.31000,16143
2023-11-20,16.38000,16.73000,16.17000,16.45000,15971
2023-11-21,16.45000,17.01000,16.10000,16.24000,14000
2023-11-22,16.31000,16.59000,15.89000,16.24000,7357
2023-11-24,16.24000,16.86300,16.03000,16.45000,4043
2023-11-27,16.59000,16.80000,16.31000,16.52000,8600
2023-11-28,16.73000,16.73000,15.61000,15.82000,17214
2023-11-29,15.82000,16.24000,15.75000,15.82000,12271
