date,open,high,low,close,volume
2025-03-21,15.59000,16.13500,15.45000,16.05000,3338600
2025-03-24,16.12000,16.22000,15.85000,16.04000,2177100
2025-03-25,16.17000,16.48000,15.98500,16.09000,1536800
2025-03-26,15.97000,16.10000,15.86500,16.04000,1936400
2025-03-27,15.95000,16.17700,15.81000,15.98000,1680900
2025-03-28,15.91500,15.91500,15.44000,15.69000,2544100
2025-03-31,15.47000,15.84000,15.42000,15.59000,1972800
2025-04-01,15.65000,16.44000,15.65000,16.38000,2599900
2025-04-02,16.20000,16.93000,16.07000,16.73000,2471000
2025-04-03,15.77000,15.94000,14.23000,14.44000,4566800
2025-04-04,14.00000,14.69000,13.50500,13.89000,4279600
2025-04-07,13.25000,14.10000,12.82000,13.50000,6423800
2025-04-08,15.71000,15.71000,12.33000,12.42000,15071100
2025-04-09,12.48000,15.11000,12.17000,14.93000,7820500
2025-04-10,14.90000,14.92000,14.02000,14.52000,5512700
2025-04-11,14.38000,15.10000,14.10000,15.04000,3760700
2025-04-14,15.35000,15.48000,14.64000,14.96000,3501700
2025-04-15,14.88000,15.14000,14.29000,14.35000,2146500
2025-04-16,14.25000,14.53000,13.83000,14.11000,2153100
2025-04-17,14.18000,14.75000,14.16600,14.65000,3609200
2025-04-21,14.57000,15.06500,14.52100,15.02000,2871800
2025-04-22,15.14000,15.63000,15.03000,15.47000,2509000
2025-04-23,15.92000,16.30000,15.65000,15.69000,2304600
2025-04-24,15.70000,16.19000,15.58000,15.96000,1958200
2025-04-25,15.87000,16.16000,15.71500,16.08000,1593300
2025-04-28,16.05000,16.12000,15.78000,15.88000,3361200
2025-04-29,15.88000,15.99500,15.74000,15.77000,1611700
2025-04-30,15.92000,16.04000,15.32000,16.01000,2125400
2025-05-01,16.05000,16.19000,15.79000,15.81000,1798400
2025-05-02,16.13000,16.35000,16.00000,16.21000,2035000
2025-05-05,16.11000,16.62500,16.03500,16.29000,1459300
2025-05-06,16.10000,16.28500,15.97000,16.17000,1425200
2025-05-07,16.29000,16.61000,16.19000,16.55000,1960900
2025-05-08,16.87000,17.27000,16.85000,17.07000,2189700
2025-05-09,17.06000,17.29000,16.93000,17.21000,1525200
2025-05-12,18.05000,18.56000,17.64000,17.74000,3068700
2025-05-13,17.80000,17.91000,17.50000,17.80000,2040400
2025-05-14,17.69000,17.83000,17.44000,17.53000,1869800
2025-05-15,17.42000,17.63000,17.31800,17.51000,1424300
2025-05-16,17.50000,17.77000,17.50000,17.67000,1101800
2025-05-19,17.37000,17.83000,17.37000,17.58000,2070500
2025-05-20,17.71000,18.14000,17.66000,17.84000,1997500
2025-05-21,17.77000,17.84000,17.29000,17.32000,1822000
2025-05-22,17.29000,18.00500,17.17000,17.93000,2273300
2025-05-23,17.50000,17.79000,17.34000,17.74000,1972300
2025-05-27,18.04000,18.41000,17.91000,18.39000,1448200
2025-05-28,18.52000,18.53000,17.96000,18.04000,3219900
2025-05-29,17.81000,18.01900,17.60000,17.74000,2335800
2025-05-30,17.51000,17.67000,17.31000,17.35000,2181400
2025-06-02,17.35000,17.39500,16.89700,17.09000,2393400
2025-06-03,17.07000,17.25500,16.81000,17.06000,2089600
2025-06-04,17.09000,17.10500,16.80000,16.88000,2327300
2025-06-05,16.77000,17.51000,16.77000,17.28000,2969100
2025-06-06,17.36000,17.54000,17.29000,17.45000,1550400
2025-06-09,17.56000,17.69000,17.14000,17.52000,2103500
2025-06-10,17.64000,17.83500,17.45000,17.55000,1567100
2025-06-11,17.67000,17.76000,17.28500,17.33000,1289800
2025-06-12,17.23000,17.23000,16.98000,17.10000,981300
2025-06-13,16.83000,17.03500,16.50000,16.72000,2357100
2025-06-16,17.01000,17.65000,16.95000,17.55000,3318500
2025-06-17,17.41000,17.70000,17.32000,17.44000,2233700
2025-06-18,17.48000,17.72500,17.44000,17.61000,2863100
2025-06-20,17.75000,17.87000,17.56000,17.59000,4546500
2025-06-23,17.58000,18.02000,17.28500,18.01000,2486500
2025-06-24,18.29000,18.65000,18.10500,18.62000,2553800
2025-06-25,18.57000,18.62000,17.96600,18.07000,1875900
2025-06-26,18.22000,18.26000,17.96000,18.23000,1803900
2025-06-27,18.43000,18.59000,18.23000,18.53000,1997100
2025-06-30,18.36000,18.59500,18.28000,18.49000,1818600
2025-07-01,18.32000,19.11000,18.32000,18.87000,2008000
2025-07-02,18.88000,19.28000,18.67000,19.23000,2184000
2025-07-03,19.21000,19.33900,18.97000,19.11000,1592800
2025-07-07,19.11000,19.73000,19.07000,19.55000,2549700
2025-07-08,19.53000,19.67000,19.23000,19.52000,2047200
2025-07-09,19.50000,19.64000,19.25000,19.40000,2829900
2025-07-10,19.61500,20.09000,19.42000,19.73000,8242700
2025-07-11,21.75000,22.19000,20.96000,21.95000,16554500
2025-07-14,22.24500,22.35000,21.03500,21.37000,4808700
2025-07-15,21.34000,21.60000,21.12000,21.30000,4667000
2025-07-16,21.43000,21.75000,20.69100,20.97000,4109000
2025-07-17,20.96000,21.16500,20.81500,21.06000,2208300
2025-07-18,21.21000,21.29000,20.85000,20.91000,2443000
2025-07-21,21.02000,21.05000,20.67000,20.74000,2173800
2025-07-22,20.80000,21.02000,20.67500,20.95000,1964400
2025-07-23,21.16000,21.44000,21.01000,21.09000,3530100
2025-07-24,20.95000,20.97000,20.43500,20.56000,2625000
2025-07-25,20.59000,20.59000,20.25000,20.45000,1755500
2025-07-28,20.64000,20.69000,20.34000,20.65000,2058200
2025-07-29,20.67000,20.67000,20.13000,20.51000,2914000
2025-07-30,20.36000,20.53000,19.65000,19.75000,2553500
2025-07-31,19.70000,19.74000,19.37000,19.69000,2179600
2025-08-01,19.10000,19.34000,18.81000,19.24000,2834000
2025-08-04,19.55500,19.97000,19.52000,19.94000,3385600
2025-08-05,19.90000,20.26000,19.82000,19.99000,2244500
2025-08-06,20.10000,20.40000,19.86000,20.38000,3045200
2025-08-07,20.59000,20.68000,19.90000,20.14000,2139800
2025-08-08,20.20000,20.33500,19.99000,20.01000,1697800
2025-08-11,20.11000,20.33000,19.81000,20.22000,1682400
2025-08-12,20.36000,20.63000,20.25800,20.54000,1521300
2025-08-13,20.63000,21.02500,20.45000,20.97000,2869000
