date,open,high,low,close,volume
2025-03-19,6.30000,6.70000,6.30000,6.40000,3200
2025-03-20,6.30000,6.72000,6.30000,6.66000,3500
2025-03-21,6.68000,7.28000,6.27000,7.28000,12100
2025-03-24,6.76000,7.02000,6.48000,6.60000,11900
2025-03-25,7.00000,7.00000,6.50000,6.50000,5000
2025-03-26,6.49000,6.49000,6.32000,6.32000,2200
2025-03-27,6.46000,6.78000,6.17000,6.78000,9000
2025-03-28,6.80000,6.90000,6.49000,6.75000,9000
2025-03-31,6.55000,6.90000,6.40000,6.53000,4200
2025-04-01,6.33000,6.70000,6.32000,6.32000,2700
2025-04-02,6.70000,7.12000,6.58000,6.93000,12000
2025-04-03,6.69000,6.89000,6.62000,6.89000,3300
2025-04-04,6.77000,6.87000,6.62000,6.75000,5000
2025-04-07,6.52000,6.83000,6.31000,6.50000,7000
2025-04-08,6.87000,6.87000,6.36000,6.36000,7300
2025-04-09,6.56000,6.88000,6.35000,6.60000,10800
2025-04-10,6.66000,6.75000,6.52000,6.52000,3100
2025-04-11,6.55000,6.55000,6.30000,6.30000,2100
2025-04-14,6.31000,6.69000,6.31000,6.32000,2300
2025-04-15,6.54000,6.70000,6.54000,6.60000,2800
2025-04-16,6.52000,6.65000,6.40000,6.65000,1600
2025-04-17,6.55000,6.62000,6.55000,6.62000,500
2025-04-21,6.65000,6.65000,6.51000,6.65000,600
2025-04-22,6.51000,6.51000,6.50000,6.50000,400
2025-04-23,6.64000,6.70000,6.55000,6.55000,8500
2025-04-24,6.74000,6.75000,6.66000,6.75000,3400
2025-04-25,6.75000,6.75000,6.73000,6.73000,800
2025-04-28,6.75000,7.04000,6.75000,6.98000,14900
2025-04-29,6.96000,7.04000,6.96000,6.96000,23000
2025-04-30,6.96000,6.96000,6.85000,6.85000,2800
2025-05-01,6.86000,7.04000,6.86000,6.95000,2300
2025-05-02,6.95000,7.04000,6.85000,6.96000,3100
2025-05-05,6.96000,7.08000,6.95000,7.08000,6600
2025-05-06,7.05000,7.05000,6.87000,6.87000,5000
2025-05-07,6.85000,6.97000,6.85000,6.97000,1400
2025-05-08,6.72000,6.72000,6.72000,6.72000,1900
2025-05-09,6.63000,6.75000,6.12000,6.12000,27000
2025-05-12,6.17000,6.65000,6.17000,6.60000,4800
2025-05-13,6.65000,6.87000,6.65000,6.87000,3900
2025-05-14,6.40000,6.40000,6.40000,6.40000,700
2025-05-15,6.20000,6.97000,6.20000,6.89000,4700
2025-05-16,6.88000,6.88000,6.67000,6.67000,2700
2025-05-19,6.54000,6.80000,6.49000,6.80000,700
2025-05-20,6.70000,6.70000,6.54000,6.54000,500
2025-05-21,6.46000,6.60000,6.45000,6.60000,2000
2025-05-22,6.55000,6.75000,6.55000,6.74000,700
2025-05-23,6.73000,6.73000,6.71000,6.71000,700
2025-05-27,6.48000,6.74000,6.45000,6.74000,1200
2025-05-30,6.68000,6.75000,6.54000,6.54000,3400
2025-06-02,6.60000,6.75000,6.60000,6.75000,8500
2025-06-03,6.74000,6.75000,6.68000,6.74000,4200
2025-06-04,6.60000,6.60000,6.60000,6.60000,300
2025-06-05,6.74000,6.74000,6.61000,6.61000,400
2025-06-06,6.74000,6.74000,6.74000,6.74000,1700
2025-06-09,6.74000,6.89000,6.60000,6.60000,1600
2025-06-10,6.61000,6.70000,6.60000,6.70000,1000
2025-06-11,6.60000,6.90000,6.60000,6.90000,13700
2025-06-12,6.68000,6.80000,6.62000,6.80000,1100
2025-06-13,6.95000,6.99000,6.80000,6.80000,2900
2025-06-16,6.60000,6.60000,6.60000,6.60000,400
2025-06-17,6.59000,6.96000,6.35000,6.93000,2200
2025-06-18,6.95000,7.29000,6.72000,6.96000,21200
2025-06-20,7.14000,9.74000,6.33000,6.67000,306800
2025-06-23,6.45000,9.45000,5.88000,6.76000,205300
