date,open,high,low,close,volume
2025-03-27,17.70000,18.00000,17.70000,17.89000,32000
2025-03-28,18.19000,18.40000,17.51000,17.56000,37100
2025-03-31,17.38000,17.91000,17.38000,17.72000,66800
2025-04-01,18.05000,18.10000,17.46000,17.73000,47600
2025-04-02,17.65000,18.22000,17.65000,17.88000,61900
2025-04-03,17.68000,17.75000,17.00000,17.01000,78800
2025-04-04,16.95000,17.45000,16.76000,17.10000,103200
2025-04-07,16.77000,17.47000,16.40000,16.61000,97600
2025-04-08,17.28000,17.28000,15.78000,15.81000,140700
2025-04-09,15.82000,17.16000,15.58000,16.70000,91100
2025-04-10,16.30000,16.75000,15.99000,16.31000,63400
2025-04-11,16.39000,16.90000,16.23000,16.60000,47200
2025-04-14,16.63000,16.80000,16.13000,16.13000,130500
2025-04-15,16.09000,16.24000,15.79000,15.93000,74800
2025-04-16,15.90000,16.12000,15.76000,15.92000,57800
2025-04-17,15.91000,16.50000,15.85000,16.02000,118500
2025-04-21,15.90000,15.90000,15.63000,15.70000,42800
2025-04-22,16.18000,16.26000,15.70000,16.00000,55700
2025-04-23,16.53000,16.56000,15.73000,15.78000,89200
2025-04-24,15.83000,15.84000,15.45000,15.68000,104100
2025-04-25,15.66000,16.05000,15.45000,15.87000,43100
2025-04-28,15.81000,15.86000,15.29000,15.34000,71300
2025-04-29,15.28000,15.81000,15.23000,15.27000,184400
2025-04-30,15.20000,15.42000,14.93000,15.03000,263100
2025-05-01,15.12000,15.75000,14.80000,15.53000,142200
2025-05-02,15.63000,15.93000,15.24000,15.88000,106600
2025-05-05,15.85000,16.25000,15.45000,15.47000,114200
2025-05-06,15.38000,15.57000,15.22000,15.47000,41800
2025-05-07,15.49000,15.58000,14.89000,15.01000,120000
2025-05-08,15.20000,15.77000,15.07000,15.75000,114800
2025-05-09,15.72000,15.79000,15.41000,15.52000,49500
2025-05-12,16.02000,16.74000,15.77000,15.84000,60000
2025-05-13,16.06000,16.40000,15.43000,15.81000,75400
2025-05-14,15.66000,15.96000,15.46000,15.79000,87100
2025-05-15,15.68000,16.13000,15.39000,16.06000,73400
2025-05-16,16.06000,16.37000,15.70000,16.26000,95600
2025-05-19,16.02000,16.12000,15.62000,16.08000,64100
2025-05-20,16.14000,16.18000,15.72000,15.99000,66300
2025-05-21,15.78000,15.92000,15.44000,15.52000,72500
2025-05-22,15.42000,15.81000,15.36000,15.45000,87900
2025-05-23,15.28000,15.49000,15.13000,15.36000,39500
2025-05-27,15.54000,15.74000,15.45000,15.69000,35300
2025-05-28,15.81000,15.81000,15.55000,15.67000,43600
2025-05-29,15.72000,15.90000,15.57000,15.76000,27900
2025-05-30,15.73000,15.93000,15.70000,15.79000,46100
2025-06-02,15.79000,15.87000,15.54000,15.80000,45800
2025-06-03,15.77000,16.07000,15.76000,15.81000,40100
2025-06-04,15.92000,16.00000,15.50000,15.54000,32500
2025-06-05,15.54000,16.13000,15.02000,15.08000,54900
2025-06-06,15.30000,15.38000,15.14000,15.35000,55000
2025-06-09,15.52000,16.35000,15.43000,16.18000,202400
2025-06-10,16.72000,17.19000,15.42000,16.56000,277000
2025-06-11,16.58000,16.65000,15.66000,15.69000,73700
2025-06-12,15.69000,16.27000,15.41000,16.06000,129200
2025-06-13,15.77000,16.05000,15.29000,15.40000,74100
2025-06-16,15.43000,15.51000,15.03000,15.11000,50800
2025-06-17,15.01000,15.23000,14.81000,14.84000,72300
2025-06-18,14.89000,15.03000,14.64000,14.88000,83000
2025-06-20,15.05000,15.09000,14.65000,15.01000,101200
2025-06-23,14.98000,15.23000,14.83000,15.23000,97000
2025-06-24,15.23000,15.75000,15.00000,15.31000,155600
2025-06-25,15.29000,15.38000,14.99000,15.03000,93200
2025-06-26,15.25000,16.14000,15.25000,16.12000,122700
2025-06-27,16.10000,16.25000,15.54000,15.86000,173400
2025-06-30,15.94000,16.05000,15.54000,15.65000,66300
2025-07-01,15.59000,16.20000,15.52000,15.96000,48700
2025-07-02,16.13000,16.57000,15.85000,16.49000,96900
2025-07-03,16.55000,16.99000,16.33000,16.35000,32800
2025-07-07,16.22000,16.26000,15.45000,15.53000,93700
2025-07-08,15.51000,16.03000,15.14000,15.61000,63600
2025-07-09,15.65000,15.68000,15.17000,15.63000,44300
2025-07-10,15.64000,15.89000,15.45000,15.80000,42100
2025-07-11,15.67000,15.82000,15.56000,15.61000,50900
2025-07-14,15.56000,15.72000,15.13000,15.20000,42100
2025-07-15,15.32000,15.37000,14.89000,14.89000,78300
2025-07-16,14.90000,15.10000,14.76000,15.02000,100400
2025-07-17,15.10000,15.29000,15.10000,15.26000,45600
2025-07-18,15.36000,15.40000,15.05000,15.07000,38900
