date,open,high,low,close,volume
2023-09-25,6.73000,6.96000,6.73000,6.77000,2400
2023-09-26,6.85000,7.00500,6.85000,6.94000,10100
2023-09-27,6.99000,6.99500,6.86000,6.86000,3800
2023-09-28,6.93000,6.95000,6.73000,6.77000,1500
2023-09-29,6.85000,6.85000,6.85000,6.85000,200
2023-10-02,6.82000,6.91000,6.82000,6.90000,1600
2023-10-03,6.72000,6.75000,6.58000,6.69500,6400
2023-10-04,6.62000,6.74000,6.58000,6.74000,9800
2023-10-05,6.70000,6.85000,6.56000,6.56000,13500
2023-10-06,6.56000,6.69500,6.46000,6.46000,7100
2023-10-09,6.54000,6.61000,6.44000,6.44000,11800
2023-10-10,6.47000,6.59500,6.43000,6.46000,42600
2023-10-11,6.50000,6.50000,6.27000,6.27000,12200
2023-10-12,6.35000,6.37000,6.30500,6.33000,17700
2023-10-13,6.26000,6.35000,6.25000,6.25000,10500
2023-10-16,6.73000,6.83000,6.37000,6.48000,10500
2023-10-17,6.58000,6.70000,6.53000,6.53000,19400
2023-10-18,6.46000,6.46000,6.43000,6.43000,900
2023-10-19,6.45000,6.45000,6.33000,6.33000,4300
2023-10-20,6.35000,6.62000,6.27000,6.62000,7200
2023-10-23,6.45000,6.45000,6.16000,6.16000,10400
2023-10-24,6.45000,6.45000,6.10000,6.10000,2300
2023-10-25,6.30500,6.36000,6.12000,6.17000,6100
2023-10-26,6.25000,6.25000,6.10000,6.20000,2800
2023-10-27,6.19500,6.23000,6.17500,6.19000,12300
2023-10-30,6.25000,6.53000,6.25000,6.39000,6000
2023-10-31,6.39500,6.45000,6.29000,6.30000,10600
2023-11-01,6.30000,6.31000,6.29000,6.29000,400
2023-11-02,6.50000,6.50000,6.50000,6.50000,700
2023-11-03,6.50000,6.50000,6.35000,6.35000,8400
2023-11-06,6.56900,6.58000,6.35000,6.35000,4500
2023-11-07,6.46000,6.55000,6.35000,6.50000,13500
2023-11-08,6.50000,6.50000,6.32000,6.48000,5000
2023-11-09,6.31000,6.35000,6.04000,6.04000,9900
2023-11-10,6.08500,6.08500,5.98000,5.98000,9700
2023-11-13,6.04000,6.04000,5.97500,5.98000,9900
2023-11-14,5.94000,6.09000,5.93000,5.93000,11900
2023-11-15,6.08000,6.10000,5.95000,6.00000,38900
2023-11-16,6.10000,6.16000,6.04000,6.05000,5300
2023-11-17,6.02000,6.13000,5.98500,6.05000,13900
2023-11-20,6.23000,6.24000,6.02000,6.10000,32300
2023-11-21,6.04000,6.15000,6.01000,6.03000,8500
2023-11-22,6.09000,6.10000,6.05000,6.05000,18100
2023-11-24,6.05000,6.10000,6.05000,6.09000,5400
2023-11-27,6.11000,6.22000,6.06000,6.06000,16400
2023-11-28,6.12000,6.12100,6.04000,6.07000,16100
2023-11-29,6.11000,6.25000,6.10000,6.16000,8200
2023-11-30,6.15000,6.47000,6.12000,6.47000,280500
2023-12-01,6.30000,6.50000,6.18200,6.50000,93300
2023-12-04,6.43000,6.77000,6.41000,6.60000,11400
2023-12-05,6.59000,6.70000,6.51000,6.63000,9900
2023-12-06,6.52000,6.85000,6.52000,6.67000,12400
2023-12-07,6.85600,7.47000,6.82000,7.00000,36900
2023-12-08,6.89000,7.17500,6.72000,6.96000,25500
2023-12-11,6.99000,7.08000,6.85000,6.85000,32800
2023-12-12,6.95000,7.00000,6.63000,6.89000,16700
2023-12-13,7.00000,7.15000,6.81000,6.84000,133800
2023-12-14,6.94000,7.10000,6.80000,6.80000,126900
2023-12-15,6.87000,7.33000,6.87000,7.30000,121300
2023-12-18,7.25000,7.65100,7.10000,7.35000,37900
2023-12-19,7.42000,7.60000,7.37000,7.55000,53400
2023-12-20,7.55000,7.99000,7.42000,7.86000,45800
2023-12-21,7.93000,7.97500,7.21000,7.89000,49800
2023-12-22,7.89000,7.93000,7.71000,7.93000,35300
2023-12-26,7.86000,7.98000,7.76000,7.91000,9600
2023-12-27,7.98000,7.98000,7.78000,7.90000,41200
2023-12-28,7.81000,7.90000,7.76000,7.90000,7200
2023-12-29,7.96000,7.99000,7.75000,7.97000,35500
2024-01-02,8.00000,8.05000,7.85200,8.00000,28800
2024-01-03,7.99000,8.08000,7.90000,8.00000,29900
2024-01-04,8.18000,8.29000,8.00000,8.06000,57500
2024-01-05,7.92000,8.12000,7.90000,8.03000,67700
2024-01-08,8.03000,8.11700,7.95000,8.02000,41800
2024-01-09,8.00000,8.01000,7.90000,7.97000,37600
2024-01-10,7.95200,8.01000,7.90000,7.99000,15800
2024-01-11,7.93000,8.02000,7.78000,7.94000,57400
2024-01-12,7.93000,7.99000,7.76000,7.80000,34200
2024-01-16,7.72000,7.98900,7.71000,7.81000,28200
2024-01-17,7.81000,7.91700,7.62000,7.80000,23000
2024-01-18,7.74000,7.80500,7.65000,7.70000,17900
2024-01-19,7.56000,7.73000,7.51000,7.55000,33200
2024-01-22,7.51000,7.54000,7.44000,7.52000,31000
2024-01-23,7.53000,7.54000,7.46000,7.46000,15400
2024-01-24,7.50000,7.50000,7.31000,7.38000,48100
2024-01-25,7.41000,7.50000,7.29300,7.48000,18500
2024-01-26,7.27000,7.52000,7.27000,7.50000,30600
2024-01-29,7.50000,7.80000,7.50000,7.75000,56500
2024-01-30,7.67100,7.81000,7.50000,7.55000,39800
2024-01-31,7.50000,7.51000,7.09500,7.13000,71600
2024-02-01,7.06000,7.23000,6.75000,7.06000,48900
2024-02-02,7.11000,7.12500,6.91000,6.94000,29600
2024-02-05,6.81000,7.00000,6.81000,7.00000,46200
2024-02-06,6.84000,7.20000,6.84000,6.98000,45300
2024-02-07,6.89000,7.06000,6.89000,6.92000,22700
2024-02-08,6.90000,7.10000,6.78000,6.81000,132600
2024-02-09,6.79000,6.95500,6.78000,6.86000,32800
2024-02-12,6.81000,6.94000,6.81000,6.82000,29200
2024-02-13,6.76000,6.85500,6.70000,6.73000,18900
2024-02-14,6.66000,6.74000,6.54500,6.74000,24600
2024-02-15,6.66000,6.86000,6.49000,6.79000,44800
2024-02-16,6.86000,6.94000,6.60500,6.88000,20100
2024-02-20,6.85000,7.06000,6.85000,6.89000,62400
2024-02-21,6.82000,6.99500,6.72000,6.79500,34900
2024-02-22,6.74000,6.94400,6.70000,6.72000,26100
2024-02-23,6.61000,6.79000,6.51100,6.78000,35800
2024-02-26,6.77000,7.00000,6.65000,6.82000,39400
2024-02-27,6.75000,6.89000,6.67000,6.71000,104600
2024-02-28,6.66000,6.71500,6.59000,6.67000,57500
2024-02-29,6.70000,6.99000,6.65000,6.88000,33500
2024-03-01,6.89000,6.97000,6.80500,6.97000,13100
2024-03-04,6.95000,7.05000,6.83400,6.90000,34000
2024-03-05,6.91000,7.48000,6.91000,7.21000,84100
2024-03-06,7.24000,7.45000,6.88000,7.00000,48500
2024-03-07,7.08000,7.20000,6.76000,6.85000,51500
2024-03-08,6.80000,7.31000,6.80000,7.30000,33600
2024-03-11,7.37000,7.40000,7.19600,7.23000,21500
2024-03-12,7.05000,7.21000,7.00000,7.01000,34600
2024-03-13,7.11000,7.19000,7.09000,7.09000,16700
2024-03-14,7.14000,7.17000,7.09000,7.13000,12100
2024-03-15,7.05000,7.35500,7.00000,7.05000,40900
2024-03-18,7.12600,7.22000,7.05000,7.08000,26000
2024-03-19,7.10000,7.10000,6.59000,6.59000,39200
2024-03-20,6.70000,6.86000,6.60000,6.85000,52600
2024-03-21,6.63000,6.97000,6.63000,6.97000,40700
2024-03-22,6.97000,7.08000,6.94000,7.08000,38300
2024-03-25,7.08000,7.08000,6.96000,7.08000,29000
2024-03-26,6.99000,7.11000,6.98500,7.04000,30700
2024-03-27,6.98100,7.03000,6.94000,7.00000,20300
2024-03-28,6.93000,7.00000,6.93000,6.94000,14100
2024-04-01,6.87000,6.93000,6.79000,6.90000,25500
2024-04-02,6.91000,6.92000,6.76000,6.76000,15400
2024-04-03,6.83000,6.83000,6.63000,6.63000,18700
2024-04-04,6.62000,6.73000,6.62000,6.69000,21200
2024-04-05,6.71500,6.89500,6.57000,6.80000,30000
2024-04-08,6.80000,6.90300,6.76000,6.79000,22700
2024-04-09,6.80000,6.84000,6.71000,6.77000,19100
2024-04-10,6.67000,6.75500,6.51000,6.56000,23100
2024-04-11,6.63000,6.64300,6.26000,6.32000,54400
2024-04-12,6.37700,6.40000,6.30000,6.32000,30500
2024-04-15,6.33500,6.34000,6.26000,6.32000,17800
2024-04-16,6.26000,6.32000,6.26000,6.26000,29800
2024-04-17,6.28000,6.28000,6.16000,6.20000,28400
2024-04-18,6.16000,6.28000,6.16000,6.28000,31400
2024-04-19,6.25000,6.64500,6.22500,6.57000,19600
2024-04-22,6.57000,6.80000,6.53500,6.66000,36700
2024-04-23,6.58000,6.74500,6.53000,6.55000,12800
2024-04-24,6.60000,6.74000,6.57000,6.70000,21100
2024-04-25,6.75000,6.75000,6.60000,6.70000,17700
2024-04-26,6.64000,6.74000,6.58000,6.70000,24300
2024-04-29,6.70000,6.80000,6.52000,6.62000,15900
2024-04-30,6.62000,6.79000,6.50000,6.63000,36700
2024-05-01,6.63500,6.69000,6.49100,6.58000,16200
2024-05-02,6.54500,6.80000,6.54500,6.76000,17300
2024-05-03,6.65000,6.75000,6.45000,6.49000,23100
2024-05-06,6.26000,6.53000,6.25000,6.42000,21800
2024-05-07,6.55000,6.57500,6.30000,6.30000,18500
2024-05-08,6.26000,6.60500,6.25500,6.56000,19000
2024-05-09,6.55000,6.69600,6.15000,6.31000,37300
2024-05-10,6.26000,6.65000,6.24000,6.53000,28300
2024-05-13,6.51000,6.57000,6.40300,6.50000,37000
2024-05-14,6.58000,6.80000,6.58000,6.64000,24300
2024-05-15,6.68000,6.68000,6.49500,6.50000,26900
2024-05-16,6.49800,6.65000,6.45000,6.64000,20000
2024-05-17,6.64000,6.75000,6.61000,6.62000,22100
2024-05-20,6.62800,6.69000,6.62000,6.68000,17300
2024-05-21,6.70000,6.75000,6.59500,6.70000,30400
2024-05-22,6.66000,6.66000,6.42000,6.48000,22800
2024-05-23,6.66000,6.66000,6.37000,6.58000,21300
2024-05-24,6.49000,6.50100,6.37500,6.50000,17800
