date,open,high,low,close,volume
2016-02-04,13.89000,14.35000,13.57000,14.13000,20000
2016-02-05,14.12000,14.15000,13.77000,13.77000,70200
2016-02-08,13.59000,13.93000,13.29000,13.79000,25600
2016-02-09,13.47000,13.64000,13.32000,13.55000,25500
2016-02-10,13.69000,13.95000,13.59000,13.59000,28700
2016-02-11,13.46000,13.75000,13.46000,13.64000,39200
2016-02-12,13.87000,13.87000,12.79000,12.97000,84900
2016-02-16,13.34000,13.78000,13.34000,13.59000,16300
2016-02-17,13.65000,13.70000,13.12000,13.60000,18700
2016-02-18,13.58000,14.05000,13.19000,13.68000,41200
2016-02-19,13.57000,13.91000,13.12000,13.44000,43500
2016-02-22,13.80000,13.86000,13.40000,13.71000,25900
2016-02-23,13.65000,13.70000,12.95000,13.00000,35600
2016-02-24,12.83000,13.36000,12.55000,13.26000,16600
2016-02-25,13.27000,13.60000,13.06000,13.14000,27700
2016-02-26,13.11000,13.45000,12.82000,13.08000,30300
2016-02-29,13.30000,13.80000,13.08000,13.24000,73600
2016-03-01,13.02000,13.60000,12.87000,13.05000,28600
2016-03-02,13.10000,13.10000,12.78000,12.95000,26500
2016-03-03,12.99000,13.17000,12.83000,12.95000,36300
2016-03-04,13.00000,13.05000,12.78000,12.84000,23500
2016-03-07,12.80000,13.00000,12.80000,13.00000,17400
2016-03-08,12.84000,13.04700,12.58000,12.73000,40400
2016-03-09,12.72000,13.09000,12.72000,13.01000,26700
2016-03-10,12.99000,13.35000,12.96000,13.22000,35800
2016-03-11,13.37000,13.56000,12.94000,13.21000,25200
2016-03-14,13.12000,13.87000,13.12000,13.81000,44100
2016-03-15,13.55000,13.68000,13.45000,13.49000,20500
2016-03-16,13.41000,14.45000,13.41000,14.18000,66500
2016-03-17,14.20000,14.64000,14.15000,14.27000,40300
2016-03-18,14.46000,15.07000,14.46000,14.89000,120400
2016-03-21,14.96000,15.38000,14.89000,15.29000,74100
2016-03-22,15.09000,15.16000,15.07000,15.11000,26000
2016-03-23,15.11000,15.37000,15.11000,15.21000,41900
2016-03-24,15.11000,15.11000,14.83000,14.86000,9700
2016-03-28,14.88000,14.88000,14.19000,14.19000,12000
2016-03-29,14.20000,14.40000,14.10000,14.32000,14800
2016-03-30,14.22000,14.91000,14.22000,14.86000,14600
2016-03-31,14.58000,15.11000,14.58000,15.00000,19100
2016-04-01,14.82000,15.11000,14.58000,15.00000,39300
2016-04-04,15.00000,15.34000,15.00000,15.17000,35100
2016-04-05,14.98000,15.18000,14.82000,14.97000,40600
2016-04-06,14.97000,15.18000,14.84000,14.90000,31800
2016-04-07,14.78000,14.90000,14.48000,14.62000,31800
2016-04-08,14.64000,14.80300,14.50000,14.52000,15300
2016-04-11,14.62000,14.93500,14.62000,14.78000,35600
2016-04-12,14.73000,14.85000,14.56000,14.71000,78800
2016-04-13,14.76000,15.09000,14.67000,14.83000,24800
2016-04-14,14.77000,15.11000,14.61000,14.76000,22400
2016-04-15,14.75000,14.75000,14.64900,14.69000,16800
2016-04-18,14.67000,15.18000,14.56000,15.10000,21800
2016-04-19,15.29000,15.31000,15.06900,15.17000,22100
2016-04-20,15.28000,15.28000,15.01000,15.06000,18000
2016-04-21,15.14000,15.31000,15.02000,15.10000,19400
2016-04-22,15.00000,15.54000,14.98000,15.34000,22700
2016-04-25,15.34000,15.34000,15.09000,15.31000,11700
2016-04-26,15.35000,15.60000,15.34000,15.54000,34500
2016-04-27,15.20000,15.70000,14.93000,15.68000,24400
2016-04-28,15.38000,15.70000,15.38000,15.59000,46000
2016-04-29,15.55000,15.87000,15.08700,15.74000,30800
2016-05-02,14.65800,17.15000,14.55000,16.25000,60600
2016-05-03,16.16000,16.17000,15.62000,15.92000,44200
2016-05-04,15.79000,15.99000,15.63500,15.77000,41000
2016-05-05,15.92000,16.33000,15.70000,15.88000,85800
2016-05-06,15.84000,15.97000,15.77000,15.91000,21200
2016-05-09,15.91000,15.99000,15.83400,15.99000,24200
2016-05-10,16.00000,16.54500,15.95500,16.21000,54100
2016-05-11,16.24000,16.36000,15.95000,16.00000,23800
2016-05-12,16.08000,16.25000,15.52000,15.58000,55800
2016-05-13,15.62000,15.86000,15.05000,15.60000,95000
2016-05-16,15.60000,15.68000,15.47000,15.59000,33000
2016-05-17,15.50000,15.65000,15.04000,15.11000,33900
2016-05-18,15.03000,15.50000,15.03000,15.20000,99700
2016-05-19,15.09000,15.85000,14.80000,15.63000,169300
2016-05-20,15.63000,16.38000,15.36300,15.98000,126300
2016-05-23,15.88000,16.37500,15.68000,15.96000,115100
2016-05-24,15.99000,16.29000,15.70000,15.86000,130700
2016-05-25,15.82000,16.50000,15.82000,16.30000,59500
2016-05-26,16.33000,16.38000,15.64000,15.91000,50900
2016-05-27,15.97000,16.27000,15.97000,16.18000,36300
2016-05-31,16.26000,16.31000,15.98000,16.14000,135400
2016-06-01,16.25000,16.79000,16.00000,16.50000,66600
2016-06-02,16.12000,16.18000,15.89000,16.03000,81300
2016-06-03,16.00000,16.22000,15.75000,16.00000,65500
2016-06-06,15.90000,16.08500,15.89000,15.99000,45700
2016-06-07,15.99000,16.00000,15.59000,15.91000,46500
2016-06-08,15.98000,16.00000,15.61000,15.91000,61100
2016-06-09,15.90000,16.00000,15.62000,15.68000,61500
2016-06-10,15.71000,15.82000,15.55000,15.71000,144800
2016-06-13,15.50000,15.74000,15.11000,15.30000,122700
2016-06-14,15.17000,15.48000,14.47000,14.52000,104200
2016-06-15,14.50000,14.50500,14.16000,14.34000,72300
2016-06-16,14.52000,14.52000,14.07000,14.30000,67500
2016-06-17,14.30000,14.31000,13.96000,14.09000,116900
2016-06-20,14.13000,14.59000,14.13000,14.28000,76000
2016-06-21,14.27000,14.40000,14.15000,14.18000,82500
2016-06-22,14.13000,14.26500,14.08000,14.12000,73100
2016-06-23,14.26000,14.41000,13.86000,13.95000,117300
2016-06-24,13.70000,14.03000,13.50000,13.70000,1668700
2016-06-27,13.67000,13.88000,13.60000,13.70000,107800
2016-06-28,13.75000,14.19500,13.57000,13.71000,67900
2016-06-29,13.73000,14.06000,13.33000,13.95000,77500
2016-06-30,13.95000,14.29000,13.77000,14.11000,125900
2016-07-01,14.31000,14.45900,13.47000,13.92000,45500
2016-07-05,13.80000,13.80000,13.50000,13.62000,60400
2016-07-06,13.60000,14.05000,13.50000,13.84000,70300
2016-07-07,13.88000,14.39500,13.81000,14.12000,88600
2016-07-08,14.29000,14.72000,14.09000,14.14000,93600
2016-07-11,14.08000,14.48000,14.08000,14.18000,115500
2016-07-12,14.13000,14.73000,14.13000,14.40000,122400
2016-07-13,14.50000,14.69000,14.24000,14.39000,48500
2016-07-14,14.88000,14.88000,14.52000,14.68000,48400
2016-07-15,14.79000,14.83000,14.37000,14.40000,52100
2016-07-18,14.48000,14.63000,14.27000,14.45000,47000
2016-07-19,14.50000,14.59000,14.23000,14.32000,26600
2016-07-20,14.44000,14.57000,14.11000,14.26000,42300
2016-07-21,14.18000,14.24000,13.95000,14.08000,30200
2016-07-22,14.08000,14.08000,14.00000,14.04000,31000
2016-07-25,13.92000,14.02000,13.83000,13.91000,14500
2016-07-26,13.80000,14.17000,13.80000,14.09000,33700
2016-07-27,14.12000,14.31000,13.95000,14.15000,30800
2016-07-28,13.65000,13.65000,12.86000,13.03000,354600
2016-07-29,12.97000,13.15000,12.68000,13.11000,106000
2016-08-01,13.06000,13.55000,13.06000,13.27000,102900
2016-08-02,13.28000,13.53900,13.11000,13.12000,66900
2016-08-03,13.16000,13.18000,13.01000,13.04000,73300
2016-08-04,13.08200,13.08200,13.01000,13.01000,26700
2016-08-05,13.00000,13.40000,13.00000,13.33000,66300
2016-08-08,13.28000,13.47000,13.26000,13.28000,40200
2016-08-09,13.29000,13.58000,13.29000,13.55000,61100
2016-08-10,13.56000,13.77000,13.35000,13.57000,69100
2016-08-11,13.50000,13.51000,13.46000,13.50000,102000
2016-08-12,13.50000,13.58000,13.48000,13.49000,49300
2016-08-15,13.50000,13.52000,13.41000,13.48000,48100
2016-08-16,13.49000,13.50000,13.30000,13.37000,56500
2016-08-17,13.44000,13.44000,13.23000,13.29000,68100
2016-08-18,13.29000,13.37000,13.24000,13.35000,29900
2016-08-19,13.37000,13.57000,13.37000,13.57000,68100
2016-08-22,13.60000,13.85000,13.57000,13.66000,38100
2016-08-23,13.74000,14.05000,13.73000,13.95000,248100
2016-08-24,13.94000,13.94000,13.62000,13.77000,53900
2016-08-25,13.74000,14.00000,13.66000,13.98000,28000
2016-08-26,14.04000,14.14000,13.91000,14.11000,35200
2016-08-29,14.09000,14.55000,14.07000,14.51000,165800
2016-08-30,14.44000,14.60000,14.39000,14.45000,30900
2016-08-31,14.47000,14.47000,14.04000,14.16000,50600
2016-09-01,14.10000,14.16000,13.59000,13.67000,62600
2016-09-02,13.62000,13.80000,13.60000,13.67000,35200
2016-09-06,13.60000,14.33000,13.60000,14.31000,93900
2016-09-07,14.22000,14.44000,14.17000,14.38000,69200
2016-09-08,14.32000,14.76000,14.16000,14.72000,107700
2016-09-09,14.58000,14.96000,14.52000,14.86000,112800
2016-09-12,14.74000,14.93000,14.66000,14.88000,117900
2016-09-13,14.72000,14.94000,14.51000,14.76000,139300
2016-09-14,14.68000,15.08000,14.54000,14.96000,148600
2016-09-15,14.85000,14.99000,14.44000,14.71000,171800
2016-09-16,14.77000,14.77000,14.06000,14.09000,604800
2016-09-19,14.08000,14.35000,14.07000,14.15000,47800
2016-09-20,14.13000,14.34000,13.85000,13.99000,44800
2016-09-21,13.99000,14.07000,13.78000,13.91000,65400
2016-09-22,14.01000,14.13000,13.84000,14.11000,58600
2016-09-23,14.03000,14.40000,13.99000,14.25000,45600
2016-09-26,14.14000,14.33000,13.95000,14.11000,68800
2016-09-27,14.16000,14.37000,14.11000,14.33000,37900
2016-09-28,14.38000,14.53000,13.98000,14.30000,53300
2016-09-29,14.35000,14.43000,14.15000,14.17000,40000
2016-09-30,14.27000,14.60000,14.24000,14.42000,68600
2016-10-03,14.35000,14.48000,14.23000,14.38000,36700
2016-10-04,14.35000,14.53000,14.06000,14.30000,34800
2016-10-05,14.26000,14.74000,14.26000,14.65000,37500
2016-10-06,14.61000,14.70000,14.55000,14.61000,26400
2016-10-07,14.65000,14.68000,14.40000,14.61000,21600
2016-10-10,14.63000,14.90000,14.61000,14.67000,32600
2016-10-11,14.69000,14.69000,14.33000,14.43000,32300
2016-10-12,14.47000,14.65000,14.31000,14.58000,25500
2016-10-13,14.54000,14.54000,14.26000,14.29000,24600
2016-10-14,14.40000,14.55000,14.28000,14.46000,25400
2016-10-17,14.50000,14.65000,14.35000,14.40000,27200
2016-10-18,14.45000,14.50000,14.25000,14.30000,34200
2016-10-19,14.40000,14.55000,14.30000,14.30000,47200
2016-10-20,14.35000,14.50000,14.05000,14.10000,40900
2016-10-21,14.10000,14.50000,14.10000,14.50000,33100
2016-10-24,14.45000,14.60000,14.10000,14.40000,49400
2016-10-25,14.40000,14.40000,14.15000,14.25000,33500
2016-10-26,14.30000,14.40000,14.25000,14.25000,21100
2016-10-27,14.50000,15.60000,14.50000,15.15000,96300
2016-10-28,15.10000,15.70000,14.90000,15.50000,86300
2016-10-31,15.55000,16.00000,15.35000,15.95000,106100
2016-11-01,15.90000,16.05000,15.75000,15.95000,41800
2016-11-02,15.85000,16.00000,15.35000,15.35000,64100
2016-11-03,15.40000,15.90000,15.40000,15.75000,56400
2016-11-04,15.80000,15.90000,15.55000,15.55000,34500
2016-11-07,15.80000,16.00000,15.65000,16.00000,62700
2016-11-08,16.00000,16.10000,15.60000,15.80000,55800
2016-11-09,15.45000,16.60000,15.34600,16.50000,89600
2016-11-10,16.75000,17.00000,16.25000,16.85000,133200
2016-11-11,16.95000,17.10000,16.80000,17.10000,238400
2016-11-14,17.25000,17.90000,17.12500,17.40000,105500
2016-11-15,17.30000,17.74400,17.20000,17.35000,63600
2016-11-16,17.40000,17.50000,17.20000,17.30000,91100
2016-11-17,17.35000,17.35000,16.95000,17.05000,109100
2016-11-18,17.15000,17.70000,17.15000,17.55000,122600
2016-11-21,17.55000,17.65000,17.25000,17.60000,52900
2016-11-22,17.55000,17.80000,17.35000,17.80000,68900
2016-11-23,17.75000,17.85000,17.60000,17.85000,49400
2016-11-25,17.85000,18.00000,17.50000,17.95000,62600
2016-11-28,17.95000,17.95000,17.50000,17.60000,42100
2016-11-29,17.75000,17.80000,17.45000,17.60000,48500
2016-11-30,17.75000,17.90000,17.20000,17.35000,83500
2016-12-01,17.30000,17.50000,16.60000,17.25000,52700
2016-12-02,17.35000,17.35000,16.95000,17.00000,53000
2016-12-05,17.00000,17.52500,17.00000,17.40000,180200
2016-12-06,17.55000,17.55000,17.35000,17.40000,104400
2016-12-07,17.55000,17.55000,17.20000,17.30000,108500
2016-12-08,17.30000,18.00000,17.10000,17.90000,116300
2016-12-09,17.90000,18.25000,17.60000,18.20000,165500
2016-12-12,18.20000,18.32500,17.50000,17.75000,47600
2016-12-13,17.80000,18.10000,17.50000,17.90000,56300
2016-12-14,17.85000,17.90000,17.50000,17.75000,61500
2016-12-15,17.80000,18.17500,17.65000,17.95000,184200
2016-12-16,18.00000,19.12500,17.80000,18.70000,652400
2016-12-19,18.75000,19.40000,18.40000,19.40000,93800
2016-12-20,19.40000,20.20000,19.32500,19.85000,153600
2016-12-21,19.95000,19.95000,19.30000,19.45000,107300
2016-12-22,19.40000,19.50000,18.75000,19.20000,39100
2016-12-23,19.20000,19.20000,18.90000,19.00000,36800
2016-12-27,19.15000,19.15000,18.70000,18.90000,49600
2016-12-28,19.05000,19.05000,18.77500,18.90000,100000
2016-12-29,19.00000,19.05000,18.45000,18.50000,74600
2016-12-30,18.65000,18.65000,18.30000,18.50000,53700
2017-01-03,18.70000,18.80000,18.05000,18.15000,113300
