date,open,high,low,close,volume
2016-02-04,158.27000,163.20000,153.42500,155.03999,3529
2016-02-05,153.85001,162.45200,150.11000,154.19000,5459
2016-02-08,152.14999,152.14999,142.28999,146.53999,9482
2016-02-09,143.64999,146.71001,136.00000,139.39999,6476
2016-02-10,141.78000,142.12000,137.19000,139.57001,6006
2016-02-11,137.02000,142.46001,134.30000,138.38000,3700
2016-02-12,139.91000,153.00000,137.02000,148.92000,5882
2016-02-16,158.27000,158.98399,152.83000,158.27000,5194
2016-02-17,159.80000,166.42999,154.87000,165.58000,9994
2016-02-18,166.94000,174.42000,165.58000,168.81000,5929
2016-02-19,167.11000,181.56000,163.53999,175.44000,16371
2016-02-22,178.16000,183.77000,175.78000,182.41000,10624
2016-02-23,184.96001,184.96001,175.95000,181.73000,5129
2016-02-24,179.00999,181.73000,177.82001,180.88000,2347
2016-02-25,182.58000,186.14999,179.35001,185.81000,4824
2016-02-26,186.66000,191.42000,183.94000,185.30000,6506
2016-02-29,184.45000,186.66000,170.67999,171.70000,6971
2016-03-01,174.75999,178.16000,163.20000,177.14000,9676
2016-03-02,177.14000,178.50000,171.70000,176.46001,5124
2016-03-03,175.95000,177.99001,171.36000,173.06000,5035
2016-03-04,172.03999,177.31000,162.00999,164.05000,7759
2016-03-07,163.71001,170.25500,161.50000,163.88000,5906
2016-03-08,161.84000,168.30000,161.84000,166.25999,3900
2016-03-09,166.42999,169.49001,161.50000,162.86000,4241
2016-03-10,164.56000,166.94000,160.48000,160.99001,3712
2016-03-11,165.75000,183.94000,164.39000,175.95000,10747
2016-03-14,175.95000,187.00000,174.08000,183.94000,5318
2016-03-15,181.73000,181.73000,170.34000,173.39999,7359
2016-03-16,172.03999,175.95000,163.37000,172.89000,11747
2016-03-17,172.03999,172.21001,163.62500,167.28000,6641
2016-03-18,167.11000,174.25000,163.64200,171.87000,4994
2016-03-21,170.34000,176.12000,170.34000,174.75999,2794
2016-03-22,173.23000,184.78999,173.23000,183.42999,3788
2016-03-23,181.22000,187.00000,176.97000,180.37000,5976
2016-03-24,179.17999,184.28000,176.80000,178.16000,4771
2016-03-28,180.03000,183.25999,175.27000,176.80000,3829
2016-03-29,175.27000,180.88000,168.30000,179.35001,5647
2016-03-30,181.39000,183.25999,174.08000,177.14000,6971
2016-03-31,176.80000,176.80000,169.91499,172.55000,7235
2016-04-01,172.03999,184.11000,164.22000,182.75000,7271
2016-04-04,182.07001,186.14999,180.37000,181.05000,6000
2016-04-05,178.84000,191.75999,178.84000,191.42000,10700
2016-04-06,192.95000,213.35001,192.95000,210.46001,19641
2016-04-07,210.12000,215.22000,204.50999,209.61000,7376
2016-04-08,212.16000,212.84000,200.94000,209.61000,5541
2016-04-11,208.59000,210.80000,203.32001,207.23000,4653
2016-04-12,204.67999,213.00999,202.81000,212.16000,6535
2016-04-13,213.17999,213.35001,203.49001,208.59000,6547
2016-04-14,207.23000,213.86000,205.70000,208.42000,8065
2016-04-15,207.39999,207.39999,199.41000,202.13000,6347
2016-04-18,200.25999,202.30000,188.19000,193.80000,8953
2016-04-19,194.48000,204.17000,189.21001,199.24001,10047
2016-04-20,199.92000,203.83000,194.14000,196.17999,5629
2016-04-21,195.67000,201.36501,193.12000,199.24001,7482
2016-04-22,200.94000,202.30000,194.99001,196.86000,3153
2016-04-25,198.05000,201.28000,187.00000,187.34000,6547
2016-04-26,188.70000,190.39999,170.50999,173.57001,9924
2016-04-27,172.21001,173.38300,165.07001,169.32001,18053
2016-04-28,170.00000,172.89000,166.94000,168.98000,10018
2016-04-29,169.32001,171.87000,162.35001,165.75000,8141
2016-05-02,166.09000,169.14999,162.86000,167.78999,7347
2016-05-03,166.94000,174.25000,166.94000,170.00000,7165
2016-05-04,170.17000,170.50999,162.00999,165.24001,7800
2016-05-05,164.56000,164.73000,154.70000,156.39999,9665
2016-05-06,154.53000,155.72000,144.84000,151.47000,9276
2016-05-09,152.32001,158.44000,149.60001,150.78999,9165
2016-05-10,148.24001,148.75000,124.10000,143.99001,37565
2016-05-11,144.33000,144.84000,134.47000,136.17000,9418
2016-05-12,137.19000,139.91000,127.67000,130.05000,16794
2016-05-13,129.88000,131.24001,124.27000,125.46000,17547
2016-05-16,130.05000,134.30000,127.02400,132.94000,14100
2016-05-17,131.75000,136.34000,131.41000,133.45000,12300
2016-05-18,133.96001,139.23000,130.22000,132.42999,14447
2016-05-19,132.25999,133.78999,128.00999,132.42999,31671
2016-05-20,132.77000,141.44000,130.22000,133.11000,14218
2016-05-23,133.28000,150.96001,131.92000,148.41000,19529
2016-05-24,150.96001,158.10001,150.78999,154.70000,20553
2016-05-25,155.72000,156.57001,150.11000,151.47000,10571
2016-05-26,151.64000,155.38000,150.28000,153.67999,5571
2016-05-27,154.53000,161.16000,152.66000,154.19000,14359
